#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	phnH//
SutR	arcZ//gcl//
TorR	allE//
TrpR	cecR//ivbL//tehA//yhfA//tar//chiA//oxyS//rsmA//
TyrR	dsbA//hyi//yfiB//
UidR	metC//
UvrY	ynbD//fecR//
XapR	ycjY//speC//
YdeO	glk//glnX//
YjjQ	gltK//wzxE//mlrA//adiY//hslJ//avtA//cbpA//
YpdB	sdaA//
YqhC	cheR//rof//
ZntR	ihfB//
ZraR	flhA//
Zur	polA//aaeA//proM//rcsB//ryhB//
