#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	agaB//
PhoB	dinD//yhdX//yegZ//ycjY//dgkA//tyrU//ydfN//glnX//ydcT//dinG//leuP//livJ//ydbK//murR//pspF//ydeA//phnK//wecE//cysE//wrbA//garD//ybaT//ilvN//flgA//rpiB//phnC//leuV//glnV//cysD//pfkA//cpxP//
PhoP	ynbD//apaH//alkB//uraA//bacA//prs//glnX//hcaB//mcbA//potH//adeD//yhdX//ykiA//gpmM//tpr//wza//
PspF	sroC//
PurR	ybaT//umuD//glpG//dgkA//rpmA//mipA//ykgO//motB//yncE//umuD//topA//ydcS//yeiB//
RbsR	pheU//
RcdA	gcl//hokE//rof//
RclR	pheV//fliT//ompT//
RcnR	ribA//
RcsAB	xseA//ybhG//ybhG//cho//tynA//
RcsB	yqhG//rcsD//cyaA//leuV//
RcsB-BglJ	aspV//preT//avtA//agaC//lysV//alaW//ychF//tadA//argR//yeaG//mcbA//
Rob	allS//
RutR	paaY//
SdiA	paaY//
SgrR	gltL//cheR//mukE//yiiS//ygiZ//yhfA//
SoxS	slyB//yeiP//tar//agp//lysR//proK//
SutR	rpsU//trpL//
TorR	allA//
TrpR	speA//flgA//grxA//mpaA//agaB//fnrS//cpxA//ybhF//
TyrR	hofC//cpxA//mltF//
UidR	bioD//
UvrY	rpsU//gltX//
XapR	osmB//tdh//
YdeO	ymgC//yeiB//
YjjQ	ydeJ//ybaT//nadA//potG//pdeH//mqsR//pspF//
YpdB	argE//
YqhC	manA//rcnR//
ZntR	sdaA//
ZraR	hflK//
Zur	leuD//iraP//wrbA//cpxA//dapD//
