#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yafO//
Fis	rfe//ymiA//fadR//phnG//aaeB//leuD//pspF//phoE//tcyP//uvrD//hcaF//kdpF//gltX//rarA//wecB//hofN//pgm//pheV//rclA//yebE//metF//mukF//rclA//uspE//fhuB//manA//valU//envC//cho//yneM//wcaB//ybbW//yfdX//cysN//rfe//phnI//livJ//artM//rpmI//ttdA//yeaE//rstB//amn//leuL//dapB//rutR//chiA//ynbC//pspF//erpA//yqhD//agaB//yadV//isrC//yjhC//ariR//
FlhDC	dgcC//ppdC//infC//lysT//alkA//hofO//ttdT//dapD//luxS//alkA//thiQ//glgB//mscM//obgE//leuE//rpoD//hofO//phoB//yfdX//argF//ygbK//pgpC//ysgA//pepT//yhdW//cbpA//ymiA//tcyP//pgpC//rclA//phnG//yncE//leuP//leuL//arsR//ampD//flgK//rnlB//
FliZ	sroA//
Fur	fadR//wcaB//agaD//glgX//agaD//pheU//ppiD//dapB//hcaE//rpsR//creC//mukF//sohB//purF//copA//murR//ppsA//gspB//kdpA//phoH//flxA//argF//ecpR//seqA//
GadX	ygdB//hflK//ykgM//cmoM//yhbS//arsB//ldtD//
GcvA	nimR//ubiG//
H-NS	gpmM//hemF//pitB//uspD//rcsD//fhuB//argX//flgL//yneM//ynbC//bdcA//paaX//ada//glnB//
HU	trpC//leuX//
HcaR	ttdB//ibpB//dgkA//cheB//ampD//ppsA//
IHF	argF//mngB//argI//yaeP//tpr//ompX//btuB//
IlvY	livH//mzrA//
IscR	kbp//cpxR//dsbG//secB//dsbC//ampC//glnU//cstA//
KdpE	raiA//lolA//hokE//fhuB//
LeuO	cvpA//yeaD//sfsA//cheA//fliS//dinG//
LexA	arcZ//mzrA//metF//rpsF//pdeH//fruB//potF//alsA//trpR//glnW//dinB//metF//dapD//kbp//rutR//fabG//yhhY//wzxE//avtA//ydfE//glnU//ycjX//ydiV//yhjX//dinD//cysC//ompN//ydfN//dsbC//yfdX//trpL//paaY//tyrB//proM//oxc//tsr//polB//
LrhA	cysE//
Lrp	accA//ubiG//ybfE//rpoD//gor//exbB//cra//xdhB//lolA//apaH//ilvC//dsbG//tyrV//ompX//
LysR	htrE//
MalT	yneM//
MarA	yciW//valY//
MatA	bacA//add//
McbR	phoE//
MetJ	tfaQ//iscU//aroF//argA//potG//
MlrA	yhbS//phnD//allB//thrT//ycjY//
MngR	wzc//ynbA//cstA//
MntR	ybfE//metU//
MprA	znuB//slt//phnJ//
MqsA	prs//rstA//
MurR	phr//
Nac	mngR//borD//allA//yegR//yciX//
NadR	erpA//cecR//phnI//
NagC	ycjY//ddpF//ybbY//ruvB//xdhB//
NanR	glmS//mngB//
NimR	erpA//xapB//
NsrR	glgX//fhuE//lrhA//dhaK//thrT//htpG//yafP//ppc//purC//paaY//wzxE//iraD//agaI//fliQ//yebE//fecR//ydiV//yncE//tisB//cheA//fabD//pgpC//yfdX//ryhB//artP//ydbK//hflX//yeaE//metT//ydcT//
NtrC	nlpA//recN//argX//rimM//torR//flxA//wecE//hslJ//uvrY//rpsF//ynbA//yjhB//livF//preA//fepC//pheV//purK//
OmpR	gltI//fliS//glyU//ycjX//
OxyR	xdhC//infC//yafO//lexA//kdpB//lysO//pitB//msrA//alsE//
PaaX	yeiW//dtpA//
PepA	obgE//
PgrR	yfdV//uspB//trmA//hflX//flgB//ydjM//yqhG//
PhoB	ydeJ//yjeV//flgH//htrE//ompN//phoP//cysD//ilvC//rpsF//preA//cheR//tehA//rpsR//cecR//alaA//trpA//gltL//pheS//yhdX//yhbS//yhdZ//flgE//sfsA//valT//wrbA//glnU//pdeF//aaeB//mprA//yhbE//serX//
PhoP	leuL//omrB//uidR//potF//serX//yaeQ//fepC//ung//glnX//tfaQ//uspD//phoB//nimT//alaC//leuA//alsB//
PspF	wza//
PurR	arcA//mzrA//exbB//amn//cstA//nlpE//thrW//cysC//tyrV//topA//agaB//pitB//yqhD//
RbsR	gpmM//
RcdA	pheT//rpsR//flgG//
RclR	rsmA//rdoA//yfdX//
RcnR	glyT//
RcsAB	ftsK//preA//envC//mhpR//mhpR//
RcsB	yciX//hofO//ydbD//purE//
RcsB-BglJ	aaeA//argA//ada//flxA//phnO//livM//ecpR//umuC//gltI//gspA//dsbC//
Rob	wcaB//
RutR	decR//
SdiA	spf//
SgrR	ttdA//yaiW//argH//yhdX//slyB//trmD//
SoxS	glyU//hofB//sutR//rclB//kdpC//rarA//
SutR	wecC//yjeV//
TorR	bcsB//
TrpR	yegZ//yhjC//arfB//flgG//cheY//yhfA//ddpD//mukE//
TyrR	argA//ynbA//cvpA//
UidR	copA//
UvrY	iscA//frc//
XapR	ykiA//speC//
YdeO	uraA//gudD//
YjjQ	zntA//yegR//leuA//sutR//upp//flgI//tsr//
YpdB	cheY//
YqhC	gltL//cpxQ//
ZntR	serT//
ZraR	erpA//
Zur	folE//fliL//rcsB//infC//trpA//
