#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ftsK//
Lrp	creC//fruB//thiP//wrbA//tisB//pspF//chiA//fliR//wecE//purL//mngA//gpsA//ilvB//trpR//
LysR	ada//
MalT	ihfB//
MarA	fliN//ybfE//
MatA	yeiW//glnW//
McbR	ygiZ//
MetJ	leuC//tdh//dacC//apaH//hflC//
MlrA	rmf//alsC//preA//artP//ada//
MngR	rcsD//hofC//ygdB//
MntR	mgrR//artI//
MprA	dgkA//accD//phnE_1//
MqsA	fadR//pdeF//
MurR	exbD//
Nac	serX//cynS//proL//ddpF//ymgC//
NadR	leuD//yebG//rffG//
NagC	iraP//hokE//ppsA//yfdE//hdfR//
NanR	bdcA//murI//
NimR	pnuC//avtA//
NsrR	bioD//flgJ//pheV//fliL//fecR//gltK//arcA//mukB//valU//gyrB//spf//cysN//rybA//adeD//apaG//artQ//zntA//thrW//gspB//gltI//phnM//rutR//yqjA//hofN//asnB//gpsA//phnK//ynbD//alaA//omrA//
NtrC	cpxP//tyrV//lysC//phnK//rsmA//xdhC//rstB//ydfN//dsbG//ptrA//ppdD//btuB//dnaG//hcaR//accA//tufB//nadC//
OmpR	murI//argW//hisR//insK//
OxyR	dapD//yhbT//slt//eno//ivbL//lysW//trmA//add//phnD//
PaaX	mpaA//cpxQ//
PepA	topA//
PgrR	nadA//cpxA//accD//rclC//wzyE//hofP//gltL//
PhoB	sbmA//fliP//flgL//wecC//intQ//ycjX//yidQ//iscS//mltF//upp//rnlB//hisR//rclC//ynbB//mukB//agaS//fecI//thiP//ycjY//ddpF//fhuE//obgE//fnrS//arcZ//leuD//fecR//paaY//dinD//flhB//trmA//argR//
PhoP	bacA//phnJ//exbD//emrB//mlrA//emrA//ppdC//hflK//sbmA//argH//glgX//lexA//yhhY//mltF//lexA//ydfW//
PspF	fbaB//
PurR	yojI//livM//tar//glgS//hofB//murR//ygdB//ydiV//acrR//xdhC//allA//yciX//yhdW//
RbsR	ymiA//
RcdA	pitA//speC//ubiG//
RclR	ariR//ybhS//ydbK//
RcnR	isrC//
RcsAB	artP//ycgZ//arsB//kbl//fliM//
RcsB	tcyP//paaY//phnL//amiA//
RcsB-BglJ	ppiD//hcaC//yiiS//mqsA//tdh//znuA//yhjC//ryhB//ppdB//umuC//gudX//
Rob	kdpB//
RutR	xseA//
SdiA	ppc//
SgrR	metA//metA//omrB//wrbA//bacA//iscA//
SoxS	yjhB//phnJ//fruK//mprA//ygeH//efeU_2//
SutR	cecR//rstB//
TorR	obgE//
TrpR	tufB//gspA//dhaR//tpiA//mukE//ybjG//polB//hflC//
TyrR	ydcS//gcvA//yjjP//
UidR	htrE//
UvrY	oxyS//pheT//
XapR	malZ//bioF//
YdeO	sroC//rcsD//
YjjQ	fruB//intQ//dhaL//oxyS//dhaL//livM//cho//
YpdB	rcsB//
YqhC	kbp//yhfA//
ZntR	phnC//
ZraR	hofB//
Zur	fliO//thrW//purE//uvrB//agaC//
