#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	cbpM//
Fis	arsC//sgrR//ymjD//dsbG//recA//rpmI//glxR//rpmI//spf//yibQ//thiP//phoH//phoP//tdh//glmS//ykgM//ybjG//agaR//rdoA//ivbL//mzrA//wrbA//metJ//mngB//tpiA//add//cysC//trmD//argF//agaB//tonB//leuT//cysD//lysV//tdh//fhuB//yafO//xdhB//kbaY//ykgM//argX//yhdZ//fnrS//insD//rclA//sbcD//yaeQ//hofN//dsrA//ydfW//ybfE//insK//trxA//rcsD//psiF//hokE//
FlhDC	mngA//serT//ycjX//ompA//ybhR//ampC//dsbC//ybaT//bioF//fecI//glgB//arcA//add//wcaA//trmD//csrB//yebG//hokE//cdaR//rybA//wzxE//phoH//mukB//dsbG//mhpR//allB//prs//copA//cstA//ydiU//valT//ppdC//ymjD//potH//zraP//recD//fnrS//erpA//
FliZ	yccA//
Fur	mgtL//phoA//yeaE//ybjG//fliR//yqhD//lacI//obgE//wecE//ybhS//lysV//trpA//rpoD//paaY//ygaC//ymjC//nlpE//hcaF//wrbA//ynbA//yhjX//yegH//apaG//polB//
GadX	fepD//tdh//ydbK//ycjG//valU//zraP//psiF//
GcvA	glpG//aaeR//
H-NS	mgrR//cheA//cysN//wcaA//ydeJ//glxK//pitB//hofC//rpiB//iscR//chiA//fldB//efeU_1//pepT//
HU	glgB//glnU//
HcaR	lrhA//accA//ydfW//trpL//yegH//potH//
IHF	rclB//ppdA//fldB//artQ//alsB//prs//glxK//
IlvY	rsmA//dgcC//
IscR	emrA//decR//phoA//hcaB//rplU//alaW//tyrA//hofN//
KdpE	folE//sohB//sbcC//purK//
LeuO	leuV//add//lysC//btuB//wzb//lon//
LexA	fabH//ttdA//murI//ilvY//trxC//sohB//thrT//rof//trpL//phnC//ydcU//ftsK//hflC//rcsD//rsmA//rimM//cecR//oxyS//fepD//fliP//phnP//hflC//pykF//queA//flu//glpG//flhA//flgF//mqsR//argF//nimR//envC//trpL//exbB//dicB//ydcT//gltI//
LrhA	aaeR//
Lrp	fnrS//ycgR//phnF//tisB//ybbW//yeaD//fliP//ybaS//talA//cheA//ymgA//bioB//preA//uvrC//
LysR	potG//
MalT	recN//
MarA	ykgO//mgtL//
MatA	tufB//yqhG//
McbR	ydcU//
MetJ	ddpC//cheZ//treR//phnL//tyrV//
MlrA	rcnR//ldtD//psd//leuV//ompN//
MngR	serX//kbp//trpC//
MntR	argR//ychH//
MprA	sbcD//trpA//pagP//
MqsA	amiA//yjhB//
MurR	ompT//
Nac	argE//tcyP//fecR//rmf//thiQ//
NadR	intQ//ptrA//fliN//
NagC	glgX//ybhG//phnK//hfq//alsB//
NanR	arsC//apaG//
NimR	cvpA//glnX//
NsrR	yeaH//potI//add//tonB//phnF//tynA//lysW//ydiV//avtA//allE//leuT//sfsA//speA//glk//ybhF//alaX//mntS//ybaS//xapB//ymgA//ihfB//cynS//rdoA//cynX//cysD//trpL//ydbK//phoA//yneM//mukE//
NtrC	phnC//aaeB//metA//glpR//ybjG//asnB//pepA//rpmI//tap//yneM//rplU//mpaA//mhpT//iraP//phnG//arsC//glxK//
OmpR	umuD//fliR//preT//xseA//
OxyR	ybhG//ydbK//livF//trpB//gcl//glpG//fliM//umuD//yhjC//
PaaX	gfcA//cho//
PepA	ampC//
PgrR	tadA//fabI//dinD//ppsA//purL//uspE//torR//
PhoB	dapB//sfsB//lysU//wrbA//ryhB//rffG//purE//glgB//thrU//ompN//crl//ybbW//dkgB//ydeA//xdhB//ada//luxS//metT//yebE//envC//yciX//yjjZ//omrB//ydiU//agp//ynbD//sbcC//argI//ibaG//intQ//ydfD//
PhoP	tfaQ//metT//fecR//dhaM//mhpT//fadM//cynX//ubiX//ykgM//prs//dsrA//ibaG//recD//hcaD//flgF//arsR//
PspF	torR//
PurR	phoB//cynS//kbp//sdaA//phoA//kbaY//kdpF//ynbC//ycgZ//phnO//dinQ//iraD//hfq//
RbsR	xapA//
RcdA	mgrB//trmA//ysgA//
RclR	mqsA//dinB//garD//
RcnR	phnM//
RcsAB	kdpA//alaW//lysR//leuD//ppc//
RcsB	ybhG//adiY//rybA//rplI//
RcsB-BglJ	cheR//ybbW//bioD//htpG//pdeF//bdm//yciX//bluF//lysC//apaH//murR//
Rob	mqsA//
RutR	cbpA//
SdiA	alaC//
SgrR	creA//yccJ//raiA//mngB//yjjZ//gpsA//
SoxS	fliL//sroC//ycjG//tadA//potH//ttdT//
SutR	yqhD//aroF//
TorR	pfkA//
TrpR	dsrA//yegZ//prs//livM//fabD//comR//ibaG//glpG//
TyrR	glyT//ybaT//insD//
UidR	acrR//
UvrY	potI//pagP//
XapR	lrhA//yhfA//
YdeO	pdeH//phnJ//
YjjQ	alkB//wecB//cdaR//yeiW//potG//dicB//serT//
YpdB	msrA//
YqhC	lysW//rimM//
ZntR	hflD//
ZraR	mipA//
Zur	kdpC//yhdY//nadA//lysV//rpoD//
