#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	pheU//
FNR	hdfR//phoR//yhjX//arfB//yhhY//valU//znuC//glpR//cheZ//yqhD//trmD//motA//ilvY//pheU//argH//phnL//dhaM//fldA//malZ//argW//tap//luxS//trmA//xdhA//kbl//paaX//leuC//
FadR	glgB//metJ//gltL//flgK//osmB//ruvA//yeaG//xdhC//
FeaR	recC//
Fis	infC//sroC//gcvB//thiP//ldtC//pfkA//ydcV//tyrB//ampC//uvrC//gudX//sxy//dicC//recD//nadB//priB//rplS//xdhB//lrhA//argW//gltJ//mlrA//raiA//ubiX//ydeI//serT//flhA//glnV//ybaT//wzyE//purC//iraD//cstA//rstB//dacC//ompA//wzc//argX//yfbR//argH//glpR//ykgR//tyrU//ppdC//xseA//ddpB//glgS//apaH//rpmA//ibpB//rclB//ybhS//gudD//glmS//phnE_2//fepG//
FlhDC	flgG//ynbD//kdpC//ecpR//yfbR//exbD//yjjZ//gltL//fabI//pepD//btuB//umuC//grxD//ihfB//uspD//znuA//ynbB//envC//queA//ftsK//mukB//sbcC//polA//livG//cynX//polB//fliP//ycjX//fliT//ilvB//glmS//ygdB//arsC//hokE//lysR//bioF//ttdA//ychH//
FliZ	rpmA//
Fur	mhpT//glpR//hflD//yegZ//tyrV//gcl//artQ//phnE_1//uidR//trpB//exbD//phnM//allS//yqaE//valY//fepG//purC//yaiW//hslJ//dkgB//exbB//gcvA//rffT//argH//
GadX	artJ//argA//hslJ//cheA//purE//intQ//ompT//
GcvA	yibQ//bluF//
H-NS	dinB//hofC//proM//artJ//speC//yqjA//ynbA//yegH//trmA//wzxE//lysT//ybaT//phoE//tcyP//
HU	glnX//leuW//
HcaR	flhB//wcaB//potG//fhuC//fruB//yccT//
IHF	dhaL//pgm//arcA//ydeI//phnF//leuQ//narQ//
IlvY	proM//flu//
IscR	ppdA//yciW//iraD//xdhA//bdcA//yibQ//glyU//tyrB//
KdpE	ariR//ttdT//hslJ//recX//
LeuO	lolA//mngR//yaiW//spf//argA//omrB//
LexA	oxyS//rpsP//ykgM//murI//speA//patD//tap//emrB//talA//fliR//hcaR//tsr//phnG//queA//kdpA//ddpD//recX//cheW//ychO//cysE//entS//symE//pitB//livF//cstA//slt//dhaK//wzc//flgE//tfaQ//flgA//hfq//phnE_1//alaA//dsbG//alaA//phnO//
LrhA	dhaR//
Lrp	mprA//ompT//rnlA//argT//ubiG//yqhD//glgS//ydcV//seqA//dhaM//paaX//hflX//rclA//nimT//
LysR	uspE//
MalT	flgJ//
MarA	gltJ//isrC//
MatA	argU//valY//
McbR	ryhB//
MetJ	cysC//cynR//argR//potG//fepC//
MlrA	hflC//leuP//dapB//ybhL//dinB//
MngR	flhA//potI//uvrD//
MntR	nadB//efeU_1//
MprA	allS//ydfX//frc//
MqsA	ftnB//tehB//
MurR	dhaK//
Nac	creC//phnF//trxC//trxA//livF//
NadR	metJ//wecE//agaC//
NagC	alkB//wzyE//wecE//alaX//hyi//
NanR	sohB//dkgB//
NimR	iscS//flgD//
NsrR	fabH//pheT//xdhA//ymiA//lrhA//yebG//rcsB//phnM//upp//cbpA//cueO//cvpA//hyi//pepT//fabG//phnC//garD//dtpA//yebG//bioD//dhaK//livJ//murI//alsB//ompX//sroA//ydeI//mukF//tyrA//preT//
NtrC	hemF//fliL//pspF//flgC//argW//gpmM//xseA//pitA//treR//recD//glnU//emrA//ruvA//phnJ//uspE//fabH//pgm//
OmpR	ynbC//rcsB//copA//tisB//
OxyR	hokE//phnH//dsrA//dinB//aaeX//yhdZ//fruB//ttdT//rffC//
PaaX	dinQ//rpsP//
PepA	glpE//
PgrR	wzzE//frc//ompN//lolA//fabI//glmU//fabI//
PhoB	hflD//omrB//cysD//mgtA//dacC//cbpA//glk//bioB//ddpX//argR//ydfN//ftsK//ybaT//ddpX//ydfN//flu//fhuE//exbB//rffT//yhhY//topA//recC//kdpF//argE//phnG//metU//acrR//yojI//yhdX//manA//valU//
PhoP	wcaA//rffG//leuE//nadC//agaD//kdpC//ydcT//hofM//aaeX//uvrB//yeaE//ada//bluF//gspB//leuW//azuC//
PspF	ynjI//
PurR	thrS//preA//flgD//iscS//purB//zntA//yegZ//adiY//lysR//bdm//argI//gudP//emrA//
RbsR	mpaA//
RcdA	copA//add//oxc//
RclR	ybhS//wzb//pepD//
RcnR	mltF//
RcsAB	rcsD//nimT//htpG//dsbG//fhuA//
RcsB	csrB//avtA//ychO//pykF//
RcsB-BglJ	ilvN//agaS//mzrA//agaI//argW//yoaC//znuA//cysC//tar//glgB//symE//
Rob	ttdT//
RutR	hofB//
SdiA	ybhR//
SgrR	recX//rpsP//rnlB//ybhG//hofM//rffT//
SoxS	mcaS//omrB//fepG//fadR//yfbR//rpmI//
SutR	cho//ydcV//
TorR	fliO//
TrpR	ynbB//yjeV//yciW//ldtC//efeU_2//insK//argR//mqsR//
TyrR	ampD//ecpR//metA//
UidR	tehA//
UvrY	allD//aroH//
XapR	fliT//yjjP//
YdeO	glnV//ppdA//
YjjQ	ygeH//metC//ymjC//yafN//dicC//mpaA//fnrS//
YpdB	cstA//
YqhC	agaB//ddpB//
ZntR	agaR//
ZraR	leuA//
Zur	artP//ampD//decR//infC//flxA//
