#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	yojI//
FNR	psiF//ppdA//mgrR//dapD//mngA//mukE//glxK//fliM//ybhL//glmU//phnP//raiA//ilvB//decR//malZ//hofP//btuB//arcA//ydbK//rplS//fepD//copA//flgD//speC//iscA//yjeV//avtA//
FadR	cheW//ybbY//cysE//proL//efeU_2//tonB//gfcA//bdm//
FeaR	ydfD//
Fis	ttdB//gcvA//pitB//patD//wza//proM//glk//fabI//aspV//yqhD//dnaG//ruvA//argW//allA//psd//kbaY//ycgZ//bioD//potF//ampD//cra//metF//msrA//aspV//potG//yaeP//livH//tynA//znuA//fecR//rcsD//ykiA//pheV//fliM//yiiS//cho//speA//fliT//gudX//bioB//metC//mhpR//mukB//ydbD//bcsZ//phnE_2//yneM//nimT//ruvA//fbaB//yfbR//yoaC//tyrU//metF//nadC//livM//
FlhDC	leuQ//gltX//nadA//bluF//glgS//flhB//ryhB//argA//leuW//grxA//yfiB//gltL//mntS//yhjC//proK//fabI//bioD//zntA//ybbY//accA//yqaE//polA//sfsA//rplS//cpdB//yqhG//cheY//fepC//gpmA//yjjZ//sfsA//xdhA//rffH//rdoA//ddpB//nadA//ynbB//uidR//
FliZ	argX//
Fur	iscU//rplS//dinB//mqsR//ychH//topA//psd//cecR//allS//phnJ//bdm//ppdD//nadA//kbaY//fabG//cheW//cpxR//iscR//gcvB//purK//cpdB//leuQ//argW//bluF//
GadX	glyT//metA//dkgB//efeU_1//psd//argC//fabI//
GcvA	metA//iraP//
H-NS	mpaA//yeaE//yeiB//flhB//uidR//insD//hflD//omrB//add//xseA//uspD//xseA//fabD//yafN//
HU	yeiB//fliP//
HcaR	ppc//raiA//gcvA//phoE//asnB//ybhL//
IHF	polA//phnF//fliP//htpG//purK//dsbC//phnE_1//
IlvY	thrT//yeaD//
IscR	purK//lysW//iscA//phoP//sbmA//ydbK//uspB//gpmA//
KdpE	paaY//ydeJ//dkgA//mpaA//
LeuO	mepH//rybA//nimT//azuC//yccA//mhpT//
LexA	leuX//alkA//agaR//aaeX//rnlB//rclB//speA//mntS//yecT//artQ//recN//queA//tadA//sbmA//polB//dgcN//trmD//gltX//purL//dinD//nlpA//gpmM//dinD//gudP//phnE_1//kdpF//lysO//alaX//leuL//ybhS//ybaS//yidQ//phnD//rcsB//wcaB//yncE//fhuA//
LrhA	talA//
Lrp	cheA//slyB//bioB//pitA//lolA//cheZ//flgD//ydfH//flhA//artJ//rclC//bioA//ybhL//glgX//
LysR	ybbW//
MalT	dhaR//
MarA	nadC//fabG//
MatA	xdhB//nohA//
McbR	potF//
MetJ	hofM//fhuC//trpC//glxR//yeiW//
MlrA	bcsZ//ddpA//yegH//valT//pheS//
MngR	fhuE//recD//ybhS//
MntR	potI//potI//
MprA	pheS//dgcN//xdhA//
MqsA	oxyS//nimR//
MurR	ychO//
Nac	rpsF//trpL//yciW//ydcS//yhdZ//
NadR	gudD//thrS//eno//
NagC	ykgM//zraP//flgF//rcnR//tcyP//
NanR	mngA//dgcC//
NimR	leuB//flxA//
NsrR	tehB//alaA//hflD//pgm//trpR//kdpF//csrB//cpxP//ompN//hemH//trpR//fliP//htrE//insD//nlpA//flgH//ddpF//arfB//narQ//fepG//hofP//eno//yjeV//trmA//flgG//trpB//mukB//dkgA//bacA//ygdB//
NtrC	rnlA//ymgA//cbpM//trpD//uraA//sbcC//aspV//wzxE//leuT//tonB//dinD//phoE//mprA//gltK//ihfB//dgcC//lysT//
OmpR	ydcT//talA//cstA//glnU//
OxyR	flgD//ppdB//alsA//zraP//lysU//comR//flhE//phnM//recX//
PaaX	insD//cpxR//
PepA	tsgA//
PgrR	dinF//decR//lolA//gudP//agaD//ftsK//ymgC//
PhoB	wcaB//yeiP//eno//dkgA//dhaK//yafN//cueO//dhaR//pdeF//gspB//chiA//alsC//mzrA//tadA//phoA//xapA//thiQ//ompT//rstB//proK//dicB//recX//rpmI//yhbE//trmA//artP//pheV//ttdB//aroH//flgD//ilvC//
PhoP	gltX//nadB//ydfW//dinG//valX//ompA//wecB//ppdB//gpmM//ariR//cvpA//glxR//yadV//bdcA//pykF//fliO//
PspF	sbmA//
PurR	osmB//agaC//gudD//ykgM//nadC//allA//yccT//dhaM//rpsF//metJ//ppdC//ygiZ//wza//
RbsR	ttdR//
RcdA	yccJ//ppc//valX//
RclR	glgB//sgrR//insD//
RcnR	hofO//
RcsAB	cpxQ//phnI//cysD//rimM//yccT//
RcsB	allE//glpG//ydiU//gpsA//
RcsB-BglJ	alaA//ybbY//bcsB//livJ//metT//fepD//fabG//narQ//cysK//metJ//rffG//
Rob	valU//
RutR	zraP//
SdiA	dinB//
SgrR	yciX//phnD//aaeX//ampC//rffM//tyrB//
SoxS	nadC//sbmA//alsE//fruK//lysT//ptrA//
SutR	lacI//yebE//
TorR	livH//
TrpR	alsA//lysC//leuP//cysD//rpiB//yojI//flhE//iscR//
TyrR	ilvC//osmB//paaX//
UidR	livF//
UvrY	tfaQ//cmoM//
XapR	agaR//ddpF//
YdeO	rplS//nlpE//
YjjQ	recD//argR//ybhG//yeaD//tyrV//rpoD//ycjG//
YpdB	ddpD//
YqhC	mcbA//yeaG//
ZntR	flgB//
ZraR	trpA//
Zur	livK//yibQ//gor//yjeV//glxK//
