#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rpiB//
LexA	hcaB//glpR//pfkA//phnF//ruvB//phnH//yciX//dtpA//thiP//lexA//yfdV//aaeA//yibQ//ubiG//purL//fabD//mgrB//kbp//ttdA//tehA//cpxQ//dhaK//grxA//zraP//ydfH//yfbR//znuB//allB//fecR//cvpA//polA//yhdY//ddpF//pepD//insD//ybhF//ybjG//
LrhA	phnI//
Lrp	rffH//rpsU//phnP//rof//ynbD//grpE//bioB//treR//ariR//patZ//aaeA//uvrC//lysR//yidL//
LysR	flgL//
MalT	yneM//
MarA	trmD//fldA//
MatA	ada//leuX//
McbR	mukB//
MetJ	ldtC//agaC//yeaH//phoE//artI//
MlrA	phoA//glnV//preA//agaI//mgtL//
MngR	ruvB//ydiV//seqA//
MntR	xdhA//iscU//
MprA	rpsP//cheY//rpoD//
MqsA	ymgA//wcaB//
MurR	pheU//
Nac	kdpF//mltF//cysN//purE//hofN//
NadR	sfsB//fepD//yebE//
NagC	torR//ysgA//artM//ydbD//kbp//
NanR	cheA//gltI//
NimR	mhpR//pykF//
NsrR	yhbT//aroF//ihfB//hofO//phnF//ybjG//phoE//tbpA//bioF//tktB//torR//valT//cbpA//recB//iscS//tadA//nadA//preA//tcyP//ubiX//lysW//ilvB//agaB//rclC//nimT//gspA//isrC//argW//ddpA//sxy//
NtrC	sutR//sfsA//rffM//ydeJ//yegR//dksA//glnU//yiiS//yqjA//hdfR//purF//ydiU//yojI//metT//sdaA//ivbL//leuQ//
OmpR	cpxP//alaC//alsA//glnV//
OxyR	yoaC//dkgB//dinQ//mltF//cdaR//phoB//ubiG//allS//tap//
PaaX	tdh//yhbS//
PepA	wcaB//
PgrR	wecB//add//leuB//lysV//alsE//ykgM//yebE//
PhoB	pgi//uvrD//cstA//xapB//lolA//xdhA//hemF//flgJ//hisR//uspB//ygdB//metT//tufB//murR//znuB//mhpT//pheV//cbpM//alkA//flgB//valY//livG//proM//flgI//bioB//hslJ//sfsB//valT//artP//gltJ//cheR//
PhoP	bacA//secB//ymgA//ribA//ycgZ//rutR//hofN//folE//allB//rpiR//kdpF//ddpX//pheS//sroC//oxc//sroA//
PspF	yafO//
PurR	rdoA//narQ//yagK//leuP//creB//yjjZ//hcaD//cpxP//wzb//ydeI//trpD//metJ//tfaQ//
RbsR	arsR//
RcdA	yhdW//cynT//lexA//
RclR	tyrT//yfdX//leuA//
RcnR	flgB//
RcsAB	argI//fliQ//ycgZ//trpC//argF//
RcsB	wzc//mgrR//hflC//efeU_1//
RcsB-BglJ	glxR//xdhC//rpsP//tpr//agp//priB//artJ//uidR//apaG//alsB//dsbC//
Rob	rffT//
RutR	pgm//
SdiA	yidL//
SgrR	pdxA//hflX//cdaR//glpR//ubiX//fhuC//
SoxS	hflC//ydfH//mngR//tfaQ//ykiA//ydfX//
SutR	ykgM//proL//
TorR	hcaD//
TrpR	yqhD//nimR//hofO//uspD//yqjA//wzzE//allD//flgD//
TyrR	ada//pnuC//leuE//
UidR	yjjP//
UvrY	phoE//ymgC//
XapR	ybhL//phnD//
YdeO	lysR//bioD//
YjjQ	metT//allD//ygiZ//yaeQ//xdhA//ilvN//iscA//
YpdB	uraA//
YqhC	flhB//ilvB//
ZntR	hemF//
ZraR	uvrD//
Zur	rclA//lysW//ompT//rpmA//cyaA//
