#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hofM//
FNR	gcvA//umuC//dgcC//ryhB//wrbA//ubiX//tyrT//trxA//lysC//thiP//trpA//gltI//recN//ymiA//lacI//sbcC//yneM//fldB//preT//iscU//phnK//tar//cheB//lon//upp//metC//thiQ//
FadR	slyB//lysU//bioB//yhbS//cstA//leuQ//tfaQ//yhbT//
FeaR	trpC//
Fis	yidQ//dsbG//phnK//tpr//fliT//umuD//tyrU//cpxP//ycgR//yhfA//yafN//pdxA//dkgA//tsgA//tap//fruB//yfdX//cysD//artM//livK//ydiV//fliO//paaY//mukB//ampD//flgH//ryhB//treR//speC//aaeB//aaeX//gltJ//rpiR//alsA//isrC//ymiA//lysV//ddpD//glk//gpmM//fruB//fruK//yeaG//ttdA//allA//glgS//fliQ//wecC//mltF//omrB//flgJ//tpiA//ybbW//mngA//livK//flgB//
FlhDC	ychO//ynjI//pgm//rplU//mgrR//fabH//ilvN//ygaC//fabG//oxyS//glgS//mgrB//rffH//wecE//mcaS//artJ//tyrA//dtpA//sbmA//dksA//lysV//priB//fepD//tpiA//ybbY//xseA//argH//yhbE//mgrB//cysD//hflK//alaC//flgH//ybbW//valU//metF//hemF//hofM//
FliZ	ygdB//
Fur	dapB//borD//fldA//alkA//alsA//hofB//cho//arsR//hflK//wzxE//flhB//insD//frc//ppsA//fhuD//xapB//phnP//mhpR//leuL//lysV//pepD//yaeQ//purB//argU//
GadX	adeD//gyrB//gspA//dhaM//tyrU//iraD//sroC//
GcvA	apaH//pheV//
H-NS	xdhA//ddpD//mcaS//agp//flu//motA//ycjY//ybhG//zraP//ddpD//valT//ung//ycjX//cynR//
HU	ydcT//fbaB//
HcaR	trmD//ycjF//alaS//hflX//phoA//ubiG//
IHF	nlpE//yaeP//aspV//arsR//avtA//efeU_1//agaI//
IlvY	rof//topA//
IscR	adiY//mgrR//flgA//prs//avtA//lysV//bcsZ//yeiB//
KdpE	intQ//ecnB//phoB//fadR//
LeuO	speC//argU//aroF//pheT//infC//ykiA//
LexA	argB//alaX//fbaB//pykF//seqA//argB//dnaG//alaS//phnJ//yojI//wecB//rffT//nimT//rfe//yaiW//arfB//hofO//argC//phnF//wecB//hofP//argT//rnlB//yegH//fhuA//phnC//nlpA//artP//leuW//yebG//ompX//nimT//gudX//kbp//xdhB//creC//dkgB//
LrhA	phnN//
Lrp	rffT//lacI//cysE//patD//sutR//borD//prs//ppc//aaeA//yaeP//fliL//uspE//aroH//cysC//
LysR	tufB//
MalT	isrC//
MarA	cysN//hcaF//
MatA	allA//ynbD//
McbR	potH//
MetJ	leuQ//sbcC//yafN//lexA//phnN//
MlrA	tktB//bacA//ybhS//argU//ddpC//
MngR	xdhB//pagP//proM//
MntR	ymgA//glk//
MprA	cheW//efeU_2//emrB//
MqsA	allS//wecB//
MurR	pitA//
Nac	gltX//dicB//dhaM//phr//trpA//
NadR	yeiP//dkgB//phnH//
NagC	argU//grxD//rplU//hcaD//psd//
NanR	serT//yeaH//
NimR	agaR//rfe//
NsrR	gcl//yegR//wzc//cysD//cpxQ//ydfD//garD//mhpT//mprA//eno//purE//ttdB//gcvB//hofM//cheR//pgi//cysE//leuD//yebG//ydeA//mngR//folE//wcaA//gudP//azuC//treR//iscR//yhbT//nlpA//yeiP//
NtrC	argH//alsB//artI//ynbC//yaiW//yiiS//ada//hcaR//trmA//flhA//phoA//fepG//fbaB//sfsB//allS//pitB//trpR//
OmpR	rffC//kdpB//eno//apaG//
OxyR	leuQ//ampC//cpxA//trpA//purC//yafN//artJ//speC//ydcS//
PaaX	eno//uvrD//
PepA	rpmI//
PgrR	yeiW//creA//gcl//ymgA//ompT//proK//grxA//
PhoB	phoR//lysT//yeiW//yqaE//pfkA//aspV//hyi//ttdT//mgtL//azuC//sroA//gcvB//iscS//pykF//aspV//azuC//tisB//tehA//envC//valY//yhbE//zntA//ampC//yccA//allA//wzzE//folE//phnO//flgD//cynS//flgF//
PhoP	phnO//ybhG//phnE_2//yiiS//copA//uspD//ftnB//yhfA//tsgA//iscU//flgH//ppdC//yccT//ppsA//ydfE//avtA//
PspF	hofB//
PurR	ydfH//mscM//cynR//rpoD//btuB//ykgO//dhaK//aspV//rcnR//yaeQ//fliO//fepD//tfaQ//
RbsR	ppc//
RcdA	omrB//wza//fliQ//
RclR	rpsF//trpL//cheY//
RcnR	wrbA//
RcsAB	yeaH//cheB//ycjF//fepG//msrA//
RcsB	ygbK//efeU_1//glmS//argH//
RcsB-BglJ	fhuA//seqA//grxA//sroA//cbpA//ompN//priB//acrR//creC//cho//hofO//
Rob	pdeF//
RutR	ybhR//
SdiA	valT//
SgrR	yebG//nadB//grxD//alsE//rybA//mgrB//
SoxS	ydjM//glgB//yadV//folE//ymjC//mcbA//
SutR	ruvA//tsr//
TorR	glpE//
TrpR	valY//gcvB//bcsB//fliO//yoaC//fbaB//ydbK//lysU//
TyrR	fepG//agaD//ydcS//
UidR	lon//
UvrY	tufB//ybaS//
XapR	tadA//metF//
YdeO	ydfD//sohB//
YjjQ	ydbD//ydiV//sbmA//uraA//preT//rpsR//treR//
YpdB	ymgA//
YqhC	yadV//ybhS//
ZntR	rffM//
ZraR	yccJ//
Zur	metU//mqsA//exbB//priB//ycgZ//
