#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ppsA//
NtrC	tufB//mzrA//insK//glmU//ynjI//glnB//murI//argW//ydiV//alsE//glxR//nimT//pepA//apaH//ftnB//cheY//uvrB//
OmpR	gspA//purE//bioD//ydfH//
OxyR	ykiA//ydeI//rnlB//purL//fecI//dinG//dgcN//dinF//flgD//
PaaX	serX//glnW//
PepA	motA//
PgrR	dkgB//kbp//dinD//ychF//ybfE//yfiR//hemH//
PhoB	purF//mntS//flhE//sutR//yfiR//alaS//cynT//kbp//wcaB//ybhG//ycjG//entS//argF//nimT//ppdA//purL//alaA//livM//adiY//phoA//glnV//ygiZ//glnX//flhB//uvrY//dsbC//entS//mscM//ddpB//trpR//ptrA//
PhoP	ykgO//ydfX//patZ//mgrB//fhuD//allB//trpE//murR//dnaG//fabG//pfkA//kdpA//rffH//flgE//xdhC//fliM//
PspF	thrS//
PurR	xseA//gor//arsR//fabI//cynS//cynS//cysK//glgX//phoH//cheZ//lexA//gudX//alaS//
RbsR	dhaM//
RcdA	sdaA//dhaM//rnlB//
RclR	fhuC//yciW//yjjZ//
RcnR	kbp//
RcsAB	leuA//ariR//tpr//ubiG//pdeF//
RcsB	pykF//ydfH//rpmA//phoP//
RcsB-BglJ	amn//emrA//metC//amiA//metC//ymgC//tpiA//rpsF//recX//agaD//erpA//
Rob	ykgM//
RutR	yccA//
SdiA	murI//
SgrR	ttdA//mprA//yhhY//cpdB//glxK//mscM//
SoxS	fecI//envC//dsbC//omrB//gcvA//hemF//
SutR	ykgR//hokE//
TorR	yhbE//
TrpR	borD//fliS//fliD//ygaC//argA//yfdE//ppdB//tufB//
TyrR	yafN//yeaE//pheV//
UidR	trxA//
UvrY	insD//glnX//
XapR	ddpF//rof//
YdeO	flu//alkB//
YjjQ	mscM//ppdD//leuE//yfiR//rimM//cstA//ung//
YpdB	kbaY//
YqhC	ydeI//thrU//
ZntR	yciW//
ZraR	wza//
Zur	yeaH//fadR//dtpA//fruA//ymgC//
