#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	tyrB//
CysB	wcaA//ynbB//ppdB//pepT//cvpA//ybhG//leuC//mukE//ilvC//insK//
Dan	ydbK//rpsU//fliR//yegR//
DhaR	trmA//dicB//ryhB//kdpB//
DicA	livH//ruvB//entS//rffT//speA//aspV//rpsU//ompN//
DnaA	rpmA//wzyE//
EvgA	yhdY//flhE//rffH//mgrB//fhuD//phnJ//gpmM//
FNR	yafO//trpL//tdh//yagK//sbmA//alaW//ttdT//hcaB//aaeX//ubiG//dsbC//phnJ//eno//aaeX//yeaE//yafO//leuP//flgC//insK//iscR//yeaG//tyrA//thiP//leuP//yeaD//accD//dhaL//
FadR	flgH//ydcV//pepT//rnlB//thrU//trpE//ecpR//ttdR//
FeaR	wcaA//
Fis	yoaC//comR//artM//xapB//recA//ygbK//ygiZ//artI//artQ//xdhC//rpsP//ycgZ//xapA//bioB//ydeA//fhuD//priB//rstB//flgE//phnF//argF//kbp//cynT//ompT//fldB//tpiA//cra//mhpT//ynbA//yccJ//argT//ecpR//rclC//ykgR//ttdR//rof//mgtL//grxD//metC//flu//agaC//argC//ybhS//mpaA//bcsB//rnlB//cysK//mqsR//rimM//artI//raiA//yoaC//dinB//dhaK//rpsR//tsr//
FlhDC	chiA//ttdR//ddpD//ynbB//rpmI//talA//bcsB//cbpM//fliS//alaX//gpmM//bluF//glxK//ybaT//ysgA//yhbT//wecB//prs//ychF//cpxR//wzxE//fhuD//ybbW//azuC//omrB//ydeA//sroC//yegR//add//yafP//pgi//yafP//yadV//murI//yccA//hcaD//rffC//rplI//
FliZ	flgH//
Fur	ompX//mltF//mipA//serX//potH//cheW//ynbC//rybA//leuB//murI//phoP//allB//valU//preA//trpC//uvrB//fruK//alaX//trpB//wcaB//lysW//trmA//fadR//fliM//
GadX	fbaB//xdhB//hflK//potF//sroA//lysW//bioC//
GcvA	yebE//yhjX//
H-NS	mukB//sdaA//yibQ//yadV//xdhC//seqA//ribA//ddpF//yeaH//mgrB//dinF//ydbK//wzc//acrR//
HU	patZ//znuC//
HcaR	ycgZ//yaiW//yafO//flgK//lysR//eno//
IHF	dinF//wzyE//yidL//avtA//ldtC//yqhD//nadA//
IlvY	ynjI//ydeI//
IscR	oxyS//erpA//paaY//tcyP//yaeP//mscM//tar//fhuA//
KdpE	rcsD//alsE//yidQ//obgE//
LeuO	dacC//fliD//mpaA//kbp//fepG//ddpF//
LexA	cynR//pspF//slt//fliO//flhA//yfdX//uidR//lysO//fldA//fadM//nlpA//ydbD//pykF//yhdX//ibaG//fadR//flgH//yafP//tbpA//aaeA//yidL//talA//pepA//glnB//ppdD//bioA//crl//phoB//exbB//rplI//potI//fepG//ygiZ//raiA//cmoM//acrR//pnuC//
LrhA	preA//
Lrp	gor//ymgC//cdaR//livG//ybhF//glnX//fbaB//ybaS//glxR//hflX//purF//uspB//cysC//cpxR//
LysR	kbl//
MalT	fabG//
MarA	murR//wzzE//
MatA	fliL//motB//
McbR	fhuD//
MetJ	recC//recB//yjjZ//ldtD//phnM//
MlrA	gspA//mgtA//hofN//thiP//wecE//
MngR	dgkA//ydcV//copA//
MntR	aroF//yfdV//
MprA	rdoA//fadR//flgA//
MqsA	hflD//dinD//
MurR	fepC//
Nac	rpoD//phnE_2//asnB//yegZ//flgE//
NadR	alsC//yneM//glxK//
NagC	yhbE//yegR//flgD//fepC//dsrA//
NanR	iraP//artQ//
NimR	yciW//cysN//
NsrR	ompA//iscS//raiA//gltK//potH//patZ//trpR//ariR//ppiD//leuA//hofP//iscS//yhdZ//nimR//thiP//mngB//ubiG//ygbK//flgL//ybhL//dicC//fliD//aaeB//patZ//cheB//phnI//amn//treR//ubiX//cheA//
NtrC	tktB//rpsR//dsbA//hemH//ykgR//arcA//spf//glpR//ydeA//valU//argT//ydcT//dnaG//yqhG//fliD//ybhF//flhA//
OmpR	nadA//bluF//rpoD//mukF//
OxyR	cpxQ//ybbY//ldtC//fepG//pspF//thrS//yoaC//nadA//pheS//
PaaX	aaeX//motA//
PepA	mgtL//
PgrR	gpsA//cynR//sxy//ydfW//uvrY//mcbA//treR//
PhoB	wcaB//valU//rnlB//fecI//argW//tyrU//patD//gudD//htrE//ddpC//tsr//pdeF//ydfD//cmoM//ydbK//pepT//ilvY//azuC//arfB//yhbS//ydfX//cynR//malZ//artI//alaC//paaX//yhbS//iraD//ycjG//flgJ//glmU//
PhoP	rybB//lysO//xseA//livJ//mngR//ymiA//cmoM//seqA//gudP//gltJ//ychF//ydbK//dapD//fabI//lexA//artI//
PspF	grxD//
PurR	fadM//arcA//cpxA//mlrA//livK//cheZ//dicB//envC//leuX//purC//yiiS//ttdT//pepD//
RbsR	lexA//
RcdA	luxS//ppiD//tbpA//
RclR	dacC//fhuC//ung//
RcnR	uvrY//
RcsAB	tisB//yhhY//cpxR//wzc//rpsU//
RcsB	kbl//rcnR//glk//ybaS//
RcsB-BglJ	hdfR//ydfH//mltF//flhB//mntS//yjjZ//ilvC//mhpR//gpsA//zraP//alaA//
Rob	phnI//
RutR	yfbR//
SdiA	ppc//
SgrR	ychH//livM//treR//arcZ//sbcC//dsbG//
SoxS	tyrU//leuA//yeiP//fruB//ycjX//leuB//
SutR	uvrY//msrA//
TorR	motA//
TrpR	tyrV//purC//trpL//hcaB//hcaF//fliQ//tcyP//torR//
TyrR	lysW//paaY//potG//
UidR	rpsR//
UvrY	ymjC//ttdR//
XapR	fliL//leuB//
YdeO	fadM//yfdE//
YjjQ	emrB//arsB//hflC//ynbA//lysV//ymgC//iscR//
YpdB	pnuC//
YqhC	glmS//kdpF//
ZntR	ygdB//
ZraR	yagK//
Zur	yeiB//proK//valT//phoP//hdfR//
