#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gor//
RcsB-BglJ	ynbA//rpoD//kbl//dtpA//prs//ygiZ//dinB//iraD//phnI//ygbK//nadA//
Rob	ymjD//
RutR	allS//
SdiA	dinB//
SgrR	mgrR//rffT//fliS//fhuB//comR//leuC//
SoxS	yhdW//yqhD//ydfW//leuD//fhuA//yeiP//
SutR	phnG//ibpB//
TorR	ymiA//
TrpR	pgpC//ttdB//yfdX//tyrT//purL//uidR//sdaA//tehA//
TyrR	glxR//hcaB//ampD//
UidR	potI//
UvrY	tyrA//tonB//
XapR	phnE_1//aaeR//
YdeO	yjhB//pheU//
YjjQ	uspE//slyB//speC//hemF//wzyE//trmD//ldtD//
YpdB	cpxA//
YqhC	glnV//cysE//
ZntR	cpxA//
ZraR	yafP//
Zur	cueO//yeaD//ddpC//rffT//argR//
