# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgcZ//
glgBXCAP	tatD//napC//kduI//astD//yneH//
glgCAP	ribD//pgaC//aceA//
glmUS	nrfA//cheR//
glnALG	mutS//
glnHPQ	bglB//
glnK_amtB	nagA//
glnLG	
glnW_metU_glnVX	
glpABC	rsmF//
glpEGR	murE//betB//
glpFKX	kefF//pgk//gudD//
glpGR	kdsC//
glpTQ	galT//ruvA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	rihC//
glvCBG_ysdC	
glyQS	ydjG//
glyVXY	
glyW_cysT_leuZ	
gntKU	acnB//uvrB//
gntRKU	uxuB//roxA//
gntX_nfuA	
gpmM_envC_yibQ	mpaA//cobU//
groSL	
gspAB	
gspCDEFGHIJKLMO	cof//
guaBA	ilvC//ilvA//
gudPXD	garD//kbl//
hcaEFCBD	kbaY//yigB//
hcp_hcr	hypB//arnB//
hdeAB_yhiD	
hemA_prfA_prmC	prpB//tdk//
hemCDXY	tesA//purM//
hflD_purB	cdsA//
hfq_hflXKC	umuD//
hicAB	
higBA	pgm//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ttdB//tmk//ycjG//yfcG//
hipBA	tesB//
hisBHAFI	rfbD//hycD//ispF//hemE//
hisJQMP	bglB//rlmH//
hisLGDCBHAFI	alaC//pnp//hisG//rutE//avtA//gmhB//gloA//
hofMNOP	
holC_valS	prpD//
holD_rimI_yjjG	atoA//frdA//
hscBA_fdx_iscX	ybaS//
hsdMS	yihS//
hsdRMS	betA//
hslRO	
hslVU	yagE//
hyaABCDEF	
hybOABCDEFG	uxuA//
hycABCDEFGHI	fabA//pabA//
hydN_hypF	sdaB//
hyfABCDEFGHIJR_focB	mutS//
hypABCDE	gdhA//
hypABCDE_fhlA	yihV//
hypBCDE	yfcF//
hypBCDE_fhlA	purE//
iaaA_gsiABCD	pphB//ung//
ibaG_murA	pgaC//
ibpAB	
idnDOTR	tdh//lysU//purH//
ileS_lspA_fkpB_ispH	mutS//rlmH//nrfB//rffG//
ilvEDA	truA//metE//rne//ribF//
ilvIH	yfbT//
ilvLXG_1G_2MEDA	yihT//adiA//kduI//pdxB//folA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ydiB//
insN_1I_1O_1	yagF//
insO_2_yjhWV	
iscRSUA	rdoA//psd//
ispDF	dgcP//cysM//
ispG_sroE	ligA//
isrC_flu	
ivbL_ilvBN	scpA//
ivbL_ilvBN_uhpABC	amn//
kbaZ_agaVWA	fadI//
kbl_tdh	waaZ//ttdA//
kdpDE	
kdpFABC	entD//
kdsC_lptCAB	ppsA//pldB//
kefFC	folM//spoT//
kefGB_yheV	fadK//
kilR_ydaE	
lacYA	gltX//putA//
lacZYA	nadB//nudL//paaF//
lapAB	
lapAB_pyrF_yciH	argD//
lepAB	yqaB//
leuLABCD	fabB//pdeF//rnd//
leuQPV	
leuS_lptE_holA_nadD_cobC	lpxT//nirB//serB//
lexA_dinF	
lgt_thyA	ackA//aceF//
ligA_ypeB	rhaA//
livKHMGF	ldtE//asnB//
lldPRD	yegS//ssuD//
lolA_rarA	
lolB_ispE_prs	frdD//pyrD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	lpoB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	glpA//gmk//
lptFG	
lspA_fkpB_ispH	clsA//deoD//talB//
lsrACDBFG_tam	pdxA//add//galK//add//
lsrRK	menI//
ltaE_ybjT	folC//
lysT_valT_lysW	
macAB	mtn//
malEFG	glk//
malK_lamB_malM	murF//fadM//
malPQ	lacZ//alsK//
malXY	gcvT//gldA//
manXYZ	sdaB//
map_glnD_dapD	metF//surA//fkpB//
marRAB	
mazEFG	aspS//
mcrBC	pphA//
mdlAB	
mdtABCD_baeSR	idnK//
mdtEF	ftsI//
mdtJI	pdxY//
mdtM_yjiN	sodB//
mdtNOP	dmsA//
melAB	recR//puuB//
menA_rraA	frc//
menBCE	rihB//astD//epd//
menDHBCE	ilvN//pfkB//polA//gcvH//sdhB//
menFDHBCE	galU//ribC//rnd//apt//sufS//cpsG//
metBL	metC//orn//
metNIQ	prpB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dgoD//betB//rffT//
metZWV	
mglAC	recG//
mglBAC	bfr//
mgtLA	rluD//
mhpABCDFE	pyrG//lpxB//ribF//preA//phnJ//glcF//
mhpR_lacI	
miaA_hfq_hflXKC	recF//glgX//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pphA//speC//
mnaT_ydcZ	avtA//
mngAB	waaA//murF//
mnmG_rsmG	selB//ynjE//
mntR_ybiR	
moaABCDE	bglA//rsmH//
moaBCDE	pgsA//
mobAB	rffG//
modABC	lysU//
modEF	
moeAB	rsmE//dgoK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	puuC//
mqsRA	nadD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	eptB//bioD//ybcF//pdxB//nadD//gcd//aes//cyoE//asnS//rne//proA//
mreBCD	
mreCD	
msrPQ	
mtlADR	cmk//gltB//aceB//
mtn_btuF_yadS	aroB//ldhA//
murB_birA	rph//pabA//
murQP	menA//pdeR//pphB//
murQP_yfeW	frlC//purK//hinT//malY//
mutL_miaA_hfq_hflXKC	umuC//ilvH//frlB//
mutY_yggX	yfcG//
mutY_yggX_mltC	gsk//yneH//
mutY_yggX_mltC_nupG	hisF//mnmG//ugd//
nadA_pnuC	upp//speD//
nagBAC_umpH	glpD//ascB//yagE//
nagK_cobB	speD//kdsA//
nanATEK_yhcH	pgi//rpiA//ahpF//leuD//
nanCM	eutB//rutD//
nanCMS	wzc//nadC//
napFDAGHBC	dapE//
napFDAGHBC_ccmABCDEFGH	thiH//pabA//
narGHJI	caiD//
narWV	ydiB//
narXL	
narZYWV	cmoB//
nemRA	treC//
nemRA_gloA	eutB//torY//
nfrBA	
nhaAR	gltD//
nikABCDER	dnaE//
nirBDC_cysG	rlmM//fbaA//pdeF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	fadK//
nrdAB_yfaE	fkpB//
nrdDG	rsmA//upp//
nrdHIEF	nrfD//
nrdR_ribDE_nusB_thiL_pgpA	nirD//fdhF//adeD//pdxK//
nrfABCDEFG	gluQ//
nsrR_rnr_rlmB_yjfI	adhP//pyrB//
nudB_yebC_ruvC	fucO//aspS//
nudC_hemE_nfi	udk//ansB//
nudF_yqiB_cpdA_yqiA_parE	cysI//moeB//
nuoABCEFGHIJKLMN	avtA//
nuoMN	tig//
ompR_envZ	
opgGH	
oppABCDF	mqo//add//
osmF_yehYXW	queC//
otsBA	argG//ulaE//
paaABCDEFGHIJK	acnA//dut//phoA//nanA//hemC//dmsC//phnN//
paaXY	rlmL//
pabB_nudL	napB//rlmD//
pabC_mltG_tmk_holB_ycfH	narH//mhpE//udp//
panBC	kbaY//dxr//
panE_yajL	waaP//
paoABCD	patZ//
pcnB_folK	hyaC//gstB//
pdeI_dgcI	
pdhR_aceEF_lpd	yicI//entD//trmL//hchA//yniC//gpp//
pdxA_rsmA	hinT//dgoA//
pdxA_rsmA_apaGH	yfbR//yagE//rsmI//
pdxB_usg_truA_dedA	relA//cysQ//
pdxH_tyrS_pdxY	dhaL//tdk//glnA//
pdxJ_acpS	eptA//purK//
pepQ_yigZ_trkH_hemG	sdhA//mutY//yciA//
pflDC	
pgaABCD	lyxK//sucB//emtA//
pgk_fbaA	fumB//mtn//
pgpC_tadA	putA//purT//
pheLA	rihB//
pheMST_ihfA	sufS//
phnCDE_1E_2FGHIJKLMNOP	frlC//nudG//acpH//dgcC//waaF//fadK//rph//
phnLMNOP	ynfH//sbcB//glxR//coaE//recJ//
phoA_psiF	uvrB//
phoBR	
phoPQ	
pldB_yigL	dhaM//prpE//
plsX_fabHDG	tehB//zwf//paaY//
pntAB	
potABCD	yjjX//
potFGHI	fumC//
poxB_ltaE_ybjT	uxaC//fbaB//
ppdAB_ygdB_ppdC_recC	nudL//
ppdD_hofBC	
ppiB_lpxH	yfaU//uxaA//
ppk_ppx	dadX//ydiO//
pqiAB	
preTA	purF//
prfB_lysS	aroL//
priC_ybaM	
prlC_rsmJ	tgt//gshA//
prlF_yhaV	rfbD//
prmB_aroC_mepA_yfcA_epmC_yfcL	hflX//dcyD//hyi//phnH//
proBA	tdh//cysQ//
proQ_prc	rsmD//
proVWX	dgoA//
prpBCDE	yggF//clsC//gpmA//mcrC//
psd_mscM	
pspABCDE	tesB//
pspBCDE	nagZ//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	gpmM//aroF//
pth_ychF	efeB//
ptrA_recBD	mobA//hisS//
ptsA_fsaB_gldA	nrdA//eptB//
ptsHI_crr	aslA//fumB//hycC//
purEK	hemA//waaA//
purHD	purU//thyA//
purMN	nrdD//pdxK//
puuAP	tpiA//rsmD//
puuCBE	purB//hemE//entH//
puuDRCBE	metA//queC//dmlA//ychF//
pyrF_yciH	ychF//
pyrG_eno	rffM//garK//
pyrLBI	proS//
qmcA_ybbJ	
qseBC	
radA_nadR	hcaF//
rapA_rluA	deoD//
ratAB	
ravA_viaA	
rbsDACBKR	pbpC//eptB//fes//
rclABC	
rclBC	
rcnAB	insI-2//
rcsDB	
rcsF_trmO	rluA//
rdgB_yggW	udp//
rdoA_dsbA	hemE//rdgB//
recAX	
recET_ralR_ydaC_xisR_intR	gpmM//dapD//
relA_mazEF	ansA//
relBE	malQ//
relBE_hokD	trmO//
renD_emrE	mrcB//
rfaD_waaFCL	wrbA//avtA//maeA//ribA//
rfbACX	ldcA//ssuD//fre//mraY//
rfbBDACX	icd//uvrC//sodC//yhhW//ilvD//cpdB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ldtD//thyA//astB//ispF//paoA//ydiB//yfdE//ynfH//tsaB//
rhaBAD	ybiV//mmuM//citC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rffH//dgoD//rsmA//
ribF_ileS_lspA_fkpB_ispH	cobS//carA//ligA//yihU//alkA//
rimK_ybjN	rlmG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pdxB//ttdA//tmcA//udk//gcvH//cdd//yicI//fabF//yagE//aceE//
rlmE_ftsH	aroK//malS//
rlmL_uup	pcm//
rluD_yfiH	maa//tcdA//
rluE_nudJ	rsmJ//ilvC//
rnc_era	cysM//
rnc_era_recO_pdxJ_acpS	aes//lpoB//pfkA//yieH//
rnlAB	trpD//
rnt_lhr	murG//
rpe_gph_trpS	tdcE//yihS//kdsA//
rph_pyrE	ppc//hisD//
rpiR_alsBACE	mcrB//azoR//
rplJL_rpoBC	metK//
rplKAJL_rpoBC	paaE//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	tsaE//
rpmF_plsX_fabHDG	cobS//yeiR//prmB//
rpmH_rnpA	ybbO//eutB//
rpmI_rplT	
rpoBC	citC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	dcyD//lysU//rbsD//
rppH_ptsP	ilvN//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	dhaL//
rpsO_pnp	pdxB//yfiC//
rpsP_rimM_trmD_rplS	galM//
rpsU_dnaG_rpoD	prpD//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	bioD//glf//
rsmA_apaGH	fadK//betA//
rsmD_yhhL	patA//
rsmE_gshB	dkgA//mgsA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tpiA//mcrC//narV//dfp//yccX//ispD//astB//eptA//dut//nirD//yqjH//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	tyrA//
rtcBA	cmoB//rbn//
rutABCDEFG	cheB//hyi//rdgB//fadJ//waaY//gltA//
ruvAB	lpxA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	yfcF//
scpA_argK_scpBC	entE//pyrH//purE//mtlD//
sdaCB	chbF//nudI//
sdhCDAB_sucABCD	narV//argB//tgt//gmhB//
sdhDAB	
sdhE_cptA	
secB_gpsA	ttdA//
secE_nusG	
secG_leuU	
secMA_mutT	paaE//
selAB	rsmC//mhpE//
selD_topB	tilS//pbpC//
seqA_pgm	pabA//
serB_radA	yfcG//
serC_aroA	rlmE//dgcM//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	carA//
sgrST_setA	entH//
skp_lpxD_fabZ_lpxA	argK//mcrC//hyi//
slp_dctR	
solA_yceO	waaL//
speAB	cmoB//folC//
speF_potE	citF//ravA//
srlAEBD_gutM_srlR_gutQ	otsB//lysS//hyaB//
sroG_ribB	gpmA//
sspAB	
ssrS_fau	mmuM//
ssuEADCB	pgm//argA//mltF//
stfE_tfaE	
sucAB	yneH//glgA//rlmF//
sucABCD	pncB//ybaS//pdxY//paaH//
sufABCDSE	ycaO//
surA_pdxA_rsmA_apaGH	hemN//ldtE//mraY//gss//
tag_yiaC	nagB//
talA_tktB	gor//tnaA//
tamAB_ytfP	
tar_tap_cheRBYZ	dusA//yceF//
tatABC	alaS//
tatABCD	amn//ybiV//
tauABCD	tdh//gloC//
tdcABCDEFG	yeiR//dgoA//narZ//yniC//pheA//
tdcBCDEFG	waaG//murA//guaC//murE//alr//
tehAB	malZ//adhE//
tesA_ybbO	yigB//wrbA//
tff_rpsB_tsf	
tgt_yajC	tilS//
thiCEFSGH	mcrA//paaJ//dam//ldtD//epmB//
thiMD	thiE//hycC//
thrLABC	mltC//cysK//cysN//
thrS_infC	acpS//
thrS_infC_rpmI_rplT_pheMST_ihfA	paoC//pdxA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gadA//tktA//
tolB_pal_cpoB	
tolC_ygiABC	nagK//glpD//ynfG//tsaB//yfbT//nrdE//yibQ//thiH//nrdF//
tomB_hha	
topAI_yjhQ	
torCAD	puuE//
torYZ	pyrF//
treBC	aceB//adhE//
trmI_yggL	ndh//
trpCBA	pheA//folC//polA//rhaM//
trpLEDCBA	ppc//mgsA//waaZ//proA//mutS//nadA//
tsaB_yeaY	ampH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	tktB//dhaM//thiH//ulaE//ispB//
ttdABT	speE//deoD//
tyrS_pdxY	slt//rsmD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	frdD//ubiX//
ubiEJB	ilvA//
udk_dcd	prmB//waaG//
ugpBAECQ	plsC//recG//
uhpABC	
uidABC	nadR//glpE//
ulaABCDEF	paaF//nirB//paaE//malP//
umpG_pcm	waaC//lsrK//
umuDC	glmU//
uof_fur	
upp_uraA	cadA//cyoE//
usg_truA_dedA	ileS//
uvrYC	entH//
uxaCA	ldtE//ubiG//
uxuAB	mnmC//gstA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	slt//xylA//
waaQGPSBOJYZU	rsmF//moeA//def//sucB//dxs//ilvB//lpxH//pbpC//menB//gloC//
waaYZ	rsmI//ybbO//
waaZU	atoD//puuA//
wbbIJK	amyA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	yqjH//gcvH//lsrG//opgE//eptA//rlmJ//
wcaKLM	
wrbA_yccJ	nagA//
wza_wzb_wzc	waaA//torZ//
wza_wzb_wzc_wcaAB	trpC//fbaB//
xanQ_guaD_ghxQ	ampH//gloB//hemG//
xapAB	mcrA//glpX//
xdhABC	hemL//
xerD_dsbC_recJ	ybcF//nrdA//
xseB_ispA_dxs_yajO	rlmJ//prpB//xdhB//lpxM//
xylAB	paoA//queD//
xylFGHR	truB//
yabPQ	
yacC_speED	sodB//trpD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ppx//
yafDE	
yafNOP	gloB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	puuA//citD//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	menC//
ybaB_recR	ldtD//
ybaST	waaZ//
ybbAP	
ybbY_glxK	folK//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	prpB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ydiO//
ybeZY	
ybeZYX_lnt	amn//
ybfHG	
ybfOC	
ybgA_phr	lpcA//
ybgC_tolQRA	
ybgIJKL_nei	bioA//
ybgQPO	
ybhP_clsB_ybhN	pyrC//
ybiYW	
ybjC_nfsA_rimK_ybjN	mhpF//yqhD//
ybjJI	rsmE//
ybjO_rlmC	speA//
ybjQ_amiD	nanE//
ycaI_msbA_lpxK_ycaQ	cysM//ubiF//
ycaR_kdsB	guaD//
ycbK_gloC	dcd//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	nfi//
yciCB	
yciGFE	
yciK_btuR	purF//
yciVOQ	alaA//
yciZT	
ycjMNOPQRSTUV_ymjB	metE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	thiG//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	roxA//paaF//
ydcSTUV_patD	aceB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	mocA//
ydgK_rsxABCDGE_nth	rpiB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	umpH//rluC//
ydiJ_menI_ydiH	slyD//
ydiNB_aroD	yqjG//epd//
ydiQRST_fadK	yeaG//
ydjA_selD_topB	ligA//waaJ//
ydjLKJIHG	hemF//
ydjXYZ_ynjABCD	
yeaGH	kdsD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	paaK//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	fabG//nudG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pyrE//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	kdgK//pnp//
yejABEF	yidA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rnpB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	rrrD//
yfbUT	murB//
yfcUTSRQPO	
