# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ilvN//
mhpABCDFE	idi//yfdR//ybaS//yegS//speE//frmB//
mhpR_lacI	
miaA_hfq_hflXKC	fabF//bglX//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	murF//waaP//
mnaT_ydcZ	carB//
mngAB	sodC//yneH//
mnmG_rsmG	trpE//gcl//
mntR_ybiR	
moaABCDE	yciV//trxB//
moaBCDE	glyQ//
mobAB	ulaD//
modABC	rnt//
modEF	
moeAB	murB//pgaC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	nanM//
mqsRA	fadE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	phnM//yfcF//recG//rrrD//gapA//panB//aroL//pepD//dxs//rsuA//mltC//
mreBCD	
mreCD	
msrPQ	
mtlADR	hmp//mltA//garL//
mtn_btuF_yadS	azoR//yeiR//
murB_birA	yeaE//lysS//
murQP	garD//gcvP//pdxJ//
murQP_yfeW	purA//pgl//nanA//tatD//
mutL_miaA_hfq_hflXKC	suhB//araD//anmK//
mutY_yggX	pyrB//
mutY_yggX_mltC	fabG//mutT//
mutY_yggX_mltC_nupG	wzb//lacA//cysK//
nadA_pnuC	ansA//thrA//
nagBAC_umpH	lacA//sad//trmD//
nagK_cobB	queG//ldtC//
nanATEK_yhcH	speF//dosC//glcE//lhgO//
nanCM	sucD//mog//
nanCMS	yqjG//rluA//
napFDAGHBC	cysN//
napFDAGHBC_ccmABCDEFGH	acnA//rlmD//
narGHJI	thrA//
narWV	hpt//
narXL	
narZYWV	mnmA//
nemRA	nudG//
nemRA_gloA	pykA//amiD//
nfrBA	
nhaAR	ribD//
nikABCDER	dcm//
nirBDC_cysG	acnA//bfr//acpT//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gss//
nrdAB_yfaE	rluB//
nrdDG	glpC//sucC//
nrdHIEF	ribA//
nrdR_ribDE_nusB_thiL_pgpA	cfa//pgsA//cyoE//rnpA//
nrfABCDEFG	ispD//
nsrR_rnr_rlmB_yjfI	gnd//gcvT//
nudB_yebC_ruvC	fre//ispH//
nudC_hemE_nfi	abgA//nrdE//
nudF_yqiB_cpdA_yqiA_parE	surA//nfi//
nuoABCEFGHIJKLMN	fbp//
nuoMN	menH//
ompR_envZ	
opgGH	
oppABCDF	dacD//ubiI//
osmF_yehYXW	katE//
otsBA	purA//rlmG//
paaABCDEFGHIJK	paaJ//mcrB//poxB//yfdR//kbaZ//rlmB//malZ//
paaXY	mnmC//
pabB_nudL	pgm//hisD//
pabC_mltG_tmk_holB_ycfH	ilvM//ndk//lipB//
panBC	gcvH//btuR//
panE_yajL	ldtE//
paoABCD	nagK//
pcnB_folK	sad//murQ//
pdeI_dgcI	
pdhR_aceEF_lpd	folP//rbn//ldtC//nudI//dcyD//aspA//
pdxA_rsmA	rutA//carA//
pdxA_rsmA_apaGH	hpt//ispG//entC//
pdxB_usg_truA_dedA	allA//carA//
pdxH_tyrS_pdxY	amiD//tyrA//ilvB//
pdxJ_acpS	tehB//lldD//
pepQ_yigZ_trkH_hemG	dgcP//hycF//sdhD//
pflDC	
pgaABCD	rsuA//pgaC//sdaB//
pgk_fbaA	tilS//menF//
pgpC_tadA	cfa//dosP//
pheLA	mnaT//
pheMST_ihfA	fau//
phnCDE_1E_2FGHIJKLMNOP	mnmA//sdhD//qor//amn//murD//puuB//trpD//
phnLMNOP	pinE//moaD//yfbR//menD//yfeW//
phoA_psiF	rffH//
phoBR	
phoPQ	
pldB_yigL	ppiA//folX//
plsX_fabHDG	anmK//pabA//wrbA//
pntAB	
potABCD	puuC//
potFGHI	glcE//
poxB_ltaE_ybjT	ilvG_2//acnB//
ppdAB_ygdB_ppdC_recC	menF//
ppdD_hofBC	
ppiB_lpxH	fadA//paaG//
ppk_ppx	idnK//yfbR//
pqiAB	
preTA	dcyD//
prfB_lysS	thiE//
priC_ybaM	
prlC_rsmJ	araD//purH//
prlF_yhaV	nudJ//
prmB_aroC_mepA_yfcA_epmC_yfcL	tyrB//tyrA//mnmA//trmH//
proBA	sseA//cysG//
proQ_prc	fbp//
proVWX	yfaU//
prpBCDE	fucU//srlD//rhaB//csdA//
psd_mscM	
pspABCDE	hemN//
pspBCDE	ruvB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ynfF//puuA//
pth_ychF	rutD//
ptrA_recBD	ppiB//yfaU//
ptsA_fsaB_gldA	pphA//scpB//
ptsHI_crr	hcp//gstB//garR//
purEK	gadA//hycC//
purHD	rluE//phnJ//
purMN	talB//ppiB//
puuAP	ribB//pdxY//
puuCBE	yjeF//moaE//cadA//
puuDRCBE	cynS//astE//sgbE//maa//
pyrF_yciH	araD//
pyrG_eno	dadA//bglX//
pyrLBI	tgt//
qmcA_ybbJ	
qseBC	
radA_nadR	rhaB//
rapA_rluA	ppiA//
ratAB	
ravA_viaA	
rbsDACBKR	speA//hemD//napA//
rclABC	
rclBC	
rcnAB	gsk//
rcsDB	
rcsF_trmO	dgcT//
rdgB_yggW	bioD//
rdoA_dsbA	otsB//sucA//
recAX	
recET_ralR_ydaC_xisR_intR	nfsA//bglB//
relA_mazEF	entH//
relBE	pdeH//
relBE_hokD	plsB//
renD_emrE	tig//
rfaD_waaFCL	fkpB//acpT//maa//tig//
rfbACX	rdoA//serC//paaZ//cysG//
rfbBDACX	bioH//recJ//bioA//lpxL//atoB//ogt//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	moaA//gltA//malQ//gpmA//emtA//bcsB//ppiA//yggF//recR//
rhaBAD	ppiC//ydiO//tag//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ansA//sufS//ydiF//
ribF_ileS_lspA_fkpB_ispH	frdC//pflB//lpxD//pyrH//ppc//
rimK_ybjN	argE//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	yneH//pphB//lpxH//ubiH//cysH//menA//citD//sucA//phnO//waaC//
rlmE_ftsH	metC//dacD//
rlmL_uup	dgcM//
rluD_yfiH	rluC//pagP//
rluE_nudJ	folP//ybiV//
rnc_era	mqo//
rnc_era_recO_pdxJ_acpS	glcB//rsmA//azoR//metG//
rnlAB	ubiF//
rnt_lhr	ssuD//
rpe_gph_trpS	cysM//hypF//mgsA//
rph_pyrE	yfiH//rlmD//
rpiR_alsBACE	rluA//yggF//
rplJL_rpoBC	folK//
rplKAJL_rpoBC	narZ//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	prpC//
rpmF_plsX_fabHDG	lhgO//menE//mepS//
rpmH_rnpA	gltA//mngB//
rpmI_rplT	
rpoBC	fadI//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	frc//coaE//phnO//
rppH_ptsP	truA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	fabI//
rpsO_pnp	aldB//dxr//
rpsP_rimM_trmD_rplS	gshA//
rpsU_dnaG_rpoD	birA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	yfdE//lhgO//
rsmA_apaGH	tmcA//psuG//
rsmD_yhhL	glyS//
rsmE_gshB	edd//glxR//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cysJ//waaL//mrdA//serS//ligA//bcsA//ligB//kdgK//cysN//birA//phnG//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	umuD//
rtcBA	pgm//guaB//
rutABCDEFG	ydfG//tatD//yiaY//rfbD//lysC//araD//
ruvAB	dapD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	cpdB//
scpA_argK_scpBC	rnpA//cdh//lsrK//murA//
sdaCB	murI//yiaK//
sdhCDAB_sucABCD	hyaB//ftnA//entB//dmlA//
sdhDAB	
sdhE_cptA	
secB_gpsA	glnA//
secE_nusG	
secG_leuU	
secMA_mutT	mltB//
selAB	ilvD//yniC//
selD_topB	argG//idnO//
seqA_pgm	fabI//
serB_radA	purH//
serC_aroA	ubiF//mdh//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	bcsZ//
sgrST_setA	trpB//
skp_lpxD_fabZ_lpxA	fucA//rsmD//prmB//
slp_dctR	
solA_yceO	thiC//
speAB	putA//hypF//
speF_potE	trmI//deoB//
srlAEBD_gutM_srlR_gutQ	chbF//frlB//mpaA//
sroG_ribB	gss//
sspAB	
ssrS_fau	ppx//
ssuEADCB	rlmH//menB//gudD//
stfE_tfaE	
sucAB	treA//rfbA//lpxH//
sucABCD	cpsG//fabD//treC//mcrA//
sufABCDSE	pncA//
surA_pdxA_rsmA_apaGH	ackA//rsmD//citC//glpQ//
tag_yiaC	pgaC//
talA_tktB	puuA//murG//
tamAB_ytfP	
tar_tap_cheRBYZ	cobC//gltD//
tatABC	yfbT//
tatABCD	trxB//umpG//
tauABCD	speA//uvrC//
tdcABCDEFG	alkA//miaA//speE//aroD//sdaB//
tdcBCDEFG	bglX//serA//sdhB//cadA//tdk//
tehAB	fucU//mocA//
tesA_ybbO	uidA//yihU//
tff_rpsB_tsf	
tgt_yajC	glf//
thiCEFSGH	mpl//nagK//yeaG//sdhD//dgcM//
thiMD	ugpQ//sdhA//
thrLABC	pinE//amn//waaO//
thrS_infC	hyaC//
thrS_infC_rpmI_rplT_pheMST_ihfA	paaH//clsC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	queF//napA//
tolB_pal_cpoB	
tolC_ygiABC	kefF//ribA//speB//ruvB//murI//hyaA//dapB//nrfB//glyS//
tomB_hha	
topAI_yjhQ	
torCAD	rhaA//
torYZ	astE//
treBC	psuG//frmB//
trmI_yggL	lpoB//
trpCBA	gstA//murB//miaA//rluE//
trpLEDCBA	patZ//menA//pfkB//pbpC//folC//melA//
tsaB_yeaY	roxA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	trpA//nirD//fau//nadK//lpxT//
ttdABT	gloA//murE//
tyrS_pdxY	carA//ulaE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ampC//coaA//
ubiEJB	rlmH//
udk_dcd	argC//ulaF//
ugpBAECQ	bfr//yegS//
uhpABC	
uidABC	bioB//mobA//
ulaABCDEF	dcm//insI-2//glnS//metA//
umpG_pcm	hisH//hisH//
umuDC	prmC//
uof_fur	
upp_uraA	glcE//rlmD//
usg_truA_dedA	menC//
uvrYC	idnO//
uxaCA	ppiC//caiB//
uxuAB	pykA//cadA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	nudL//yqhD//
waaQGPSBOJYZU	speD//dcyD//nudF//yhdJ//slyD//ycjU//paaG//yfdR//yniC//atoD//
waaYZ	ubiI//mutH//
waaZU	rsmB//argB//
wbbIJK	glmM//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	folM//rutB//alsE//frdD//trmJ//dacA//
wcaKLM	
wrbA_yccJ	cysE//
wza_wzb_wzc	gmm//valS//
wza_wzb_wzc_wcaAB	gor//rffC//
xanQ_guaD_ghxQ	ahpF//truD//uvrA//
xapAB	argG//pdxK//
xdhABC	entH//
xerD_dsbC_recJ	lpcA//queG//
xseB_ispA_dxs_yajO	yegS//cysN//speG//ackA//
xylAB	narG//edd//
xylFGHR	mutY//
yabPQ	
yacC_speED	pdeL//ybaS//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	pncA//
yafDE	
yafNOP	mhpD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	preT//truC//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	lpoB//
ybaB_recR	fucU//
ybaST	ydiO//
ybbAP	
ybbY_glxK	selD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	dcm//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	idnK//
ybeZY	
ybeZYX_lnt	add//
ybfHG	
ybfOC	
ybgA_phr	yieH//
ybgC_tolQRA	
ybgIJKL_nei	dgkA//
ybgQPO	
ybhP_clsB_ybhN	serS//
ybiYW	
ybjC_nfsA_rimK_ybjN	pdxJ//dusC//
ybjJI	treF//
ybjO_rlmC	cpdA//
ybjQ_amiD	nudL//
ycaI_msbA_lpxK_ycaQ	pepD//yegS//
ycaR_kdsB	pyrF//
ycbK_gloC	pdeH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	yagE//
yciCB	
yciGFE	
yciK_btuR	gatD//
yciVOQ	srlD//
yciZT	
ycjMNOPQRSTUV_ymjB	ispU//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	gmd//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	cynT//panC//
ydcSTUV_patD	phoA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	dapD//
ydgK_rsxABCDGE_nth	hemH//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	aroB//hisS//
ydiJ_menI_ydiH	ftnA//
ydiNB_aroD	emtA//glyA//
ydiQRST_fadK	cobC//
ydjA_selD_topB	xthA//mtgA//
ydjLKJIHG	rffH//
ydjXYZ_ynjABCD	
yeaGH	pdxB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ilvH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	mpaA//curA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	mltD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	phnJ//moeB//
yejABEF	gpsA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pgl//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ulaG//
yfbUT	rhaD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	gpsA//
