# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trmD//
chpSB	cynS//
citCDEFXG	pyrG//murD//purH//
clpPX	psd//ispD//fucO//dapD//
clpX_lon	dmsC//plsC//hemF//
clsA_yciU	ubiG//
cmk_rpsA	pdeF//
cmoM_mukFEB	
cmtBA_yggPFDC	cysM//paaJ//
coaE_zapD_yacG	pepD//
cobUST	torA//yeaE//lpcA//
codBA	cmoB//lpxL//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	dnaQ//
csgBAC	
csgDEFG	pgaB//
csiD_lhgO_gabDTP	ulaG//dacD//putA//glcE//
cusCFBA	yahK//
cusRS	
cvpA_purF_ubiX	dgkA//apt//
cydAB	tam//
cydDC	nfsA//
cydX_ybgE	aroA//
cynTS	yjeF//nagB//
cynTSX	thiI//mraY//rlmH//
cyoABCDE	rsmA//ilvE//
cysDNC	citC//uxuA//
cysJIH	purF//rlmG//uxuA//
cysPUWAM	dapE//tadA//dmsA//
dadAX	kdsA//truB//
damX_dam_rpe_gph_trpS	malP//amn//ispA//fabD//
dam_rpe_gph_trpS	cpsB//abgA//ybjI//nagA//
dapA_bamC	deoC//
dapE_ypfN	cyaA//
dcm_vsr	pgsA//
dcuB_fumB	hisB//yicI//
dcuSR	
dcyD_tcyLN	clsC//mrcB//
ddpXABCDF	yjeF//
def_fmt	mnmE//codA//
degQS	deoC//mcrA//
deoABD	dcm//ynjE//cynS//
deoBD	fadD//yjiA//
deoCABD	fsaB//ugpQ//fabZ//hcaF//
dgoRKADT	gltB//nfsA//alaS//mcrB//
dhaKLM	astC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	coaA//ybjG//
dinJ_yafQ	idi//
dksA_gluQ	ulaF//
dmsABC	frlD//
dnaAN_recF	moeB//
dnaK_tpke11_dnaJ	mutY//
dnaN_recF	rlmG//
dnaTC	
dnaTC_yjjA	
dosCP	gstA//ribB//
dpiBA	
dppABCDF	metC//
dsbC_recJ_prfB	gloC//hyaC//
dsbD_yjdC	
dsdXA	glpK//puuE//
dusB_fis	kduD//
dut_slmA	queA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dmlA//uxaB//
efeOB	opgB//
efeU_1U_2	
elbB_mtgA	menD//
elfDCG_ycbUVF	
emrKY	sodB//
entCEBAH	ftnA//bioA//astC//fadE//emtA//mutY//
envY_ompT	rffC//
epd_pgk	rutA//curA//
epd_pgk_fbaA	chbF//coaE//gloA//
essD_rrrD_rzpD	bioC//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ubiX//
eutHA	
eutNEJG	
eutSPQTDM	curA//
evgAS	
exbBD	
fabDG_acpP	lipB//yfcG//
fabG_acpP	rluA//
fabHDG	ldcC//glpA//cmoA//
fabR_yijD	
fadBA	ygjK//ttdB//
fadD_sroD	waaZ//
fadIJ	paoB//pdxJ//
fdnGHI	
fdoGHI_fdhE	queG//
fdrA_ylbEF_ybcF	epd//
fecABCDE	metA//lacZ//
fecIR	
feoABC	pdxH//
fepA_entD	mog//citX//coaA//
fepDGC	dhaL//
fes_ybdZ_entF_fepE	dinB//waaJ//aspA//
fetAB	
fhuACDB	rpiB//moaE//
ficA_fic_pabA	sodA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	nadD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	scpC//nfsA//
folC_dedD	fucU//
folD_ybcJ	uxaA//
folE_yeiB	uidA//
folP_glmM	rbn//serC//
folX_yfcH	ubiA//
frdABCD	rffG//
frlABCDR	fucU//alaS//sthA//argI//
frmRAB	glpB//argK//
fruBKA	folM//lpoB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	polB//ilvD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rne//etp//rihC//azoR//bfr//thiH//emtA//tktB//acnA//mtlD//
ftsQAZ	
ftsYEX	
fucAO	caiD//xylA//
fucPIKUR	dkgA//yqhD//efeB//ispD//
fumAC	astC//gstA//
fusA_tufA	
gabDTP	dmsB//lpxB//frlD//
gadAX	tcdA//
gadBC	ygeX//waaP//
gadEF	
gadEF_mdtEF	mtn//
gadXW	
galET	thiK//pgpA//
galETK	ldtE//nfi//phr//
galETKM	allB//cpsG//epmB//yliI//
gapA_yeaD	aceB//
gapC_1C_2	
garPLRK_rnpB	mcrC//dgoK//fabA//glcB//purE//scpA//
gatYZABCD	puuC//pncA//dusA//
gatZABCD	edd//dapE//ahpC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	aroB//pncB//puuA//narH//leuS//
gcvTHP	hemN//sdhA//dgcM//
gfcBCD	
gfcE_etp_etk	phnH//yhdJ//
ghoST	argK//
glcBA	gloB//narI//
glcDEFGBA	nrfD//frdC//yihV//
glf_wbbH	nrfC//
glgAP	pta//pheA//
glgBXCAP	truA//birA//cobB//fadI//ubiE//
glgCAP	rutE//appA//folM//
glmUS	ampD//ybbO//
glnALG	leuA//
glnHPQ	cysE//
glnK_amtB	ilvN//
glnLG	
glnW_metU_glnVX	
glpABC	cobT//
glpEGR	nanA//serS//
glpFKX	slyD//guaB//hinT//
glpGR	nadR//
glpTQ	prs//trmD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ugd//
glvCBG_ysdC	
glyQS	ygjK//
glyVXY	
glyW_cysT_leuZ	
gntKU	pgpB//insI-3//
gntRKU	ydiB//nadD//
gntX_nfuA	
gpmM_envC_yibQ	ldtA//clsA//
groSL	
gspAB	
gspCDEFGHIJKLMO	hemN//
guaBA	yqaB//rbn//
gudPXD	pfkA//tmk//
hcaEFCBD	garK//idnO//
hcp_hcr	ybiV//tsaD//
hdeAB_yhiD	
hemA_prfA_prmC	purT//nagZ//
hemCDXY	yihV//torZ//
hflD_purB	umpH//
hfq_hflXKC	tig//
hicAB	
higBA	hemD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	cheB//rbn//lipB//cysN//
hipBA	otsA//
hisBHAFI	truC//leuA//dadX//waaO//
hisJQMP	murG//yfiC//
hisLGDCBHAFI	hisA//ydfG//trxB//bioH//nrfD//proC//fruK//
hofMNOP	
holC_valS	argS//
holD_rimI_yjjG	fbaB//ogt//
hscBA_fdx_iscX	astE//
hsdMS	dmsA//
hsdRMS	metB//
hslRO	
hslVU	waaC//
hyaABCDEF	
hybOABCDEFG	alaC//
hycABCDEFGHI	yhhW//bioC//
hydN_hypF	purH//
hyfABCDEFGHIJR_focB	mnaT//
hypABCDE	talA//
hypABCDE_fhlA	hcaF//
hypBCDE	leuC//
hypBCDE_fhlA	nagK//
iaaA_gsiABCD	trmL//yfaU//
ibaG_murA	waaF//
ibpAB	
idnDOTR	murC//dusA//cmoB//
ileS_lspA_fkpB_ispH	folE//entA//aroF//purA//
ilvEDA	ygaP//bfr//yhdH//dkgA//
ilvIH	cheR//
ilvLXG_1G_2MEDA	pgsA//alsE//nrfC//yagF//argF//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fadK//
insN_1I_1O_1	wcaJ//
insO_2_yjhWV	
iscRSUA	mutL//nemA//
ispDF	ttdB//paaE//
ispG_sroE	hisF//
isrC_flu	
ivbL_ilvBN	ftnA//
ivbL_ilvBN_uhpABC	yfaU//
kbaZ_agaVWA	purF//
kbl_tdh	trxB//tesA//
kdpDE	
kdpFABC	menI//
kdsC_lptCAB	ushA//aphA//
kefFC	otsB//malY//
kefGB_yheV	speB//
kilR_ydaE	
lacYA	nadK//yeaG//
lacZYA	entB//glnS//entB//
lapAB	
lapAB_pyrF_yciH	hinT//
lepAB	gss//
leuLABCD	hdhA//gltD//hmp//
leuQPV	
leuS_lptE_holA_nadD_cobC	rlmI//epmA//roxA//
lexA_dinF	
lgt_thyA	allD//uxaA//
ligA_ypeB	mmuM//
livKHMGF	ubiC//feaB//
lldPRD	folC//purF//
lolA_rarA	
lolB_ispE_prs	mhpF//menF//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	birA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	lysS//serB//
lptFG	
lspA_fkpB_ispH	tdh//hcaB//aroF//
lsrACDBFG_tam	menH//ackA//panC//adhE//
lsrRK	katG//
ltaE_ybjT	nudC//
lysT_valT_lysW	
macAB	menF//
malEFG	aroL//
malK_lamB_malM	argD//pdeR//
malPQ	lpxL//ribF//
malXY	fabA//mtn//
manXYZ	eno//
map_glnD_dapD	dhaL//metH//tsaC//
marRAB	
mazEFG	wbbI//
mcrBC	rlmD//
mdlAB	
mdtABCD_baeSR	pabA//
mdtEF	speC//
mdtJI	nrfB//
mdtM_yjiN	thiD//
mdtNOP	ubiI//
melAB	guaB//gatZ//
menA_rraA	rpe//
menBCE	yniC//ydiF//mtgA//
menDHBCE	thiE//codA//hcaD//menA//umuC//
menFDHBCE	hcaF//guaD//sucB//rlmB//ribD//ldtC//
metBL	ribC//leuD//
metNIQ	ldcC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	sgbE//scpB//mutS//
metZWV	
mglAC	can//
mglBAC	purB//
mgtLA	rfbA//
mhpABCDFE	mocA//aldB//adk//nadA//ltaE//leuS//
mhpR_lacI	
miaA_hfq_hflXKC	queC//rsmA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	mgsA//psuK//
mnaT_ydcZ	preA//
mngAB	napA//fabG//
mnmG_rsmG	rfbA//frmB//
mntR_ybiR	
moaABCDE	maeA//uvrC//
moaBCDE	mcrA//
mobAB	acpS//
modABC	prs//
modEF	
moeAB	rnb//rne//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	dcyD//
mqsRA	slt//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rihC//nrdE//yccX//pldB//nfsB//yjiA//gloA//ybiV//ppiC//idnD//queA//
mreBCD	
mreCD	
msrPQ	
mtlADR	cadA//thiM//trmO//
mtn_btuF_yadS	ilvD//uxaA//
murB_birA	trpA//csdA//
murQP	thiK//plsC//dinB//
murQP_yfeW	cysG//kdsA//ribD//mrcB//
mutL_miaA_hfq_hflXKC	hycF//araA//trpC//
mutY_yggX	frdB//
mutY_yggX_mltC	ilvE//rffT//
mutY_yggX_mltC_nupG	polA//hycF//ispU//
nadA_pnuC	recF//fes//
nagBAC_umpH	gltX//trmH//allB//
nagK_cobB	rlmD//luxS//
nanATEK_yhcH	metE//narH//mobA//tktB//
nanCM	can//proA//
nanCMS	accB//prpE//
napFDAGHBC	murE//
napFDAGHBC_ccmABCDEFGH	rnb//ruvB//
narGHJI	mnmC//
narWV	paoC//
narXL	
narZYWV	gabD//
nemRA	glpB//
nemRA_gloA	trmI//metL//
nfrBA	
nhaAR	atoD//
nikABCDER	mtgA//
nirBDC_cysG	atoB//hemL//aspA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gudD//
nrdAB_yfaE	ugd//
nrdDG	tdk//tam//
nrdHIEF	alsK//
nrdR_ribDE_nusB_thiL_pgpA	rlmC//mcrB//gstA//hemF//
nrfABCDEFG	narG//
nsrR_rnr_rlmB_yjfI	galE//lysA//
nudB_yebC_ruvC	lpxM//gntK//
nudC_hemE_nfi	wbbI//torZ//
nudF_yqiB_cpdA_yqiA_parE	recJ//trpB//
nuoABCEFGHIJKLMN	pagP//
nuoMN	dsdA//
ompR_envZ	
opgGH	
oppABCDF	ulaF//rsmA//
osmF_yehYXW	fadH//
otsBA	frc//tnaA//
paaABCDEFGHIJK	pdeH//mog//folX//mutY//ispE//nth//yjcS//
paaXY	kbaZ//
pabB_nudL	araB//sufS//
pabC_mltG_tmk_holB_ycfH	yihT//pphB//rlmG//
panBC	nrdB//pdxH//
panE_yajL	yidA//
paoABCD	preA//
pcnB_folK	rutA//tesB//
pdeI_dgcI	
pdhR_aceEF_lpd	pdeR//argF//ppiC//ahpF//ndh//nudE//
pdxA_rsmA	csdA//torY//
pdxA_rsmA_apaGH	mazG//epmA//ampC//
pdxB_usg_truA_dedA	ygjK//recO//
pdxH_tyrS_pdxY	xthA//yhdJ//trmJ//
pdxJ_acpS	aspC//rnt//
pepQ_yigZ_trkH_hemG	fumC//sodC//aceB//
pflDC	
pgaABCD	ymdB//pyrI//rfbC//
pgk_fbaA	yjjG//fbaA//
pgpC_tadA	selA//rpe//
pheLA	menD//
pheMST_ihfA	lpxM//
phnCDE_1E_2FGHIJKLMNOP	xylA//hypB//mazG//chbF//bacA//queA//ybhA//
phnLMNOP	hycE//tsaD//clsA//yihX//ltaE//
phoA_psiF	pdxA//
phoBR	
phoPQ	
pldB_yigL	nagB//hisF//
plsX_fabHDG	rlmF//tcdA//ubiE//
pntAB	
potABCD	thrA//
potFGHI	fau//
poxB_ltaE_ybjT	aldB//pgk//
ppdAB_ygdB_ppdC_recC	qor//
ppdD_hofBC	
ppiB_lpxH	scpB//proS//
ppk_ppx	yagE//hycF//
pqiAB	
preTA	glpK//
prfB_lysS	maeB//
priC_ybaM	
prlC_rsmJ	nudB//nadD//
prlF_yhaV	hpt//
prmB_aroC_mepA_yfcA_epmC_yfcL	mraY//speA//yghU//pyrG//
proBA	ybcF//rutA//
proQ_prc	xylB//
proVWX	gph//
prpBCDE	ilvD//napC//pdeR//rfe//
psd_mscM	
pspABCDE	bioF//
pspBCDE	hemC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	menE//ppiA//
pth_ychF	cpsB//
ptrA_recBD	citF//rbsD//
ptsA_fsaB_gldA	purD//carB//
ptsHI_crr	yrfG//psd//mltA//
purEK	narY//pyrH//
purHD	ychF//accB//
purMN	hemF//treA//
puuAP	mnmG//rfbD//
puuCBE	carB//katG//katE//
puuDRCBE	umuC//atoD//cdsA//mpl//
pyrF_yciH	aroF//
pyrG_eno	rsgA//hcaB//
pyrLBI	pgaB//
qmcA_ybbJ	
qseBC	
radA_nadR	yihX//
rapA_rluA	pfkA//
ratAB	
ravA_viaA	
rbsDACBKR	ligB//dacC//gcvH//
rclABC	
rclBC	
rcnAB	ldtA//
rcsDB	
rcsF_trmO	fadE//
rdgB_yggW	rhaA//
rdoA_dsbA	allC//glgC//
recAX	
recET_ralR_ydaC_xisR_intR	hycC//aroL//
relA_mazEF	maa//
relBE	gcd//
relBE_hokD	phnM//
renD_emrE	kefF//
rfaD_waaFCL	rsmE//pta//trxB//gutQ//
rfbACX	yjeF//aspS//rluC//purT//
rfbBDACX	dxs//hisH//garR//sufS//ampC//ttdA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	waaA//rsmB//aroA//iscS//gcvH//ribD//rhaD//thrC//ygaP//
rhaBAD	ubiX//entB//ldtE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	entB//leuC//yjjX//
ribF_ileS_lspA_fkpB_ispH	otsA//yohF//mutM//dadX//ravA//
rimK_ybjN	recF//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ugd//waaZ//nadD//dcyD//nirD//allA//yfbT//pldB//trpS//nfsA//
rlmE_ftsH	paaJ//ampC//
rlmL_uup	polB//
rluD_yfiH	allA//gss//
rluE_nudJ	phnH//lpxP//
rnc_era	rlmI//
rnc_era_recO_pdxJ_acpS	trpA//galM//upp//mraY//
rnlAB	lldD//
rnt_lhr	panD//
rpe_gph_trpS	bglA//ydiB//tktA//
rph_pyrE	idnD//xapA//
rpiR_alsBACE	waaU//dmsA//
rplJL_rpoBC	mrdA//
rplKAJL_rpoBC	ispE//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	rdgB//
rpmF_plsX_fabHDG	entE//yqjH//speE//
rpmH_rnpA	waaA//dut//
rpmI_rplT	
rpoBC	glmS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	mhpD//eptB//tmcA//
rppH_ptsP	ada//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	hycC//
rpsO_pnp	pgpA//surA//
rpsP_rimM_trmD_rplS	spoT//
rpsU_dnaG_rpoD	ndk//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ydjG//lhgO//
rsmA_apaGH	queA//sbcB//
rsmD_yhhL	ribF//
rsmE_gshB	ilvD//thrC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hisB//rnpA//tmk//allA//appA//rlmI//pssA//ynfG//mocA//trmI//fucA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	cysI//
rtcBA	gshA//lpxL//
rutABCDEFG	rhaD//purU//ligB//rffG//ldtA//yibQ//
ruvAB	fucO//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	prs//
scpA_argK_scpBC	phnP//rihC//cueO//yeaG//
sdaCB	ghrA//mutM//
sdhCDAB_sucABCD	pncB//epmA//der//citX//
sdhDAB	
sdhE_cptA	
secB_gpsA	eptB//
secE_nusG	
secG_leuU	
secMA_mutT	menI//
selAB	pdxJ//fucI//
selD_topB	dadX//thrA//
seqA_pgm	umpG//
serB_radA	rfe//
serC_aroA	udk//fruK//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	waaP//
sgrST_setA	bioA//
skp_lpxD_fabZ_lpxA	lpxK//oxc//yfdR//
slp_dctR	
solA_yceO	aroF//
speAB	argB//ubiF//
speF_potE	dmsB//tdcG//
srlAEBD_gutM_srlR_gutQ	selB//alsK//mcrA//
sroG_ribB	mnmG//
sspAB	
ssrS_fau	mhpD//
ssuEADCB	mutH//purL//kdsB//
stfE_tfaE	
sucAB	tmk//paaA//tatD//
sucABCD	speC//tcdA//rsmH//queF//
sufABCDSE	glpA//
surA_pdxA_rsmA_apaGH	slyD//abgB//speC//ynjE//
tag_yiaC	acnB//
talA_tktB	rpiA//rpiA//
tamAB_ytfP	
tar_tap_cheRBYZ	guaD//pykA//
tatABC	nrfC//
tatABCD	gnd//kbaY//
tauABCD	menC//idnO//
tdcABCDEFG	aspC//pdeL//ybaS//udp//alkB//
tdcBCDEFG	ydjG//aphA//citE//hemN//pgpC//
tehAB	epmC//der//
tesA_ybbO	hisG//patA//
tff_rpsB_tsf	
tgt_yajC	prpC//
thiCEFSGH	cyaA//fabA//rbn//paaJ//ldcC//
thiMD	dgcP//rutB//
thrLABC	selB//ribA//cobU//
thrS_infC	trmH//
thrS_infC_rpmI_rplT_pheMST_ihfA	ilvG_1//sucA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	sdhD//bacA//
tolB_pal_cpoB	
tolC_ygiABC	sucB//rfbB//eptA//araA//yieH//waaZ//dcd//glpK//ispE//
tomB_hha	
topAI_yjhQ	
torCAD	selD//
torYZ	frdC//
treBC	prmC//cheB//
trmI_yggL	tsaD//
trpCBA	ygaP//waaB//nudG//ushA//
trpLEDCBA	lysC//ydiB//dcd//btuR//bfr//paaA//
tsaB_yeaY	hcaB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	pdxJ//mhpA//oxc//ydfG//ppc//
ttdABT	dacC//trxB//
tyrS_pdxY	pdxK//psuG//
tyrTV_tpr	
tyrV_tpr	
ubiCA	glcF//deoD//
ubiEJB	hisS//
udk_dcd	lpxK//yhdH//
ugpBAECQ	ulaG//cdh//
uhpABC	
uidABC	sucD//moaE//
ulaABCDEF	moeB//yqaB//nrfB//ada//
umpG_pcm	metH//rsmI//
umuDC	nrdA//
uof_fur	
upp_uraA	mltA//epmA//
usg_truA_dedA	pyrB//
uvrYC	pdxY//
uxaCA	trxB//sucB//
uxuAB	ileS//ybcF//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	dgcZ//sodA//
waaQGPSBOJYZU	yahK//insI-3//aslA//dacC//rne//ribC//nanM//pphB//dusA//gpp//
waaYZ	trpC//malS//
waaZU	cdd//nirD//
wbbIJK	cobC//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	epmA//cmk//gmd//btuE//gloA//hemL//
wcaKLM	
wrbA_yccJ	selD//
wza_wzb_wzc	ybbO//napC//
wza_wzb_wzc_wcaAB	tsaC//lysU//
xanQ_guaD_ghxQ	wzb//sdhB//waaZ//
xapAB	garL//ynjE//
xdhABC	metC//
xerD_dsbC_recJ	ada//ybbO//
xseB_ispA_dxs_yajO	wzc//appA//waaB//spoT//
xylAB	hcaB//glnE//
xylFGHR	narI//
yabPQ	
yacC_speED	pdxJ//yeaE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	lpxA//
yafDE	
yafNOP	dmlA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	luxS//ispU//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	gdhA//
ybaB_recR	hcaF//
ybaST	metC//
ybbAP	
ybbY_glxK	dgt//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	entD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	trpB//
ybeZY	
ybeZYX_lnt	aceB//
ybfHG	
ybfOC	
ybgA_phr	dapD//
ybgC_tolQRA	
ybgIJKL_nei	trpB//
ybgQPO	
ybhP_clsB_ybhN	betA//
ybiYW	
ybjC_nfsA_rimK_ybjN	poxB//betA//
ybjJI	citG//
ybjO_rlmC	prpB//
ybjQ_amiD	purH//
ycaI_msbA_lpxK_ycaQ	amn//thiI//
ycaR_kdsB	tig//
ycbK_gloC	kdsB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	efeB//
yciCB	
yciGFE	
yciK_btuR	tesA//
yciVOQ	patD//
yciZT	
ycjMNOPQRSTUV_ymjB	cobU//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	idi//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	adhE//rsmI//
ydcSTUV_patD	treC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	maeB//
ydgK_rsxABCDGE_nth	ybjG//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	fbp//deoD//
ydiJ_menI_ydiH	scpC//
ydiNB_aroD	rsmH//gcl//
ydiQRST_fadK	caiC//
ydjA_selD_topB	dgcM//tsaE//
ydjLKJIHG	eutC//
ydjXYZ_ynjABCD	
yeaGH	ubiI//
yeaR_yoaG	
yeaVW	
yebC_ruvC	speC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	entE//paaG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	menH//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	lysC//paaB//
yejABEF	uvrB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	hisC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yfbR//
yfbUT	dmsC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
