# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galK//
cysJIH	guaC//fadE//yhhW//
cysPUWAM	zwf//ubiD//yeiG//
dadAX	metB//serS//
damX_dam_rpe_gph_trpS	galE//dapD//gatY//cdsA//
dam_rpe_gph_trpS	rnd//cheR//deoB//rlmB//
dapA_bamC	leuB//
dapE_ypfN	tdcB//
dcm_vsr	trmL//
dcuB_fumB	pflB//trmH//
dcuSR	
dcyD_tcyLN	thiG//rlmI//
ddpXABCDF	mutS//
def_fmt	mcrA//mrdA//
degQS	nudC//ldtC//
deoABD	mnmE//uvrC//eptB//
deoBD	trmD//uxuA//
deoCABD	murQ//tktB//glyA//ddlA//
dgoRKADT	argD//ssuE//fumB//trmH//
dhaKLM	cysH//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	ldtD//prmC//
dinJ_yafQ	malY//
dksA_gluQ	dgkA//
dmsABC	mutH//
dnaAN_recF	ghrB//
dnaK_tpke11_dnaJ	rfbA//
dnaN_recF	menE//
dnaTC	
dnaTC_yjjA	
dosCP	hemN//sdaA//
dpiBA	
dppABCDF	waaC//
dsbC_recJ_prfB	mtn//yieH//
dsbD_yjdC	
dsdXA	leuA//acpS//
dusB_fis	queA//
dut_slmA	purC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	mhpC//ogt//
efeOB	menI//
efeU_1U_2	
elbB_mtgA	cheB//
elfDCG_ycbUVF	
emrKY	thiG//
entCEBAH	arnT//narH//lacZ//coaA//idnK//uvrC//
envY_ompT	coaD//
epd_pgk	yigL//arnT//
epd_pgk_fbaA	mpl//ispB//mnmG//
essD_rrrD_rzpD	rhaB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	dosP//
eutHA	
eutNEJG	
eutSPQTDM	yohF//
evgAS	
exbBD	
fabDG_acpP	aspA//rimK//
fabG_acpP	glgP//
fabHDG	betA//rsmB//entA//
fabR_yijD	
fadBA	ttdA//wecC//
fadD_sroD	dxr//
fadIJ	menD//waaY//
fdnGHI	
fdoGHI_fdhE	sgbU//
fdrA_ylbEF_ybcF	lpxL//
fecABCDE	leuA//frdB//
fecIR	
feoABC	scpA//
fepA_entD	insI-2//trmO//prpE//
fepDGC	deoB//
fes_ybdZ_entF_fepE	clsC//queA//yjiA//
fetAB	
fhuACDB	rbsK//lpxK//
ficA_fic_pabA	pgaC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	gpmM//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	ldhA//clsC//
folC_dedD	galE//
folD_ybcJ	galT//
folE_yeiB	paaE//
folP_glmM	yeiG//yfiC//
folX_yfcH	caiD//
frdABCD	rffG//
frlABCDR	rsmD//rlmA//hinT//atoB//
frmRAB	yegS//entH//
fruBKA	nudK//leuC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	entA//yceF//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gnd//bioB//folE//curA//hyi//caiD//pgaC//recR//rph//glpE//
ftsQAZ	
ftsYEX	
fucAO	ldtD//ilvG_1//
fucPIKUR	folA//lacZ//treC//sbcB//
fumAC	gshB//ygaP//
fusA_tufA	
gabDTP	hypB//dgkA//galM//
gadAX	glyQ//
gadBC	prpB//hflX//
gadEF	
gadEF_mdtEF	gpsA//
gadXW	
galET	yagE//ubiE//
galETK	rfbA//zwf//pdxJ//
galETKM	dmsC//lysU//nagB//fadE//
gapA_yeaD	metB//
gapC_1C_2	
garPLRK_rnpB	kdsB//hisH//pdeR//zwf//entE//mcrC//
gatYZABCD	abgA//fabI//frmA//
gatZABCD	tam//caiC//ispH//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	ispA//citC//torC//recF//glpE//
gcvTHP	rluE//dkgA//dld//
gfcBCD	
gfcE_etp_etk	hisB//yjiA//
ghoST	trmJ//
glcBA	panE//nadC//
glcDEFGBA	kdsC//rutC//ruvB//
glf_wbbH	atoD//
glgAP	ppiB//kefF//
glgBXCAP	murA//rluF//yjcS//serC//waaU//
glgCAP	nadR//lysU//menH//
glmUS	queA//pyrI//
glnALG	rfbD//
glnHPQ	dgcT//
glnK_amtB	dapE//
glnLG	
glnW_metU_glnVX	
glpABC	pyrG//
glpEGR	argG//pyrG//
glpFKX	argI//ispB//rsmA//
glpGR	gpt//
glpTQ	rlmG//epmB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	cof//
glvCBG_ysdC	
glyQS	rluC//
glyVXY	
glyW_cysT_leuZ	
gntKU	lsrK//menH//
gntRKU	hycE//tynA//
gntX_nfuA	
gpmM_envC_yibQ	alsE//dapD//
groSL	
gspAB	
gspCDEFGHIJKLMO	ybbO//
guaBA	bglB//scpB//
gudPXD	lipA//epmC//
hcaEFCBD	fucU//glyS//
hcp_hcr	ahpC//gss//
hdeAB_yhiD	
hemA_prfA_prmC	tnaA//argE//
hemCDXY	hyi//yghA//
hflD_purB	xthA//
hfq_hflXKC	cyoE//
hicAB	
higBA	fabF//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	xylB//ispF//fabB//araB//
hipBA	tmk//
hisBHAFI	frdD//ndk//folB//yjiA//
hisJQMP	mdh//argH//
hisLGDCBHAFI	hemA//rsmD//treA//mocA//nanK//patA//cmk//
hofMNOP	
holC_valS	yfbT//
holD_rimI_yjjG	nhoA//nudI//
hscBA_fdx_iscX	paaI//
hsdMS	ldcC//
hsdRMS	nudL//
hslRO	
hslVU	sgbU//
hyaABCDEF	
hybOABCDEFG	leuA//
hycABCDEFGHI	ftsI//pyrG//
hydN_hypF	pyrH//
hyfABCDEFGHIJR_focB	frdA//
hypABCDE	trxB//
hypABCDE_fhlA	citD//
hypBCDE	waaJ//
hypBCDE_fhlA	luxS//
iaaA_gsiABCD	amiD//paaH//
ibaG_murA	queF//
ibpAB	
idnDOTR	ubiG//polB//gmk//
ileS_lspA_fkpB_ispH	adhP//hisD//sodB//arnT//
ilvEDA	fes//fumC//fumC//purE//
ilvIH	ynfE//
ilvLXG_1G_2MEDA	pgpC//nagZ//phr//pfkA//nrfB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yicI//
insN_1I_1O_1	ispD//
insO_2_yjhWV	
iscRSUA	mnaT//gadA//
ispDF	glxK//yihX//
ispG_sroE	fbaB//
isrC_flu	
ivbL_ilvBN	nrfC//
ivbL_ilvBN_uhpABC	folC//
kbaZ_agaVWA	rpiB//
kbl_tdh	ubiE//acpH//
kdpDE	
kdpFABC	arnC//
kdsC_lptCAB	galK//kbaY//
kefFC	fucU//ligA//
kefGB_yheV	caiC//
kilR_ydaE	
lacYA	leuS//cysS//
lacZYA	hemL//sbcB//phr//
lapAB	
lapAB_pyrF_yciH	fadK//
lepAB	scpB//
leuLABCD	bglX//clsC//luxS//
leuQPV	
leuS_lptE_holA_nadD_cobC	eda//eda//ynfE//
lexA_dinF	
lgt_thyA	oxc//thrC//
ligA_ypeB	nfsB//
livKHMGF	csdA//tdcE//
lldPRD	xdhA//mog//
lolA_rarA	
lolB_ispE_prs	metB//gltX//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yjjX//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	puuD//wbbI//
lptFG	
lspA_fkpB_ispH	paaH//dapF//puuE//
lsrACDBFG_tam	betB//ilvA//fruK//prs//
lsrRK	rbsK//
ltaE_ybjT	paaB//
lysT_valT_lysW	
macAB	menE//
malEFG	nrdA//
malK_lamB_malM	ynfG//queD//
malPQ	bacA//tnaA//
malXY	pgk//paoB//
manXYZ	rsmC//
map_glnD_dapD	glyQ//hyaC//menF//
marRAB	
mazEFG	yqjG//
mcrBC	sucD//
mdlAB	
mdtABCD_baeSR	pfkA//
mdtEF	paaC//
mdtJI	tatD//
mdtM_yjiN	ttdB//
mdtNOP	dgoA//
melAB	dxr//glpD//
menA_rraA	valS//
menBCE	napC//bglA//hycG//
menDHBCE	rutA//citF//hyaA//deoA//hypF//
menFDHBCE	otsB//hisF//pyrI//valS//asnS//rfbA//
metBL	mnaT//clsA//
metNIQ	gor//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	phnN//pyrD//waaL//
metZWV	
mglAC	sdhD//
mglBAC	trpE//
mgtLA	queC//
mhpABCDFE	folC//acpH//curA//argF//yjhH//yjcS//
mhpR_lacI	
miaA_hfq_hflXKC	ispA//yigB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	mocA//ybjI//
mnaT_ydcZ	dacD//
mngAB	dusC//slt//
mnmG_rsmG	frmA//cpsG//
mntR_ybiR	
moaABCDE	yjiA//rlmA//
moaBCDE	dgcM//
mobAB	dut//
modABC	eptB//
modEF	
moeAB	bioC//plsC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	fdhF//
mqsRA	epmB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nagA//dld//pgi//glxK//appA//hypF//mog//preT//fsaA//mnaT//rnt//
mreBCD	
mreCD	
msrPQ	
mtlADR	lpxK//curA//umuD//
mtn_btuF_yadS	ribB//yfiC//
murB_birA	hcaF//murQ//
murQP	gltA//alaS//dapA//
murQP_yfeW	yjjG//gabT//proB//ribE//
mutL_miaA_hfq_hflXKC	sucA//glk//nrfC//
mutY_yggX	rffG//
mutY_yggX_mltC	lysA//ilvG_2//
mutY_yggX_mltC_nupG	yeiG//cpdB//allB//
nadA_pnuC	arsC//recO//
nagBAC_umpH	yicI//napG//astC//
nagK_cobB	paaI//ybhA//
nanATEK_yhcH	ubiX//epmC//kdgK//psd//
nanCM	paaA//menC//
nanCMS	chbF//maeA//
napFDAGHBC	adhP//
napFDAGHBC_ccmABCDEFGH	fadA//cmk//
narGHJI	ubiE//
narWV	rnpA//
narXL	
narZYWV	hyuA//
nemRA	pgi//
nemRA_gloA	ravA//xdhA//
nfrBA	
nhaAR	chbG//
nikABCDER	ispF//
nirBDC_cysG	waaB//hcaB//mug//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	lysU//
nrdAB_yfaE	menC//
nrdDG	luxS//ybjI//
nrdHIEF	ubiE//
nrdR_ribDE_nusB_thiL_pgpA	waaU//gor//rffT//cysJ//
nrfABCDEFG	caiD//
nsrR_rnr_rlmB_yjfI	rutB//hcaE//
nudB_yebC_ruvC	fabG//rhaD//
nudC_hemE_nfi	mltA//epmB//
nudF_yqiB_cpdA_yqiA_parE	carA//queC//
nuoABCEFGHIJKLMN	ackA//
nuoMN	sdaA//
ompR_envZ	
opgGH	
oppABCDF	curA//sucB//
osmF_yehYXW	thiF//
otsBA	pgaC//rluF//
paaABCDEFGHIJK	accC//rlmJ//hisB//nemA//fabF//purK//serA//
paaXY	fadE//
pabB_nudL	speG//moeA//
pabC_mltG_tmk_holB_ycfH	cysH//yfaU//fbp//
panBC	acpH//tpiA//
panE_yajL	nadC//
paoABCD	nfsB//
pcnB_folK	pfkA//alsE//
pdeI_dgcI	
pdhR_aceEF_lpd	citD//mcrA//acpS//pyrC//psuG//lpoB//
pdxA_rsmA	dgcP//glgC//
pdxA_rsmA_apaGH	murE//recO//valS//
pdxB_usg_truA_dedA	uvrB//pdxJ//
pdxH_tyrS_pdxY	menI//yihX//glyA//
pdxJ_acpS	yibQ//nfsB//
pepQ_yigZ_trkH_hemG	tadA//gss//pcm//
pflDC	
pgaABCD	malY//uvrA//paaF//
pgk_fbaA	caiC//proC//
pgpC_tadA	lldD//waaH//
pheLA	dfp//
pheMST_ihfA	trmL//
phnCDE_1E_2FGHIJKLMNOP	trmD//uvrA//rfaD//hemB//hemL//mhpD//rpe//
phnLMNOP	fucU//lpoA//ilvG_1//proS//cheB//
phoA_psiF	tyrS//
phoBR	
phoPQ	
pldB_yigL	phnG//paaA//
plsX_fabHDG	ribB//waaS//ispD//
pntAB	
potABCD	metF//
potFGHI	hemA//
poxB_ltaE_ybjT	malZ//rutD//
ppdAB_ygdB_ppdC_recC	ulaD//
ppdD_hofBC	
ppiB_lpxH	uxaC//recG//
ppk_ppx	pdxJ//sdhC//
pqiAB	
preTA	rluE//
prfB_lysS	cysS//
priC_ybaM	
prlC_rsmJ	cobC//yeiR//
prlF_yhaV	rlmE//
prmB_aroC_mepA_yfcA_epmC_yfcL	dapB//caiA//tyrS//metG//
proBA	nadK//glgX//
proQ_prc	pflB//
proVWX	cpdA//
prpBCDE	moeB//narY//selB//recF//
psd_mscM	
pspABCDE	fcl//
pspBCDE	dadX//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	malQ//nagB//
pth_ychF	aroD//
ptrA_recBD	ubiF//mhpF//
ptsA_fsaB_gldA	pck//lacA//
ptsHI_crr	trmO//carB//ribD//
purEK	coaD//napG//
purHD	ddlA//yniC//
purMN	kdgK//gpp//
puuAP	pyrF//rihA//
puuCBE	aroF//ndk//phnL//
puuDRCBE	ribB//gsk//gloA//accD//
pyrF_yciH	proB//
pyrG_eno	gpmM//recF//
pyrLBI	entE//
qmcA_ybbJ	
qseBC	
radA_nadR	sdaA//
rapA_rluA	cmoA//
ratAB	
ravA_viaA	
rbsDACBKR	ubiA//glgA//psuK//
rclABC	
rclBC	
rcnAB	gabD//
rcsDB	
rcsF_trmO	nagZ//
rdgB_yggW	rhaB//
rdoA_dsbA	yfiH//mutL//
recAX	
recET_ralR_ydaC_xisR_intR	ygjK//lysC//
relA_mazEF	sucA//
relBE	glgX//
relBE_hokD	sgbH//
renD_emrE	rrrD//
rfaD_waaFCL	kduD//folD//tam//gltX//
rfbACX	speF//eptB//lpoB//bioC//
rfbBDACX	kduD//tmcA//rimK//ampD//nadC//atoB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ydiO//insI-3//rfaD//yciA//mpaA//malY//fadB//pck//dgkA//
rhaBAD	epmC//dadX//asnS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	hcp//ilvD//mgsA//
ribF_ileS_lspA_fkpB_ispH	acpT//glcB//ppk//lpxM//trxB//
rimK_ybjN	ppk//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	nanA//nadD//pdxH//curA//ahpF//orn//rsmF//ftsI//gcvH//hycC//
rlmE_ftsH	argD//rbsD//
rlmL_uup	dhaK//
rluD_yfiH	glgB//preT//
rluE_nudJ	ilvD//dosP//
rnc_era	hemD//
rnc_era_recO_pdxJ_acpS	rhaM//nfi//wbbI//nfsB//
rnlAB	hypB//
rnt_lhr	speB//
rpe_gph_trpS	purM//dmsC//pnp//
rph_pyrE	folK//napB//
rpiR_alsBACE	katG//adiA//
rplJL_rpoBC	dosP//
rplKAJL_rpoBC	nagB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ilvA//
rpmF_plsX_fabHDG	cpdA//glk//prpB//
rpmH_rnpA	nanA//alaC//
rpmI_rplT	
rpoBC	tyrB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	yhdJ//pgk//puuD//
rppH_ptsP	ycjG//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	aspA//
rpsO_pnp	acpS//folK//
rpsP_rimM_trmD_rplS	glpK//
rpsU_dnaG_rpoD	rlmF//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	rutE//ghrB//
rsmA_apaGH	mtgA//mepS//
rsmD_yhhL	phnI//
rsmE_gshB	ilvH//adhE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glgP//ruvA//chbG//dkgA//lipB//fabI//yieH//fadE//pdxJ//gatY//ruvA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	dgcZ//
rtcBA	citE//yghU//
rutABCDEFG	tdk//narZ//glyQ//fabF//acnA//mrcB//
ruvAB	asnS//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	nfi//
scpA_argK_scpBC	wzc//yihT//nadD//alaS//
sdaCB	cueO//gpp//
sdhCDAB_sucABCD	hemF//ldtC//xdhC//cysE//
sdhDAB	
sdhE_cptA	
secB_gpsA	allC//
secE_nusG	
secG_leuU	
secMA_mutT	glgC//
selAB	argS//paaA//
selD_topB	paaK//ghrA//
seqA_pgm	metF//
serB_radA	ydiB//
serC_aroA	menB//allB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	epmA//
sgrST_setA	trmA//
skp_lpxD_fabZ_lpxA	hisF//deoC//yihV//
slp_dctR	
solA_yceO	cyaA//
speAB	argC//mcrB//
speF_potE	serC//yjhH//
srlAEBD_gutM_srlR_gutQ	ldtD//frdB//dusA//
sroG_ribB	valS//
sspAB	
ssrS_fau	rluE//
ssuEADCB	ghrB//ruvC//srlD//
stfE_tfaE	
sucAB	metG//eutB//rfbD//
sucABCD	nudJ//paaA//gltD//aroA//
sufABCDSE	mazG//
surA_pdxA_rsmA_apaGH	metA//murG//guaB//mnmC//
tag_yiaC	narZ//
talA_tktB	murD//yceF//
tamAB_ytfP	
tar_tap_cheRBYZ	adiA//ppk//
tatABC	alsK//
tatABCD	ppa//psd//
tauABCD	hemN//yfeX//
tdcABCDEFG	nrdF//nudC//waaZ//yihX//spoT//
tdcBCDEFG	hycC//ligA//rihC//hisG//ribF//
tehAB	menI//katE//
tesA_ybbO	paoA//glpK//
tff_rpsB_tsf	
tgt_yajC	ilvI//
thiCEFSGH	frmA//mhpA//speA//csdA//fumA//
thiMD	gpt//pdeL//
thrLABC	pykF//trmD//serB//
thrS_infC	uxaC//
thrS_infC_rpmI_rplT_pheMST_ihfA	folK//cynS//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	scpB//tdcE//
tolB_pal_cpoB	
tolC_ygiABC	wcaJ//acpT//rhaB//recG//tpiA//yliI//fumC//yieH//dusC//
tomB_hha	
topAI_yjhQ	
torCAD	glcD//
torYZ	anmK//
treBC	arnB//citF//
trmI_yggL	astE//
trpCBA	ybaS//hflX//yieH//ynjE//
trpLEDCBA	cdd//lpxP//ugpQ//malS//coaA//frdB//
tsaB_yeaY	atoD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	tdcD//pncA//bglA//ribC//glf//
ttdABT	ddlB//gmk//
tyrS_pdxY	tsaB//cdd//
tyrTV_tpr	
tyrV_tpr	
ubiCA	nanE//eptC//
ubiEJB	arsC//
udk_dcd	speG//lpxP//
ugpBAECQ	putA//ubiA//
uhpABC	
uidABC	frmB//serC//
ulaABCDEF	moeB//glpA//prpB//gor//
umpG_pcm	eno//hycF//
umuDC	metG//
uof_fur	
upp_uraA	nrfD//yicI//
usg_truA_dedA	dacC//
uvrYC	ilvD//
uxaCA	wrbA//lpxC//
uxuAB	dosP//dmsA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	nhoA//tnaA//
waaQGPSBOJYZU	phnH//cof//kefF//glgB//relA//mmuM//thiM//nudG//gpt//rihC//
waaYZ	dxs//dapA//
waaZU	yegS//rsgA//
wbbIJK	murQ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ulaG//cpsB//argK//phnG//proB//recO//
wcaKLM	
wrbA_yccJ	dgcP//
wza_wzb_wzc	fucU//pyrC//
wza_wzb_wzc_wcaAB	hisB//agp//
xanQ_guaD_ghxQ	metK//yqhD//puuC//
xapAB	tdcD//trmH//
xdhABC	yciA//
xerD_dsbC_recJ	rnd//rutC//
xseB_ispA_dxs_yajO	betB//trpA//avtA//tpiA//
xylAB	gnd//dadA//
xylFGHR	frmA//
yabPQ	
yacC_speED	hchA//yghU//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	coaE//
yafDE	
yafNOP	pphB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	sdaA//mhpB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	xapA//
ybaB_recR	pfkB//
ybaST	moaD//
ybbAP	
ybbY_glxK	phnG//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	plsC//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	lsrG//
ybeZY	
ybeZYX_lnt	ribB//
ybfHG	
ybfOC	
ybgA_phr	pykA//
ybgC_tolQRA	
ybgIJKL_nei	dcd//
ybgQPO	
ybhP_clsB_ybhN	xdhA//
ybiYW	
ybjC_nfsA_rimK_ybjN	serB//gatZ//
ybjJI	atoD//
ybjO_rlmC	aroA//
ybjQ_amiD	yiaY//
ycaI_msbA_lpxK_ycaQ	paaJ//waaL//
ycaR_kdsB	gnd//
ycbK_gloC	mtgA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	pdxH//
yciCB	
yciGFE	
yciK_btuR	ilvH//
yciVOQ	purU//
yciZT	
ycjMNOPQRSTUV_ymjB	cof//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	patD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rlmH//paaB//
ydcSTUV_patD	tgt//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ubiA//
ydgK_rsxABCDGE_nth	wbbI//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	hcaD//bioC//
ydiJ_menI_ydiH	arnT//
ydiNB_aroD	rffC//citC//
ydiQRST_fadK	mdh//
ydjA_selD_topB	hpt//hemL//
ydjLKJIHG	cdd//
ydjXYZ_ynjABCD	
yeaGH	lpxH//
yeaR_yoaG	
yeaVW	
yebC_ruvC	queG//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nadB//narG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	glxR//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	nadC//hemD//
yejABEF	hyi//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	tpiA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	galT//
yfbUT	ybjG//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
