# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	bglX//
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	nadC//
insN_1I_1O_1	srlD//
insO_2_yjhWV	
iscRSUA	argA//sucD//
ispDF	phnH//nanK//
ispG_sroE	ligB//
isrC_flu	
ivbL_ilvBN	xthA//
ivbL_ilvBN_uhpABC	cadA//
kbaZ_agaVWA	epd//
kbl_tdh	gadA//aroA//
kdpDE	
kdpFABC	mltF//
kdsC_lptCAB	coaD//phnN//
kefFC	dacC//dhaK//
kefGB_yheV	queG//
kilR_ydaE	
lacYA	guaC//dadX//
lacZYA	galK//wzb//dcd//
lapAB	
lapAB_pyrF_yciH	mraY//
lepAB	waaU//
leuLABCD	pdeF//tilS//citC//
leuQPV	
leuS_lptE_holA_nadD_cobC	ubiD//mutY//patA//
lexA_dinF	
lgt_thyA	thrS//serS//
ligA_ypeB	pgsA//
livKHMGF	ldtC//udk//
lldPRD	uxaA//trpB//
lolA_rarA	
lolB_ispE_prs	gatZ//gcvT//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	hcaE//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	nfsA//hemE//
lptFG	
lspA_fkpB_ispH	waaY//yliI//miaB//
lsrACDBFG_tam	paaA//fadB//treA//glf//
lsrRK	yccX//
ltaE_ybjT	amyA//
lysT_valT_lysW	
macAB	fadB//
malEFG	ribA//
malK_lamB_malM	rfaD//torA//
malPQ	mutM//moeA//
malXY	fabD//caiC//
manXYZ	menD//
map_glnD_dapD	hemG//mutL//yajO//
marRAB	
mazEFG	nrfC//
mcrBC	ispA//
mdlAB	
mdtABCD_baeSR	astE//
mdtEF	lpoA//
mdtJI	xdhB//
mdtM_yjiN	xdhA//
mdtNOP	ung//
melAB	yneH//dcd//
menA_rraA	citF//
menBCE	efeB//mltC//narG//
menDHBCE	atoA//mrcA//yggF//rffH//folB//
menFDHBCE	paaI//ligA//acnB//rlmB//yfiC//glpX//
metBL	hemN//cpsG//
metNIQ	yegS//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	purK//ribE//gatZ//
metZWV	
mglAC	aceF//
mglBAC	xdhA//
mgtLA	trmH//
mhpABCDFE	napH//serB//menF//mrcB//nrdE//glpC//
mhpR_lacI	
miaA_hfq_hflXKC	ppiC//lpxT//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	torZ//ppx//
mnaT_ydcZ	accC//
mngAB	valS//surA//
mnmG_rsmG	purT//dosC//
mntR_ybiR	
moaABCDE	dgcZ//entC//
moaBCDE	deoC//
mobAB	kbl//
modABC	deoD//
modEF	
moeAB	prmC//ispD//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	tynA//
mqsRA	pfkA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	bglX//mnmG//selA//yciA//cynT//uxuA//waaC//hyaB//dkgA//ilvM//tdcG//
mreBCD	
mreCD	
msrPQ	
mtlADR	pyrB//pphA//waaA//
mtn_btuF_yadS	malS//galT//
murB_birA	pheS//ygeX//
murQP	napC//prpD//hycG//
murQP_yfeW	ycjU//pheS//ampD//galK//
mutL_miaA_hfq_hflXKC	birA//phnI//acs//
mutY_yggX	ubiF//
mutY_yggX_mltC	rutD//rihA//
mutY_yggX_mltC_nupG	yigL//cysS//ahr//
nadA_pnuC	pncA//pta//
nagBAC_umpH	pdxB//galU//insI-3//
nagK_cobB	pfkA//ybdL//
nanATEK_yhcH	bioF//aroF//hisG//dapB//
nanCM	mtlD//acnA//
nanCMS	gltX//folA//
napFDAGHBC	cueO//
napFDAGHBC_ccmABCDEFGH	sad//ackA//
narGHJI	astC//
narWV	puuB//
narXL	
narZYWV	yqjH//
nemRA	rutA//
nemRA_gloA	hyaC//maa//
nfrBA	
nhaAR	rdoA//
nikABCDER	purN//
nirBDC_cysG	yohF//lpxC//aroF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ubiI//
nrdAB_yfaE	mpl//
nrdDG	xthA//ybiV//
nrdHIEF	paaJ//
nrdR_ribDE_nusB_thiL_pgpA	thiH//dapA//dapE//atoD//
nrfABCDEFG	dsdA//
nsrR_rnr_rlmB_yjfI	ybbO//ugd//
nudB_yebC_ruvC	yieH//plsB//
nudC_hemE_nfi	yqaB//ulaF//
nudF_yqiB_cpdA_yqiA_parE	speB//alr//
nuoABCEFGHIJKLMN	phoA//
nuoMN	argS//
ompR_envZ	
opgGH	
oppABCDF	mutT//cmoB//
osmF_yehYXW	mtgA//
otsBA	hisI//trxB//
paaABCDEFGHIJK	yfeX//kduD//ilvM//tyrB//fkpA//iaaA//dapB//
paaXY	fadE//
pabB_nudL	lpxH//dgcT//
pabC_mltG_tmk_holB_ycfH	truC//rluE//paaH//
panBC	yceF//surA//
panE_yajL	moaD//
paoABCD	nudJ//
pcnB_folK	lplA//ybhA//
pdeI_dgcI	
pdhR_aceEF_lpd	roxA//gshB//asd//leuC//thiG//nemA//
pdxA_rsmA	dosP//gloA//
pdxA_rsmA_apaGH	nth//tsaC//paaG//
pdxB_usg_truA_dedA	ispU//thiL//
pdxH_tyrS_pdxY	asnS//alr//phnO//
pdxJ_acpS	glgX//lpd//
pepQ_yigZ_trkH_hemG	phnG//waaC//gapA//
pflDC	
pgaABCD	amiD//yjjX//pgm//
pgk_fbaA	rutB//trmD//
pgpC_tadA	tmcA//hemA//
pheLA	trmL//
pheMST_ihfA	dmlA//
phnCDE_1E_2FGHIJKLMNOP	chbF//gatZ//rbn//ppiB//thrB//acpH//ribD//
phnLMNOP	glyA//serC//asd//hcaE//hcaF//
phoA_psiF	yjhH//
phoBR	
phoPQ	
pldB_yigL	fumC//purK//
plsX_fabHDG	tdk//araA//gutQ//
pntAB	
potABCD	trmH//
potFGHI	bcsZ//
poxB_ltaE_ybjT	yibQ//yeaE//
ppdAB_ygdB_ppdC_recC	ydiB//
ppdD_hofBC	
ppiB_lpxH	fucA//der//
ppk_ppx	insI-2//hisI//
pqiAB	
preTA	ttdA//
prfB_lysS	hpt//
priC_ybaM	
prlC_rsmJ	nrfA//sdaB//
prlF_yhaV	treC//
prmB_aroC_mepA_yfcA_epmC_yfcL	puuC//tynA//ttdB//dosP//
proBA	yagE//dosC//
proQ_prc	glpC//
proVWX	rsmH//
prpBCDE	thiL//hyaC//rsmA//tehB//
psd_mscM	
pspABCDE	kefF//
pspBCDE	murA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	manA//nudJ//
pth_ychF	sdhB//
ptrA_recBD	deoB//ygiF//
ptsA_fsaB_gldA	entC//pspE//
ptsHI_crr	gabD//pdeF//yihS//
purEK	ppa//alkA//
purHD	paaY//ybdL//
purMN	ilvN//rlmC//
puuAP	ampC//nrfA//
puuCBE	mutL//metF//scpC//
puuDRCBE	phnH//narG//fadJ//moeB//
pyrF_yciH	cysD//
pyrG_eno	sdaB//eno//
pyrLBI	tauD//
qmcA_ybbJ	
qseBC	
radA_nadR	trpB//
rapA_rluA	umuC//
ratAB	
ravA_viaA	
rbsDACBKR	yidA//cueO//roxA//
rclABC	
rclBC	
rcnAB	aldA//
rcsDB	
rcsF_trmO	ygiF//
rdgB_yggW	lysS//
rdoA_dsbA	ubiD//xapA//
recAX	
recET_ralR_ydaC_xisR_intR	rihC//pyrC//
relA_mazEF	phnI//
relBE	puuB//
relBE_hokD	srlD//
renD_emrE	rsmA//
rfaD_waaFCL	wzc//mltB//cysM//trpB//
rfbACX	dam//gloA//fsaA//pgpC//
rfbBDACX	clsA//gatD//ahpF//aceB//nudF//leuA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	pta//serB//ftnA//rfe//dgcP//trmD//psuK//argB//hisC//
rhaBAD	hypB//cysJ//gadA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	waaZ//ubiG//entE//
ribF_ileS_lspA_fkpB_ispH	caiD//rnpA//fadK//valS//rffM//
rimK_ybjN	asd//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	phnI//purT//pheA//yigL//yihS//clsB//speA//chbG//cysI//umpG//
rlmE_ftsH	ispG//ssuD//
rlmL_uup	mog//
rluD_yfiH	uxaC//rdoA//
rluE_nudJ	yjhG//tatD//
rnc_era	ldcA//
rnc_era_recO_pdxJ_acpS	yfdR//alsK//insI-3//xdhB//
rnlAB	ilvA//
rnt_lhr	glpQ//
rpe_gph_trpS	dcyD//opgE//cmoA//
rph_pyrE	dhaM//adiA//
rpiR_alsBACE	trmD//alr//
rplJL_rpoBC	trpC//
rplKAJL_rpoBC	fes//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	dgcZ//
rpmF_plsX_fabHDG	lpd//rlmD//ybcF//
rpmH_rnpA	gmk//nadA//
rpmI_rplT	
rpoBC	ynfE//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	cysJ//tmcA//mltF//
rppH_ptsP	aroH//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rnpA//
rpsO_pnp	ascB//sthA//
rpsP_rimM_trmD_rplS	nth//
rpsU_dnaG_rpoD	sodA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ligB//ppk//
rsmA_apaGH	gss//pgm//
rsmD_yhhL	argB//
rsmE_gshB	gph//fabD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	deoB//cyoE//ybbO//nfsA//dapE//coaE//narY//glgB//udp//lpxH//csdA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hcaB//
rtcBA	xdhA//ada//
rutABCDEFG	amiD//mutL//rsgA//alkB//sucA//tnaA//
ruvAB	allE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	tyrB//
scpA_argK_scpBC	yohF//csdA//paoA//ansB//
sdaCB	folB//dacA//
sdhCDAB_sucABCD	mocA//mltC//rph//dcm//
sdhDAB	
sdhE_cptA	
secB_gpsA	fadI//
secE_nusG	
secG_leuU	
secMA_mutT	galT//
selAB	qor//dusB//
selD_topB	dgt//ulaG//
seqA_pgm	guaC//
serB_radA	rfaE//
serC_aroA	bioC//ybdL//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	allD//
sgrST_setA	yfcF//
skp_lpxD_fabZ_lpxA	guaC//ispB//truA//
slp_dctR	
solA_yceO	ansB//
speAB	murA//pdxH//
speF_potE	hemF//gloB//
srlAEBD_gutM_srlR_gutQ	thiI//galE//nagA//
sroG_ribB	purC//
sspAB	
ssrS_fau	rluB//
ssuEADCB	argH//bfr//glgX//
stfE_tfaE	
sucAB	nanE//lpxB//entB//
sucABCD	lysC//atoB//citG//entF//
sufABCDSE	mmuM//
surA_pdxA_rsmA_apaGH	yfaU//truB//napB//mhpC//
tag_yiaC	rsmC//
talA_tktB	pdxA//ftsI//
tamAB_ytfP	
tar_tap_cheRBYZ	pfkB//coaD//
tatABC	rnpA//
tatABCD	eutC//thiC//
tauABCD	ampD//ligB//
tdcABCDEFG	cof//suhB//tdcD//aroE//alsK//
tdcBCDEFG	rnd//mutL//proS//dut//mnmA//
tehAB	rnpB//alaC//
tesA_ybbO	dusB//caiB//
tff_rpsB_tsf	
tgt_yajC	hisF//
thiCEFSGH	adhE//gluQ//surA//yagE//dut//
thiMD	ldcC//ldhA//
thrLABC	hemF//aroK//mhpA//
thrS_infC	hisA//
thrS_infC_rpmI_rplT_pheMST_ihfA	cpdB//ldtD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gatZ//selA//
tolB_pal_cpoB	
tolC_ygiABC	csdA//fabZ//pdeH//paaK//ygeX//mngB//gadB//tynA//phnI//
tomB_hha	
topAI_yjhQ	
torCAD	queG//
torYZ	mobA//
treBC	yibQ//cdsA//
trmI_yggL	sthA//
trpCBA	deoC//ulaG//nanE//pdeF//
trpLEDCBA	pck//tdcB//rrrD//hycB//panB//serB//
tsaB_yeaY	dusC//
tsaE_amiB_mutL_miaA_hfq_hflXKC	asnS//codA//ycaO//yeiG//sufS//
ttdABT	mhpC//yqjG//
tyrS_pdxY	dhaL//recJ//
tyrTV_tpr	
tyrV_tpr	
ubiCA	der//tmk//
ubiEJB	nirB//
udk_dcd	ribD//puuE//
ugpBAECQ	lhgO//yeaG//
uhpABC	
uidABC	entD//ascB//
ulaABCDEF	nagK//ydiO//oxc//ppk//
umpG_pcm	tgt//tmcA//
umuDC	insI-2//
uof_fur	
upp_uraA	rihC//hycD//
usg_truA_dedA	iaaA//
uvrYC	argS//
uxaCA	ycjU//dgcT//
uxuAB	dapD//ydiO//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	nirD//glpA//
waaQGPSBOJYZU	puuE//pagP//tig//yrfG//ynfF//efeB//paaF//nth//dcd//sgbH//
waaYZ	coaD//tyrA//
waaZU	aroL//lipA//
wbbIJK	selA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	wcaJ//dhaL//queG//glxR//otsA//rluF//
wcaKLM	
wrbA_yccJ	trpB//
wza_wzb_wzc	nrdE//ppiC//
wza_wzb_wzc_wcaAB	fadD//pncB//
xanQ_guaD_ghxQ	galU//lplA//citX//
xapAB	pgm//nadB//
xdhABC	thrS//
xerD_dsbC_recJ	glyS//aldB//
xseB_ispA_dxs_yajO	dadX//frdB//hcaB//yihS//
xylAB	dnaQ//metB//
xylFGHR	queD//
yabPQ	
yacC_speED	dacC//nudL//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	metA//
yafDE	
yafNOP	fbaA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ilvI//nrfD//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	eptA//
ybaB_recR	hypF//
ybaST	serS//
ybbAP	
ybbY_glxK	ilvG_1//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	murF//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	truA//
ybeZY	
ybeZYX_lnt	pyrC//
ybfHG	
ybfOC	
ybgA_phr	lpxC//
ybgC_tolQRA	
ybgIJKL_nei	pabB//
ybgQPO	
ybhP_clsB_ybhN	kdsB//
ybiYW	
ybjC_nfsA_rimK_ybjN	allB//epd//
ybjJI	yiaY//
ybjO_rlmC	rfbD//
ybjQ_amiD	cysH//
ycaI_msbA_lpxK_ycaQ	lpoB//tmcA//
ycaR_kdsB	ada//
ycbK_gloC	cysJ//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	phnI//
yciCB	
yciGFE	
yciK_btuR	eutB//
yciVOQ	panD//
yciZT	
ycjMNOPQRSTUV_ymjB	wzb//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ilvE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	aroC//rdoA//
ydcSTUV_patD	pdeH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	mltD//
ydgK_rsxABCDGE_nth	tnaA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	insI-1//trpE//
ydiJ_menI_ydiH	mnmG//
ydiNB_aroD	mtlD//selA//
ydiQRST_fadK	pldB//
ydjA_selD_topB	entF//rsmB//
ydjLKJIHG	guaB//
ydjXYZ_ynjABCD	
yeaGH	rlmG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	sdaA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hchA//narV//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rbsK//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	menE//aspS//
yejABEF	ppc//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	fucU//
yfaX_rhmD	
yfaX_rhmD_yfaVU	clsB//
yfbUT	rfaD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
