# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	otsA//
damX_dam_rpe_gph_trpS	phnL//gss//allB//aroG//
dam_rpe_gph_trpS	ydiO//ispH//truB//fucK//
dapA_bamC	rluF//
dapE_ypfN	pta//
dcm_vsr	ascB//
dcuB_fumB	tnaA//dusC//
dcuSR	
dcyD_tcyLN	dapF//pfkA//
ddpXABCDF	rhaM//
def_fmt	uxuA//aroH//
degQS	ybaS//mcrA//
deoABD	yieH//galU//slyD//
deoBD	rsuA//coaA//
deoCABD	puuC//pyrI//sdhA//alaA//
dgoRKADT	sad//yagE//pdxK//arnB//
dhaKLM	queA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	murD//lpxT//
dinJ_yafQ	cynT//
dksA_gluQ	ilvG_2//
dmsABC	rsmC//
dnaAN_recF	acpS//
dnaK_tpke11_dnaJ	insI-2//
dnaN_recF	ychF//
dnaTC	
dnaTC_yjjA	
dosCP	amyA//acs//
dpiBA	
dppABCDF	nhoA//
dsbC_recJ_prfB	hypB//surA//
dsbD_yjdC	
dsdXA	entH//cysM//
dusB_fis	mnmA//
dut_slmA	lsrK//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ribF//murI//
efeOB	feaB//
efeU_1U_2	
elbB_mtgA	cmoB//
elfDCG_ycbUVF	
emrKY	pyrF//
entCEBAH	frlD//lpxP//lgoD//cfa//rluA//ahpF//
envY_ompT	dacA//
epd_pgk	galK//mnmG//
epd_pgk_fbaA	tesB//rutB//pphB//
essD_rrrD_rzpD	mutM//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	narZ//
eutHA	
eutNEJG	
eutSPQTDM	mtgA//
evgAS	
exbBD	
fabDG_acpP	metK//scpC//
fabG_acpP	yfeX//
fabHDG	emtA//tcdA//suhB//
fabR_yijD	
fadBA	kdsA//tmcA//
fadD_sroD	tauD//
fadIJ	rnb//rhaB//
fdnGHI	
fdoGHI_fdhE	mog//
fdrA_ylbEF_ybcF	mhpC//
fecABCDE	yjiA//ybhA//
fecIR	
feoABC	thiD//
fepA_entD	speB//cheB//entF//
fepDGC	ispU//
fes_ybdZ_entF_fepE	hisI//iscS//pck//
fetAB	
fhuACDB	coaE//nadD//
ficA_fic_pabA	hcaD//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	pck//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	paoB//pyrB//
folC_dedD	ygeX//
folD_ybcJ	aroL//
folE_yeiB	xdhA//
folP_glmM	kbaZ//gabD//
folX_yfcH	nagK//
frdABCD	eptA//
frlABCDR	fes//yhdH//adk//mpaA//
frmRAB	aceE//pheT//
fruBKA	folX//dusB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	gloA//rpe//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gatD//cysE//folB//hisI//purK//yfeW//murE//frmA//waaB//yfiC//
ftsQAZ	
ftsYEX	
fucAO	ispB//fre//
fucPIKUR	psuK//frdC//astA//ackA//
fumAC	mpaA//trpS//
fusA_tufA	
gabDTP	rutC//nfi//tpiA//
gadAX	ubiI//
gadBC	yqaB//hemG//
gadEF	
gadEF_mdtEF	kdsA//
gadXW	
galET	leuA//dld//
galETK	sufS//ltaE//rimK//
galETKM	dcd//gutQ//aslA//ahpC//
gapA_yeaD	dacC//
gapC_1C_2	
garPLRK_rnpB	menA//epd//truD//dld//glcD//kduI//
gatYZABCD	pheT//ribE//dusB//
gatZABCD	gcl//pyrE//menA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	paaZ//rffT//ispU//tehB//narI//
gcvTHP	glpA//pgpC//pheT//
gfcBCD	
gfcE_etp_etk	dinB//rbsD//
ghoST	mtlD//
glcBA	recG//fau//
glcDEFGBA	tktA//narV//can//
glf_wbbH	menC//
glgAP	fkpA//gstB//
glgBXCAP	acs//lpxT//mqo//rfaD//metL//
glgCAP	purC//allC//adiA//
glmUS	yegS//tnaA//
glnALG	trmA//
glnHPQ	proB//
glnK_amtB	ampD//
glnLG	
glnW_metU_glnVX	
glpABC	gsk//
glpEGR	mnmE//mhpB//
glpFKX	glgA//mnmA//tsaD//
glpGR	mepS//
glpTQ	yqaB//glcE//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yidA//
glvCBG_ysdC	
glyQS	ribA//
glyVXY	
glyW_cysT_leuZ	
gntKU	fumC//waaY//
gntRKU	rffM//trmH//
gntX_nfuA	
gpmM_envC_yibQ	gutQ//mutS//
groSL	
gspAB	
gspCDEFGHIJKLMO	yihX//
guaBA	miaB//chbG//
gudPXD	napB//rfbA//
hcaEFCBD	ybiV//lsrK//
hcp_hcr	fumA//coaD//
hdeAB_yhiD	
hemA_prfA_prmC	garK//dadA//
hemCDXY	lpxL//phnG//
hflD_purB	xapA//
hfq_hflXKC	ampC//
hicAB	
higBA	gshA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	lysA//ppiB//prmB//cpdA//
hipBA	pdxH//
hisBHAFI	rsmE//mltB//pdxK//cysH//
hisJQMP	frmA//wzb//
hisLGDCBHAFI	yhdJ//gatZ//umpG//ilvG_1//wrbA//trpB//caiA//
hofMNOP	
holC_valS	mtn//
holD_rimI_yjjG	caiB//entF//
hscBA_fdx_iscX	murI//
hsdMS	torC//
hsdRMS	glcF//
hslRO	
hslVU	entC//
hyaABCDEF	
hybOABCDEFG	bioB//
hycABCDEFGHI	glxR//fbaA//
hydN_hypF	ilvN//
hyfABCDEFGHIJR_focB	hemC//
hypABCDE	maeA//
hypABCDE_fhlA	mutT//
hypBCDE	birA//
hypBCDE_fhlA	hemN//
iaaA_gsiABCD	prs//rnpB//
ibaG_murA	pdxA//
ibpAB	
idnDOTR	sufS//gpsA//gltB//
ileS_lspA_fkpB_ispH	cheR//csdA//dmsB//ilvG_2//
ilvEDA	murD//bioB//ynjE//ulaG//
ilvIH	cdsA//
ilvLXG_1G_2MEDA	lyxK//rutE//ulaG//ssuD//maeB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fbp//
insN_1I_1O_1	ybjI//
insO_2_yjhWV	
iscRSUA	yfbT//fbaA//
ispDF	gltB//trmI//
ispG_sroE	mltB//
isrC_flu	
ivbL_ilvBN	folX//
ivbL_ilvBN_uhpABC	rihB//
kbaZ_agaVWA	mltC//
kbl_tdh	mdh//pncA//
kdpDE	
kdpFABC	pgaB//
kdsC_lptCAB	tesA//nagA//
kefFC	ybcF//trxB//
kefGB_yheV	puuC//
kilR_ydaE	
lacYA	lysA//hcaB//
lacZYA	serB//thiH//srlD//
lapAB	
lapAB_pyrF_yciH	astE//
lepAB	glmU//
leuLABCD	narY//hcaB//pyrE//
leuQPV	
leuS_lptE_holA_nadD_cobC	ulaF//rnpB//ydiF//
lexA_dinF	
lgt_thyA	rsmB//galU//
ligA_ypeB	narH//
livKHMGF	emtA//gltX//
lldPRD	adk//yjcS//
lolA_rarA	
lolB_ispE_prs	arnT//pabC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	trpC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	yihS//fabI//
lptFG	
lspA_fkpB_ispH	fabG//entH//eptC//
lsrACDBFG_tam	ribF//ubiE//kdgK//fau//
lsrRK	idnD//
ltaE_ybjT	fdhF//
lysT_valT_lysW	
macAB	alkB//
malEFG	gloA//
malK_lamB_malM	yghU//ogt//
malPQ	iscS//treA//
malXY	mltF//lpd//
manXYZ	lpcA//
map_glnD_dapD	aceF//ahpC//murE//
marRAB	
mazEFG	gadA//
mcrBC	yagF//
mdlAB	
mdtABCD_baeSR	gabT//
mdtEF	umuC//
mdtJI	acpS//
mdtM_yjiN	gatY//
mdtNOP	etk//
melAB	rffG//dgcC//
menA_rraA	hisG//
menBCE	waaC//carA//guaA//
menDHBCE	ldtC//hemN//murD//emtA//treA//
menFDHBCE	frmA//gadA//pdxK//gpmM//thrB//pldA//
metBL	dhaK//xdhC//
metNIQ	dgcP//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	hycB//lyxK//paaY//
metZWV	
mglAC	pdxH//
mglBAC	dkgB//
mgtLA	sdaA//
mhpABCDFE	yneH//yibQ//nudC//patZ//glcF//lipA//
mhpR_lacI	
miaA_hfq_hflXKC	nadE//pabA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	glcD//paaE//
mnaT_ydcZ	galT//
mngAB	caiD//ampH//
mnmG_rsmG	sucD//kbaZ//
mntR_ybiR	
moaABCDE	gpsA//scpA//
moaBCDE	coaE//
mobAB	yciA//
modABC	idnO//
modEF	
moeAB	leuB//uxaC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	serB//
mqsRA	gmk//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rsmC//ilvD//wcaJ//glmM//yihX//rihC//pyrD//cpsG//acnA//can//yihT//
mreBCD	
mreCD	
msrPQ	
mtlADR	torY//dosC//sdhC//
mtn_btuF_yadS	speC//yneH//
murB_birA	tyrS//yfdE//
murQP	purA//pdxY//yfbT//
murQP_yfeW	xthA//alr//kdgK//astA//
mutL_miaA_hfq_hflXKC	yhdJ//argH//katE//
mutY_yggX	ybiV//
mutY_yggX_mltC	gabD//purL//
mutY_yggX_mltC_nupG	recG//pheS//ribA//
nadA_pnuC	fabA//eptC//
nagBAC_umpH	insI-3//waaU//dgoK//
nagK_cobB	nadA//tag//
nanATEK_yhcH	sodC//entD//ugd//preT//
nanCM	phnL//entF//
nanCMS	aroB//nudB//
napFDAGHBC	atoA//
napFDAGHBC_ccmABCDEFGH	mutY//cueO//
narGHJI	gltX//
narWV	murA//
narXL	
narZYWV	rutD//
nemRA	eptC//
nemRA_gloA	surA//glxK//
nfrBA	
nhaAR	fkpA//
nikABCDER	recG//
nirBDC_cysG	rfaE//fucI//qor//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	aspS//
nrdAB_yfaE	pgaB//
nrdDG	xdhB//folK//
nrdHIEF	rsmH//
nrdR_ribDE_nusB_thiL_pgpA	ndk//aldA//pncC//puuD//
nrfABCDEFG	ydfG//
nsrR_rnr_rlmB_yjfI	menH//argE//
nudB_yebC_ruvC	umpG//sdhD//
nudC_hemE_nfi	aceF//sseA//
nudF_yqiB_cpdA_yqiA_parE	appA//rffC//
nuoABCEFGHIJKLMN	lpxP//
nuoMN	waaB//
ompR_envZ	
opgGH	
oppABCDF	frlD//nadB//
osmF_yehYXW	adhP//
otsBA	murB//frmB//
paaABCDEFGHIJK	ybjI//maeB//efeB//glyS//pdeH//agp//mutY//
paaXY	thiG//
pabB_nudL	glpB//trmA//
pabC_mltG_tmk_holB_ycfH	yneH//valS//wecC//
panBC	hycF//aldA//
panE_yajL	tesA//
paoABCD	slt//
pcnB_folK	alaA//pyrB//
pdeI_dgcI	
pdhR_aceEF_lpd	nadE//fabH//galK//fucO//tgt//alr//
pdxA_rsmA	mngB//frdB//
pdxA_rsmA_apaGH	glpE//frdC//serC//
pdxB_usg_truA_dedA	bcsZ//kbaZ//
pdxH_tyrS_pdxY	metB//thiC//menF//
pdxJ_acpS	etk//nrdA//
pepQ_yigZ_trkH_hemG	ppiB//dapE//thiM//
pflDC	
pgaABCD	queF//alsE//mhpC//
pgk_fbaA	mhpB//dusA//
pgpC_tadA	ascB//rhaD//
pheLA	ygiF//
pheMST_ihfA	yfeX//
phnCDE_1E_2FGHIJKLMNOP	pyrC//purE//xdhA//tmk//rsmC//roxA//maeA//
phnLMNOP	bfr//menE//eutD//apt//clsB//
phoA_psiF	metL//
phoBR	
phoPQ	
pldB_yigL	rihC//carB//
plsX_fabHDG	pdeH//cysI//mrcB//
pntAB	
potABCD	sdhD//
potFGHI	hemC//
poxB_ltaE_ybjT	thiD//rfaD//
ppdAB_ygdB_ppdC_recC	clsB//
ppdD_hofBC	
ppiB_lpxH	bcsA//hcaB//
ppk_ppx	ilvI//mltA//
pqiAB	
preTA	cysE//
prfB_lysS	pfkB//
priC_ybaM	
prlC_rsmJ	kefF//frlD//
prlF_yhaV	dapB//
prmB_aroC_mepA_yfcA_epmC_yfcL	gloA//cyoE//nadK//pgsA//
proBA	aroD//rsmH//
proQ_prc	cpsB//
proVWX	nanK//
prpBCDE	ispD//ghrA//yajO//thiG//
psd_mscM	
pspABCDE	gdhA//
pspBCDE	fadJ//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mcrB//acnA//
pth_ychF	aldA//
ptrA_recBD	aes//thiH//
ptsA_fsaB_gldA	sthA//solA//
ptsHI_crr	rpe//trmA//folD//
purEK	scpB//dacA//
purHD	treC//ymdB//
purMN	napA//lpxC//
puuAP	frmA//asd//
puuCBE	yiaY//rfaD//fumA//
puuDRCBE	ssuD//gcvP//yieH//opgE//
pyrF_yciH	hyaC//
pyrG_eno	argI//thiC//
pyrLBI	ispG//
qmcA_ybbJ	
qseBC	
radA_nadR	gcl//
rapA_rluA	cysM//
ratAB	
ravA_viaA	
rbsDACBKR	btuR//eptC//cdsA//
rclABC	
rclBC	
rcnAB	speG//
rcsDB	
rcsF_trmO	nemA//
rdgB_yggW	rfbD//
rdoA_dsbA	adeD//ynfF//
recAX	
recET_ralR_ydaC_xisR_intR	dxr//glpX//
relA_mazEF	galT//
relBE	hyaC//
relBE_hokD	mtlD//
renD_emrE	ybjG//
rfaD_waaFCL	fabG//hycF//ydjG//acnB//
rfbACX	rfaD//adk//garK//sucC//
rfbBDACX	purU//fruK//rbsD//prpB//fsaA//pheA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	fsaB//thiH//rfbD//galK//puuC//cpdB//glpX//tdcD//ilvC//
rhaBAD	mog//adk//pheS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glcF//amiD//cdh//
ribF_ileS_lspA_fkpB_ispH	pagP//menI//gloB//nadD//thiG//
rimK_ybjN	glpC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rlmD//aspA//qor//yqaB//cdd//lipA//cpdA//yhhW//gmm//mnmG//
rlmE_ftsH	mog//yjiA//
rlmL_uup	yfcG//
rluD_yfiH	ppc//psuK//
rluE_nudJ	argS//fkpB//
rnc_era	lpxK//
rnc_era_recO_pdxJ_acpS	phnO//metE//entC//acnA//
rnlAB	serA//
rnt_lhr	arnB//
rpe_gph_trpS	ndk//rsmB//mutT//
rph_pyrE	epmA//moaE//
rpiR_alsBACE	cysG//arnT//
rplJL_rpoBC	ilvH//
rplKAJL_rpoBC	ribE//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ddlA//
rpmF_plsX_fabHDG	tcdA//torC//torZ//
rpmH_rnpA	proB//spoT//
rpmI_rplT	
rpoBC	aroL//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	ispE//garL//tynA//
rppH_ptsP	thiE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rfbD//
rpsO_pnp	ilvI//hyuA//
rpsP_rimM_trmD_rplS	fdhF//
rpsU_dnaG_rpoD	ugpQ//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	purT//spoT//
rsmA_apaGH	yidA//serC//
rsmD_yhhL	thiH//
rsmE_gshB	ansB//gabD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	leuA//puuD//pinE//aslA//ubiA//edd//chbG//allC//speA//yhdJ//yfeX//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	narH//
rtcBA	fdhF//menB//
rutABCDEFG	gadB//argI//sgbE//rnd//cysQ//yajO//
ruvAB	pdxK//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ybcF//
scpA_argK_scpBC	folC//etp//ilvG_1//waaY//
sdaCB	glpB//abgB//
sdhCDAB_sucABCD	gsk//gpt//tehB//kdsA//
sdhDAB	
sdhE_cptA	
secB_gpsA	yjcS//
secE_nusG	
secG_leuU	
secMA_mutT	ruvA//
selAB	ldhA//dgcC//
selD_topB	lpxB//rdgB//
seqA_pgm	kdsA//
serB_radA	purC//
serC_aroA	fadH//ydjG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	hemC//
sgrST_setA	plsB//
skp_lpxD_fabZ_lpxA	menH//amn//napC//
slp_dctR	
solA_yceO	pldA//
speAB	gldA//selA//
speF_potE	aceF//pyrI//
srlAEBD_gutM_srlR_gutQ	yieH//murQ//hcaD//
sroG_ribB	fabA//
sspAB	
ssrS_fau	gnd//
ssuEADCB	betA//entA//amyA//
stfE_tfaE	
sucAB	galT//nrdA//lysC//
sucABCD	trmI//glf//uidA//agp//
sufABCDSE	pyrI//
surA_pdxA_rsmA_apaGH	fucO//rsuA//pabA//hemG//
tag_yiaC	polA//
talA_tktB	pgm//fbaA//
tamAB_ytfP	
tar_tap_cheRBYZ	ynfF//hchA//
tatABC	gcvH//
tatABCD	idi//yeaE//
tauABCD	spoT//yrfG//
tdcABCDEFG	arnA//rsmG//arnT//pabC//proA//
tdcBCDEFG	dgcT//glpD//purN//rlmG//yihX//
tehAB	lplA//gpmM//
tesA_ybbO	dacC//phnP//
tff_rpsB_tsf	
tgt_yajC	ilvA//
thiCEFSGH	lpoB//mog//pyrC//kdgK//tatD//
thiMD	xdhB//ydfG//
thrLABC	rnd//galK//sgbE//
thrS_infC	lsrG//
thrS_infC_rpmI_rplT_pheMST_ihfA	rfe//gcvT//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	nfsB//atoD//
tolB_pal_cpoB	
tolC_ygiABC	insI-3//pfkB//sucC//argA//trmD//tatD//avtA//gcvP//pdxY//
tomB_hha	
topAI_yjhQ	
torCAD	suhB//
torYZ	rhaB//
treBC	mhpE//rhaD//
trmI_yggL	ugd//
trpCBA	sdhA//rlmD//nudF//purC//
trpLEDCBA	ldtC//nudI//deoA//serB//argC//entF//
tsaB_yeaY	gdhA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	rlmF//tmcA//aroE//ogt//gnd//
ttdABT	ycjG//frmB//
tyrS_pdxY	tmk//frdC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	fruK//rnpA//
ubiEJB	kduI//
udk_dcd	ltaE//gmm//
ugpBAECQ	caiA//pabA//
uhpABC	
uidABC	ruvB//apt//
ulaABCDEF	astA//mcrB//rne//waaA//
umpG_pcm	insI-3//murA//
umuDC	glyA//
uof_fur	
upp_uraA	aroB//amn//
usg_truA_dedA	dcd//
uvrYC	fsaB//
uxaCA	icd//nagZ//
uxuAB	dacC//thiL//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	gss//dusB//
waaQGPSBOJYZU	allB//cobT//amn//glgC//yfdE//metE//pncA//lysA//fcl//ssuD//
waaYZ	nudI//carA//
waaZU	thiK//queD//
wbbIJK	gdhA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	tdh//yfeW//patZ//yciA//waaB//glmS//
wcaKLM	
wrbA_yccJ	tesB//
wza_wzb_wzc	yohF//fucU//
wza_wzb_wzc_wcaAB	sseA//leuB//
xanQ_guaD_ghxQ	fucO//rihB//torZ//
xapAB	dld//sodC//
xdhABC	rihC//
xerD_dsbC_recJ	rimK//dgoD//
xseB_ispA_dxs_yajO	eno//yohF//malQ//pdeL//
xylAB	paaH//dxr//
xylFGHR	lpxP//
yabPQ	
yacC_speED	metC//dmsB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ynjE//
yafDE	
yafNOP	aceA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ubiC//ndh//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	speD//
ybaB_recR	aroG//
ybaST	yagF//
ybbAP	
ybbY_glxK	dacD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pdxK//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	hisD//
ybeZY	
ybeZYX_lnt	yrfG//
ybfHG	
ybfOC	
ybgA_phr	nadD//
ybgC_tolQRA	
ybgIJKL_nei	folC//
ybgQPO	
ybhP_clsB_ybhN	rpiA//
ybiYW	
ybjC_nfsA_rimK_ybjN	yihT//malY//
ybjJI	mutY//
ybjO_rlmC	guaB//
ybjQ_amiD	xthA//
ycaI_msbA_lpxK_ycaQ	gcd//wzb//
ycaR_kdsB	wzc//
ycbK_gloC	yjeF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	paaZ//
yciCB	
yciGFE	
yciK_btuR	amyA//
yciVOQ	lpxL//
yciZT	
ycjMNOPQRSTUV_ymjB	melA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	dosC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	prpB//yahK//
ydcSTUV_patD	yihU//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	mutH//
ydgK_rsxABCDGE_nth	kdsA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ppiC//epmC//
ydiJ_menI_ydiH	rutE//
ydiNB_aroD	ilvI//yeiG//
ydiQRST_fadK	betB//
ydjA_selD_topB	sthA//trpD//
ydjLKJIHG	arnB//
ydjXYZ_ynjABCD	
yeaGH	dgcM//
yeaR_yoaG	
yeaVW	
yebC_ruvC	uxaC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hinT//pgsA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	astE//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ppiA//ubiC//
yejABEF	melA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	entD//
yfaX_rhmD	
yfaX_rhmD_yfaVU	thyA//
yfbUT	menH//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	murG//
