# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gph//
lsrACDBFG_tam	queC//tsaB//gshB//mutL//
lsrRK	aslA//
ltaE_ybjT	clsA//
lysT_valT_lysW	
macAB	cmoB//
malEFG	sdhC//
malK_lamB_malM	panE//menH//
malPQ	arnT//tesB//
malXY	cof//preA//
manXYZ	yfiH//
map_glnD_dapD	gph//can//arnA//
marRAB	
mazEFG	carA//
mcrBC	ubiF//
mdlAB	
mdtABCD_baeSR	pnp//
mdtEF	dcyD//
mdtJI	thiH//
mdtM_yjiN	thyA//
mdtNOP	zwf//
melAB	tyrB//hyaB//
menA_rraA	dinB//
menBCE	yceF//hyuA//mnmC//
menDHBCE	yidA//moaD//ftnA//rhaA//citC//
menFDHBCE	nagK//mutT//ubiH//paoA//dgkA//acs//
metBL	aroA//purU//
metNIQ	kdsC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	cysG//hisG//lpoA//
metZWV	
mglAC	efeB//
mglBAC	thiM//
mgtLA	fadJ//
mhpABCDFE	waaJ//mpaA//pheT//hisS//queC//uvrC//
mhpR_lacI	
miaA_hfq_hflXKC	fdhF//moaE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	sad//ydjG//
mnaT_ydcZ	ilvC//
mngAB	moeB//sgbU//
mnmG_rsmG	adhE//prmC//
mntR_ybiR	
moaABCDE	narY//uvrB//
moaBCDE	ghrA//
mobAB	lyxK//
modABC	sthA//
modEF	
moeAB	ldhA//yfcG//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	napH//
mqsRA	yicI//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dapD//yfcF//mraY//mutS//gsk//nfi//polA//patA//tam//kduI//paaY//
mreBCD	
mreCD	
msrPQ	
mtlADR	citF//coaA//pbpC//
mtn_btuF_yadS	bcsB//prs//
murB_birA	gnd//avtA//
murQP	ruvA//dmsC//ulaE//
murQP_yfeW	glcD//maeA//yghU//paaK//
mutL_miaA_hfq_hflXKC	apt//ubiX//metG//
mutY_yggX	dmsA//
mutY_yggX_mltC	gldA//acpT//
mutY_yggX_mltC_nupG	aslA//leuS//yceF//
nadA_pnuC	pagP//hpt//
nagBAC_umpH	ribC//ddlA//garK//
nagK_cobB	tsaB//folE//
nanATEK_yhcH	frdA//fumB//zwf//maeB//
nanCM	queG//metB//
nanCMS	speE//sgbU//
napFDAGHBC	yrfG//
napFDAGHBC_ccmABCDEFGH	accD//cysK//
narGHJI	narV//
narWV	phnL//
narXL	
narZYWV	anmK//
nemRA	murI//
nemRA_gloA	ilvI//gloB//
nfrBA	
nhaAR	coaD//
nikABCDER	panC//
nirBDC_cysG	rbsK//otsB//fadI//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	truA//
nrdAB_yfaE	truD//
nrdDG	cysK//citE//
nrdHIEF	panD//
nrdR_ribDE_nusB_thiL_pgpA	relA//uvrB//cysJ//waaJ//
nrfABCDEFG	hemF//
nsrR_rnr_rlmB_yjfI	ubiX//waaS//
nudB_yebC_ruvC	psd//bglB//
nudC_hemE_nfi	dapD//rlmE//
nudF_yqiB_cpdA_yqiA_parE	nrdA//ybaS//
nuoABCEFGHIJKLMN	pldA//
nuoMN	polA//
ompR_envZ	
opgGH	
oppABCDF	thiG//cysH//
osmF_yehYXW	leuS//
otsBA	nanE//tyrA//
paaABCDEFGHIJK	pdeH//tsaC//serA//fucU//folC//gcvP//rffT//
paaXY	leuA//
pabB_nudL	tpiA//narI//
pabC_mltG_tmk_holB_ycfH	bioC//rlmH//gshA//
panBC	polB//ydiF//
panE_yajL	hemF//
paoABCD	yeaE//
pcnB_folK	queG//ldcC//
pdeI_dgcI	
pdhR_aceEF_lpd	pykA//tcdA//gltA//menC//accD//rutC//
pdxA_rsmA	rluE//speC//
pdxA_rsmA_apaGH	pabB//hyaB//nrdA//
pdxB_usg_truA_dedA	rutC//sbcB//
pdxH_tyrS_pdxY	preT//kbl//entC//
pdxJ_acpS	lpxB//recO//
pepQ_yigZ_trkH_hemG	rimK//iaaA//yeaE//
pflDC	
pgaABCD	trpB//ppiC//maeB//
pgk_fbaA	murA//argG//
pgpC_tadA	ydiO//xylA//
pheLA	pyrD//
pheMST_ihfA	trmI//
phnCDE_1E_2FGHIJKLMNOP	folB//rsuA//patZ//ispD//polB//hcaD//yeaG//
phnLMNOP	sseA//ackA//trxB//tam//ttdB//
phoA_psiF	acpS//
phoBR	
phoPQ	
pldB_yigL	kbaZ//yccX//
plsX_fabHDG	gpmA//eptA//tadA//
pntAB	
potABCD	torA//
potFGHI	astA//
poxB_ltaE_ybjT	cpsG//plsB//
ppdAB_ygdB_ppdC_recC	yigL//
ppdD_hofBC	
ppiB_lpxH	rnt//gluQ//
ppk_ppx	menD//araD//
pqiAB	
preTA	xdhA//
prfB_lysS	eptC//
priC_ybaM	
prlC_rsmJ	sucD//rsmI//
prlF_yhaV	glcF//
prmB_aroC_mepA_yfcA_epmC_yfcL	gutQ//acpT//pdxK//yhdJ//
proBA	nhoA//bglA//
proQ_prc	ddlA//
proVWX	speB//
prpBCDE	fruK//kdsA//murF//rlmF//
psd_mscM	
pspABCDE	phnH//
pspBCDE	preT//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	phnG//rbn//
pth_ychF	rhaB//
ptrA_recBD	rbsK//napC//
ptsA_fsaB_gldA	cynT//sodB//
ptsHI_crr	bioC//phnO//sufS//
purEK	mocA//tktB//
purHD	napB//cobS//
purMN	cynS//purN//
puuAP	panD//waaH//
puuCBE	rnd//eptC//torY//
puuDRCBE	ada//aphA//menA//yieF//
pyrF_yciH	trpC//
pyrG_eno	pncA//selA//
pyrLBI	dgoA//
qmcA_ybbJ	
qseBC	
radA_nadR	tdk//
rapA_rluA	tktA//
ratAB	
ravA_viaA	
rbsDACBKR	rffT//purM//uxuB//
rclABC	
rclBC	
rcnAB	yeaG//
rcsDB	
rcsF_trmO	xdhB//
rdgB_yggW	slyD//
rdoA_dsbA	panB//ansA//
recAX	
recET_ralR_ydaC_xisR_intR	fabH//hcaD//
relA_mazEF	cmoA//
relBE	paaC//
relBE_hokD	prmB//
renD_emrE	fadE//
rfaD_waaFCL	garR//glpD//ilvI//birA//
rfbACX	pyrD//epmB//metH//menF//
rfbBDACX	dosC//dgcZ//cpdA//chbF//paoB//ttdA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ilvH//glgX//menI//menI//etp//melA//bglA//pabA//kdsC//
rhaBAD	hyi//allC//waaS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	xdhB//lpxK//aldB//
ribF_ileS_lspA_fkpB_ispH	bioH//ybaS//oxc//pyrB//sodB//
rimK_ybjN	frdC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gadA//fruK//ddlB//menE//yohF//pykF//folE//hchA//fucU//yiaK//
rlmE_ftsH	amn//rnpB//
rlmL_uup	aspA//
rluD_yfiH	fadB//bglB//
rluE_nudJ	nrdE//metC//
rnc_era	kduD//
rnc_era_recO_pdxJ_acpS	aroL//otsB//lplA//pgaC//
rnlAB	rfbA//
rnt_lhr	bcsB//
rpe_gph_trpS	entD//speD//yqhD//
rph_pyrE	mutS//ddlA//
rpiR_alsBACE	katE//insI-1//
rplJL_rpoBC	nadD//
rplKAJL_rpoBC	mutY//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	coaE//
rpmF_plsX_fabHDG	thrC//fcl//pabA//
rpmH_rnpA	ybjI//kduD//
rpmI_rplT	
rpoBC	ppiB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	rfbC//nrfA//dgcM//
rppH_ptsP	murF//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	pykF//
rpsO_pnp	thiC//nadA//
rpsP_rimM_trmD_rplS	polB//
rpsU_dnaG_rpoD	paaC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	bglA//hcaF//
rsmA_apaGH	nrfC//gstA//
rsmD_yhhL	lsrG//
rsmE_gshB	pyrE//purE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	serS//malQ//tyrB//betA//yihV//xdhA//alr//ulaE//trpA//lpxL//insI-1//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	fabA//
rtcBA	fadM//arnA//
rutABCDEFG	tam//etp//hyaC//panC//hisG//fucI//
ruvAB	mltC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ybjI//
scpA_argK_scpBC	sodB//rluE//ispE//tesA//
sdaCB	mpaA//trpB//
sdhCDAB_sucABCD	argH//ruvC//nth//ldtD//
sdhDAB	
sdhE_cptA	
secB_gpsA	proC//
secE_nusG	
secG_leuU	
secMA_mutT	ispE//
selAB	prpE//allA//
selD_topB	trmI//rlmG//
seqA_pgm	glmS//
serB_radA	entF//
serC_aroA	mhpD//maa//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rfaE//
sgrST_setA	serC//
skp_lpxD_fabZ_lpxA	ddlA//nudB//ribB//
slp_dctR	
solA_yceO	glmM//
speAB	epmC//ribF//
speF_potE	hemC//dut//
srlAEBD_gutM_srlR_gutQ	ispB//mcrA//hisD//
sroG_ribB	yajO//
sspAB	
ssrS_fau	prpB//
ssuEADCB	hcaB//idi//argG//
stfE_tfaE	
sucAB	yegS//gutQ//nudJ//
sucABCD	thiE//murI//lysS//eda//
sufABCDSE	pyrG//
surA_pdxA_rsmA_apaGH	rfbC//nudE//hinT//yhdH//
tag_yiaC	fsaA//
talA_tktB	mocA//entB//
tamAB_ytfP	
tar_tap_cheRBYZ	ppx//glcD//
tatABC	gabT//
tatABCD	codA//metB//
tauABCD	ppiA//rdoA//
tdcABCDEFG	prpC//sodB//entC//panB//fcl//
tdcBCDEFG	ackA//accC//ybbO//glpK//gpsA//
tehAB	ampD//frdC//
tesA_ybbO	ada//mltF//
tff_rpsB_tsf	
tgt_yajC	nth//
thiCEFSGH	glgA//pgaD//tadA//napG//talB//
thiMD	trpE//pepD//
thrLABC	dhaL//hcaC//dmsB//
thrS_infC	truB//
thrS_infC_rpmI_rplT_pheMST_ihfA	kefF//rlmC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	entB//gloB//
tolB_pal_cpoB	
tolC_ygiABC	yajO//tatD//malQ//spoT//polA//selB//rsgA//rne//purF//
tomB_hha	
topAI_yjhQ	
torCAD	fabB//
torYZ	paaZ//
treBC	citG//trpS//
trmI_yggL	efeB//
trpCBA	pgpB//nemA//ltaE//hypB//
trpLEDCBA	rffC//rlmG//ulaF//yigL//lpcA//thiM//
tsaB_yeaY	rsmF//
tsaE_amiB_mutL_miaA_hfq_hflXKC	fsaB//lpxT//hyaA//gstB//recO//
ttdABT	ilvE//yajO//
tyrS_pdxY	ravA//nudF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ansA//puuD//
ubiEJB	mrcA//
udk_dcd	nagK//patZ//
ugpBAECQ	amn//sucA//
uhpABC	
uidABC	aceF//lysA//
ulaABCDEF	serA//yqhD//glnE//ltaE//
umpG_pcm	umuC//entC//
umuDC	allB//
uof_fur	
upp_uraA	rhaA//thiG//
usg_truA_dedA	mhpE//
uvrYC	allD//
uxaCA	rbsD//dxr//
uxuAB	idnO//guaC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	patZ//epd//
waaQGPSBOJYZU	chbF//eptB//cobT//mutH//thiF//hcaE//rsmF//pphB//pfkA//recG//
waaYZ	aroC//hisB//
waaZU	rlmC//panB//
wbbIJK	glpQ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	arnB//pykF//pabA//gatZ//fadK//psuG//
wcaKLM	
wrbA_yccJ	curA//
wza_wzb_wzc	paaJ//gudD//
wza_wzb_wzc_wcaAB	rlmA//mutL//
xanQ_guaD_ghxQ	torZ//dgcZ//allA//
xapAB	cdh//murB//
xdhABC	hisA//
xerD_dsbC_recJ	bcsB//dgoD//
xseB_ispA_dxs_yajO	yqjH//kdsB//galE//paaC//
xylAB	fdhF//rsmD//
xylFGHR	pdeR//
yabPQ	
yacC_speED	gatY//hemF//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rutE//
yafDE	
yafNOP	thiL//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	prmC//narZ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	mhpA//
ybaB_recR	allA//
ybaST	folD//
ybbAP	
ybbY_glxK	purB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	fkpA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	recG//
ybeZY	
ybeZYX_lnt	aspC//
ybfHG	
ybfOC	
ybgA_phr	rlmG//
ybgC_tolQRA	
ybgIJKL_nei	folE//
ybgQPO	
ybhP_clsB_ybhN	dmsC//
ybiYW	
ybjC_nfsA_rimK_ybjN	glpE//sdhD//
ybjJI	folC//
ybjO_rlmC	allE//
ybjQ_amiD	speC//
ycaI_msbA_lpxK_ycaQ	napG//hisS//
ycaR_kdsB	udp//
ycbK_gloC	narH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	fdhF//
yciCB	
yciGFE	
yciK_btuR	purC//
yciVOQ	etp//
yciZT	
ycjMNOPQRSTUV_ymjB	acnB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rsmD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	kdsC//folE//
ydcSTUV_patD	nrfB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	csdA//
ydgK_rsxABCDGE_nth	frdA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	mrcA//ubiA//
ydiJ_menI_ydiH	yhdJ//
ydiNB_aroD	yjeF//lyxK//
ydiQRST_fadK	aroE//
ydjA_selD_topB	nfsB//napA//
ydjLKJIHG	srlD//
ydjXYZ_ynjABCD	
yeaGH	nudI//
yeaR_yoaG	
yeaVW	
yebC_ruvC	hisH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	argS//ispE//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	frdB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yjhH//thiL//
yejABEF	sad//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	uvrA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	treF//
yfbUT	murF//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	frdB//
yfdX_frc_oxc_yfdVE	gadB//mltC//clsB//
yfeCD	
