# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thiI//
entCEBAH	dinB//lpxK//rluE//ansA//hisA//cof//
envY_ompT	lpxH//
epd_pgk	asnS//hemF//
epd_pgk_fbaA	pyrE//rutE//nrdD//
essD_rrrD_rzpD	talB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	gpt//
eutHA	
eutNEJG	
eutSPQTDM	accC//
evgAS	
exbBD	
fabDG_acpP	rihB//hycF//
fabG_acpP	paoB//
fabHDG	nrdA//insI-3//murI//
fabR_yijD	
fadBA	hisD//xapA//
fadD_sroD	lpd//
fadIJ	paaI//gloC//
fdnGHI	
fdoGHI_fdhE	frlB//
fdrA_ylbEF_ybcF	pgi//
fecABCDE	plsB//epmC//
fecIR	
feoABC	dkgA//
fepA_entD	carA//yfiC//pta//
fepDGC	emtA//
fes_ybdZ_entF_fepE	talB//dgcP//galM//
fetAB	
fhuACDB	fabD//ybjG//
ficA_fic_pabA	rph//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	bioC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	rfaE//phoA//
folC_dedD	ydiO//
folD_ybcJ	yneH//
folE_yeiB	ahpC//
folP_glmM	fabD//sthA//
folX_yfcH	napG//
frdABCD	ycaO//
frlABCDR	psd//cpdB//kdgK//uvrA//
frmRAB	cysM//alsK//
fruBKA	tdcG//tyrA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	murD//melA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ttdB//bglX//paaF//ilvG_1//aceA//narG//fsaB//trmI//sbcB//lysS//
ftsQAZ	
ftsYEX	
fucAO	dmsC//fumC//
fucPIKUR	pfkB//malZ//gabD//rfaE//
fumAC	polB//paaC//
fusA_tufA	
gabDTP	ilvG_1//deoB//adk//
gadAX	waaO//
gadBC	ybaS//murG//
gadEF	
gadEF_mdtEF	fabZ//
gadXW	
galET	ubiX//sthA//
galETK	aroH//selB//entB//
galETKM	ybbO//solA//accC//mtn//
gapA_yeaD	pcm//
gapC_1C_2	
garPLRK_rnpB	otsA//fabB//ynjE//gsk//add//plsB//
gatYZABCD	adhE//ycjG//tyrS//
gatZABCD	pdxB//dhaL//metK//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	accD//selD//ubiG//scpA//rlmI//
gcvTHP	ampD//aroG//phnM//
gfcBCD	
gfcE_etp_etk	xylB//dgoA//
ghoST	sucC//
glcBA	nagB//carB//
glcDEFGBA	recO//betB//tyrS//
glf_wbbH	hycF//
glgAP	polB//aphA//
glgBXCAP	fumC//ynfH//thiM//recF//trpB//
glgCAP	hisD//glgA//deoA//
glmUS	aroF//yjjX//
glnALG	rsmB//
glnHPQ	manA//
glnK_amtB	nudE//
glnLG	
glnW_metU_glnVX	
glpABC	idi//
glpEGR	otsA//proA//
glpFKX	adiA//psuG//leuA//
glpGR	hemF//
glpTQ	ilvD//sdhA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	lpxM//
glvCBG_ysdC	
glyQS	apaH//
glyVXY	
glyW_cysT_leuZ	
gntKU	hisD//hycB//
gntRKU	clsC//metE//
gntX_nfuA	
gpmM_envC_yibQ	aceB//ung//
groSL	
gspAB	
gspCDEFGHIJKLMO	ldtC//
guaBA	miaA//sucD//
gudPXD	icd//yihV//
hcaEFCBD	thiI//rlmM//
hcp_hcr	glf//lpxB//
hdeAB_yhiD	
hemA_prfA_prmC	nudL//frlB//
hemCDXY	serS//umuD//
hflD_purB	fabG//
hfq_hflXKC	ruvC//
hicAB	
higBA	purF//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	cdsA//cobB//gshB//adeD//
hipBA	miaB//
hisBHAFI	cof//cpsB//folX//selA//
hisJQMP	hypB//paaJ//
hisLGDCBHAFI	dinB//dusB//oxc//phr//argA//metA//puuB//
hofMNOP	
holC_valS	rfbB//
holD_rimI_yjjG	ynjE//lacZ//
hscBA_fdx_iscX	ppsA//
hsdMS	ycjU//
hsdRMS	napH//
hslRO	
hslVU	rsmA//
hyaABCDEF	
hybOABCDEFG	hisF//
hycABCDEFGHI	glmU//srlD//
hydN_hypF	ligA//
hyfABCDEFGHIJR_focB	thiC//
hypABCDE	scpC//
hypABCDE_fhlA	dmsC//
hypBCDE	sucB//
hypBCDE_fhlA	citD//
iaaA_gsiABCD	yniC//prpE//
ibaG_murA	slt//
ibpAB	
idnDOTR	dusC//sucC//yihU//
ileS_lspA_fkpB_ispH	queD//eda//dgcM//fabG//
ilvEDA	leuD//rutD//trmO//galT//
ilvIH	cyoE//
ilvLXG_1G_2MEDA	yeiG//glmU//lacA//dapE//rihC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	frmA//
insN_1I_1O_1	alsK//
insO_2_yjhWV	
iscRSUA	dgcZ//cysG//
ispDF	rsmJ//azoR//
ispG_sroE	ynfE//
isrC_flu	
ivbL_ilvBN	ddlA//
ivbL_ilvBN_uhpABC	sodB//
kbaZ_agaVWA	xdhA//
kbl_tdh	cheR//wzb//
kdpDE	
kdpFABC	speC//
kdsC_lptCAB	proB//yagE//
kefFC	lpxM//dgcT//
kefGB_yheV	ynjE//
kilR_ydaE	
lacYA	fabA//queD//
lacZYA	melA//citC//prs//
lapAB	
lapAB_pyrF_yciH	fucA//
lepAB	psd//
leuLABCD	ybcF//metE//rsmA//
leuQPV	
leuS_lptE_holA_nadD_cobC	nanA//dgcZ//yihX//
lexA_dinF	
lgt_thyA	ldtD//kbl//
ligA_ypeB	proS//
livKHMGF	cobU//rpiB//
lldPRD	rlmJ//epd//
lolA_rarA	
lolB_ispE_prs	cadA//ackA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	dinB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	phnH//dut//
lptFG	
lspA_fkpB_ispH	bioC//narH//menF//
lsrACDBFG_tam	psd//paaG//tmcA//pabB//
lsrRK	dgoD//
ltaE_ybjT	ycaO//
lysT_valT_lysW	
macAB	fadK//
malEFG	ycjU//
malK_lamB_malM	waaU//glgP//
malPQ	ldcC//insI-1//
malXY	yhdH//gshA//
manXYZ	sodA//
map_glnD_dapD	gdhA//rffM//prpC//
marRAB	
mazEFG	argG//
mcrBC	xthA//
mdlAB	
mdtABCD_baeSR	rfe//
mdtEF	adeD//
mdtJI	ldtD//
mdtM_yjiN	cysH//
mdtNOP	rluB//
melAB	cysJ//ribA//
menA_rraA	bcsB//
menBCE	melA//mhpA//pdxA//
menDHBCE	aroL//phnG//gudD//phnN//frc//
menFDHBCE	poxB//paoA//pyrE//purU//caiC//sucB//
metBL	torY//glxK//
metNIQ	gudD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	thrB//frdC//azoR//
metZWV	
mglAC	dgoA//
mglBAC	ldhA//
mgtLA	ycaO//
mhpABCDFE	rffC//wecB//tag//ltaE//speB//tdcE//
mhpR_lacI	
miaA_hfq_hflXKC	kdsC//btuR//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ilvE//ampC//
mnaT_ydcZ	folD//
mngAB	ygjK//gsk//
mnmG_rsmG	ilvD//thiE//
mntR_ybiR	
moaABCDE	sad//glmM//
moaBCDE	rlmF//
mobAB	ahpC//
modABC	cysJ//
modEF	
moeAB	dxr//mtgA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	yciA//
mqsRA	purM//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	guaB//napC//ilvG_1//proA//alaC//rffT//pykA//hemL//gutQ//waaY//aspC//
mreBCD	
mreCD	
msrPQ	
mtlADR	moeA//pdxA//valS//
mtn_btuF_yadS	accC//nudL//
murB_birA	rhaM//aceA//
murQP	phnP//phnI//napA//
murQP_yfeW	talA//folK//gmd//purU//
mutL_miaA_hfq_hflXKC	ribF//mhpE//gntK//
mutY_yggX	sodC//
mutY_yggX_mltC	mpl//idnD//
mutY_yggX_mltC_nupG	puuA//guaC//rlmL//
nadA_pnuC	torZ//glmM//
nagBAC_umpH	yfcF//citE//cysJ//
nagK_cobB	rfe//aspA//
nanATEK_yhcH	hyaB//hisH//mnmG//uvrC//
nanCM	entE//tag//
nanCMS	menF//rsmF//
napFDAGHBC	waaA//
napFDAGHBC_ccmABCDEFGH	pncA//gmm//
narGHJI	ydjG//
narWV	solA//
narXL	
narZYWV	yihU//
nemRA	alsK//
nemRA_gloA	frdA//acs//
nfrBA	
nhaAR	gatY//
nikABCDER	caiB//
nirBDC_cysG	mcrC//adeD//citE//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	waaS//
nrdAB_yfaE	chbF//
nrdDG	napG//queG//
nrdHIEF	metG//
nrdR_ribDE_nusB_thiL_pgpA	entF//fabZ//rlmF//narI//
nrfABCDEFG	gmd//
nsrR_rnr_rlmB_yjfI	lipA//idnK//
nudB_yebC_ruvC	ahpC//purN//
nudC_hemE_nfi	mak//hemG//
nudF_yqiB_cpdA_yqiA_parE	fadE//yieH//
nuoABCEFGHIJKLMN	rsmG//
nuoMN	cysJ//
ompR_envZ	
opgGH	
oppABCDF	moeA//mnmA//
osmF_yehYXW	mpl//
otsBA	thiC//folE//
paaABCDEFGHIJK	malQ//idnO//pgaC//dam//rutC//epmA//nanA//
paaXY	pdeR//
pabB_nudL	nanE//phnN//
pabC_mltG_tmk_holB_ycfH	speD//idnK//ispA//
panBC	rihC//rhaD//
panE_yajL	rffT//
paoABCD	dgoK//
pcnB_folK	purB//mutH//
pdeI_dgcI	
pdhR_aceEF_lpd	uvrC//scpA//malP//lpxB//lacA//cheR//
pdxA_rsmA	tktA//katE//
pdxA_rsmA_apaGH	tesA//purM//dadX//
pdxB_usg_truA_dedA	aroL//cpdA//
pdxH_tyrS_pdxY	rffC//yggF//fklB//
pdxJ_acpS	yfeX//hisH//
pepQ_yigZ_trkH_hemG	kdsB//pgpC//rsmE//
pflDC	
pgaABCD	ygaP//mhpF//dut//
pgk_fbaA	waaY//hemD//
pgpC_tadA	dhaK//ydfG//
pheLA	waaH//
pheMST_ihfA	rlmJ//
phnCDE_1E_2FGHIJKLMNOP	yliI//fabB//galM//metG//nagB//mhpF//glk//
phnLMNOP	ampD//plsB//tmk//menH//lpxB//
phoA_psiF	tauD//
phoBR	
phoPQ	
pldB_yigL	def//epmB//
plsX_fabHDG	pbpC//rihB//dadX//
pntAB	
potABCD	rlmL//
potFGHI	talB//
poxB_ltaE_ybjT	der//folX//
ppdAB_ygdB_ppdC_recC	gloA//
ppdD_hofBC	
ppiB_lpxH	argF//menF//
ppk_ppx	frdC//ilvD//
pqiAB	
preTA	glyS//
prfB_lysS	rnpB//
priC_ybaM	
prlC_rsmJ	ulaD//lpxK//
prlF_yhaV	rlmH//
prmB_aroC_mepA_yfcA_epmC_yfcL	ynjE//dkgB//phnP//aspC//
proBA	ubiH//garL//
proQ_prc	paaK//
proVWX	gabD//
prpBCDE	recG//talB//adeD//mcrA//
psd_mscM	
pspABCDE	trmH//
pspBCDE	nrdF//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	argH//glpD//
pth_ychF	gltX//
ptrA_recBD	glcD//argE//
ptsA_fsaB_gldA	tauD//fre//
ptsHI_crr	deoC//rluD//citC//
purEK	etk//hycC//
purHD	yqaB//glgC//
purMN	bioB//nanK//
puuAP	dapD//ssuD//
puuCBE	adhE//miaB//sthA//
puuDRCBE	trmA//insI-2//nanM//ruvC//
pyrF_yciH	rlmL//
pyrG_eno	entB//pheT//
pyrLBI	napA//
qmcA_ybbJ	
qseBC	
radA_nadR	mdh//
rapA_rluA	garL//
ratAB	
ravA_viaA	
rbsDACBKR	spoT//ilvE//pykF//
rclABC	
rclBC	
rcnAB	can//
rcsDB	
rcsF_trmO	psd//
rdgB_yggW	argG//
rdoA_dsbA	aphA//arnT//
recAX	
recET_ralR_ydaC_xisR_intR	galU//fkpA//
relA_mazEF	amyA//
relBE	slt//
relBE_hokD	rlmJ//
renD_emrE	dnaE//
rfaD_waaFCL	sdhC//galK//dapA//hcp//
rfbACX	mhpA//ilvH//rluF//srlD//
rfbBDACX	pgm//yghU//manA//acnA//galK//rlmE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	treA//dgcT//nagB//pabA//moaD//pgi//glyA//mgsA//rsmC//
rhaBAD	asd//torY//oxc//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	astC//hcaB//hyaA//
ribF_ileS_lspA_fkpB_ispH	hcaC//aroC//ubiI//metE//dacA//
rimK_ybjN	aceA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gshA//ygeX//argI//paoA//yjiA//yihV//guaB//alaC//lsrG//alsK//
rlmE_ftsH	ribC//ushA//
rlmL_uup	hisD//
rluD_yfiH	lhgO//can//
rluE_nudJ	frdB//pgaD//
rnc_era	ynfE//
rnc_era_recO_pdxJ_acpS	trpE//lpxP//metC//ycjU//
rnlAB	alaA//
rnt_lhr	narV//
rpe_gph_trpS	rfbD//gshA//bacA//
rph_pyrE	glnA//curA//
rpiR_alsBACE	guaB//glpB//
rplJL_rpoBC	trpA//
rplKAJL_rpoBC	valS//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	folB//
rpmF_plsX_fabHDG	recR//aroC//ampD//
rpmH_rnpA	selA//ldtE//
rpmI_rplT	
rpoBC	adk//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	metF//mrcB//lpxB//
rppH_ptsP	spoT//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	paaA//
rpsO_pnp	ansB//argH//
rpsP_rimM_trmD_rplS	caiC//
rpsU_dnaG_rpoD	lpoA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	paaI//wcaJ//
rsmA_apaGH	treA//etp//
rsmD_yhhL	entB//
rsmE_gshB	rsmE//gcvH//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	menI//trmH//adeD//coaE//dmsB//phnL//glpE//ilvI//yeaG//uxuA//argI//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	mmuM//
rtcBA	hemL//iscS//
rutABCDEFG	dosP//gshA//pykA//panE//ribD//cobT//
ruvAB	gcl//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	dgoD//
scpA_argK_scpBC	bioD//thrS//panD//putA//
sdaCB	lldD//pykF//
sdhCDAB_sucABCD	dgoA//prpC//nagB//moaA//
sdhDAB	
sdhE_cptA	
secB_gpsA	ugd//
secE_nusG	
secG_leuU	
secMA_mutT	lgoD//
selAB	cysQ//prpE//
selD_topB	panB//uxuA//
seqA_pgm	phr//
serB_radA	yhdJ//
serC_aroA	purM//mdh//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	pheS//
sgrST_setA	lpoB//
skp_lpxD_fabZ_lpxA	lpxM//narY//cysI//
slp_dctR	
solA_yceO	dkgB//
speAB	yfbT//tehB//
speF_potE	aroH//eutC//
srlAEBD_gutM_srlR_gutQ	adhP//mtlD//eno//
sroG_ribB	dgcP//
sspAB	
ssrS_fau	pta//
ssuEADCB	ghrB//hemB//mnmE//
stfE_tfaE	
sucAB	dosC//yniC//upp//
sucABCD	ubiA//thiH//sufS//thiG//
sufABCDSE	curA//
surA_pdxA_rsmA_apaGH	nadR//ispD//glyS//hemD//
tag_yiaC	acnA//
talA_tktB	hemC//nirD//
tamAB_ytfP	
tar_tap_cheRBYZ	ilvM//rsmH//
tatABC	serA//
tatABCD	narH//idnK//
tauABCD	cysD//arnA//
tdcABCDEFG	ttdB//hyaA//dinB//araB//glgX//
tdcBCDEFG	gmk//aes//fabG//sodB//ilvG_2//
tehAB	pyrH//yeiR//
tesA_ybbO	yihX//rpiB//
tff_rpsB_tsf	
tgt_yajC	fadD//
thiCEFSGH	csdA//queG//hmp//yrfG//mltD//
thiMD	aceE//adhE//
thrLABC	gshB//udp//pfkB//
thrS_infC	pyrE//
thrS_infC_rpmI_rplT_pheMST_ihfA	birA//udp//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	fucI//guaC//
tolB_pal_cpoB	
tolC_ygiABC	nirB//ilvE//guaA//bcsB//dgcM//citF//manA//rhaD//menI//
tomB_hha	
topAI_yjhQ	
torCAD	aroD//
torYZ	paaK//
treBC	dgkA//ilvN//
trmI_yggL	mcrA//
trpCBA	maeA//rfbA//ynfH//ispU//
trpLEDCBA	cysI//mmuM//mnaT//puuB//murA//ubiG//
tsaB_yeaY	acpT//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ygjK//dusB//frmA//mmuM//dgcT//
ttdABT	rluC//yihU//
tyrS_pdxY	waaJ//nanE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ppx//fabD//
ubiEJB	araA//
udk_dcd	coaA//hycE//
ugpBAECQ	cysN//recO//
uhpABC	
uidABC	ileS//rluE//
ulaABCDEF	guaC//gshA//yagE//metC//
umpG_pcm	hemN//nhoA//
umuDC	ulaD//
uof_fur	
upp_uraA	mgsA//torA//
usg_truA_dedA	apaH//
uvrYC	lpxL//
uxaCA	yihX//dnaQ//
uxuAB	nfsB//ugd//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ttdB//waaA//
waaQGPSBOJYZU	abgB//queG//murE//speB//ssuE//ribD//metH//xthA//caiB//narI//
waaYZ	pyrB//paaF//
waaZU	menF//gshB//
wbbIJK	sbcB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	serS//sdhA//menA//kdsD//aspC//rsmG//
wcaKLM	
wrbA_yccJ	prpB//
wza_wzb_wzc	abgA//dadX//
wza_wzb_wzc_wcaAB	hisI//paaK//
xanQ_guaD_ghxQ	aroK//tgt//ubiF//
xapAB	mutY//uxuA//
xdhABC	ppiC//
xerD_dsbC_recJ	folC//yieF//
xseB_ispA_dxs_yajO	ppk//maeB//ybiV//bioC//
xylAB	icd//insI-1//
xylFGHR	dgcM//
yabPQ	
yacC_speED	sdhB//purE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	murQ//
yafDE	
yafNOP	birA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ltaE//rfaD//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	tsaB//
ybaB_recR	gpmM//
ybaST	tsaE//
ybbAP	
ybbY_glxK	ybcF//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pncB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	lgoD//
ybeZY	
ybeZYX_lnt	rnd//
ybfHG	
ybfOC	
ybgA_phr	galT//
ybgC_tolQRA	
ybgIJKL_nei	thiL//
ybgQPO	
ybhP_clsB_ybhN	metC//
ybiYW	
ybjC_nfsA_rimK_ybjN	ynjE//pgpA//
ybjJI	insI-2//
ybjO_rlmC	gapA//
ybjQ_amiD	hisA//
ycaI_msbA_lpxK_ycaQ	mltC//gluQ//
ycaR_kdsB	yjeF//
ycbK_gloC	dapB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	talA//
yciCB	
yciGFE	
yciK_btuR	wcaJ//
yciVOQ	ulaE//
yciZT	
ycjMNOPQRSTUV_ymjB	ttdB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	galU//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rsmI//waaL//
ydcSTUV_patD	pncC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	nirD//
ydgK_rsxABCDGE_nth	ulaD//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	patZ//cysQ//
ydiJ_menI_ydiH	cdh//
ydiNB_aroD	adk//putA//
ydiQRST_fadK	rsmI//
ydjA_selD_topB	arnT//add//
ydjLKJIHG	arsC//
ydjXYZ_ynjABCD	
yeaGH	glyA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	allE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	pdxK//gutQ//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	hisB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	glnA//ilvG_2//
yejABEF	gpmM//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pncA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	murB//
yfbUT	der//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	rbsD//
