# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	btuR//
bioBFCD	paaG//entB//queC//fkpB//
brnQ_proY	lpoB//waaQ//
btuB_murI	roxA//trmL//
btuCED	srlD//araB//
cadBA	yiaK//dusA//
caiCDE	rnpA//yfeW//
caiTABCDE	hycB//paaI//purU//yjeF//lyxK//
carAB	garD//
casABCDE12	ribC//
casDE12	dgkA//
cbpAM	
cbrBC	
ccmABCDEFGH	ppa//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ravA//glnS//srlD//
chiP_ybfN	ydiF//
chpSB	folC//
citCDEFXG	waaL//rbn//ribD//
clpPX	hcaC//nadD//kdgK//argA//
clpX_lon	leuD//gmd//selD//
clsA_yciU	eutB//
cmk_rpsA	entC//
cmoM_mukFEB	
cmtBA_yggPFDC	tyrA//rlmD//
coaE_zapD_yacG	rfaE//
cobUST	deoB//yagE//miaB//
codBA	yagE//maeA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	bioF//
csgBAC	
csgDEFG	rihB//
csiD_lhgO_gabDTP	citD//thiC//dfp//fabA//
cusCFBA	alsK//
cusRS	
cvpA_purF_ubiX	ispD//hpt//
cydAB	rlmL//
cydDC	menH//
cydX_ybgE	ygaP//
cynTS	malQ//thiL//
cynTSX	thiM//gshA//torZ//
cyoABCDE	mhpE//gsk//
cysDNC	nadR//rlmL//
cysJIH	mrdA//rluE//rluE//
cysPUWAM	rsmF//thyA//kdsD//
dadAX	speA//speC//
damX_dam_rpe_gph_trpS	prpE//glgB//hypF//xylA//
dam_rpe_gph_trpS	hycF//zwf//mngB//leuB//
dapA_bamC	prmB//
dapE_ypfN	mutS//
dcm_vsr	maa//
dcuB_fumB	cyoE//metK//
dcuSR	
dcyD_tcyLN	polA//pgk//
ddpXABCDF	glgC//
def_fmt	accD//rhaB//
degQS	speB//opgE//
deoABD	queC//panC//yniC//
deoBD	cobU//rbsK//
deoCABD	accA//aroD//recF//nrdB//
dgoRKADT	fadJ//galT//argD//sucA//
dhaKLM	ftsI//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	leuS//murA//
dinJ_yafQ	speD//
dksA_gluQ	rdoA//
dmsABC	aes//
dnaAN_recF	aroH//
dnaK_tpke11_dnaJ	cpsB//
dnaN_recF	lipB//
dnaTC	
dnaTC_yjjA	
dosCP	purH//murF//
dpiBA	
dppABCDF	dapF//
dsbC_recJ_prfB	suhB//cdsA//
dsbD_yjdC	
dsdXA	ascB//adiA//
dusB_fis	paaA//
dut_slmA	yidA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	pgsA//ilvI//
efeOB	leuB//
efeU_1U_2	
elbB_mtgA	glpQ//
elfDCG_ycbUVF	
emrKY	ymdB//
entCEBAH	fabB//mnmA//slyD//citC//ribB//leuB//
envY_ompT	hmp//
epd_pgk	gmhB//ugd//
epd_pgk_fbaA	selB//fadE//rbsD//
essD_rrrD_rzpD	kdsB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rutE//
eutHA	
eutNEJG	
eutSPQTDM	ansB//
evgAS	
exbBD	
fabDG_acpP	mrcA//ribD//
fabG_acpP	rihA//
fabHDG	cheR//uxuA//pssA//
fabR_yijD	
fadBA	pnp//queG//
fadD_sroD	purH//
fadIJ	deoA//nudB//
fdnGHI	
fdoGHI_fdhE	ppsA//
fdrA_ylbEF_ybcF	yieH//
fecABCDE	gltA//hypF//
fecIR	
feoABC	yagE//
fepA_entD	acpH//puuC//betB//
fepDGC	argI//
fes_ybdZ_entF_fepE	trpD//pheA//nagB//
fetAB	
fhuACDB	arsC//pgpA//
ficA_fic_pabA	narG//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ligB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trpA//mhpB//
folC_dedD	ubiX//
folD_ybcJ	hcaF//
folE_yeiB	lpcA//
folP_glmM	glmM//narV//
folX_yfcH	guaA//
frdABCD	cheR//
frlABCDR	ybjG//mnmE//lpxP//fbaB//
frmRAB	cof//upp//
fruBKA	gloB//folC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	aceA//leuC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	leuC//rffM//waaQ//rihC//nth//trxB//nemA//adhE//puuC//ppiA//
ftsQAZ	
ftsYEX	
fucAO	ruvA//napB//
fucPIKUR	ddlA//mog//dhaK//ybjG//
fumAC	ampH//ymdB//
fusA_tufA	
gabDTP	moeA//aroB//thiK//
gadAX	dinB//
gadBC	purN//frlD//
gadEF	
gadEF_mdtEF	waaZ//
gadXW	
galET	rsmF//guaA//
galETK	rhaB//xdhA//waaP//
galETKM	rlmA//waaQ//argK//cpsG//
gapA_yeaD	argG//
gapC_1C_2	
garPLRK_rnpB	aphA//can//glgB//bcsB//ydiF//yfeW//
gatYZABCD	cyaA//scpC//der//
gatZABCD	ribE//galM//yfiC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rlmH//glgC//ilvE//purA//mnmG//
gcvTHP	dmlA//tehB//pyrH//
gfcBCD	
gfcE_etp_etk	yjjX//hcp//
ghoST	clsB//
glcBA	sad//waaP//
glcDEFGBA	tynA//alaS//dmlA//
glf_wbbH	gudD//
glgAP	guaC//arnC//
glgBXCAP	umpG//avtA//bcsB//trmI//cpdA//
glgCAP	hcp//dusC//orn//
glmUS	lpxM//nadD//
glnALG	argS//
glnHPQ	ligA//
glnK_amtB	metH//
glnLG	
glnW_metU_glnVX	
glpABC	lpxA//
glpEGR	lacZ//cysJ//
glpFKX	pdxK//fabD//fadM//
glpGR	thiI//
glpTQ	pphA//tnaA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	purD//
glvCBG_ysdC	
glyQS	hcaE//
glyVXY	
glyW_cysT_leuZ	
gntKU	hisD//nanE//
gntRKU	malP//phnG//
gntX_nfuA	
gpmM_envC_yibQ	sodB//lplA//
groSL	
gspAB	
gspCDEFGHIJKLMO	mutL//
guaBA	sucB//hypF//
gudPXD	yfiC//waaP//
hcaEFCBD	coaE//dgcT//
hcp_hcr	yfeX//murA//
hdeAB_yhiD	
hemA_prfA_prmC	tdcD//arnT//
hemCDXY	yqjG//ynfF//
hflD_purB	hycB//
hfq_hflXKC	accA//
hicAB	
higBA	sthA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	truD//yjjG//ogt//idnK//
hipBA	argH//
hisBHAFI	add//gcd//phnP//rsgA//
hisJQMP	rhaD//gstB//
hisLGDCBHAFI	fabD//waaQ//rsmD//caiD//etp//epmB//phnO//
hofMNOP	
holC_valS	arnC//
holD_rimI_yjjG	rlmG//katE//
hscBA_fdx_iscX	nrdD//
hsdMS	waaG//
hsdRMS	metF//
hslRO	
hslVU	phnI//
hyaABCDEF	
hybOABCDEFG	acs//
hycABCDEFGHI	coaA//pflB//
hydN_hypF	yihU//
hyfABCDEFGHIJR_focB	ynfE//
hypABCDE	mpl//
hypABCDE_fhlA	ilvM//
hypBCDE	waaU//
hypBCDE_fhlA	nanE//
iaaA_gsiABCD	glpE//adhP//
ibaG_murA	puuD//
ibpAB	
idnDOTR	argH//argA//nhoA//
ileS_lspA_fkpB_ispH	purK//yggF//ygaP//waaF//
ilvEDA	yfbR//hycE//aroA//yqjH//
ilvIH	waaJ//
ilvLXG_1G_2MEDA	hisS//queF//glgC//idnO//yfbR//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	eutB//
insN_1I_1O_1	ppa//
insO_2_yjhWV	
iscRSUA	fes//rsmJ//
ispDF	patA//dadA//
ispG_sroE	purA//
isrC_flu	
ivbL_ilvBN	dfp//
ivbL_ilvBN_uhpABC	ilvM//
kbaZ_agaVWA	asnA//
kbl_tdh	pgpC//waaJ//
kdpDE	
kdpFABC	narV//
kdsC_lptCAB	acpT//thiK//
kefFC	allC//iaaA//
kefGB_yheV	lpcA//
kilR_ydaE	
lacYA	lysS//melA//
lacZYA	uxuB//mqo//hypB//
lapAB	
lapAB_pyrF_yciH	recJ//
lepAB	putA//
leuLABCD	bioB//cpsB//nirD//
leuQPV	
leuS_lptE_holA_nadD_cobC	glpQ//folM//glk//
lexA_dinF	
lgt_thyA	ydiF//bfr//
ligA_ypeB	cobU//
livKHMGF	mcrA//gloA//
lldPRD	prmC//gutQ//
lolA_rarA	
lolB_ispE_prs	cobT//mtgA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	acnA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	nadK//lplA//
lptFG	
lspA_fkpB_ispH	nudK//ydbC//sucD//
lsrACDBFG_tam	dgoK//eptB//tmcA//fklB//
lsrRK	melA//
ltaE_ybjT	glmU//
lysT_valT_lysW	
macAB	slt//
malEFG	hycB//
malK_lamB_malM	kdsC//accC//
malPQ	rhaB//napG//
malXY	paaG//purA//
manXYZ	fsaB//
map_glnD_dapD	cysQ//aroH//allC//
marRAB	
mazEFG	galM//
mcrBC	ppa//
mdlAB	
mdtABCD_baeSR	purK//
mdtEF	thrS//
mdtJI	ahpC//
mdtM_yjiN	mepS//
mdtNOP	thiC//
melAB	udp//birA//
menA_rraA	thiL//
menBCE	alaA//acnB//def//
menDHBCE	upp//eda//rnpB//dgcT//gcvP//
menFDHBCE	icd//yfbT//sodA//pdeH//moaE//lpxM//
metBL	fumC//dgcZ//
metNIQ	lsrK//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	cysE//rhaA//frlC//
metZWV	
mglAC	phr//
mglBAC	wcaJ//
mgtLA	garK//
mhpABCDFE	opgE//yjcS//folD//hemA//ispU//ilvC//
mhpR_lacI	
miaA_hfq_hflXKC	etp//glyS//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pncC//trpC//
mnaT_ydcZ	tsaD//
mngAB	amiD//dgcT//
mnmG_rsmG	ppx//yfdE//
mntR_ybiR	
moaABCDE	epd//garR//
moaBCDE	cysM//
mobAB	idnD//
modABC	yqaB//
modEF	
moeAB	rnb//cpdA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	glgA//
mqsRA	alkB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	narG//caiB//ilvB//phnN//ldtB//dfp//hchA//glpD//rrrD//gstB//hyaA//
mreBCD	
mreCD	
msrPQ	
mtlADR	otsB//bcsZ//nagB//
mtn_btuF_yadS	hypB//nrdB//
murB_birA	ldtE//rnpB//
murQP	mngB//frlB//trmI//
murQP_yfeW	malP//ravA//puuE//ybaS//
mutL_miaA_hfq_hflXKC	nrfD//lgoD//mepS//
mutY_yggX	tsaC//
mutY_yggX_mltC	purT//dgcM//
mutY_yggX_mltC_nupG	rsgA//glpE//tmk//
nadA_pnuC	patD//rlmG//
nagBAC_umpH	ugpQ//folK//nadD//
nagK_cobB	ilvG_2//nadC//
nanATEK_yhcH	nrfC//fabI//puuD//sgbH//
nanCM	mltD//gmm//
nanCMS	dosC//ppa//
napFDAGHBC	ribE//
napFDAGHBC_ccmABCDEFGH	glmM//sdaA//
narGHJI	speG//
narWV	coaE//
narXL	
narZYWV	lpcA//
nemRA	dgcM//
nemRA_gloA	ldtD//sthA//
nfrBA	
nhaAR	thrS//
nikABCDER	polA//
nirBDC_cysG	metH//argA//yggF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	aroA//
nrdAB_yfaE	malQ//
nrdDG	orn//ssuE//
nrdHIEF	phnL//
nrdR_ribDE_nusB_thiL_pgpA	aceE//glnA//iscS//rlmD//
nrfABCDEFG	yagE//
nsrR_rnr_rlmB_yjfI	cmk//citE//
nudB_yebC_ruvC	puuC//nrdE//
nudC_hemE_nfi	queA//ribE//
nudF_yqiB_cpdA_yqiA_parE	frdA//rfbD//
nuoABCEFGHIJKLMN	gss//
nuoMN	ribD//
ompR_envZ	
opgGH	
oppABCDF	fucO//psuG//
osmF_yehYXW	paoC//
otsBA	gadB//glnE//
paaABCDEFGHIJK	abgA//argI//tdcB//nudE//waaY//ldtC//sodA//
paaXY	ogt//
pabB_nudL	emtA//nudC//
pabC_mltG_tmk_holB_ycfH	pspE//alaC//cynT//
panBC	mnmG//aceE//
panE_yajL	lpxT//
paoABCD	sthA//
pcnB_folK	tdcB//sodA//
pdeI_dgcI	
pdhR_aceEF_lpd	aroF//glcE//ansB//dnaQ//dapF//gss//
pdxA_rsmA	cysK//tcdA//
pdxA_rsmA_apaGH	ppiA//mrdA//nanK//
pdxB_usg_truA_dedA	thyA//glgP//
pdxH_tyrS_pdxY	kduD//caiB//ymdB//
pdxJ_acpS	asnA//ahr//
pepQ_yigZ_trkH_hemG	pck//yfdR//gshA//
pflDC	
pgaABCD	metC//paaZ//betA//
pgk_fbaA	ubiX//recR//
pgpC_tadA	cysD//lysS//
pheLA	yrfG//
pheMST_ihfA	arnB//
phnCDE_1E_2FGHIJKLMNOP	ilvG_2//putA//carB//uvrA//phnI//pgm//manA//
phnLMNOP	hisH//napG//narH//dmsB//gph//
phoA_psiF	talB//
phoBR	
phoPQ	
pldB_yigL	nudL//pheT//
plsX_fabHDG	glpC//yagE//pfkA//
pntAB	
potABCD	allE//
potFGHI	thrC//
poxB_ltaE_ybjT	paaH//apt//
ppdAB_ygdB_ppdC_recC	mutY//
ppdD_hofBC	
ppiB_lpxH	nudI//tktB//
ppk_ppx	tesB//pdxJ//
pqiAB	
preTA	ltaE//
prfB_lysS	galU//
priC_ybaM	
prlC_rsmJ	yjjG//entH//
prlF_yhaV	polA//
prmB_aroC_mepA_yfcA_epmC_yfcL	serB//lpoA//nudE//torA//
proBA	mak//ubiH//
proQ_prc	menB//
proVWX	phnH//
prpBCDE	glk//gsk//pyrF//ghrA//
psd_mscM	
pspABCDE	sdaB//
pspBCDE	amyA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ispD//gloC//
pth_ychF	mog//
ptrA_recBD	mtn//glf//
ptsA_fsaB_gldA	cysG//gstA//
ptsHI_crr	paaE//argH//gcvP//
purEK	purF//nrdE//
purHD	pheT//cheB//
purMN	cpsG//tktA//
puuAP	pldB//sdaB//
puuCBE	umuC//ung//eutD//
puuDRCBE	murG//alkA//dapF//rhaM//
pyrF_yciH	deoD//
pyrG_eno	trxB//yeaG//
pyrLBI	gmm//
qmcA_ybbJ	
qseBC	
radA_nadR	ynfG//
rapA_rluA	rlmJ//
ratAB	
ravA_viaA	
rbsDACBKR	chbF//leuC//mug//
rclABC	
rclBC	
rcnAB	icd//
rcsDB	
rcsF_trmO	dinB//
rdgB_yggW	cysK//
rdoA_dsbA	aldA//apaH//
recAX	
recET_ralR_ydaC_xisR_intR	speF//hemL//
relA_mazEF	wrbA//
relBE	panE//
relBE_hokD	yciA//
renD_emrE	scpC//
rfaD_waaFCL	mog//caiD//bglA//glmM//
rfbACX	yhhW//phnN//puuE//dam//
rfbBDACX	glpE//phnG//aceF//yggF//lpxB//araB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	glmM//udp//sgbE//dut//nemA//sgbH//betA//fadE//ygiF//
rhaBAD	cheR//melA//rfaD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	fucA//dsdA//nemA//
ribF_ileS_lspA_fkpB_ispH	yceF//ydiB//appA//gadB//rluF//
rimK_ybjN	phoA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pyrF//ascB//yfbT//fkpA//deoD//kduI//rsmI//hisB//gcd//folM//
rlmE_ftsH	ppiB//rutA//
rlmL_uup	dusA//
rluD_yfiH	aroD//slyD//
rluE_nudJ	rsmF//prs//
rnc_era	pyrC//
rnc_era_recO_pdxJ_acpS	cyoE//rluC//narZ//fabD//
rnlAB	hemN//
rnt_lhr	purB//
rpe_gph_trpS	hycG//ilvA//gadA//
rph_pyrE	tesB//mocA//
rpiR_alsBACE	clsA//miaB//
rplJL_rpoBC	paaY//
rplKAJL_rpoBC	yjhH//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	paaY//
rpmF_plsX_fabHDG	cysC//ansA//folC//
rpmH_rnpA	add//manA//
rpmI_rplT	
rpoBC	purC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	fumA//thyA//dmlA//
rppH_ptsP	cdd//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ttdB//
rpsO_pnp	leuB//leuA//
rpsP_rimM_trmD_rplS	mutM//
rpsU_dnaG_rpoD	yhdJ//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	hcaC//garR//
rsmA_apaGH	wzc//glcB//
rsmD_yhhL	galT//
rsmE_gshB	idnD//can//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	udp//ampD//glcE//dnaE//btuR//hemC//lysU//rlmD//rutD//hdhA//sdhA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	rsuA//
rtcBA	lpxM//sdaB//
rutABCDEFG	astA//yihX//purB//rpiA//napC//accC//
ruvAB	rfbA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rpiB//
scpA_argK_scpBC	ldcA//folP//fucU//ilvA//
sdaCB	torY//xapA//
sdhCDAB_sucABCD	amyA//dacD//aes//gloA//
sdhDAB	
sdhE_cptA	
secB_gpsA	hdhA//
secE_nusG	
secG_leuU	
secMA_mutT	pykA//
selAB	aroC//narI//
selD_topB	aspS//preA//
seqA_pgm	bioD//
serB_radA	solA//
serC_aroA	relA//nrdA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rhaA//
sgrST_setA	entB//
skp_lpxD_fabZ_lpxA	ilvI//yihS//acpS//
slp_dctR	
solA_yceO	glgB//
speAB	ynjE//sdaB//
speF_potE	ydiF//patZ//
srlAEBD_gutM_srlR_gutQ	lpxK//glxR//ampD//
sroG_ribB	appA//
sspAB	
ssrS_fau	bioA//
ssuEADCB	ndk//fklB//waaA//
stfE_tfaE	
sucAB	dcyD//rfaE//ascB//
sucABCD	pdxK//arnB//purK//ldtD//
sufABCDSE	hisA//
surA_pdxA_rsmA_apaGH	fabD//phnN//aphA//pyrH//
tag_yiaC	deoB//
talA_tktB	cmoA//yajO//
tamAB_ytfP	
tar_tap_cheRBYZ	bacA//pgi//
tatABC	anmK//
tatABCD	clsA//gltD//
tauABCD	rihC//treA//
tdcABCDEFG	pgi//paoC//yahK//sdhB//narH//
tdcBCDEFG	dnaQ//rsmI//yqjH//alaS//putA//
tehAB	abgA//eptB//
tesA_ybbO	suhB//ybjG//
tff_rpsB_tsf	
tgt_yajC	murD//
thiCEFSGH	tsaC//yfeX//rlmE//preT//ugpQ//
thiMD	ynjE//ymdB//
thrLABC	gapA//asnA//hinT//
thrS_infC	prpD//
thrS_infC_rpmI_rplT_pheMST_ihfA	gutQ//glcD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	tig//fumC//
tolB_pal_cpoB	
tolC_ygiABC	prpE//murD//paoA//pck//torC//aroK//gltX//torC//etp//
tomB_hha	
topAI_yjhQ	
torCAD	atoD//
torYZ	fdhF//
treBC	pyrF//recO//
trmI_yggL	pdeR//
trpCBA	mog//serB//rfaD//entC//
trpLEDCBA	ybdL//bglA//rnpA//dosC//mobA//pgl//
tsaB_yeaY	tesB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	eno//gltD//rimK//clsC//codA//
ttdABT	ddlA//glf//
tyrS_pdxY	insI-3//fabI//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rluF//yjhH//
ubiEJB	glxR//
udk_dcd	cysM//tehB//
ugpBAECQ	mhpF//xdhC//
uhpABC	
uidABC	rnd//sufS//
ulaABCDEF	psuG//tsaB//xylB//yfbT//
umpG_pcm	nagZ//wecC//
umuDC	gluQ//
uof_fur	
upp_uraA	rlmA//fadI//
usg_truA_dedA	tmk//
uvrYC	pinE//
uxaCA	rnpB//rffH//
uxuAB	ppiB//talA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	talB//cysQ//
waaQGPSBOJYZU	gabD//argD//insI-2//rpe//garL//rutE//uidA//waaB//fau//rsmA//
waaYZ	truA//yneH//
waaZU	katG//mhpA//
wbbIJK	rdgB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ldtB//waaA//truB//pgaC//recG//ubiX//
wcaKLM	
wrbA_yccJ	ubiA//
wza_wzb_wzc	tadA//umpH//
wza_wzb_wzc_wcaAB	mcrC//menH//
xanQ_guaD_ghxQ	tyrA//folP//narI//
xapAB	citF//aroB//
xdhABC	cysJ//
xerD_dsbC_recJ	nudG//pldA//
xseB_ispA_dxs_yajO	maa//prpC//aceF//cysS//
xylAB	dmsA//birA//
xylFGHR	tmk//
yabPQ	
yacC_speED	mazG//fabD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	gatD//
yafDE	
yafNOP	epmA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	galT//fes//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	purA//
ybaB_recR	ilvG_1//
ybaST	recJ//
ybbAP	
ybbY_glxK	yigL//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	eno//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	nfsB//
ybeZY	
ybeZYX_lnt	adhE//
ybfHG	
ybfOC	
ybgA_phr	pagP//
ybgC_tolQRA	
ybgIJKL_nei	trmA//
ybgQPO	
ybhP_clsB_ybhN	aslA//
ybiYW	
ybjC_nfsA_rimK_ybjN	eptA//eutC//
ybjJI	alsE//
ybjO_rlmC	fucA//
ybjQ_amiD	metB//
ycaI_msbA_lpxK_ycaQ	purA//lpxL//
ycaR_kdsB	apaH//
ycbK_gloC	nudF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	aroD//
yciCB	
yciGFE	
yciK_btuR	yciV//
yciVOQ	tilS//
yciZT	
ycjMNOPQRSTUV_ymjB	ybjI//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	hisC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	asnA//dnaQ//
ydcSTUV_patD	sucC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ribF//
ydgK_rsxABCDGE_nth	tehB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	menH//eutC//
ydiJ_menI_ydiH	guaA//
ydiNB_aroD	rfe//waaJ//
ydiQRST_fadK	thiI//
ydjA_selD_topB	frlC//trmD//
ydjLKJIHG	mltB//
ydjXYZ_ynjABCD	
yeaGH	murG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fadH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	oxc//thiK//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yajO//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	alsE//atoA//
yejABEF	lsrF//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	dxs//
yfaX_rhmD	
yfaX_rhmD_yfaVU	malP//
yfbUT	yihX//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cadA//
