# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
fdoGHI_fdhE	hyaA//
fdrA_ylbEF_ybcF	rihA//
fecABCDE	rihA//azoR//
fecIR	
feoABC	rlmE//
fepA_entD	rpe//fabB//nrdA//
fepDGC	menB//
fes_ybdZ_entF_fepE	allA//fucK//thiK//
fetAB	
fhuACDB	narI//ynfE//
ficA_fic_pabA	def//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	trmI//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	lpcA//proC//
folC_dedD	fabZ//
folD_ybcJ	thiL//
folE_yeiB	eda//
folP_glmM	tatD//mutY//
folX_yfcH	hycB//
frdABCD	wcaJ//
frlABCDR	metE//cyoE//argI//pdxH//
frmRAB	rluF//rsmG//
fruBKA	add//paoC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	hemF//aroE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pyrE//hemH//torY//menH//phnH//eutC//tyrA//ybhA//mhpF//citF//
ftsQAZ	
ftsYEX	
fucAO	katE//ppk//
fucPIKUR	aroF//pgpA//mug//bioH//
fumAC	arnT//acpH//
fusA_tufA	
gabDTP	ispF//relA//kdgK//
gadAX	gmk//
gadBC	aroC//rihA//
gadEF	
gadEF_mdtEF	yajO//
gadXW	
galET	hemD//edd//
galETK	scpC//glmM//rsmE//
galETKM	waaG//hyaB//eptA//napH//
gapA_yeaD	mltB//
gapC_1C_2	
garPLRK_rnpB	ygaP//tdk//glmU//selA//hycF//argE//
gatYZABCD	glpK//ung//rluB//
gatZABCD	rlmJ//ppc//ilvM//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	gldA//cysC//valS//tesA//tsaB//
gcvTHP	ugd//ilvD//mrcB//
gfcBCD	
gfcE_etp_etk	argI//serS//
ghoST	hflX//
glcBA	astA//nudK//
glcDEFGBA	ppk//ycjU//rhaD//
glf_wbbH	lpxC//
glgAP	hemH//yneH//
glgBXCAP	frlC//purH//waaH//mtn//nfi//
glgCAP	lpxT//ilvB//dgt//
glmUS	wrbA//yfiH//
glnALG	dnaQ//
glnHPQ	yjhH//
glnK_amtB	btuE//
glnLG	
glnW_metU_glnVX	
glpABC	hemL//
glpEGR	fcl//sthA//
glpFKX	treA//argK//yfiC//
glpGR	pgpB//
glpTQ	yccX//sdaA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yrfG//
glvCBG_ysdC	
glyQS	glgP//
glyVXY	
glyW_cysT_leuZ	
gntKU	accD//metL//
gntRKU	mug//rutA//
gntX_nfuA	
gpmM_envC_yibQ	nadE//fucU//
groSL	
gspAB	
gspCDEFGHIJKLMO	phr//
guaBA	selD//gabD//
gudPXD	aceB//dam//
hcaEFCBD	guaA//xdhA//
hcp_hcr	frc//gcl//
hdeAB_yhiD	
hemA_prfA_prmC	prpC//mcrC//
hemCDXY	waaB//acpT//
hflD_purB	maa//
hfq_hflXKC	ulaG//
hicAB	
higBA	tynA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	gabD//uxuA//menF//selD//
hipBA	rbn//
hisBHAFI	lipB//leuS//pfkB//pyrB//
hisJQMP	nanM//yfcF//
hisLGDCBHAFI	metF//cysJ//frdC//ushA//arnC//hemH//dgkA//
hofMNOP	
holC_valS	insI-2//
holD_rimI_yjjG	rlmL//yjcS//
hscBA_fdx_iscX	bglB//
hsdMS	polA//
hsdRMS	gltD//
hslRO	
hslVU	hemH//
hyaABCDEF	
hybOABCDEFG	mrcB//
hycABCDEFGHI	yiaK//phnJ//
hydN_hypF	ubiA//
hyfABCDEFGHIJR_focB	dgcT//
hypABCDE	thiH//
hypABCDE_fhlA	kdsA//
hypBCDE	ppiB//
hypBCDE_fhlA	torZ//
iaaA_gsiABCD	eptB//ackA//
ibaG_murA	trmJ//
ibpAB	
idnDOTR	mltD//uxaC//fklB//
ileS_lspA_fkpB_ispH	prmB//aceE//glnS//aceE//
ilvEDA	mrdA//phnI//yjjX//feaB//
ilvIH	aroG//
ilvLXG_1G_2MEDA	hisI//guaA//fadI//lacA//paaK//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ribC//
insN_1I_1O_1	menE//
insO_2_yjhWV	
iscRSUA	gor//pgpB//
ispDF	ilvM//lipA//
ispG_sroE	sufS//
isrC_flu	
ivbL_ilvBN	xdhA//
ivbL_ilvBN_uhpABC	ahpC//
kbaZ_agaVWA	ydiF//
kbl_tdh	katE//tsaC//
kdpDE	
kdpFABC	yjhH//
kdsC_lptCAB	ribC//alkA//
kefFC	nrdD//dgcT//
kefGB_yheV	cobU//
kilR_ydaE	
lacYA	mrcA//lldD//
lacZYA	moaA//yqhD//hflX//
lapAB	
lapAB_pyrF_yciH	ndh//
lepAB	rne//
leuLABCD	fabF//citE//putA//
leuQPV	
leuS_lptE_holA_nadD_cobC	phnM//ampC//pncA//
lexA_dinF	
lgt_thyA	yiaK//mnmG//
ligA_ypeB	fbaA//
livKHMGF	mcrB//gdhA//
lldPRD	ilvN//opgB//
lolA_rarA	
lolB_ispE_prs	fabD//phnN//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ackA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ldcA//epmC//
lptFG	
lspA_fkpB_ispH	paaB//ynfH//nanM//
lsrACDBFG_tam	nanE//mmuM//arnT//dcm//
lsrRK	lysS//
ltaE_ybjT	add//
lysT_valT_lysW	
macAB	wcaJ//
malEFG	ulaE//
malK_lamB_malM	lpxD//ribA//
malPQ	recR//glpK//
malXY	rnpA//kdsA//
manXYZ	ndh//
map_glnD_dapD	aldB//wzc//fcl//
marRAB	
mazEFG	gcl//
mcrBC	gmk//
mdlAB	
mdtABCD_baeSR	pabC//
mdtEF	frmB//
mdtJI	menE//
mdtM_yjiN	sgbU//
mdtNOP	nadR//
melAB	cysD//nadA//
menA_rraA	pyrD//
menBCE	dgoA//yihS//ribC//
menDHBCE	gabT//ilvI//glpX//efeB//hinT//
menFDHBCE	yfdE//aceF//trmI//manA//nanK//anmK//
metBL	pdeR//hycD//
metNIQ	scpA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ulaD//abgA//waaU//
metZWV	
mglAC	argH//
mglBAC	rsmD//
mgtLA	ubiG//
mhpABCDFE	dhaL//yfcF//orn//metC//menF//accC//
mhpR_lacI	
miaA_hfq_hflXKC	mhpC//rnpB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pgaB//yigL//
mnaT_ydcZ	opgE//
mngAB	pyrE//pabB//
mnmG_rsmG	dhaM//hisH//
mntR_ybiR	
moaABCDE	nudG//alsE//
moaBCDE	nirB//
mobAB	pdxY//
modABC	coaD//
modEF	
moeAB	astB//ilvH//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	yegS//
mqsRA	mcrB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	thrC//lhgO//gpp//amyA//ilvG_1//dacA//oxc//folB//gstB//moaA//trmL//
mreBCD	
mreCD	
msrPQ	
mtlADR	alaC//murA//ilvC//
mtn_btuF_yadS	yfcF//alr//
murB_birA	acnB//coaD//
murQP	menE//ldtE//ltaE//
murQP_yfeW	yqjG//astC//rlmF//lpxH//
mutL_miaA_hfq_hflXKC	gatD//mnaT//dgcC//
mutY_yggX	nudJ//
mutY_yggX_mltC	wecC//betA//
mutY_yggX_mltC_nupG	paaY//lsrF//rsmI//
nadA_pnuC	pdxJ//lpxH//
nagBAC_umpH	fruK//ppk//speC//
nagK_cobB	folX//speD//
nanATEK_yhcH	rutD//nadD//allC//pgk//
nanCM	avtA//tehB//
nanCMS	yeiG//sodC//
napFDAGHBC	mngB//
napFDAGHBC_ccmABCDEFGH	alr//yidA//
narGHJI	scpA//
narWV	aceF//
narXL	
narZYWV	scpA//
nemRA	fadK//
nemRA_gloA	ddlB//dosP//
nfrBA	
nhaAR	mdh//
nikABCDER	ispU//
nirBDC_cysG	dapA//abgA//lplA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rbsD//
nrdAB_yfaE	metB//
nrdDG	nrdA//dusB//
nrdHIEF	argK//
nrdR_ribDE_nusB_thiL_pgpA	astD//mazG//yajO//lpxT//
nrfABCDEFG	mnaT//
nsrR_rnr_rlmB_yjfI	epmA//aroK//
nudB_yebC_ruvC	opgB//gpt//
nudC_hemE_nfi	speB//thrB//
nudF_yqiB_cpdA_yqiA_parE	xdhB//prmB//
nuoABCEFGHIJKLMN	pyrH//
nuoMN	allD//
ompR_envZ	
opgGH	
oppABCDF	slyD//speG//
osmF_yehYXW	lsrK//
otsBA	slt//metA//
paaABCDEFGHIJK	yagF//xdhB//menI//yiaY//galE//malP//purF//
paaXY	ispU//
pabB_nudL	ppiC//guaB//
pabC_mltG_tmk_holB_ycfH	lysS//speD//yghA//
panBC	trmO//prpC//
panE_yajL	nadE//
paoABCD	bglA//
pcnB_folK	ybjG//rfaD//
pdeI_dgcI	
pdhR_aceEF_lpd	panB//murE//ybhA//sad//malS//ldtD//
pdxA_rsmA	cysC//hflX//
pdxA_rsmA_apaGH	pdxA//gcvT//fau//
pdxB_usg_truA_dedA	hycE//mcrA//
pdxH_tyrS_pdxY	epmA//pspE//narG//
pdxJ_acpS	yghU//alr//
pepQ_yigZ_trkH_hemG	hemB//ygaP//mngB//
pflDC	
pgaABCD	pfkA//hisC//bcsB//
pgk_fbaA	nanM//yicI//
pgpC_tadA	abgA//umuC//
pheLA	udp//
pheMST_ihfA	argD//
phnCDE_1E_2FGHIJKLMNOP	torZ//panE//ligB//yjeF//pyrE//fsaB//nirB//
phnLMNOP	mug//bfr//ycjG//tcdA//pncB//
phoA_psiF	yegS//
phoBR	
phoPQ	
pldB_yigL	murA//nagB//
plsX_fabHDG	acpT//xdhC//hcaB//
pntAB	
potABCD	ydfG//
potFGHI	ugpQ//
poxB_ltaE_ybjT	ftsI//hemL//
ppdAB_ygdB_ppdC_recC	acpS//
ppdD_hofBC	
ppiB_lpxH	manA//hisC//
ppk_ppx	slt//uxaB//
pqiAB	
preTA	aroA//
prfB_lysS	nagB//
priC_ybaM	
prlC_rsmJ	ydbC//tag//
prlF_yhaV	nudC//
prmB_aroC_mepA_yfcA_epmC_yfcL	mcrB//rne//glpC//selA//
proBA	ppiB//pdeF//
proQ_prc	lacZ//
proVWX	nanE//
prpBCDE	cpsG//aroE//abgB//cysE//
psd_mscM	
pspABCDE	ilvC//
pspBCDE	caiA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	dmsB//yeiG//
pth_ychF	codA//
ptrA_recBD	melA//ligA//
ptsA_fsaB_gldA	lpoA//fabF//
ptsHI_crr	mltF//arnT//prmB//
purEK	phnL//pfkA//
purHD	yhhW//pgpA//
purMN	recF//mpaA//
puuAP	lpxP//nrdD//
puuCBE	dfp//nfsA//metK//
puuDRCBE	ispG//gsk//bglX//ftnA//
pyrF_yciH	lpxT//
pyrG_eno	cobT//purA//
pyrLBI	tdcD//
qmcA_ybbJ	
qseBC	
radA_nadR	gcvT//
rapA_rluA	atoA//
ratAB	
ravA_viaA	
rbsDACBKR	efeB//nadB//guaD//
rclABC	
rclBC	
rcnAB	lldD//
rcsDB	
rcsF_trmO	rpiB//
rdgB_yggW	uxuA//
rdoA_dsbA	ldtB//phnN//
recAX	
recET_ralR_ydaC_xisR_intR	rluC//gatD//
relA_mazEF	serA//
relBE	rffC//
relBE_hokD	phnI//
renD_emrE	folA//
rfaD_waaFCL	dcd//tehB//yihU//wecB//
rfbACX	yccX//rutE//hycB//entF//
rfbBDACX	yjjG//dxr//gcvT//truD//dhaL//gdhA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	abgB//metL//phoA//mltB//lpxM//speC//lysA//cysJ//cysD//
rhaBAD	dgcP//yigB//argC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	preT//btuE//carA//
ribF_ileS_lspA_fkpB_ispH	waaU//gltB//hcaF//recF//glgA//
rimK_ybjN	dcm//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ppiB//mltB//nudC//rph//caiC//rsmH//aroD//aroA//paaH//recO//
rlmE_ftsH	fkpB//trpE//
rlmL_uup	araB//
rluD_yfiH	hycE//cpsB//
rluE_nudJ	arnB//ybiV//
rnc_era	ogt//
rnc_era_recO_pdxJ_acpS	thiD//astB//ispA//murD//
rnlAB	purD//
rnt_lhr	maeB//
rpe_gph_trpS	rpe//ybiV//atoB//
rph_pyrE	araD//ispE//
rpiR_alsBACE	hcaB//dgcM//
rplJL_rpoBC	gluQ//
rplKAJL_rpoBC	mngB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	zwf//
rpmF_plsX_fabHDG	pphB//nudC//rsmD//
rpmH_rnpA	prs//alaA//
rpmI_rplT	
rpoBC	nfsB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	yeiG//sufS//bioF//
rppH_ptsP	rlmJ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	murA//
rpsO_pnp	deoB//mnmA//
rpsP_rimM_trmD_rplS	ybcF//
rpsU_dnaG_rpoD	gdhA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	speB//clsB//
rsmA_apaGH	glpK//dxs//
rsmD_yhhL	rutB//
rsmE_gshB	yohF//gntK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aroL//dgcP//waaZ//pagP//cmoA//mepS//cysQ//gpmA//arnA//thyA//hypF//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	tnaA//
rtcBA	katG//adk//
rutABCDEFG	asnB//ulaD//guaC//glxK//rdoA//dgoK//
ruvAB	pinE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rrrD//
scpA_argK_scpBC	puuA//proB//rutE//trmD//
sdaCB	rpiB//waaB//
sdhCDAB_sucABCD	pagP//relA//lpxD//deoA//
sdhDAB	
sdhE_cptA	
secB_gpsA	clsB//
secE_nusG	
secG_leuU	
secMA_mutT	rffH//
selAB	aspC//adhE//
selD_topB	ybjG//tsaB//
seqA_pgm	nrfB//
serB_radA	waaF//
serC_aroA	glcB//mnmG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	nudI//
sgrST_setA	gshB//
skp_lpxD_fabZ_lpxA	puuC//mhpD//mgsA//
slp_dctR	
solA_yceO	ybdL//
speAB	dapA//nudG//
speF_potE	murI//rffH//
srlAEBD_gutM_srlR_gutQ	ugd//ansB//hemN//
sroG_ribB	yghU//
sspAB	
ssrS_fau	cobC//
ssuEADCB	acpT//melA//idnK//
stfE_tfaE	
sucAB	purL//chbG//eutC//
sucABCD	slt//dhaK//mak//dgoA//
sufABCDSE	queF//
surA_pdxA_rsmA_apaGH	nrfB//ispU//relA//abgB//
tag_yiaC	hyi//
talA_tktB	folK//hinT//
tamAB_ytfP	
tar_tap_cheRBYZ	gloB//yghU//
tatABC	galT//
tatABCD	trxB//hemC//
tauABCD	rffG//mltA//
tdcABCDEFG	araA//ogt//ilvM//mobA//citE//
tdcBCDEFG	thrA//tyrB//astA//prpC//truC//
tehAB	ribD//rihA//
tesA_ybbO	cynS//ttdB//
tff_rpsB_tsf	
tgt_yajC	accD//
thiCEFSGH	folM//scpA//rlmE//cobU//thiK//
thiMD	ydjG//mutM//
thrLABC	pabA//torY//rph//
thrS_infC	pgpA//
thrS_infC_rpmI_rplT_pheMST_ihfA	rhaB//gsk//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	cysD//ubiD//
tolB_pal_cpoB	
tolC_ygiABC	hisA//fdhF//bglX//rph//qor//fabZ//fbaA//tsaD//fes//
tomB_hha	
topAI_yjhQ	
torCAD	accC//
torYZ	purD//
treBC	mltF//fucK//
trmI_yggL	cysJ//
trpCBA	rpiB//hcaC//nudF//entD//
trpLEDCBA	ubiF//glpQ//mgsA//birA//gcvT//gcvP//
tsaB_yeaY	fadH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	tsaC//phoA//serA//frdD//upp//
ttdABT	argI//truC//
tyrS_pdxY	pfkB//rlmE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	narY//kdsC//
ubiEJB	hcaB//
udk_dcd	yhhW//gabT//
ugpBAECQ	ilvH//hmp//
uhpABC	
uidABC	ycjG//accB//
ulaABCDEF	plsC//dgcZ//dgt//prmC//
umpG_pcm	astB//rffG//
umuDC	can//
uof_fur	
upp_uraA	glpC//fadI//
usg_truA_dedA	folC//
uvrYC	allE//
uxaCA	uidA//mpl//
uxuAB	cpdB//folP//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	luxS//nth//
waaQGPSBOJYZU	ampC//cysD//wrbA//gstA//ulaE//rnpB//cysM//rffM//acnB//rnpA//
waaYZ	rsuA//nanA//
waaZU	menD//yieH//
wbbIJK	mgsA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	frlC//ruvA//eptC//lpxD//ispH//queG//
wcaKLM	
wrbA_yccJ	glgC//
wza_wzb_wzc	dacD//bioA//
wza_wzb_wzc_wcaAB	fbaA//gapA//
xanQ_guaD_ghxQ	lyxK//trmL//pyrI//
xapAB	rutC//murE//
xdhABC	paoC//
xerD_dsbC_recJ	solA//glyQ//
xseB_ispA_dxs_yajO	alr//ppc//murE//tauD//
xylAB	sucD//gltB//
xylFGHR	hisG//
yabPQ	
yacC_speED	dmlA//cysG//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rne//
yafDE	
yafNOP	nudC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	codA//panE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ubiX//
ybaB_recR	wecC//
ybaST	kbl//
ybbAP	
ybbY_glxK	frc//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	cobS//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	dosC//
ybeZY	
ybeZYX_lnt	der//
ybfHG	
ybfOC	
ybgA_phr	rutD//
ybgC_tolQRA	
ybgIJKL_nei	pphB//
ybgQPO	
ybhP_clsB_ybhN	gcvP//
ybiYW	
ybjC_nfsA_rimK_ybjN	nadC//ispD//
ybjJI	relA//
ybjO_rlmC	dnaE//
ybjQ_amiD	wbbI//
ycaI_msbA_lpxK_ycaQ	rsmF//ynfG//
ycaR_kdsB	xdhA//
ycbK_gloC	pyrE//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	mtn//
yciCB	
yciGFE	
yciK_btuR	metL//
yciVOQ	murG//
yciZT	
ycjMNOPQRSTUV_ymjB	nadA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pheT//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fsaA//aes//
ydcSTUV_patD	hcaD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ansA//
ydgK_rsxABCDGE_nth	rnpB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	trpE//yihU//
ydiJ_menI_ydiH	moeB//
ydiNB_aroD	nagB//allA//
ydiQRST_fadK	rfbA//
ydjA_selD_topB	nth//tyrB//
ydjLKJIHG	gmd//
ydjXYZ_ynjABCD	
yeaGH	bacA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	adk//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	leuB//slt//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pta//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	xdhB//mdh//
yejABEF	dgoA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	menC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	emtA//
yfbUT	rutE//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	astD//
