# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sbcB//
bglH_yieLK	
bioBFCD	thiK//cobT//betA//fadB//
brnQ_proY	alkB//ahpF//
btuB_murI	glmS//abgA//
btuCED	pheT//sodC//
cadBA	ubiH//rhaM//
caiCDE	pykA//narG//
caiTABCDE	sdaB//thrS//rffG//gabD//ybhA//
carAB	aceF//
casABCDE12	nfi//
casDE12	tesA//
cbpAM	
cbrBC	
ccmABCDEFGH	idnD//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ilvH//polA//yciA//
chiP_ybfN	ydiF//
chpSB	rpiB//
citCDEFXG	hcp//emtA//moaD//
clpPX	narY//ubiG//dgkA//recO//
clpX_lon	paaE//dosC//purB//
clsA_yciU	mhpD//
cmk_rpsA	apaH//
cmoM_mukFEB	
cmtBA_yggPFDC	ulaG//bioC//
coaE_zapD_yacG	mtgA//
cobUST	carB//thrS//nagZ//
codBA	proA//tpiA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	argH//
csgBAC	
csgDEFG	lipA//
csiD_lhgO_gabDTP	sucC//dacD//etp//kdgK//
cusCFBA	lacA//
cusRS	
cvpA_purF_ubiX	ascB//ispB//
cydAB	bioD//
cydDC	yjhG//
cydX_ybgE	tdcB//
cynTS	bioD//kduD//
cynTSX	rluD//glpK//alaS//
cyoABCDE	yidA//sdhC//
cysDNC	amyA//tdh//
cysJIH	ppiC//rffT//polA//
cysPUWAM	rbsD//psuG//aspA//
dadAX	paaJ//gshA//
damX_dam_rpe_gph_trpS	nudF//leuS//acpT//ilvH//
dam_rpe_gph_trpS	kduD//galE//murG//sdhD//
dapA_bamC	lhgO//
dapE_ypfN	ppsA//
dcm_vsr	waaB//
dcuB_fumB	frmA//cdsA//
dcuSR	
dcyD_tcyLN	ispD//arnC//
ddpXABCDF	avtA//
def_fmt	pspE//adeD//
degQS	mmuM//rihC//
deoABD	pdeH//thiD//menE//
deoBD	lpxB//acnA//
deoCABD	fabI//rdgB//chbF//fcl//
dgoRKADT	bcsA//menA//nudI//hyaA//
dhaKLM	fklB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gluQ//srlD//
dinJ_yafQ	idnO//
dksA_gluQ	hcp//
dmsABC	nudK//
dnaAN_recF	gloC//
dnaK_tpke11_dnaJ	paaC//
dnaN_recF	aroA//
dnaTC	
dnaTC_yjjA	
dosCP	dmsB//apaH//
dpiBA	
dppABCDF	aroC//
dsbC_recJ_prfB	atoB//purE//
dsbD_yjdC	
dsdXA	udk//aceA//
dusB_fis	ubiA//
dut_slmA	uvrC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	manA//insI-2//
efeOB	hemC//
efeU_1U_2	
elbB_mtgA	alsK//
elfDCG_ycbUVF	
emrKY	rnb//
entCEBAH	nanM//cysJ//ybdL//purH//metE//rnt//
envY_ompT	ldcA//
epd_pgk	ynfH//scpC//
epd_pgk_fbaA	araB//gluQ//pdxH//
essD_rrrD_rzpD	yegS//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	abgB//
eutHA	
eutNEJG	
eutSPQTDM	waaG//
evgAS	
exbBD	
fabDG_acpP	edd//yqhD//
fabG_acpP	dacD//
fabHDG	maa//menH//gltB//
fabR_yijD	
fadBA	thrC//puuD//
fadD_sroD	phoA//
fadIJ	moeB//tadA//
fdnGHI	
fdoGHI_fdhE	leuD//
fdrA_ylbEF_ybcF	spoT//
fecABCDE	rffC//fkpA//
fecIR	
feoABC	adhE//
fepA_entD	pdxK//gltX//melA//
fepDGC	pheT//
fes_ybdZ_entF_fepE	rutD//thiM//pdeL//
fetAB	
fhuACDB	rhaB//trpE//
ficA_fic_pabA	paaH//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	mutT//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trmI//tynA//
folC_dedD	yihU//
folD_ybcJ	queF//
folE_yeiB	queF//
folP_glmM	plsB//cobT//
folX_yfcH	rluA//
frdABCD	hdhA//
frlABCDR	ldtA//ulaG//hemN//alsE//
frmRAB	sbcB//pepD//
fruBKA	phoA//btuE//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	cadA//hmp//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nfsB//nagA//phnM//rbsK//ung//truC//umpG//waaZ//tdcG//narH//
ftsQAZ	
ftsYEX	
fucAO	rlmM//glnS//
fucPIKUR	purN//rlmM//nudL//dxr//
fumAC	hisC//insI-1//
fusA_tufA	
gabDTP	bcsA//epmC//argD//
gadAX	ybaS//
gadBC	sucB//manA//
gadEF	
gadEF_mdtEF	hemB//
gadXW	
galET	argB//gpmM//
galETK	talB//ilvH//uidA//
galETKM	dxr//rnpA//bioC//rfaD//
gapA_yeaD	maeB//
gapC_1C_2	
garPLRK_rnpB	dcd//pgl//recG//dcm//lpxC//nudK//
gatYZABCD	dusC//lpoB//ugpQ//
gatZABCD	guaC//alaS//mak//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rph//fadE//glpC//cysQ//pdeF//
gcvTHP	fumC//pyrI//pheA//
gfcBCD	
gfcE_etp_etk	umpG//gmd//
ghoST	dapF//
glcBA	pphA//metC//
glcDEFGBA	mhpE//yigL//pssA//
glf_wbbH	mnmG//
glgAP	ycaO//pyrH//
glgBXCAP	ugpQ//ruvB//tilS//ttdA//nadB//
glgCAP	yhdJ//purT//cysC//
glmUS	mtgA//napG//
glnALG	uvrB//
glnHPQ	prpB//
glnK_amtB	glnE//
glnLG	
glnW_metU_glnVX	
glpABC	dacC//
glpEGR	mltD//tag//
glpFKX	yhdJ//dapF//tatD//
glpGR	hycD//
glpTQ	lysA//menI//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	mug//
glvCBG_ysdC	
glyQS	lacA//
glyVXY	
glyW_cysT_leuZ	
gntKU	atoB//lyxK//
gntRKU	metG//sucD//
gntX_nfuA	
gpmM_envC_yibQ	xdhB//frdA//
groSL	
gspAB	
gspCDEFGHIJKLMO	dapB//
guaBA	ulaG//fucA//
gudPXD	mazG//mhpB//
hcaEFCBD	queC//dusC//
hcp_hcr	fdhF//queC//
hdeAB_yhiD	
hemA_prfA_prmC	maeB//tesB//
hemCDXY	argD//argA//
hflD_purB	gadA//
hfq_hflXKC	torY//
hicAB	
higBA	lsrK//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pgsA//mocA//pck//aroG//
hipBA	melA//
hisBHAFI	eutD//uvrC//metH//pgm//
hisJQMP	nrdA//nirD//
hisLGDCBHAFI	rfbA//xapA//slt//hisG//argD//carA//gmhB//
hofMNOP	
holC_valS	ppiA//
holD_rimI_yjjG	ubiH//hisD//
hscBA_fdx_iscX	dosC//
hsdMS	gabT//
hsdRMS	ilvN//
hslRO	
hslVU	alkB//
hyaABCDEF	
hybOABCDEFG	ubiD//
hycABCDEFGHI	tsaC//dam//
hydN_hypF	mhpF//
hyfABCDEFGHIJR_focB	queD//
hypABCDE	ycjU//
hypABCDE_fhlA	nemA//
hypBCDE	ldtB//
hypBCDE_fhlA	dusA//
iaaA_gsiABCD	ydiO//yjhH//
ibaG_murA	aroA//
ibpAB	
idnDOTR	nadB//malZ//glgX//
ileS_lspA_fkpB_ispH	entB//ybbO//serS//aceA//
ilvEDA	uxuB//deoC//purA//leuA//
ilvIH	ligB//
ilvLXG_1G_2MEDA	pldA//accD//gpmA//ldtD//dfp//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	allE//
insN_1I_1O_1	lpxC//
insO_2_yjhWV	
iscRSUA	leuA//glgX//
ispDF	pgaC//torA//
ispG_sroE	napG//
isrC_flu	
ivbL_ilvBN	arsC//
ivbL_ilvBN_uhpABC	pfkB//
kbaZ_agaVWA	mpaA//
kbl_tdh	dhaL//tktA//
kdpDE	
kdpFABC	recJ//
kdsC_lptCAB	pgm//btuR//
kefFC	xylB//preT//
kefGB_yheV	gcd//
kilR_ydaE	
lacYA	lpoB//tilS//
lacZYA	paaC//araA//betA//
lapAB	
lapAB_pyrF_yciH	rlmC//
lepAB	purC//
leuLABCD	gatZ//malZ//wrbA//
leuQPV	
leuS_lptE_holA_nadD_cobC	atoB//mltD//prpD//
lexA_dinF	
lgt_thyA	trmD//fabB//
ligA_ypeB	ppa//
livKHMGF	scpB//rsuA//
lldPRD	umpG//glyQ//
lolA_rarA	
lolB_ispE_prs	patZ//thiE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	argI//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	aroD//ppiB//
lptFG	
lspA_fkpB_ispH	dnaE//ftsI//waaP//
lsrACDBFG_tam	ascB//bioA//aroC//gcvP//
lsrRK	epd//
ltaE_ybjT	clsC//
lysT_valT_lysW	
macAB	frlD//
malEFG	panB//
malK_lamB_malM	guaB//dmsA//
malPQ	rlmI//aroK//
malXY	argB//purL//
manXYZ	guaD//
map_glnD_dapD	accC//adhP//plsC//
marRAB	
mazEFG	nrfD//
mcrBC	accC//
mdlAB	
mdtABCD_baeSR	abgB//
mdtEF	mgsA//
mdtJI	ruvB//
mdtM_yjiN	ugd//
mdtNOP	pabA//
melAB	dadA//tyrA//
menA_rraA	plsC//
menBCE	dsdA//pyrB//alkA//
menDHBCE	manA//icd//ydfG//yeiG//narY//
menFDHBCE	nagB//gph//rfbB//pepD//phnH//frdD//
metBL	gldA//dosC//
metNIQ	alsE//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	hemE//ung//dadA//
metZWV	
mglAC	cobC//
mglBAC	astA//
mgtLA	ghrB//
mhpABCDFE	trmH//ybcF//acpS//xdhA//trmA//manA//
mhpR_lacI	
miaA_hfq_hflXKC	rbsK//adeD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	alkB//pldB//
mnaT_ydcZ	argH//
mngAB	prmC//panB//
mnmG_rsmG	acs//thrA//
mntR_ybiR	
moaABCDE	rsmC//purC//
moaBCDE	rpe//
mobAB	hypB//
modABC	astA//
modEF	
moeAB	fadI//curA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	mutY//
mqsRA	metF//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nadE//sucC//btuR//pdxK//moaA//wecC//nrdB//glpQ//ilvB//phnO//ubiC//
mreBCD	
mreCD	
msrPQ	
mtlADR	idnK//argC//bacA//
mtn_btuF_yadS	gntK//fumB//
murB_birA	rsmD//pykF//
murQP	gcd//selB//panD//
murQP_yfeW	ansB//hisB//pheS//deoB//
mutL_miaA_hfq_hflXKC	aroD//mnmG//psuG//
mutY_yggX	ydjG//
mutY_yggX_mltC	panE//waaP//
mutY_yggX_mltC_nupG	tdcD//kbl//frdD//
nadA_pnuC	pheS//clsB//
nagBAC_umpH	ygeX//yliI//proA//
nagK_cobB	pagP//phnJ//
nanATEK_yhcH	wecB//btuE//napB//cysS//
nanCM	murD//fcl//
nanCMS	leuS//tmk//
napFDAGHBC	hyuA//
napFDAGHBC_ccmABCDEFGH	proA//hcaD//
narGHJI	tilS//
narWV	trpS//
narXL	
narZYWV	gltB//
nemRA	srlD//
nemRA_gloA	sodB//aroC//
nfrBA	
nhaAR	sdhD//
nikABCDER	ribC//
nirBDC_cysG	gudD//yjcS//xdhC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	kefF//
nrdAB_yfaE	yjjG//
nrdDG	frlD//prpB//
nrdHIEF	paaI//
nrdR_ribDE_nusB_thiL_pgpA	aes//glmU//galK//yeiR//
nrfABCDEFG	pdxH//
nsrR_rnr_rlmB_yjfI	pgpC//eda//
nudB_yebC_ruvC	adiA//hycE//
nudC_hemE_nfi	lsrK//arnT//
nudF_yqiB_cpdA_yqiA_parE	pldB//deoC//
nuoABCEFGHIJKLMN	glgA//
nuoMN	fruK//
ompR_envZ	
opgGH	
oppABCDF	pyrI//tktA//
osmF_yehYXW	trpD//
otsBA	ispF//uxaB//
paaABCDEFGHIJK	napB//mpl//allA//murC//dfp//scpB//icd//
paaXY	glmM//
pabB_nudL	dnaE//ydfG//
pabC_mltG_tmk_holB_ycfH	yhdH//ampH//hycF//
panBC	appA//thiC//
panE_yajL	tdcG//
paoABCD	ydiB//
pcnB_folK	yjcS//lpd//
pdeI_dgcI	
pdhR_aceEF_lpd	entC//alkB//lpxT//leuC//mtlD//pdxK//
pdxA_rsmA	gluQ//rsmA//
pdxA_rsmA_apaGH	serA//birA//rfaE//
pdxB_usg_truA_dedA	cyoE//glcD//
pdxH_tyrS_pdxY	bcsZ//kefF//yhdJ//
pdxJ_acpS	nudI//ispA//
pepQ_yigZ_trkH_hemG	pinE//ahpC//mhpA//
pflDC	
pgaABCD	yihT//ribC//glpA//
pgk_fbaA	pncA//dgcT//
pgpC_tadA	cobT//guaD//
pheLA	phoA//
pheMST_ihfA	cysM//
phnCDE_1E_2FGHIJKLMNOP	yciV//pnp//thiL//trxB//galK//cysS//galU//
phnLMNOP	hemG//hycG//lpxA//nudB//queG//
phoA_psiF	nadR//
phoBR	
phoPQ	
pldB_yigL	argA//speC//
plsX_fabHDG	cmk//cysC//alr//
pntAB	
potABCD	fbaB//
potFGHI	srlD//
poxB_ltaE_ybjT	nudJ//ybiV//
ppdAB_ygdB_ppdC_recC	glgC//
ppdD_hofBC	
ppiB_lpxH	sodA//ribB//
ppk_ppx	kdsA//waaY//
pqiAB	
preTA	fbp//
prfB_lysS	glpA//
priC_ybaM	
prlC_rsmJ	tktA//truD//
prlF_yhaV	srlD//
prmB_aroC_mepA_yfcA_epmC_yfcL	thiL//napA//pabA//ssuD//
proBA	opgE//folM//
proQ_prc	metH//
proVWX	lpcA//
prpBCDE	glpB//glxR//ulaE//speB//
psd_mscM	
pspABCDE	queD//
pspBCDE	rsgA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	lpxB//dam//
pth_ychF	aslA//
ptrA_recBD	ydiF//cpdA//
ptsA_fsaB_gldA	sodA//serC//
ptsHI_crr	nirD//mtlD//nrfA//
purEK	mhpE//ushA//
purHD	yibQ//tdcD//
purMN	nrfB//glpX//
puuAP	fadM//gloA//
puuCBE	phnO//gmk//bioH//
puuDRCBE	spoT//codA//ispD//torA//
pyrF_yciH	glyS//
pyrG_eno	galM//hemE//
pyrLBI	scpC//
qmcA_ybbJ	
qseBC	
radA_nadR	purN//
rapA_rluA	torY//
ratAB	
ravA_viaA	
rbsDACBKR	hflX//ybdL//paaZ//
rclABC	
rclBC	
rcnAB	ycjG//
rcsDB	
rcsF_trmO	ackA//
rdgB_yggW	glmU//
rdoA_dsbA	gcd//nagK//
recAX	
recET_ralR_ydaC_xisR_intR	dacC//ldtC//
relA_mazEF	lldD//
relBE	gpp//
relBE_hokD	aceB//
renD_emrE	mtgA//
rfaD_waaFCL	ubiG//codA//glnA//gadA//
rfbACX	fadA//metE//pldA//entH//
rfbBDACX	rutE//aroL//uvrC//thrA//cueO//manA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	bglX//hmp//birA//bacA//betA//bacA//menH//udp//dapB//
rhaBAD	adhE//pykF//can//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	dhaL//phnO//yigL//
ribF_ileS_lspA_fkpB_ispH	uvrC//entB//serB//aroG//acs//
rimK_ybjN	hmp//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	tmk//aphA//rlmL//ydfG//mngB//rlmF//fadH//citE//galK//ampC//
rlmE_ftsH	paaZ//phnP//
rlmL_uup	cyaA//
rluD_yfiH	rutA//ribF//
rluE_nudJ	cyaA//leuC//
rnc_era	rffT//
rnc_era_recO_pdxJ_acpS	rhaD//coaE//mnmC//lpxD//
rnlAB	pldA//
rnt_lhr	plsB//
rpe_gph_trpS	lpcA//cobB//phr//
rph_pyrE	argE//bacA//
rpiR_alsBACE	tmcA//aroF//
rplJL_rpoBC	tynA//
rplKAJL_rpoBC	maeB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	mutY//
rpmF_plsX_fabHDG	mocA//thiE//wzc//
rpmH_rnpA	moaD//ddlA//
rpmI_rplT	
rpoBC	adiA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pgsA//nudJ//glpD//
rppH_ptsP	rluF//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ubiE//
rpsO_pnp	rluD//fadB//
rpsP_rimM_trmD_rplS	glpK//
rpsU_dnaG_rpoD	lysS//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	dmlA//panE//
rsmA_apaGH	tyrA//folK//
rsmD_yhhL	trmJ//
rsmE_gshB	chbG//mobA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	uxaA//lysC//metF//dacC//panE//glpX//aroL//bacA//pfkB//insI-2//slt//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	gatY//
rtcBA	alaC//yggF//
rutABCDEFG	glyA//folE//rsmC//oxc//chbF//waaQ//
ruvAB	metG//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	metF//
scpA_argK_scpBC	bioF//treF//dadX//rsmI//
sdaCB	lacZ//tcdA//
sdhCDAB_sucABCD	acnB//glf//aslA//hyaA//
sdhDAB	
sdhE_cptA	
secB_gpsA	yfcF//
secE_nusG	
secG_leuU	
secMA_mutT	glyQ//
selAB	rsmA//ada//
selD_topB	can//cyoE//
seqA_pgm	paaJ//
serB_radA	valS//
serC_aroA	aspC//mutY//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ybjI//
sgrST_setA	srlD//
skp_lpxD_fabZ_lpxA	narV//tadA//paaK//
slp_dctR	
solA_yceO	hycB//
speAB	cysD//ppiC//
speF_potE	cynS//folB//
srlAEBD_gutM_srlR_gutQ	dhaL//purN//nrdD//
sroG_ribB	glgX//
sspAB	
ssrS_fau	ilvC//
ssuEADCB	cysQ//waaY//birA//
stfE_tfaE	
sucAB	fucI//tdcB//ilvE//
sucABCD	paaJ//ygiF//rfbD//pyrG//
sufABCDSE	glk//
surA_pdxA_rsmA_apaGH	hyuA//mutY//ubiH//queG//
tag_yiaC	dxr//
talA_tktB	aspA//garL//
tamAB_ytfP	
tar_tap_cheRBYZ	pdxA//iaaA//
tatABC	polB//
tatABCD	uxuA//narI//
tauABCD	paaC//waaJ//
tdcABCDEFG	pldA//ynfH//nrdE//waaC//preA//
tdcBCDEFG	bcsZ//rihC//gldA//yfeX//mltA//
tehAB	adeD//fadK//
tesA_ybbO	aroC//paaI//
tff_rpsB_tsf	
tgt_yajC	pdeF//
thiCEFSGH	adiA//ydiO//accB//uxaA//gstA//
thiMD	ydfG//yfeW//
thrLABC	uvrC//rlmJ//tdk//
thrS_infC	nrfC//
thrS_infC_rpmI_rplT_pheMST_ihfA	ansB//glxR//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	dmsA//dam//
tolB_pal_cpoB	
tolC_ygiABC	eutC//glmM//hisI//pgsA//hisI//gcd//eutC//nfsB//purN//
tomB_hha	
topAI_yjhQ	
torCAD	menD//
torYZ	ribA//
treBC	acnA//aldA//
trmI_yggL	nrdA//
trpCBA	ilvG_1//nrfD//glmU//cpdA//
trpLEDCBA	mcrA//tktA//surA//wbbI//cdsA//cueO//
tsaB_yeaY	prmB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	murC//frdB//hisD//yahK//lpxK//
ttdABT	aceB//glgA//
tyrS_pdxY	umpG//alaC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ispF//prmB//
ubiEJB	pgpA//
udk_dcd	yajO//trpA//
ugpBAECQ	alkB//ispE//
uhpABC	
uidABC	mdh//patZ//
ulaABCDEF	napA//ada//yccX//dmsB//
umpG_pcm	araD//rfbA//
umuDC	yqaB//
uof_fur	
upp_uraA	waaQ//metE//
usg_truA_dedA	sgbE//
uvrYC	mutY//
uxaCA	gcvT//caiC//
uxuAB	dosC//prpD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	nagK//xdhA//
waaQGPSBOJYZU	ruvA//rluD//ilvN//yfiC//eda//phr//nfi//alsK//pheS//pfkA//
waaYZ	yfcG//ppk//
waaZU	astC//dmlA//
wbbIJK	ynfH//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	fabZ//dhaK//mhpB//speD//yeaE//menF//
wcaKLM	
wrbA_yccJ	mdh//
wza_wzb_wzc	cobB//cobT//
wza_wzb_wzc_wcaAB	tesA//astA//
xanQ_guaD_ghxQ	pta//rpiB//ahpC//
xapAB	ogt//plsC//
xdhABC	atoB//
xerD_dsbC_recJ	pabC//ynfE//
xseB_ispA_dxs_yajO	ybhA//fucU//relA//yjhH//
xylAB	tilS//dgt//
xylFGHR	deoC//
yabPQ	
yacC_speED	prpB//rihC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	nirB//
yafDE	
yafNOP	yihV//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	astE//yidA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemE//
ybaB_recR	queF//
ybaST	dacC//
ybbAP	
ybbY_glxK	ascB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	mltA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	hyaB//
ybeZY	
ybeZYX_lnt	rlmD//
ybfHG	
ybfOC	
ybgA_phr	pncA//
ybgC_tolQRA	
ybgIJKL_nei	thiI//
ybgQPO	
ybhP_clsB_ybhN	hmp//
ybiYW	
ybjC_nfsA_rimK_ybjN	recJ//ilvE//
ybjJI	torZ//
ybjO_rlmC	bioD//
ybjQ_amiD	metH//
ycaI_msbA_lpxK_ycaQ	waaQ//malP//
ycaR_kdsB	yhdJ//
ycbK_gloC	galM//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rlmI//
yciCB	
yciGFE	
yciK_btuR	murD//
yciVOQ	clsB//
yciZT	
ycjMNOPQRSTUV_ymjB	cysD//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	murC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	prs//yegS//
ydcSTUV_patD	hemH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	fre//
ydgK_rsxABCDGE_nth	galM//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ldcA//thiF//
ydiJ_menI_ydiH	rimK//
ydiNB_aroD	azoR//sdhC//
ydiQRST_fadK	astE//
ydjA_selD_topB	rsmD//yfdR//
ydjLKJIHG	panE//
ydjXYZ_ynjABCD	
yeaGH	lpxP//
yeaR_yoaG	
yeaVW	
yebC_ruvC	moeB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	yfiH//ydiF//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	torZ//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ahpC//rnpB//
yejABEF	bglX//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	paaH//
yfaX_rhmD	
yfaX_rhmD_yfaVU	polA//
yfbUT	pgi//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
