# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cpsB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	ruvB//yniC//lldD//
chiP_ybfN	pncA//
chpSB	ahpF//
citCDEFXG	mog//dgcZ//narG//
clpPX	aspA//fadD//glxR//narV//
clpX_lon	curA//treA//fumA//
clsA_yciU	rdoA//
cmk_rpsA	ribC//
cmoM_mukFEB	
cmtBA_yggPFDC	cmoB//alsE//
coaE_zapD_yacG	rsmC//
cobUST	aroB//mngB//aceB//
codBA	dadA//tdcB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	recR//
csgBAC	
csgDEFG	lsrK//
csiD_lhgO_gabDTP	trpA//hypF//frmB//dusB//
cusCFBA	fucO//
cusRS	
cvpA_purF_ubiX	nudE//pyrD//
cydAB	ispF//
cydDC	trpA//
cydX_ybgE	apaH//
cynTS	sdhB//slt//
cynTSX	ndh//proA//moeA//
cyoABCDE	cyaA//nagB//
cysDNC	tktB//lpxM//
cysJIH	pck//ubiG//mobA//
cysPUWAM	rpiB//dmsB//ygeX//
dadAX	trmH//ubiC//
damX_dam_rpe_gph_trpS	rfbA//ravA//speG//acpS//
dam_rpe_gph_trpS	xylA//ilvD//cpsG//lsrG//
dapA_bamC	astE//
dapE_ypfN	yegS//
dcm_vsr	ilvG_1//
dcuB_fumB	yjjG//bglB//
dcuSR	
dcyD_tcyLN	hemN//pdxY//
ddpXABCDF	cysI//
def_fmt	lpoB//rnt//
degQS	pgl//mrcB//
deoABD	mmuM//tesA//xthA//
deoBD	murC//paaY//
deoCABD	ynjE//lysC//ychF//gph//
dgoRKADT	fumA//trpS//ydiO//ulaG//
dhaKLM	murF//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	pgsA//otsB//
dinJ_yafQ	acpT//
dksA_gluQ	lysA//
dmsABC	spoT//
dnaAN_recF	pgm//
dnaK_tpke11_dnaJ	purL//
dnaN_recF	sthA//
dnaTC	
dnaTC_yjjA	
dosCP	menI//paaK//
dpiBA	
dppABCDF	mak//
dsbC_recJ_prfB	mutL//phnP//
dsbD_yjdC	
dsdXA	polA//ygiF//
dusB_fis	efeB//
dut_slmA	glpX//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dcd//asd//
efeOB	lipA//
efeU_1U_2	
elbB_mtgA	relA//
elfDCG_ycbUVF	
emrKY	ubiA//
entCEBAH	alsE//citG//glgC//fbaB//fadA//atoB//
envY_ompT	nadA//
epd_pgk	paaY//pgi//
epd_pgk_fbaA	nirD//qor//malZ//
essD_rrrD_rzpD	cmk//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	thiH//
eutHA	
eutNEJG	
eutSPQTDM	dgcP//
evgAS	
exbBD	
fabDG_acpP	pyrG//trpA//
fabG_acpP	rrrD//
fabHDG	fkpB//puuD//purU//
fabR_yijD	
fadBA	ligB//gph//
fadD_sroD	hemD//
fadIJ	xthA//allC//
fdnGHI	
fdoGHI_fdhE	rdgB//
fdrA_ylbEF_ybcF	dapF//
fecABCDE	tdcE//hycB//
fecIR	
feoABC	ilvI//
fepA_entD	rffC//glnE//rsgA//
fepDGC	leuS//
fes_ybdZ_entF_fepE	yjhG//fadK//frdC//
fetAB	
fhuACDB	glpK//ispH//
ficA_fic_pabA	rdoA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	accD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	bacA//gstB//
folC_dedD	fau//
folD_ybcJ	rffC//
folE_yeiB	rnd//
folP_glmM	cysG//carA//
folX_yfcH	fsaA//
frdABCD	glnA//
frlABCDR	pgaB//can//ribF//lysS//
frmRAB	hyaA//yihT//
fruBKA	trmJ//ssuE//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	gmk//poxB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ogt//wzb//birA//nanM//fkpB//ppc//hflX//gltA//torC//mutH//
ftsQAZ	
ftsYEX	
fucAO	menF//eutB//
fucPIKUR	rfe//fucA//katE//deoB//
fumAC	mhpC//carA//
fusA_tufA	
gabDTP	coaD//rbn//yciA//
gadAX	emtA//
gadBC	slt//purH//
gadEF	
gadEF_mdtEF	asnS//
gadXW	
galET	hemC//gltB//
galETK	yqhD//rutE//ldcC//
galETKM	ygiF//ybiV//ddlA//umpG//
gapA_yeaD	araD//
gapC_1C_2	
garPLRK_rnpB	aroD//galM//dkgA//mcrA//purH//rsmF//
gatYZABCD	dgoA//queG//truC//
gatZABCD	hcp//allC//folC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	nadA//caiD//rsmD//yliI//dld//
gcvTHP	mraY//der//dhaL//
gfcBCD	
gfcE_etp_etk	adiA//entF//
ghoST	nth//
glcBA	glyQ//ilvD//
glcDEFGBA	argF//insI-2//rsmJ//
glf_wbbH	rsuA//
glgAP	dmlA//prpC//
glgBXCAP	epmB//lpd//paoA//trpD//sodC//
glgCAP	sodC//der//glpB//
glmUS	ghrB//arnB//
glnALG	hmp//
glnHPQ	nrdB//
glnK_amtB	cpdA//
glnLG	
glnW_metU_glnVX	
glpABC	ulaG//
glpEGR	pinE//tmk//
glpFKX	pyrI//udp//tnaA//
glpGR	ispH//
glpTQ	ybiV//yajO//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	otsA//
glvCBG_ysdC	
glyQS	rlmG//
glyVXY	
glyW_cysT_leuZ	
gntKU	yjeF//tsaD//
gntRKU	hemL//proA//
gntX_nfuA	
gpmM_envC_yibQ	cdsA//cynT//
groSL	
gspAB	
gspCDEFGHIJKLMO	ttdB//
guaBA	fau//gshB//
gudPXD	puuD//dapA//
hcaEFCBD	bioD//gshA//
hcp_hcr	narV//folX//
hdeAB_yhiD	
hemA_prfA_prmC	cfa//gltD//
hemCDXY	paaF//rffC//
hflD_purB	torC//
hfq_hflXKC	hisC//
hicAB	
higBA	truA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hycC//hycF//fadE//menC//
hipBA	cheB//
hisBHAFI	nudB//lsrG//hyuA//queD//
hisJQMP	nrdB//rfe//
hisLGDCBHAFI	phnN//acs//cynS//lsrG//sgbU//ldhA//guaB//
hofMNOP	
holC_valS	pinE//
holD_rimI_yjjG	adk//recO//
hscBA_fdx_iscX	anmK//
hsdMS	coaE//
hsdRMS	amn//
hslRO	
hslVU	folD//
hyaABCDEF	
hybOABCDEFG	argK//
hycABCDEFGHI	waaB//accB//
hydN_hypF	yqhD//
hyfABCDEFGHIJR_focB	malY//
hypABCDE	mnmA//
hypABCDE_fhlA	gldA//
hypBCDE	caiD//
hypBCDE_fhlA	trpB//
iaaA_gsiABCD	ybaS//tktA//
ibaG_murA	phnJ//
ibpAB	
idnDOTR	waaS//treF//rlmD//
ileS_lspA_fkpB_ispH	lysU//allB//bioA//ubiG//
ilvEDA	proC//tyrB//rluB//tatD//
ilvIH	fabG//
ilvLXG_1G_2MEDA	mpaA//rlmD//yhdJ//fbaB//mtgA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rfbD//
insN_1I_1O_1	garK//
insO_2_yjhWV	
iscRSUA	yeiG//paoC//
ispDF	clsC//gatY//
ispG_sroE	lpxL//
isrC_flu	
ivbL_ilvBN	eutB//
ivbL_ilvBN_uhpABC	gmd//
kbaZ_agaVWA	ppiA//
kbl_tdh	ybbO//plsB//
kdpDE	
kdpFABC	gadA//
kdsC_lptCAB	adhE//panC//
kefFC	ahr//mpl//
kefGB_yheV	yahK//
kilR_ydaE	
lacYA	ahpC//lysC//
lacZYA	scpB//aroE//rutE//
lapAB	
lapAB_pyrF_yciH	nadB//
lepAB	folC//
leuLABCD	mutT//puuA//ubiE//
leuQPV	
leuS_lptE_holA_nadD_cobC	bioB//asnA//dnaQ//
lexA_dinF	
lgt_thyA	hyi//carB//
ligA_ypeB	nanA//
livKHMGF	yhhW//rutA//
lldPRD	ligB//ybjI//
lolA_rarA	
lolB_ispE_prs	xdhA//rsuA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ampC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	hpt//pyrD//
lptFG	
lspA_fkpB_ispH	yicI//uxaA//mnmE//
lsrACDBFG_tam	eutC//gluQ//ulaF//dapD//
lsrRK	mutM//
ltaE_ybjT	moaE//
lysT_valT_lysW	
macAB	paoC//
malEFG	lpxT//
malK_lamB_malM	tyrS//dhaM//
malPQ	pphB//lyxK//
malXY	trpS//ligB//
manXYZ	recR//
map_glnD_dapD	menF//sgbE//yeaE//
marRAB	
mazEFG	ilvG_1//
mcrBC	dapB//
mdlAB	
mdtABCD_baeSR	glpA//
mdtEF	ascB//
mdtJI	sgbU//
mdtM_yjiN	yfdE//
mdtNOP	abgA//
melAB	pyrE//acnB//
menA_rraA	yciV//
menBCE	serS//bioA//asnA//
menDHBCE	hyaC//mrcA//gabD//spoT//ppa//
menFDHBCE	nfsA//ispH//folA//ribF//dapB//serA//
metBL	yjjX//rluE//
metNIQ	rlmL//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	xdhB//moaE//pdeH//
metZWV	
mglAC	glpX//
mglBAC	yceF//
mgtLA	napB//
mhpABCDFE	iscS//ribE//ung//hisD//hyaA//ynfF//
mhpR_lacI	
miaA_hfq_hflXKC	bioC//glpB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	nadR//tdcB//
mnaT_ydcZ	ruvA//
mngAB	folK//glmU//
mnmG_rsmG	amn//atoD//
mntR_ybiR	
moaABCDE	iscS//eno//
moaBCDE	glgX//
mobAB	proC//
modABC	fkpB//
modEF	
moeAB	yigB//mutL//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ahr//
mqsRA	ssuE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dld//entD//metC//araD//puuB//tyrA//ppsA//nudL//gph//fabH//mnaT//
mreBCD	
mreCD	
msrPQ	
mtlADR	tig//lysC//yihT//
mtn_btuF_yadS	fabD//pncC//
murB_birA	plsB//sucC//
murQP	nanM//miaB//astA//
murQP_yfeW	udk//dmsC//fadH//hycE//
mutL_miaA_hfq_hflXKC	hisD//mhpA//trpB//
mutY_yggX	guaC//
mutY_yggX_mltC	lpxC//waaS//
mutY_yggX_mltC_nupG	accB//thiH//nrdF//
nadA_pnuC	anmK//lysC//
nagBAC_umpH	anmK//cysJ//umuC//
nagK_cobB	trpE//umuC//
nanATEK_yhcH	bglA//cpsB//pabC//scpB//
nanCM	yihX//gltA//
nanCMS	insI-2//bfr//
napFDAGHBC	nagZ//
napFDAGHBC_ccmABCDEFGH	alsK//serC//
narGHJI	tig//
narWV	sucD//
narXL	
narZYWV	waaC//
nemRA	aphA//
nemRA_gloA	birA//kbaY//
nfrBA	
nhaAR	ackA//
nikABCDER	pncC//
nirBDC_cysG	mltD//ligB//birA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ftsI//
nrdAB_yfaE	cyaA//
nrdDG	fes//plsC//
nrdHIEF	glpD//
nrdR_ribDE_nusB_thiL_pgpA	ampC//lpxC//insI-2//yihU//
nrfABCDEFG	rsmB//
nsrR_rnr_rlmB_yjfI	garK//hisC//
nudB_yebC_ruvC	nanK//gpsA//
nudC_hemE_nfi	lpxT//betA//
nudF_yqiB_cpdA_yqiA_parE	frlD//aspA//
nuoABCEFGHIJKLMN	folB//
nuoMN	napH//
ompR_envZ	
opgGH	
oppABCDF	paaC//gntK//
osmF_yehYXW	metK//
otsBA	gcvP//ugd//
paaABCDEFGHIJK	bioF//hemN//waaB//waaO//yihT//icd//malP//
paaXY	mhpF//
pabB_nudL	metF//torZ//
pabC_mltG_tmk_holB_ycfH	uvrC//ilvH//purL//
panBC	guaD//panE//
panE_yajL	maeA//
paoABCD	nadC//
pcnB_folK	cysM//rsmG//
pdeI_dgcI	
pdhR_aceEF_lpd	bglX//pdeR//amiD//kefF//avtA//hflX//
pdxA_rsmA	kdsC//frc//
pdxA_rsmA_apaGH	nanA//puuC//cpsB//
pdxB_usg_truA_dedA	menF//nudJ//
pdxH_tyrS_pdxY	pdeH//sucA//sdhD//
pdxJ_acpS	emtA//menF//
pepQ_yigZ_trkH_hemG	mpaA//rutD//mcrB//
pflDC	
pgaABCD	tyrA//metK//valS//
pgk_fbaA	nudJ//waaP//
pgpC_tadA	sucC//yjeF//
pheLA	edd//
pheMST_ihfA	pheA//
phnCDE_1E_2FGHIJKLMNOP	caiA//icd//metL//nadR//kdsD//eda//queG//
phnLMNOP	hemH//ilvG_2//glyS//glgA//umuC//
phoA_psiF	folE//
phoBR	
phoPQ	
pldB_yigL	kduI//ubiA//
plsX_fabHDG	cysD//rsmH//mrcB//
pntAB	
potABCD	fumC//
potFGHI	asnB//
poxB_ltaE_ybjT	pyrC//dnaE//
ppdAB_ygdB_ppdC_recC	pdxA//
ppdD_hofBC	
ppiB_lpxH	ribD//kbaY//
ppk_ppx	rlmG//amyA//
pqiAB	
preTA	hisS//
prfB_lysS	cmoB//
priC_ybaM	
prlC_rsmJ	purC//eda//
prlF_yhaV	ubiH//
prmB_aroC_mepA_yfcA_epmC_yfcL	speB//rlmM//rlmI//accC//
proBA	hemH//malS//
proQ_prc	lysC//
proVWX	murD//
prpBCDE	lpcA//malZ//gloB//phnN//
psd_mscM	
pspABCDE	ybiV//
pspBCDE	narZ//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	glpB//pncB//
pth_ychF	yggF//
ptrA_recBD	rffM//rutA//
ptsA_fsaB_gldA	menH//allE//
ptsHI_crr	waaP//glyA//deoD//
purEK	phnH//ubiE//
purHD	astD//alkA//
purMN	xylA//moeA//
puuAP	pdeH//hycD//
puuCBE	curA//lpcA//yieH//
puuDRCBE	narG//yjeF//cyaA//pnp//
pyrF_yciH	azoR//
pyrG_eno	yghU//mltB//
pyrLBI	puuB//
qmcA_ybbJ	
qseBC	
radA_nadR	bcsA//
rapA_rluA	fre//
ratAB	
ravA_viaA	
rbsDACBKR	ydjG//arnT//metC//
rclABC	
rclBC	
rcnAB	dadX//
rcsDB	
rcsF_trmO	pyrI//
rdgB_yggW	allE//
rdoA_dsbA	fcl//fadK//
recAX	
recET_ralR_ydaC_xisR_intR	ppiC//waaU//
relA_mazEF	bioH//
relBE	nadK//
relBE_hokD	dadX//
renD_emrE	paaY//
rfaD_waaFCL	suhB//idnK//clsA//bcsB//
rfbACX	trpA//rbsK//rlmE//ahr//
rfbBDACX	cpsG//rrrD//fucK//fkpA//yieH//frc//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	cobC//hemF//cobU//dkgA//mmuM//tdcE//guaC//gpp//gutQ//
rhaBAD	talB//mcrB//garR//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glmM//pssA//rsmJ//
ribF_ileS_lspA_fkpB_ispH	ackA//cmoA//coaE//pldA//nagB//
rimK_ybjN	hisD//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	yihU//lplA//thiI//ispD//luxS//yegS//fadI//sgbH//ruvB//pdxH//
rlmE_ftsH	yieH//yihU//
rlmL_uup	pbpC//
rluD_yfiH	cysM//bioH//
rluE_nudJ	rhaD//nfsA//
rnc_era	dsdA//
rnc_era_recO_pdxJ_acpS	alaA//kefF//guaB//mqo//
rnlAB	rutC//
rnt_lhr	sdhA//
rpe_gph_trpS	mcrA//dnaQ//trmH//
rph_pyrE	tnaA//cfa//
rpiR_alsBACE	ppiC//mrcB//
rplJL_rpoBC	rfbC//
rplKAJL_rpoBC	pgaD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	yniC//
rpmF_plsX_fabHDG	oxc//dusA//mmuM//
rpmH_rnpA	fau//nudG//
rpmI_rplT	
rpoBC	ydiO//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	entC//dosC//dmsC//
rppH_ptsP	lipB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	murI//
rpsO_pnp	waaA//cysG//
rpsP_rimM_trmD_rplS	dnaE//
rpsU_dnaG_rpoD	rhaM//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	pagP//menE//
rsmA_apaGH	entB//paaY//
rsmD_yhhL	rfaE//
rsmE_gshB	lsrG//lysS//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lpd//argD//glnS//abgA//ilvB//rluB//kefF//wecB//mutY//araB//sdaB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	lpoA//
rtcBA	hycF//scpC//
rutABCDEFG	fcl//murF//dmsA//adhP//cysK//dadA//
ruvAB	gldA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	dkgB//
scpA_argK_scpBC	otsB//murI//allC//lipA//
sdaCB	yliI//folX//
sdhCDAB_sucABCD	alsK//otsB//adhP//tsaB//
sdhDAB	
sdhE_cptA	
secB_gpsA	hinT//
secE_nusG	
secG_leuU	
secMA_mutT	asnS//
selAB	pheS//psuK//
selD_topB	rsmH//rdgB//
seqA_pgm	btuE//
serB_radA	adhE//
serC_aroA	pheT//narZ//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	napH//
sgrST_setA	pphA//
skp_lpxD_fabZ_lpxA	cyoE//trmA//rlmH//
slp_dctR	
solA_yceO	nrfB//
speAB	phnM//dgcT//
speF_potE	yagF//gcvH//
srlAEBD_gutM_srlR_gutQ	amn//phnL//ahr//
sroG_ribB	cmoA//
sspAB	
ssrS_fau	xylB//
ssuEADCB	glmS//fsaA//treA//
stfE_tfaE	
sucAB	upp//waaO//tsaE//
sucABCD	hycB//fadM//hycE//narH//
sufABCDSE	icd//
surA_pdxA_rsmA_apaGH	nirB//recJ//speA//gstA//
tag_yiaC	tsaC//
talA_tktB	rhaA//gnd//
tamAB_ytfP	
tar_tap_cheRBYZ	yfbT//accB//
tatABC	amyA//
tatABCD	gmm//bcsA//
tauABCD	proS//uidA//
tdcABCDEFG	ndh//tpiA//waaP//aroL//fadA//
tdcBCDEFG	hcaC//metA//lpxA//queA//ybhA//
tehAB	sdaB//cdd//
tesA_ybbO	yniC//dusA//
tff_rpsB_tsf	
tgt_yajC	phr//
thiCEFSGH	citX//katE//folA//xdhB//thrB//
thiMD	gcd//ynfG//
thrLABC	menH//mnmE//glpE//
thrS_infC	lhgO//
thrS_infC_rpmI_rplT_pheMST_ihfA	ispE//thiL//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	lacZ//yqjG//
tolB_pal_cpoB	
tolC_ygiABC	purB//scpB//puuC//cmoB//folD//rpiA//bioF//yqhD//sdhC//
tomB_hha	
topAI_yjhQ	
torCAD	folX//
torYZ	gltB//
treBC	panC//thrS//
trmI_yggL	insI-1//
trpCBA	preA//purN//tdh//ydiO//
trpLEDCBA	hemC//gmd//lysS//nirD//pgaD//codA//
tsaB_yeaY	pdxJ//
tsaE_amiB_mutL_miaA_hfq_hflXKC	entA//ispU//tag//nanM//fucA//
ttdABT	rutB//patZ//
tyrS_pdxY	pgaD//waaF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	nadB//yicI//
ubiEJB	gshA//
udk_dcd	yqjH//tyrB//
ugpBAECQ	ndk//emtA//
uhpABC	
uidABC	hemD//ansB//
ulaABCDEF	nudI//pheT//fabZ//ansB//
umpG_pcm	prs//pgsA//
umuDC	paaY//
uof_fur	
upp_uraA	qor//purE//
usg_truA_dedA	hycB//
uvrYC	csdA//
uxaCA	argD//folM//
uxuAB	aes//uvrC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	phnP//rimK//
waaQGPSBOJYZU	gmhB//narV//frlD//lpd//rfbC//btuE//yfcG//dhaL//rihC//pyrI//
waaYZ	waaZ//thyA//
waaZU	adk//prmB//
wbbIJK	tsaC//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	metG//fkpA//fadI//dapA//waaP//insI-3//
wcaKLM	
wrbA_yccJ	rffH//
wza_wzb_wzc	ribB//purC//
wza_wzb_wzc_wcaAB	der//glcB//
xanQ_guaD_ghxQ	wzb//moeA//argI//
xapAB	ftsI//ruvB//
xdhABC	ybhA//
xerD_dsbC_recJ	ruvB//ubiC//
xseB_ispA_dxs_yajO	dadA//aldB//yagE//queF//
xylAB	trmJ//ygiF//
xylFGHR	rsmI//
yabPQ	
yacC_speED	allD//preA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rluA//
yafDE	
yafNOP	ssuD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ubiH//azoR//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ydiF//
ybaB_recR	opgE//
ybaST	umuD//
ybbAP	
ybbY_glxK	btuR//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ispU//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	recR//
ybeZY	
ybeZYX_lnt	glpK//
ybfHG	
ybfOC	
ybgA_phr	paaZ//
ybgC_tolQRA	
ybgIJKL_nei	rhaA//
ybgQPO	
ybhP_clsB_ybhN	phnI//
ybiYW	
ybjC_nfsA_rimK_ybjN	frlD//ampH//
ybjJI	phr//
ybjO_rlmC	ung//
ybjQ_amiD	plsB//
ycaI_msbA_lpxK_ycaQ	ubiD//puuD//
ycaR_kdsB	rsuA//
ycbK_gloC	alkB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	tig//
yciCB	
yciGFE	
yciK_btuR	betB//
yciVOQ	ddlB//
yciZT	
ycjMNOPQRSTUV_ymjB	yhdH//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	frdC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	ndk//thrA//
ydcSTUV_patD	nudL//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	prpE//
ydgK_rsxABCDGE_nth	ppsA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	clsB//murD//
ydiJ_menI_ydiH	yhdJ//
ydiNB_aroD	serA//tsaC//
ydiQRST_fadK	hyi//
ydjA_selD_topB	hdhA//malQ//
ydjLKJIHG	waaL//
ydjXYZ_ynjABCD	
yeaGH	rph//
yeaR_yoaG	
yeaVW	
yebC_ruvC	nrdA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	mltF//pheA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	glcB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	phnG//bcsZ//
yejABEF	serB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rluF//
yfaX_rhmD	
yfaX_rhmD_yfaVU	carA//
yfbUT	wzb//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	ydiO//
