# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	aroE//
btuB_murI	yfcF//ychF//
btuCED	eno//ygiF//
cadBA	mug//metG//
caiCDE	gltX//yghU//
caiTABCDE	sodC//ilvE//rpiA//hcaE//nudK//
carAB	lpxP//
casABCDE12	poxB//
casDE12	thiE//
cbpAM	
cbrBC	
ccmABCDEFGH	pyrB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	bfr//rrrD//pdeL//
chiP_ybfN	add//
chpSB	yahK//
citCDEFXG	trpA//ynfH//apt//
clpPX	yagE//gmd//ymdB//thrB//
clpX_lon	mpaA//dnaQ//speE//
clsA_yciU	mocA//
cmk_rpsA	gltD//
cmoM_mukFEB	
cmtBA_yggPFDC	ppk//guaD//
coaE_zapD_yacG	aspC//
cobUST	glmU//ygiF//rluA//
codBA	waaA//trmA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	cynT//
csgBAC	
csgDEFG	carB//
csiD_lhgO_gabDTP	dhaL//pgsA//pgaC//adhE//
cusCFBA	gshB//
cusRS	
cvpA_purF_ubiX	nrdF//glmU//
cydAB	qor//
cydDC	ydiO//
cydX_ybgE	gcvP//
cynTS	ilvB//yfbR//
cynTSX	recG//rfbA//qor//
cyoABCDE	iaaA//dosP//
cysDNC	gss//sucD//
cysJIH	folM//hemC//cysM//
cysPUWAM	rsmD//opgB//spoT//
dadAX	yliI//yggF//
damX_dam_rpe_gph_trpS	cheB//hdhA//nrdF//slt//
dam_rpe_gph_trpS	tyrA//pgl//glcF//scpB//
dapA_bamC	eptB//
dapE_ypfN	aroL//
dcm_vsr	rhaA//
dcuB_fumB	efeB//aroG//
dcuSR	
dcyD_tcyLN	hisS//torA//
ddpXABCDF	psd//
def_fmt	aslA//mpl//
degQS	umpH//uxaA//
deoABD	mgsA//feaB//rdoA//
deoBD	pgl//yeiG//
deoCABD	yjiA//mltB//nadE//dinB//
dgoRKADT	rfaE//glgP//asnB//paaG//
dhaKLM	purA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	speD//folA//
dinJ_yafQ	pssA//
dksA_gluQ	ubiA//
dmsABC	fabH//
dnaAN_recF	arnA//
dnaK_tpke11_dnaJ	nanK//
dnaN_recF	nudK//
dnaTC	
dnaTC_yjjA	
dosCP	cysI//gpsA//
dpiBA	
dppABCDF	hisC//
dsbC_recJ_prfB	puuE//feaB//
dsbD_yjdC	
dsdXA	rfaD//glpQ//
dusB_fis	selB//
dut_slmA	pgpC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	paaJ//citE//
efeOB	sodA//
efeU_1U_2	
elbB_mtgA	eptC//
elfDCG_ycbUVF	
emrKY	mnmE//
entCEBAH	maeB//rnpB//xdhA//glyS//pdxH//udp//
envY_ompT	dld//
epd_pgk	ydiB//rluF//
epd_pgk_fbaA	yfcG//dusB//frdA//
essD_rrrD_rzpD	rsmE//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	paoA//
eutHA	
eutNEJG	
eutSPQTDM	dgcP//
evgAS	
exbBD	
fabDG_acpP	cysC//mutT//
fabG_acpP	fucK//
fabHDG	ubiD//rsmH//hisF//
fabR_yijD	
fadBA	alsK//aroG//
fadD_sroD	ltaE//
fadIJ	waaG//phnM//
fdnGHI	
fdoGHI_fdhE	aceB//
fdrA_ylbEF_ybcF	pdxJ//
fecABCDE	rfe//moeB//
fecIR	
feoABC	nudF//
fepA_entD	der//rsmH//dgcZ//
fepDGC	mhpF//
fes_ybdZ_entF_fepE	dusC//slt//ilvM//
fetAB	
fhuACDB	serA//dut//
ficA_fic_pabA	nudB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	hmp//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	aes//dgcM//
folC_dedD	rhaA//
folD_ybcJ	eptC//
folE_yeiB	fre//
folP_glmM	insI-1//ispG//
folX_yfcH	asnS//
frdABCD	trmI//
frlABCDR	fsaB//paaH//opgB//tam//
frmRAB	glyQ//mak//
fruBKA	hyi//nadA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	phnJ//yfcG//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	sucC//fucI//pphB//putA//tesA//pgm//hchA//fadM//hdhA//mutY//
ftsQAZ	
ftsYEX	
fucAO	fadE//ybbO//
fucPIKUR	thiF//pgk//ppiA//tig//
fumAC	ldcA//idnO//
fusA_tufA	
gabDTP	kdsB//ilvG_1//yrfG//
gadAX	sufS//
gadBC	cmoB//ubiH//
gadEF	
gadEF_mdtEF	arsC//
gadXW	
galET	melA//mcrC//
galETK	gstB//aldA//bioD//
galETKM	sufS//ghrA//ftsI//glpD//
gapA_yeaD	aroD//
gapC_1C_2	
garPLRK_rnpB	fsaB//pdeR//allC//narZ//maeA//dgcZ//
gatYZABCD	menA//cysJ//insI-1//
gatZABCD	rsuA//tmk//folE//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	phnH//cheB//frdD//paoB//hycF//
gcvTHP	hdhA//sdaB//hinT//
gfcBCD	
gfcE_etp_etk	rnd//kbaY//
ghoST	dapA//
glcBA	rsmB//gpsA//
glcDEFGBA	idi//umpG//rihA//
glf_wbbH	yigB//
glgAP	paaA//yieF//
glgBXCAP	ribC//bglA//cysS//torA//prmB//
glgCAP	galM//coaD//rfbA//
glmUS	paaE//nadR//
glnALG	ribF//
glnHPQ	adk//
glnK_amtB	gdhA//
glnLG	
glnW_metU_glnVX	
glpABC	rffG//
glpEGR	uxaC//yihX//
glpFKX	ygeX//thiF//ygaP//
glpGR	mnmC//
glpTQ	ilvB//yohF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yhdH//
glvCBG_ysdC	
glyQS	gpt//
glyVXY	
glyW_cysT_leuZ	
gntKU	folD//eptA//
gntRKU	paaC//psuG//
gntX_nfuA	
gpmM_envC_yibQ	gpp//mutS//
groSL	
gspAB	
gspCDEFGHIJKLMO	fadA//
guaBA	cpdA//yibQ//
gudPXD	nudJ//ppiB//
hcaEFCBD	fabZ//anmK//
hcp_hcr	tig//tsaE//
hdeAB_yhiD	
hemA_prfA_prmC	cpsB//dgoD//
hemCDXY	argK//sdaB//
hflD_purB	ubiD//
hfq_hflXKC	dmsB//
hicAB	
higBA	hisA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pgpC//eptB//puuB//mltD//
hipBA	polA//
hisBHAFI	nfsA//glcB//cheR//murG//
hisJQMP	hmp//cobC//
hisLGDCBHAFI	thiE//nfi//frlC//mrcA//purA//psuG//suhB//
hofMNOP	
holC_valS	aldA//
holD_rimI_yjjG	fkpA//aroC//
hscBA_fdx_iscX	putA//
hsdMS	dkgB//
hsdRMS	ynfE//
hslRO	
hslVU	metC//
hyaABCDEF	
hybOABCDEFG	betB//
hycABCDEFGHI	gpp//cdsA//
hydN_hypF	glpQ//
hyfABCDEFGHIJR_focB	fbp//
hypABCDE	bcsB//
hypABCDE_fhlA	proS//
hypBCDE	mobA//
hypBCDE_fhlA	coaD//
iaaA_gsiABCD	patA//dxs//
ibaG_murA	ygaP//
ibpAB	
idnDOTR	nudC//napA//thiM//
ileS_lspA_fkpB_ispH	sseA//gmm//metL//nudI//
ilvEDA	icd//paaC//dgcZ//uxaB//
ilvIH	adk//
ilvLXG_1G_2MEDA	tmcA//umuD//pheT//ilvE//pyrE//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rlmL//
insN_1I_1O_1	murA//
insO_2_yjhWV	
iscRSUA	ispG//rlmE//
ispDF	garD//frlC//
ispG_sroE	coaA//
isrC_flu	
ivbL_ilvBN	waaA//
ivbL_ilvBN_uhpABC	panD//
kbaZ_agaVWA	ugpQ//
kbl_tdh	glpE//cpdB//
kdpDE	
kdpFABC	metF//
kdsC_lptCAB	leuA//glgX//
kefFC	pepD//ycjU//
kefGB_yheV	yniC//
kilR_ydaE	
lacYA	purE//mrcA//
lacZYA	uxuA//tmk//folB//
lapAB	
lapAB_pyrF_yciH	galM//
lepAB	lpxP//
leuLABCD	nirD//srlD//waaS//
leuQPV	
leuS_lptE_holA_nadD_cobC	murE//pdxA//glmS//
lexA_dinF	
lgt_thyA	asd//opgE//
ligA_ypeB	mltF//
livKHMGF	aceB//udk//
lldPRD	glgA//hcp//
lolA_rarA	
lolB_ispE_prs	rutA//tdk//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	glmM//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	murG//talA//
lptFG	
lspA_fkpB_ispH	hcaF//yliI//adhE//
lsrACDBFG_tam	ampC//nrfC//gstA//hisS//
lsrRK	menC//
ltaE_ybjT	citC//
lysT_valT_lysW	
macAB	rlmE//
malEFG	rrrD//
malK_lamB_malM	hemH//rffM//
malPQ	dusB//curA//
malXY	nadB//torC//
manXYZ	dgcP//
map_glnD_dapD	hemG//ynfF//dut//
marRAB	
mazEFG	mltA//
mcrBC	ymdB//
mdlAB	
mdtABCD_baeSR	lsrF//
mdtEF	metK//
mdtJI	codA//
mdtM_yjiN	phnI//
mdtNOP	rnpA//
melAB	fabB//paaB//
menA_rraA	clsA//
menBCE	waaL//caiB//lpcA//
menDHBCE	proC//tatD//sgbU//folA//dusA//
menFDHBCE	tesB//rne//ybjG//yfbT//fabB//sufS//
metBL	katG//cdh//
metNIQ	melA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ispG//arnC//phnP//
metZWV	
mglAC	cdd//
mglBAC	eptB//
mgtLA	ldcC//
mhpABCDFE	ycaO//paaE//ribD//feaB//pheS//yqjG//
mhpR_lacI	
miaA_hfq_hflXKC	malZ//gshA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ppk//lpxK//
mnaT_ydcZ	paaK//
mngAB	ybhA//otsA//
mnmG_rsmG	frdB//nagA//
mntR_ybiR	
moaABCDE	ygiF//wzc//
moaBCDE	dmsA//
mobAB	mhpF//
modABC	suhB//
modEF	
moeAB	lysU//pdxJ//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	accB//
mqsRA	tig//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hyaB//pncC//glcB//menC//ubiA//mutT//sthA//mutH//ppk//wzb//ispU//
mreBCD	
mreCD	
msrPQ	
mtlADR	murE//rpe//lipA//
mtn_btuF_yadS	nrdE//rrrD//
murB_birA	murF//sbcB//
murQP	guaD//sodA//rlmM//
murQP_yfeW	yagE//fumB//fabF//waaQ//
mutL_miaA_hfq_hflXKC	pdeR//glgB//rnpB//
mutY_yggX	hisG//
mutY_yggX_mltC	sbcB//guaD//
mutY_yggX_mltC_nupG	eutB//astA//carB//
nadA_pnuC	glf//speA//
nagBAC_umpH	glyA//rihC//yjiA//
nagK_cobB	deoD//yigL//
nanATEK_yhcH	edd//mhpE//idnO//hisF//
nanCM	ansB//mnaT//
nanCMS	truD//gabD//
napFDAGHBC	frlB//
napFDAGHBC_ccmABCDEFGH	aceF//speG//
narGHJI	tatD//
narWV	ispE//
narXL	
narZYWV	galM//
nemRA	entE//
nemRA_gloA	insI-2//folX//
nfrBA	
nhaAR	der//
nikABCDER	lpxC//
nirBDC_cysG	ydiF//gmk//ilvH//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	fumC//
nrdAB_yfaE	purM//
nrdDG	allD//pyrB//
nrdHIEF	mcrB//
nrdR_ribDE_nusB_thiL_pgpA	narV//rsmF//gcvH//abgB//
nrfABCDEFG	malP//
nsrR_rnr_rlmB_yjfI	yhhW//tdcG//
nudB_yebC_ruvC	nrdA//gluQ//
nudC_hemE_nfi	thiE//roxA//
nudF_yqiB_cpdA_yqiA_parE	edd//ygaP//
nuoABCEFGHIJKLMN	hisB//
nuoMN	speB//
ompR_envZ	
opgGH	
oppABCDF	rpe//adk//
osmF_yehYXW	selA//
otsBA	eutC//gldA//
paaABCDEFGHIJK	moeB//fadD//dapE//pphB//queA//ttdB//torA//
paaXY	tdcD//
pabB_nudL	gmm//pgk//
pabC_mltG_tmk_holB_ycfH	cynT//adeD//paaB//
panBC	ahpC//pspE//
panE_yajL	pyrH//
paoABCD	yfcF//
pcnB_folK	allC//yniC//
pdeI_dgcI	
pdhR_aceEF_lpd	tgt//atoD//rbsD//glnE//preA//yciV//
pdxA_rsmA	nudE//malZ//
pdxA_rsmA_apaGH	mhpA//dacA//menA//
pdxB_usg_truA_dedA	valS//yegS//
pdxH_tyrS_pdxY	nemA//deoA//menF//
pdxJ_acpS	bioC//acnB//
pepQ_yigZ_trkH_hemG	nrdB//allA//opgB//
pflDC	
pgaABCD	pncB//slt//rffH//
pgk_fbaA	hemC//gcl//
pgpC_tadA	glf//pykF//
pheLA	cmoB//
pheMST_ihfA	ilvB//
phnCDE_1E_2FGHIJKLMNOP	idnK//luxS//dkgA//argS//glpA//fucK//pyrC//
phnLMNOP	cadA//nudL//folC//etk//mmuM//
phoA_psiF	clsB//
phoBR	
phoPQ	
pldB_yigL	bioF//efeB//
plsX_fabHDG	narI//uxuB//phoA//
pntAB	
potABCD	def//
potFGHI	gatZ//
poxB_ltaE_ybjT	ligA//yeiR//
ppdAB_ygdB_ppdC_recC	dapE//
ppdD_hofBC	
ppiB_lpxH	speD//hycF//
ppk_ppx	lpxP//tdk//
pqiAB	
preTA	hisH//
prfB_lysS	phnH//
priC_ybaM	
prlC_rsmJ	kbaY//nagZ//
prlF_yhaV	dadX//
prmB_aroC_mepA_yfcA_epmC_yfcL	lacZ//adhP//recJ//spoT//
proBA	yegS//lpxB//
proQ_prc	qor//
proVWX	fumC//
prpBCDE	kefF//fes//hisF//nrdB//
psd_mscM	
pspABCDE	gatZ//
pspBCDE	pyrD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	serC//moaA//
pth_ychF	cdd//
ptrA_recBD	uxaB//hcaE//
ptsA_fsaB_gldA	ispH//gloB//
ptsHI_crr	ppiB//glxR//nrdF//
purEK	tdcG//ppa//
purHD	gor//nrdB//
purMN	glpC//gmd//
puuAP	pgm//yqhD//
puuCBE	araA//rihB//yibQ//
puuDRCBE	ynfF//prmB//rsmJ//hisG//
pyrF_yciH	gcvP//
pyrG_eno	waaH//queG//
pyrLBI	cyaA//
qmcA_ybbJ	
qseBC	
radA_nadR	curA//
rapA_rluA	ddlA//
ratAB	
ravA_viaA	
rbsDACBKR	wbbI//asnS//proB//
rclABC	
rclBC	
rcnAB	truC//
rcsDB	
rcsF_trmO	allE//
rdgB_yggW	tdh//
rdoA_dsbA	paaC//ushA//
recAX	
recET_ralR_ydaC_xisR_intR	purH//eno//
relA_mazEF	yajO//
relBE	argA//
relBE_hokD	hemD//
renD_emrE	ada//
rfaD_waaFCL	queA//nfsB//yghA//ppa//
rfbACX	ilvN//moeB//cynT//glgP//
rfbBDACX	chbG//apt//amn//recO//ribD//hdhA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ygeX//nudK//hemN//murA//abgB//sdhA//phnM//waaO//nagZ//
rhaBAD	rihA//hinT//nudL//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	fucU//mcrA//ygiF//
ribF_ileS_lspA_fkpB_ispH	argI//thiL//hemC//fadB//panB//
rimK_ybjN	fsaB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	citX//folD//mhpD//rpiB//kduD//plsB//kdsD//mhpA//luxS//astE//
rlmE_ftsH	gstA//pabC//
rlmL_uup	insI-1//
rluD_yfiH	pdxA//cysN//
rluE_nudJ	cysE//fruK//
rnc_era	puuC//
rnc_era_recO_pdxJ_acpS	astE//ileS//idnD//tgt//
rnlAB	dgoD//
rnt_lhr	purC//
rpe_gph_trpS	sseA//yieF//tehB//
rph_pyrE	gpsA//preT//
rpiR_alsBACE	fabF//bfr//
rplJL_rpoBC	xdhA//
rplKAJL_rpoBC	arsC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	mazG//
rpmF_plsX_fabHDG	nagK//ybjG//fucK//
rpmH_rnpA	anmK//fkpB//
rpmI_rplT	
rpoBC	gor//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	nadA//glcE//sodA//
rppH_ptsP	gntK//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	eutC//
rpsO_pnp	rfbB//mcrC//
rpsP_rimM_trmD_rplS	aroG//
rpsU_dnaG_rpoD	purT//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	alsK//metA//
rsmA_apaGH	paaC//proS//
rsmD_yhhL	gstA//
rsmE_gshB	mazG//rsmD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cpdB//moeB//queG//phnL//mtn//araA//insI-2//nagB//ybaS//puuB//pabC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	talA//
rtcBA	ruvC//ubiA//
rutABCDEFG	nirB//nfsA//mepS//glpK//selA//rnt//
ruvAB	cobU//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	yneH//
scpA_argK_scpBC	argG//gmm//pgl//paoC//
sdaCB	cobB//bacA//
sdhCDAB_sucABCD	ldcC//bfr//rlmG//folP//
sdhDAB	
sdhE_cptA	
secB_gpsA	murG//
secE_nusG	
secG_leuU	
secMA_mutT	argA//
selAB	yidA//sucB//
selD_topB	tgt//napG//
seqA_pgm	yhdH//
serB_radA	kdsC//
serC_aroA	atoA//coaE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ybdL//
sgrST_setA	hisG//
skp_lpxD_fabZ_lpxA	fdhF//rffC//alr//
slp_dctR	
solA_yceO	rsuA//
speAB	eda//thrB//
speF_potE	kefF//rluC//
srlAEBD_gutM_srlR_gutQ	frlC//nadD//sodC//
sroG_ribB	astD//
sspAB	
ssrS_fau	lsrK//
ssuEADCB	argI//purC//ilvC//
stfE_tfaE	
sucAB	murG//astB//queF//
sucABCD	cfa//ubiA//glpB//fruK//
sufABCDSE	miaB//
surA_pdxA_rsmA_apaGH	surA//glpB//allC//rlmI//
tag_yiaC	alsK//
talA_tktB	roxA//umpH//
tamAB_ytfP	
tar_tap_cheRBYZ	sseA//lysC//
tatABC	sodC//
tatABCD	moaD//waaO//
tauABCD	pncC//yjeF//
tdcABCDEFG	rsgA//rlmA//rnt//recF//trxB//
tdcBCDEFG	menH//pepD//gadA//dut//araA//
tehAB	adeD//cysJ//
tesA_ybbO	gmhB//gudD//
tff_rpsB_tsf	
tgt_yajC	sad//
thiCEFSGH	ubiD//maeA//idnK//mutT//treF//
thiMD	clsB//acs//
thrLABC	tsaC//folD//waaB//
thrS_infC	yqhD//
thrS_infC_rpmI_rplT_pheMST_ihfA	allB//fumC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	roxA//yfdE//
tolB_pal_cpoB	
tolC_ygiABC	kduD//acpH//moaD//sdhD//allB//pfkA//ribC//puuC//rnpB//
tomB_hha	
topAI_yjhQ	
torCAD	mutS//
torYZ	psuG//
treBC	ilvC//fklB//
trmI_yggL	yeaE//
trpCBA	yfdR//nrdF//citX//surA//
trpLEDCBA	rluD//scpB//glyA//pgpA//insI-2//xdhB//
tsaB_yeaY	birA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ilvH//recO//dhaM//edd//fsaB//
ttdABT	polA//hyaB//
tyrS_pdxY	nemA//yfcF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	malZ//mutY//
ubiEJB	dfp//
udk_dcd	purT//murI//
ugpBAECQ	accA//murC//
uhpABC	
uidABC	murE//queA//
ulaABCDEF	gcd//trpD//ybcF//ilvE//
umpG_pcm	yihU//paaJ//
umuDC	waaF//
uof_fur	
upp_uraA	pepD//menI//
usg_truA_dedA	ubiC//
uvrYC	mcrA//
uxaCA	ynfH//menC//
uxuAB	yicI//rrrD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	maa//dhaK//
waaQGPSBOJYZU	dusA//queD//relA//aroH//menE//yfbR//xthA//pabA//melA//betB//
waaYZ	nadK//cysK//
waaZU	dgcZ//nanK//
wbbIJK	yeiG//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	rlmC//ynfH//tatD//fadI//valS//mnaT//
wcaKLM	
wrbA_yccJ	yghU//
wza_wzb_wzc	frdC//aroB//
wza_wzb_wzc_wcaAB	tsaD//ilvB//
xanQ_guaD_ghxQ	queG//moeA//amyA//
xapAB	pyrH//kdsD//
xdhABC	hisF//
xerD_dsbC_recJ	cyaA//tilS//
xseB_ispA_dxs_yajO	zwf//hisB//uvrB//iaaA//
xylAB	gdhA//hycG//
xylFGHR	efeB//
yabPQ	
yacC_speED	hycG//pdeH//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	entC//
yafDE	
yafNOP	ldtB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	adhE//hisF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	sgbE//
ybaB_recR	srlD//
ybaST	ilvD//
ybbAP	
ybbY_glxK	uidA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	folE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pykF//
ybeZY	
ybeZYX_lnt	glcD//
ybfHG	
ybfOC	
ybgA_phr	araB//
ybgC_tolQRA	
ybgIJKL_nei	rfe//
ybgQPO	
ybhP_clsB_ybhN	umuC//
ybiYW	
ybjC_nfsA_rimK_ybjN	yeiR//yfcF//
ybjJI	lpoA//
ybjO_rlmC	mobA//
ybjQ_amiD	xapA//
ycaI_msbA_lpxK_ycaQ	cysG//rhaD//
ycaR_kdsB	dxs//
ycbK_gloC	mltD//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ddlA//
yciCB	
yciGFE	
yciK_btuR	recR//
yciVOQ	paoC//
yciZT	
ycjMNOPQRSTUV_ymjB	lpxA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	dgcT//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	tnaA//ybbO//
ydcSTUV_patD	adeD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	cysI//
ydgK_rsxABCDGE_nth	yeiG//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ycjU//ybhA//
ydiJ_menI_ydiH	ada//
ydiNB_aroD	pyrI//yihV//
ydiQRST_fadK	umuD//
ydjA_selD_topB	mltC//ppx//
ydjLKJIHG	fcl//
ydjXYZ_ynjABCD	
yeaGH	napG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	gph//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	waaQ//rluE//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	mgsA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	aroF//mtgA//
yejABEF	glyQ//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	yjiA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	rfaD//
yfbUT	hflX//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	patA//
