# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pphB//
dusB_fis	trmO//
dut_slmA	gatZ//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rlmF//luxS//
efeOB	panE//
efeU_1U_2	
elbB_mtgA	mcrB//
elfDCG_ycbUVF	
emrKY	menD//
entCEBAH	can//xapA//glpK//uvrA//ppa//scpA//
envY_ompT	coaD//
epd_pgk	waaF//yahK//
epd_pgk_fbaA	sdaA//dgoK//waaJ//
essD_rrrD_rzpD	waaG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	lpxT//
eutHA	
eutNEJG	
eutSPQTDM	yiaY//
evgAS	
exbBD	
fabDG_acpP	recF//entC//
fabG_acpP	aroG//
fabHDG	lpxP//menB//miaA//
fabR_yijD	
fadBA	thiK//ybdL//
fadD_sroD	trpB//
fadIJ	atoB//sdhB//
fdnGHI	
fdoGHI_fdhE	fadD//
fdrA_ylbEF_ybcF	argF//
fecABCDE	xdhA//rluB//
fecIR	
feoABC	ribE//
fepA_entD	lpxM//hemG//gatZ//
fepDGC	mak//
fes_ybdZ_entF_fepE	glpC//hyaA//sodC//
fetAB	
fhuACDB	narY//ugd//
ficA_fic_pabA	menA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	fkpB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	waaB//garK//
folC_dedD	ppa//
folD_ybcJ	ubiE//
folE_yeiB	preA//
folP_glmM	alaS//clsA//
folX_yfcH	amn//
frdABCD	mmuM//
frlABCDR	fabG//rnpB//thiH//yieF//
frmRAB	spoT//purF//
fruBKA	rlmJ//mraY//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	phnM//sodA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lgoD//rbsK//rutD//allA//folX//umpH//fbaA//rluD//nanK//aes//
ftsQAZ	
ftsYEX	
fucAO	patZ//nrdD//
fucPIKUR	chbG//paaY//napC//argA//
fumAC	fkpA//mog//
fusA_tufA	
gabDTP	rlmB//lsrK//nrdF//
gadAX	galT//
gadBC	ppiB//dkgB//
gadEF	
gadEF_mdtEF	edd//
gadXW	
galET	mocA//cueO//
galETK	pphB//fbaB//cpsG//
galETKM	proC//aroK//yggF//tgt//
gapA_yeaD	ada//
gapC_1C_2	
garPLRK_rnpB	glcE//aroA//apt//panD//pdxJ//cysI//
gatYZABCD	waaJ//paaY//kbaZ//
gatZABCD	allD//tdcE//paaK//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	pyrB//katE//amn//eptB//treA//
gcvTHP	yqhD//bcsA//katE//
gfcBCD	
gfcE_etp_etk	tyrS//glpA//
ghoST	lpcA//
glcBA	csdA//nemA//
glcDEFGBA	sodB//cfa//gldA//
glf_wbbH	tesA//
glgAP	garL//ispA//
glgBXCAP	tehB//rph//rsmI//ileS//arnC//
glgCAP	preT//cmoB//amyA//
glmUS	yiaY//ldtC//
glnALG	glgA//
glnHPQ	ubiG//
glnK_amtB	fucA//
glnLG	
glnW_metU_glnVX	
glpABC	pgpC//
glpEGR	tcdA//lpxP//
glpFKX	mnmA//purK//fadH//
glpGR	cpsG//
glpTQ	ubiE//lpxB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	solA//
glvCBG_ysdC	
glyQS	aroG//
glyVXY	
glyW_cysT_leuZ	
gntKU	purA//ispB//
gntRKU	folX//aroH//
gntX_nfuA	
gpmM_envC_yibQ	sad//pyrD//
groSL	
gspAB	
gspCDEFGHIJKLMO	paoA//
guaBA	tynA//rihB//
gudPXD	malP//pncA//
hcaEFCBD	argD//malY//
hcp_hcr	rnt//glpC//
hdeAB_yhiD	
hemA_prfA_prmC	metA//waaY//
hemCDXY	pgpB//paaC//
hflD_purB	panB//
hfq_hflXKC	hemA//
hicAB	
higBA	rihC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	gpp//prpE//pheA//asnB//
hipBA	ligB//
hisBHAFI	hycG//purH//rsuA//rfe//
hisJQMP	truC//argB//
hisLGDCBHAFI	insI-1//rnb//fsaB//pyrE//epmC//allE//ogt//
hofMNOP	
holC_valS	moaA//
holD_rimI_yjjG	aldA//mraY//
hscBA_fdx_iscX	phnP//
hsdMS	yfdR//
hsdRMS	aroE//
hslRO	
hslVU	xdhB//
hyaABCDEF	
hybOABCDEFG	ddlB//
hycABCDEFGHI	pdeF//cynT//
hydN_hypF	lsrK//
hyfABCDEFGHIJR_focB	serA//
hypABCDE	nrfC//
hypABCDE_fhlA	gatY//
hypBCDE	chbF//
hypBCDE_fhlA	yfdE//
iaaA_gsiABCD	yihV//lpxA//
ibaG_murA	waaZ//
ibpAB	
idnDOTR	nagK//rnd//rihB//
ileS_lspA_fkpB_ispH	hpt//galT//gabT//yfcF//
ilvEDA	alaA//serA//nirB//moaD//
ilvIH	fumC//
ilvLXG_1G_2MEDA	fkpB//fabH//ispB//acpH//gcvP//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	bioA//
insN_1I_1O_1	ulaF//
insO_2_yjhWV	
iscRSUA	gmd//pdeR//
ispDF	paaZ//rfaD//
ispG_sroE	ulaG//
isrC_flu	
ivbL_ilvBN	tnaA//
ivbL_ilvBN_uhpABC	cpdB//
kbaZ_agaVWA	torC//
kbl_tdh	gcd//nanE//
kdpDE	
kdpFABC	yicI//
kdsC_lptCAB	mgsA//glcF//
kefFC	folB//cynS//
kefGB_yheV	pnp//
kilR_ydaE	
lacYA	thiC//fabB//
lacZYA	rnpA//mrdA//ybaS//
lapAB	
lapAB_pyrF_yciH	glpD//
lepAB	narG//
leuLABCD	carB//uxuB//rbn//
leuQPV	
leuS_lptE_holA_nadD_cobC	folB//uxuA//slyD//
lexA_dinF	
lgt_thyA	speF//paaI//
ligA_ypeB	leuC//
livKHMGF	yigL//orn//
lldPRD	kbaY//paaC//
lolA_rarA	
lolB_ispE_prs	dgkA//rdgB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yibQ//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	cmoA//asnS//
lptFG	
lspA_fkpB_ispH	rluD//hypF//nrfC//
lsrACDBFG_tam	mak//rsmI//phnO//yihU//
lsrRK	purT//
ltaE_ybjT	deoB//
lysT_valT_lysW	
macAB	cysQ//
malEFG	ghrB//
malK_lamB_malM	mak//nemA//
malPQ	metF//pheA//
malXY	ahpC//xylB//
manXYZ	yiaY//
map_glnD_dapD	nrdD//btuR//hyaB//
marRAB	
mazEFG	asd//
mcrBC	entA//
mdlAB	
mdtABCD_baeSR	tyrB//
mdtEF	mmuM//
mdtJI	gluQ//
mdtM_yjiN	truB//
mdtNOP	ligB//
melAB	hcaC//rlmJ//
menA_rraA	ispH//
menBCE	cysJ//lplA//hflX//
menDHBCE	ulaE//hyi//rhaM//accD//arsC//
menFDHBCE	queA//purN//dgcZ//nth//yqaB//gcl//
metBL	torC//ubiF//
metNIQ	pbpC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	opgE//nhoA//hemA//
metZWV	
mglAC	cobT//
mglBAC	tig//
mgtLA	fadK//
mhpABCDFE	cmoB//sgbU//xdhB//lyxK//ilvA//treA//
mhpR_lacI	
miaA_hfq_hflXKC	torY//rffC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	glf//patD//
mnaT_ydcZ	eutC//
mngAB	metA//hchA//
mnmG_rsmG	puuC//aroK//
mntR_ybiR	
moaABCDE	rhaD//nrfC//
moaBCDE	idnK//
mobAB	yliI//
modABC	hcp//
modEF	
moeAB	pgi//dsdA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	hemD//
mqsRA	adhE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gatD//waaB//yciA//alsK//glpB//pykA//gldA//menH//argC//glpK//purB//
mreBCD	
mreCD	
msrPQ	
mtlADR	ygjK//araB//cdsA//
mtn_btuF_yadS	nanA//frlD//
murB_birA	gapA//paaE//
murQP	pykA//valS//carB//
murQP_yfeW	cysG//bglB//xylA//dam//
mutL_miaA_hfq_hflXKC	yccX//murG//pgsA//
mutY_yggX	menB//
mutY_yggX_mltC	asnB//yfaU//
mutY_yggX_mltC_nupG	kdgK//pfkB//moaD//
nadA_pnuC	ppiB//glmS//
nagBAC_umpH	yjeF//dgoA//ppk//
nagK_cobB	scpA//kefF//
nanATEK_yhcH	malS//asd//accA//ycjG//
nanCM	menB//dmsC//
nanCMS	rpe//aldB//
napFDAGHBC	ilvC//
napFDAGHBC_ccmABCDEFGH	ybhA//kbaZ//
narGHJI	frdB//
narWV	yjeF//
narXL	
narZYWV	wrbA//
nemRA	mug//
nemRA_gloA	fadB//tyrB//
nfrBA	
nhaAR	panB//
nikABCDER	pdeR//
nirBDC_cysG	coaD//menB//lpoA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	treC//
nrdAB_yfaE	paaI//
nrdDG	tsaE//rluD//
nrdHIEF	waaS//
nrdR_ribDE_nusB_thiL_pgpA	fadI//nfi//mdh//ispB//
nrfABCDEFG	fadM//
nsrR_rnr_rlmB_yjfI	gor//accC//
nudB_yebC_ruvC	ssuD//rlmG//
nudC_hemE_nfi	citC//yceF//
nudF_yqiB_cpdA_yqiA_parE	argI//aceF//
nuoABCEFGHIJKLMN	rfbC//
nuoMN	puuD//
ompR_envZ	
opgGH	
oppABCDF	opgB//slt//
osmF_yehYXW	dam//
otsBA	ubiF//preA//
paaABCDEFGHIJK	pssA//dld//deoB//yagE//udp//lacZ//fbaA//
paaXY	caiA//
pabB_nudL	edd//cpsG//
pabC_mltG_tmk_holB_ycfH	paoA//argF//mrdA//
panBC	cysG//rffH//
panE_yajL	appA//
paoABCD	nfi//
pcnB_folK	glgB//dapB//
pdeI_dgcI	
pdhR_aceEF_lpd	prs//paaH//dgcT//mqo//cobC//pdxH//
pdxA_rsmA	sufS//ansB//
pdxA_rsmA_apaGH	aes//rluE//ilvA//
pdxB_usg_truA_dedA	efeB//idi//
pdxH_tyrS_pdxY	glxR//maa//cmoB//
pdxJ_acpS	pdxK//tdcB//
pepQ_yigZ_trkH_hemG	rlmH//otsA//yihV//
pflDC	
pgaABCD	rluD//scpC//argC//
pgk_fbaA	alsE//sdhD//
pgpC_tadA	aroK//dgcT//
pheLA	waaG//
pheMST_ihfA	sucC//
phnCDE_1E_2FGHIJKLMNOP	rnd//ybiV//ynfF//citE//pgpA//ubiG//lldD//
phnLMNOP	mnaT//paaF//guaA//cobT//fdhF//
phoA_psiF	serC//
phoBR	
phoPQ	
pldB_yigL	phoA//wzc//
plsX_fabHDG	sdhA//astC//rnd//
pntAB	
potABCD	glcB//
potFGHI	leuA//
poxB_ltaE_ybjT	dnaQ//opgE//
ppdAB_ygdB_ppdC_recC	ulaG//
ppdD_hofBC	
ppiB_lpxH	gatZ//mhpF//
ppk_ppx	pspE//sodA//
pqiAB	
preTA	bacA//
prfB_lysS	rfe//
priC_ybaM	
prlC_rsmJ	fabG//btuR//
prlF_yhaV	nfsA//
prmB_aroC_mepA_yfcA_epmC_yfcL	glgA//etp//purC//mtn//
proBA	cysC//treC//
proQ_prc	sucB//
proVWX	frlD//
prpBCDE	waaC//birA//nfsB//torA//
psd_mscM	
pspABCDE	alaA//
pspBCDE	dld//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	paaF//moeA//
pth_ychF	caiD//
ptrA_recBD	mnmC//eutD//
ptsA_fsaB_gldA	dkgB//folA//
ptsHI_crr	gntK//ribD//aroH//
purEK	pncA//wzc//
purHD	etk//waaC//
purMN	atoD//ispH//
puuAP	maeA//mcrC//
puuCBE	yieF//mtlD//frdA//
puuDRCBE	purN//pdxH//rihC//cysJ//
pyrF_yciH	paaK//
pyrG_eno	allD//tcdA//
pyrLBI	ribD//
qmcA_ybbJ	
qseBC	
radA_nadR	menF//
rapA_rluA	fabH//
ratAB	
ravA_viaA	
rbsDACBKR	panE//yfeW//ruvB//
rclABC	
rclBC	
rcnAB	paaK//
rcsDB	
rcsF_trmO	cueO//
rdgB_yggW	frlD//
rdoA_dsbA	purA//purM//
recAX	
recET_ralR_ydaC_xisR_intR	ubiF//bfr//
relA_mazEF	hycB//
relBE	fadE//
relBE_hokD	epmB//
renD_emrE	frmB//
rfaD_waaFCL	argG//epmA//nanM//sucB//
rfbACX	ybiV//hycE//ilvA//acs//
rfbBDACX	ubiC//glpA//ilvD//folC//pheS//azoR//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	pta//rpe//metL//iaaA//fadA//trmI//trmL//nanA//btuR//
rhaBAD	yiaY//aceF//thiG//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	psuG//gloC//frlD//
ribF_ileS_lspA_fkpB_ispH	def//glmM//ynfG//purT//roxA//
rimK_ybjN	menD//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	guaC//yhhW//rlmL//phnN//icd//mnmE//fadD//dgoD//speA//rluE//
rlmE_ftsH	folK//folB//
rlmL_uup	idi//
rluD_yfiH	otsB//napB//
rluE_nudJ	hisA//paaK//
rnc_era	glgC//
rnc_era_recO_pdxJ_acpS	uvrC//gloB//der//cmk//
rnlAB	phnJ//
rnt_lhr	garK//
rpe_gph_trpS	mhpD//yiaK//nudF//
rph_pyrE	add//pgaC//
rpiR_alsBACE	kbaY//ghrB//
rplJL_rpoBC	moaE//
rplKAJL_rpoBC	sdhD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ubiC//
rpmF_plsX_fabHDG	glyA//glyQ//guaB//
rpmH_rnpA	gudD//wecB//
rpmI_rplT	
rpoBC	rpiB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	mpl//cysM//feaB//
rppH_ptsP	ldcC//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	acs//
rpsO_pnp	can//pncB//
rpsP_rimM_trmD_rplS	queF//
rpsU_dnaG_rpoD	deoA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	glgB//yajO//
rsmA_apaGH	truA//ftnA//
rsmD_yhhL	fadJ//
rsmE_gshB	glpD//fcl//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	waaQ//hycF//uvrA//dhaL//rutE//ydiB//trpD//napB//birA//malS//yniC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	kbl//
rtcBA	can//proA//
rutABCDEFG	fabA//mutL//insI-3//sdhD//mnmE//thyA//
ruvAB	trpA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	pgpB//
scpA_argK_scpBC	cueO//alaA//trmA//fbp//
sdaCB	araD//garL//
sdhCDAB_sucABCD	rsmC//cynT//tdh//dosP//
sdhDAB	
sdhE_cptA	
secB_gpsA	rihB//
secE_nusG	
secG_leuU	
secMA_mutT	gpmM//
selAB	yjjX//pdxB//
selD_topB	pabC//yihU//
seqA_pgm	fbp//
serB_radA	pyrG//
serC_aroA	psuK//pgsA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	hcaD//
sgrST_setA	ruvA//
skp_lpxD_fabZ_lpxA	ttdB//glgX//metK//
slp_dctR	
solA_yceO	gutQ//
speAB	rhaA//btuR//
speF_potE	rfbA//ycaO//
srlAEBD_gutM_srlR_gutQ	tsaE//cyoE//ahpF//
sroG_ribB	dgkA//
sspAB	
ssrS_fau	mutY//
ssuEADCB	cysN//dadA//cpdB//
stfE_tfaE	
sucAB	tdk//kdsB//yjhG//
sucABCD	dapE//kdsA//dmlA//yieF//
sufABCDSE	rnpA//
surA_pdxA_rsmA_apaGH	ispH//trpE//rluE//yicI//
tag_yiaC	folM//
talA_tktB	atoD//dgcZ//
tamAB_ytfP	
tar_tap_cheRBYZ	bioD//ispH//
tatABC	pncB//
tatABCD	cysI//alaS//
tauABCD	selD//hisH//
tdcABCDEFG	fabA//leuB//rsmD//napA//queF//
tdcBCDEFG	rnt//hisF//nudF//gcvH//mutT//
tehAB	hisB//glf//
tesA_ybbO	deoB//ynjE//
tff_rpsB_tsf	
tgt_yajC	aroA//
thiCEFSGH	yfcF//rlmM//phnG//oxc//fbaB//
thiMD	glxK//fbp//
thrLABC	entB//ansB//tdcD//
thrS_infC	ligB//
thrS_infC_rpmI_rplT_pheMST_ihfA	gstB//cyoE//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	purB//puuE//
tolB_pal_cpoB	
tolC_ygiABC	alsE//gadA//upp//cysQ//hemA//hemN//rpe//dcyD//anmK//
tomB_hha	
topAI_yjhQ	
torCAD	metF//
torYZ	waaL//
treBC	aroG//cynS//
trmI_yggL	ssuE//
trpCBA	yfbR//tsaC//nadB//aceB//
trpLEDCBA	oxc//tynA//cdsA//fcl//lldD//ruvA//
tsaB_yeaY	bglA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	dkgA//arnC//yihV//ascB//nadA//
ttdABT	gloA//sdhD//
tyrS_pdxY	prpC//rsmA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	cdh//dapE//
ubiEJB	ubiH//
udk_dcd	scpA//hisD//
ugpBAECQ	bioB//metL//
uhpABC	
uidABC	pheS//gstB//
ulaABCDEF	garR//yccX//trpD//avtA//
umpG_pcm	glpA//ynfH//
umuDC	waaZ//
uof_fur	
upp_uraA	zwf//dmsB//
usg_truA_dedA	hemC//
uvrYC	lpoB//
uxaCA	nrdA//waaB//
uxuAB	nfsB//thiC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ligB//folD//
waaQGPSBOJYZU	bioB//acnA//pdxK//rluE//cmoB//miaB//accD//recF//nudE//ilvM//
waaYZ	cyaA//dgcZ//
waaZU	rsmC//uxaC//
wbbIJK	pykF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	menI//cobB//yfeX//alkA//phoA//ubiG//
wcaKLM	
wrbA_yccJ	yjhG//
wza_wzb_wzc	aceA//entF//
wza_wzb_wzc_wcaAB	fabG//mtlD//
xanQ_guaD_ghxQ	folD//trmA//xdhC//
xapAB	gnd//ubiH//
xdhABC	lplA//
xerD_dsbC_recJ	abgA//ydiO//
xseB_ispA_dxs_yajO	menE//hisH//ilvC//uidA//
xylAB	rfaD//menI//
xylFGHR	pgl//
yabPQ	
yacC_speED	rlmC//nadB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ldtA//
yafDE	
yafNOP	dapE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ubiA//fes//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	menD//
ybaB_recR	eptC//
ybaST	selB//
ybbAP	
ybbY_glxK	tsaB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	xapA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	paaY//
ybeZY	
ybeZYX_lnt	cdh//
ybfHG	
ybfOC	
ybgA_phr	ubiA//
ybgC_tolQRA	
ybgIJKL_nei	sdhD//
ybgQPO	
ybhP_clsB_ybhN	katE//
ybiYW	
ybjC_nfsA_rimK_ybjN	purC//tig//
ybjJI	yccX//
ybjO_rlmC	serC//
ybjQ_amiD	alsE//
ycaI_msbA_lpxK_ycaQ	ldtC//cysD//
ycaR_kdsB	murQ//
ycbK_gloC	gpmA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	yfdE//
yciCB	
yciGFE	
yciK_btuR	trmA//
yciVOQ	dcm//
yciZT	
ycjMNOPQRSTUV_ymjB	mnmE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ruvA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	accC//glmS//
ydcSTUV_patD	idi//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	queG//
ydgK_rsxABCDGE_nth	rfbB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yagF//gapA//
ydiJ_menI_ydiH	tyrS//
ydiNB_aroD	thyA//ghrB//
ydiQRST_fadK	fruK//
ydjA_selD_topB	sdaA//speB//
ydjLKJIHG	gstB//
ydjXYZ_ynjABCD	
yeaGH	tesA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ycaO//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	allE//nudB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rfbB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	tdcE//kdsD//
yejABEF	yqaB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	hemE//
yfaX_rhmD	
yfaX_rhmD_yfaVU	epd//
yfbUT	metF//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	dapE//
