# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xdhA//
glnALG	rrrD//
glnHPQ	pfkB//
glnK_amtB	kdsA//
glnLG	
glnW_metU_glnVX	
glpABC	thrA//
glpEGR	gshB//phnI//
glpFKX	truD//pdeR//gatD//
glpGR	thiH//
glpTQ	rfaD//idnD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	fabZ//
glvCBG_ysdC	
glyQS	nudF//
glyVXY	
glyW_cysT_leuZ	
gntKU	wecC//proC//
gntRKU	waaU//tsaE//
gntX_nfuA	
gpmM_envC_yibQ	lysA//maeB//
groSL	
gspAB	
gspCDEFGHIJKLMO	ubiD//
guaBA	mhpE//rpiA//
gudPXD	speF//galT//
hcaEFCBD	mcrB//waaP//
hcp_hcr	yfbT//menD//
hdeAB_yhiD	
hemA_prfA_prmC	lhgO//accD//
hemCDXY	kefF//nrdA//
hflD_purB	accC//
hfq_hflXKC	speF//
hicAB	
higBA	carA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mutL//ubiF//fadB//yfbT//
hipBA	cobT//
hisBHAFI	glcD//sodB//ydiO//rsuA//
hisJQMP	rnpB//galK//
hisLGDCBHAFI	melA//phnO//preT//ackA//yggF//selD//astC//
hofMNOP	
holC_valS	purT//
holD_rimI_yjjG	orn//dapE//
hscBA_fdx_iscX	pyrI//
hsdMS	gph//
hsdRMS	purM//
hslRO	
hslVU	metF//
hyaABCDEF	
hybOABCDEFG	ispD//
hycABCDEFGHI	ppiC//adiA//
hydN_hypF	yicI//
hyfABCDEFGHIJR_focB	uidA//
hypABCDE	aceE//
hypABCDE_fhlA	trpD//
hypBCDE	pldB//
hypBCDE_fhlA	ilvG_1//
iaaA_gsiABCD	glxK//cdd//
ibaG_murA	glmM//
ibpAB	
idnDOTR	mhpA//rhaM//pdeH//
ileS_lspA_fkpB_ispH	pgpA//prmB//katG//lysC//
ilvEDA	xylA//ygiF//frmB//rsmE//
ilvIH	apaH//
ilvLXG_1G_2MEDA	pgk//sdhB//aceB//bfr//ubiX//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	truD//
insN_1I_1O_1	iscS//
insO_2_yjhWV	
iscRSUA	hemN//thrC//
ispDF	gmk//speF//
ispG_sroE	ogt//
isrC_flu	
ivbL_ilvBN	rsmB//
ivbL_ilvBN_uhpABC	mnaT//
kbaZ_agaVWA	aroL//
kbl_tdh	paoA//scpB//
kdpDE	
kdpFABC	menA//
kdsC_lptCAB	yfeW//yihX//
kefFC	hemF//tdh//
kefGB_yheV	xdhB//
kilR_ydaE	
lacYA	araB//ldtB//
lacZYA	nrfA//cpdB//murA//
lapAB	
lapAB_pyrF_yciH	acs//
lepAB	argH//
leuLABCD	cpsG//ribA//uxuA//
leuQPV	
leuS_lptE_holA_nadD_cobC	ahpC//bglX//yihT//
lexA_dinF	
lgt_thyA	purL//pyrE//
ligA_ypeB	rfe//
livKHMGF	gpmA//glmS//
lldPRD	hpt//yihV//
lolA_rarA	
lolB_ispE_prs	iscS//malP//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	rsmE//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	qor//waaG//
lptFG	
lspA_fkpB_ispH	murE//dadA//polB//
lsrACDBFG_tam	fadK//hcp//polB//ruvC//
lsrRK	truD//
ltaE_ybjT	aspC//
lysT_valT_lysW	
macAB	argG//
malEFG	frdC//
malK_lamB_malM	glmM//cysM//
malPQ	pdxB//mngB//
malXY	tgt//dut//
manXYZ	frlD//
map_glnD_dapD	pphB//treF//aceE//
marRAB	
mazEFG	lpxD//
mcrBC	hycC//
mdlAB	
mdtABCD_baeSR	aslA//
mdtEF	yeiG//
mdtJI	entE//
mdtM_yjiN	pgsA//
mdtNOP	ygjK//
melAB	ybbO//lpcA//
menA_rraA	murD//
menBCE	prpD//thiL//purK//
menDHBCE	fklB//relA//mepS//folC//betB//
menFDHBCE	cdsA//gltD//cyaA//folE//yhdJ//nrfC//
metBL	serS//betB//
metNIQ	pphB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	fumC//cmoA//mcrA//
metZWV	
mglAC	bcsZ//
mglBAC	galU//
mgtLA	alaA//
mhpABCDFE	ribA//fkpA//nfsA//mltD//glgP//sdhA//
mhpR_lacI	
miaA_hfq_hflXKC	mmuM//gmm//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	thiF//maeB//
mnaT_ydcZ	puuD//
mngAB	fabA//trpS//
mnmG_rsmG	pgpC//sdaA//
mntR_ybiR	
moaABCDE	yihU//pdxY//
moaBCDE	leuC//
mobAB	der//
modABC	glyA//
modEF	
moeAB	ydiO//ygjK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	rutA//
mqsRA	fadB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ddlB//guaD//paaG//dsdA//ubiH//glmS//fbaB//hisS//pykA//tcdA//moeA//
mreBCD	
mreCD	
msrPQ	
mtlADR	tsaD//rsmE//prpB//
mtn_btuF_yadS	psd//ulaG//
murB_birA	dxs//dcyD//
murQP	napA//paaY//frdB//
murQP_yfeW	menF//aroG//cobC//waaB//
mutL_miaA_hfq_hflXKC	rfaE//ldcC//maa//
mutY_yggX	accC//
mutY_yggX_mltC	glnE//sdaB//
mutY_yggX_mltC_nupG	eptC//rffT//yfdE//
nadA_pnuC	mutL//waaO//
nagBAC_umpH	ispG//preA//btuE//
nagK_cobB	uxuA//allA//
nanATEK_yhcH	deoA//gudD//dsdA//pabB//
nanCM	mnaT//trpS//
nanCMS	pphB//paaZ//
napFDAGHBC	yahK//
napFDAGHBC_ccmABCDEFGH	aldB//dcyD//
narGHJI	frmA//
narWV	ushA//
narXL	
narZYWV	murI//
nemRA	orn//
nemRA_gloA	apaH//yqhD//
nfrBA	
nhaAR	dapD//
nikABCDER	nanK//
nirBDC_cysG	dgcT//folB//lsrK//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	malP//
nrdAB_yfaE	ulaF//
nrdDG	mak//hchA//
nrdHIEF	pdeH//
nrdR_ribDE_nusB_thiL_pgpA	purM//rihA//tgt//lpxC//
nrfABCDEFG	hcp//
nsrR_rnr_rlmB_yjfI	otsB//rlmA//
nudB_yebC_ruvC	truD//dosC//
nudC_hemE_nfi	uxaC//bcsZ//
nudF_yqiB_cpdA_yqiA_parE	pyrH//mqo//
nuoABCEFGHIJKLMN	yfiC//
nuoMN	aroA//
ompR_envZ	
opgGH	
oppABCDF	tag//lysU//
osmF_yehYXW	panE//
otsBA	nagB//paoC//
paaABCDEFGHIJK	arnB//ldtD//tauD//opgE//qor//guaD//puuE//
paaXY	ydfG//
pabB_nudL	mepS//hisA//
pabC_mltG_tmk_holB_ycfH	thrS//frdA//nrdE//
panBC	fumA//hemL//
panE_yajL	eptC//
paoABCD	xdhA//
pcnB_folK	dhaM//kduI//
pdeI_dgcI	
pdhR_aceEF_lpd	purN//fabD//treC//suhB//ygaP//rfe//
pdxA_rsmA	proA//clsB//
pdxA_rsmA_apaGH	yjhH//ahr//xdhB//
pdxB_usg_truA_dedA	trmH//pgpC//
pdxH_tyrS_pdxY	mtn//panD//leuS//
pdxJ_acpS	astA//nrfB//
pepQ_yigZ_trkH_hemG	ugd//rluC//argF//
pflDC	
pgaABCD	bcsB//purA//yeiG//
pgk_fbaA	pheA//ruvB//
pgpC_tadA	glk//aceA//
pheLA	codA//
pheMST_ihfA	yjjG//
phnCDE_1E_2FGHIJKLMNOP	nrdF//tdh//uxaB//alsE//glf//thyA//relA//
phnLMNOP	puuE//acnA//glnE//kdsA//miaB//
phoA_psiF	gshA//
phoBR	
phoPQ	
pldB_yigL	trmA//purN//
plsX_fabHDG	pgpB//alkA//ygeX//
pntAB	
potABCD	ldcA//
potFGHI	puuB//
poxB_ltaE_ybjT	ynfH//moeB//
ppdAB_ygdB_ppdC_recC	wecC//
ppdD_hofBC	
ppiB_lpxH	nadK//umuD//
ppk_ppx	gntK//moaD//
pqiAB	
preTA	ileS//
prfB_lysS	yfbR//
priC_ybaM	
prlC_rsmJ	fau//ulaG//
prlF_yhaV	ppiB//
prmB_aroC_mepA_yfcA_epmC_yfcL	gss//thiE//guaD//paaG//
proBA	ghrA//umuC//
proQ_prc	puuE//
proVWX	etp//
prpBCDE	wcaJ//rph//acpH//uxuB//
psd_mscM	
pspABCDE	puuB//
pspBCDE	gltA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pta//udk//
pth_ychF	yajO//
ptrA_recBD	rdgB//cdh//
ptsA_fsaB_gldA	apt//birA//
ptsHI_crr	glpK//rnd//purU//
purEK	rbn//rsmF//
purHD	hemL//citC//
purMN	codA//dusB//
puuAP	araB//prs//
puuCBE	ydiF//hycE//acnB//
puuDRCBE	paaA//murI//ddlA//yihS//
pyrF_yciH	maa//
pyrG_eno	argE//paaG//
pyrLBI	allD//
qmcA_ybbJ	
qseBC	
radA_nadR	ybhA//
rapA_rluA	fabD//
ratAB	
ravA_viaA	
rbsDACBKR	dacC//frdB//moeA//
rclABC	
rclBC	
rcnAB	rihB//
rcsDB	
rcsF_trmO	thiD//
rdgB_yggW	recR//
rdoA_dsbA	menF//waaY//
recAX	
recET_ralR_ydaC_xisR_intR	tehB//glxR//
relA_mazEF	ackA//
relBE	yceF//
relBE_hokD	cysK//
renD_emrE	lpxP//
rfaD_waaFCL	kdgK//frdA//alkB//ilvM//
rfbACX	yjjG//astE//tyrA//thiH//
rfbBDACX	hcaB//yliI//ugpQ//ubiI//menH//dgkA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	eda//betA//waaZ//ackA//cmk//yieH//yfcG//yhdJ//ruvC//
rhaBAD	cobU//aroG//rsmG//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ilvG_1//metL//pphB//
ribF_ileS_lspA_fkpB_ispH	atoD//sucA//fes//pphA//cysG//
rimK_ybjN	ppiB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gstA//yfaU//gpsA//paaA//pgpC//alaC//glpD//gudD//paaJ//glpX//
rlmE_ftsH	rfbA//glf//
rlmL_uup	selA//
rluD_yfiH	tehB//argD//
rluE_nudJ	waaH//glnS//
rnc_era	puuD//
rnc_era_recO_pdxJ_acpS	def//citF//tdcG//pfkB//
rnlAB	serS//
rnt_lhr	nadE//
rpe_gph_trpS	glpK//aroD//garL//
rph_pyrE	prpD//citD//
rpiR_alsBACE	rutC//mepS//
rplJL_rpoBC	tesA//
rplKAJL_rpoBC	betA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	accB//
rpmF_plsX_fabHDG	entF//ubiH//hmp//
rpmH_rnpA	cobB//selA//
rpmI_rplT	
rpoBC	gcvT//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	murE//scpA//wbbI//
rppH_ptsP	fumA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	leuA//
rpsO_pnp	hycD//entD//
rpsP_rimM_trmD_rplS	arnB//
rpsU_dnaG_rpoD	yceF//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ycaO//gloA//
rsmA_apaGH	kdsB//sseA//
rsmD_yhhL	ispA//
rsmE_gshB	ppiB//frlC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glpC//dacA//yagE//selB//glcD//udk//hemC//clsA//scpA//scpC//yihV//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	aldB//
rtcBA	yahK//accB//
rutABCDEFG	araD//yeaE//trxB//fbp//nadR//glxR//
ruvAB	ydiO//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rpiA//
scpA_argK_scpBC	citG//nrfD//eptC//xdhB//
sdaCB	xdhA//valS//
sdhCDAB_sucABCD	rsuA//pfkB//paaY//tgt//
sdhDAB	
sdhE_cptA	
secB_gpsA	araB//
secE_nusG	
secG_leuU	
secMA_mutT	lacZ//
selAB	menA//ybjI//
selD_topB	dhaM//rsgA//
seqA_pgm	yghA//
serB_radA	aceF//
serC_aroA	gatZ//ispE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	clsB//
sgrST_setA	rlmH//
skp_lpxD_fabZ_lpxA	sucC//yccX//dhaK//
slp_dctR	
solA_yceO	moeB//
speAB	ubiX//ndk//
speF_potE	prpC//nadR//
srlAEBD_gutM_srlR_gutQ	etp//ldtE//aspS//
sroG_ribB	alaS//
sspAB	
ssrS_fau	ychF//
ssuEADCB	rlmG//lyxK//glpK//
stfE_tfaE	
sucAB	lsrG//yagE//ygiF//
sucABCD	hcaB//hyi//ubiA//ymdB//
sufABCDSE	coaE//
surA_pdxA_rsmA_apaGH	fadJ//mhpC//accD//amiD//
tag_yiaC	yigL//
talA_tktB	guaB//uxuA//
tamAB_ytfP	
tar_tap_cheRBYZ	pyrI//thrA//
tatABC	rihA//
tatABCD	napG//pyrG//
tauABCD	yajO//ddlB//
tdcABCDEFG	allC//caiA//rnpA//lplA//paaK//
tdcBCDEFG	yigL//puuA//maa//puuB//rbn//
tehAB	cfa//yeiG//
tesA_ybbO	cmoB//cysH//
tff_rpsB_tsf	
tgt_yajC	leuA//
thiCEFSGH	mog//argK//pgi//lpxD//ribC//
thiMD	yfiC//nadB//
thrLABC	dgoD//katE//fucA//
thrS_infC	dmsC//
thrS_infC_rpmI_rplT_pheMST_ihfA	purH//yfbR//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gadA//adeD//
tolB_pal_cpoB	
tolC_ygiABC	ycjG//speA//ubiG//ubiC//glmM//nagK//cysE//argS//yfaU//
tomB_hha	
topAI_yjhQ	
torCAD	selA//
torYZ	hisF//
treBC	xdhA//ilvH//
trmI_yggL	sgbH//
trpCBA	amn//moaE//surA//glnS//
trpLEDCBA	ribC//betA//yidA//ldtD//fucU//glpA//
tsaB_yeaY	mhpF//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ilvH//malS//ppiC//coaE//waaZ//
ttdABT	menE//argG//
tyrS_pdxY	ispA//dcyD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	chbF//ppk//
ubiEJB	cysE//
udk_dcd	ydjG//gpt//
ugpBAECQ	alaA//yihS//
uhpABC	
uidABC	trmJ//yfeX//
ulaABCDEF	bioB//coaA//fucK//lacA//
umpG_pcm	tmk//pykF//
umuDC	ddlB//
uof_fur	
upp_uraA	trmL//rlmG//
usg_truA_dedA	pck//
uvrYC	dam//
uxaCA	pldB//ruvB//
uxuAB	cysS//idi//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	arnT//rfaD//
waaQGPSBOJYZU	tesA//can//bacA//ddlB//hisG//purT//recF//ghrA//rlmL//rfaD//
waaYZ	dcm//bioF//
waaZU	mngB//pyrI//
wbbIJK	gluQ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	valS//rbsK//yihX//fkpB//asd//selB//
wcaKLM	
wrbA_yccJ	ynfH//
wza_wzb_wzc	prpC//argF//
wza_wzb_wzc_wcaAB	narV//narG//
xanQ_guaD_ghxQ	yfbT//mhpD//galM//
xapAB	citE//pldA//
xdhABC	torY//
xerD_dsbC_recJ	tdcE//menE//
xseB_ispA_dxs_yajO	glpX//add//ychF//pgpB//
xylAB	bcsA//gsk//
xylFGHR	waaU//
yabPQ	
yacC_speED	ilvE//araD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	lyxK//
yafDE	
yafNOP	rlmG//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	hpt//rpiB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ftnA//
ybaB_recR	poxB//
ybaST	pldB//
ybbAP	
ybbY_glxK	ugd//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ybjG//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	rffG//
ybeZY	
ybeZYX_lnt	pheT//
ybfHG	
ybfOC	
ybgA_phr	pgsA//
ybgC_tolQRA	
ybgIJKL_nei	tktB//
ybgQPO	
ybhP_clsB_ybhN	ahr//
ybiYW	
ybjC_nfsA_rimK_ybjN	rne//mrdA//
ybjJI	hcaC//
ybjO_rlmC	tyrA//
ybjQ_amiD	aroD//
ycaI_msbA_lpxK_ycaQ	thrS//ubiH//
ycaR_kdsB	dmlA//
ycbK_gloC	pdeF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	lsrG//
yciCB	
yciGFE	
yciK_btuR	pldA//
yciVOQ	yiaK//
yciZT	
ycjMNOPQRSTUV_ymjB	tynA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pldB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	nanM//ybdL//
ydcSTUV_patD	rfbD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	fadE//
ydgK_rsxABCDGE_nth	mmuM//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	leuC//cysN//
ydiJ_menI_ydiH	mnmG//
ydiNB_aroD	mutH//serS//
ydiQRST_fadK	ghrB//
ydjA_selD_topB	clsB//carB//
ydjLKJIHG	yjhH//
ydjXYZ_ynjABCD	
yeaGH	fbaA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ftnA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	cysJ//speA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ldcA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	opgB//polA//
yejABEF	paoB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	nadE//
yfaX_rhmD	
yfaX_rhmD_yfaVU	atoB//
yfbUT	pspE//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
