# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
insO_2_yjhWV	
iscRSUA	menD//aslA//
ispDF	ilvE//kbaZ//
ispG_sroE	nadR//
isrC_flu	
ivbL_ilvBN	recF//
ivbL_ilvBN_uhpABC	serS//
kbaZ_agaVWA	pabB//
kbl_tdh	eutB//ynfG//
kdpDE	
kdpFABC	luxS//
kdsC_lptCAB	pcm//ugpQ//
kefFC	thiL//yccX//
kefGB_yheV	hemD//
kilR_ydaE	
lacYA	gloB//mnmG//
lacZYA	mtn//ampD//adhP//
lapAB	
lapAB_pyrF_yciH	lpxP//
lepAB	yeiR//
leuLABCD	torA//murA//maeA//
leuQPV	
leuS_lptE_holA_nadD_cobC	queG//avtA//maa//
lexA_dinF	
lgt_thyA	ppk//lipB//
ligA_ypeB	recF//
livKHMGF	ydiF//abgB//
lldPRD	bacA//opgE//
lolA_rarA	
lolB_ispE_prs	fadD//pgpC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	torY//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	nudI//ispF//
lptFG	
lspA_fkpB_ispH	bglB//paaC//nadE//
lsrACDBFG_tam	lplA//eutB//yqjH//tktA//
lsrRK	glpE//
ltaE_ybjT	rfbB//
lysT_valT_lysW	
macAB	katE//
malEFG	pinE//
malK_lamB_malM	panB//dhaK//
malPQ	ynfE//apaH//
malXY	rsuA//iscS//
manXYZ	serB//
map_glnD_dapD	pfkB//aphA//mltD//
marRAB	
mazEFG	fumB//
mcrBC	fabF//
mdlAB	
mdtABCD_baeSR	dgoD//
mdtEF	cyaA//
mdtJI	pyrB//
mdtM_yjiN	mrcA//
mdtNOP	tsaB//
melAB	gstB//mgsA//
menA_rraA	purF//
menBCE	umuC//alaC//thiE//
menDHBCE	aroA//mocA//dapF//pncB//plsC//
menFDHBCE	serC//purH//glcB//polB//ugpQ//frmA//
metBL	epd//accD//
metNIQ	yjjG//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yhdJ//mcrA//ftsI//
metZWV	
mglAC	arnB//
mglBAC	glyQ//
mgtLA	betA//
mhpABCDFE	gmm//metK//ubiC//cysK//metH//rffC//
mhpR_lacI	
miaA_hfq_hflXKC	guaD//fbaB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	sucA//mnmA//
mnaT_ydcZ	hisB//
mngAB	yciA//ubiH//
mnmG_rsmG	gntK//mutM//
mntR_ybiR	
moaABCDE	ampH//argF//
moaBCDE	trpA//
mobAB	rluF//
modABC	ackA//
modEF	
moeAB	guaD//fumA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	fabA//
mqsRA	cynS//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	napC//rutA//rhaD//cysN//menC//oxc//lpxT//yceF//rhaA//hyaC//nudE//
mreBCD	
mreCD	
msrPQ	
mtlADR	rbn//phnM//guaA//
mtn_btuF_yadS	ispA//ydbC//
murB_birA	fabZ//waaU//
murQP	ugd//gloB//phnH//
murQP_yfeW	hmp//yajO//phnG//trmO//
mutL_miaA_hfq_hflXKC	ftsI//ddlB//recF//
mutY_yggX	trmA//
mutY_yggX_mltC	pykA//sdhA//
mutY_yggX_mltC_nupG	pagP//pdeR//kdsB//
nadA_pnuC	malQ//mtgA//
nagBAC_umpH	lldD//yeaE//murI//
nagK_cobB	yciV//mepS//
nanATEK_yhcH	frdC//phnG//yfbR//yfiC//
nanCM	waaL//rsuA//
nanCMS	waaA//dam//
napFDAGHBC	ugpQ//
napFDAGHBC_ccmABCDEFGH	ilvB//relA//
narGHJI	fadM//
narWV	waaH//
narXL	
narZYWV	aroD//
nemRA	appA//
nemRA_gloA	hypB//dapB//
nfrBA	
nhaAR	rffT//
nikABCDER	speD//
nirBDC_cysG	ndk//yjcS//trpB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	mmuM//
nrdAB_yfaE	hycB//
nrdDG	pyrD//hisS//
nrdHIEF	carA//
nrdR_ribDE_nusB_thiL_pgpA	adiA//serS//entE//menB//
nrfABCDEFG	waaP//
nsrR_rnr_rlmB_yjfI	opgE//gloC//
nudB_yebC_ruvC	selD//rlmH//
nudC_hemE_nfi	idnK//glgB//
nudF_yqiB_cpdA_yqiA_parE	narV//tadA//
nuoABCEFGHIJKLMN	fumB//
nuoMN	paaI//
ompR_envZ	
opgGH	
oppABCDF	gmk//gltB//
osmF_yehYXW	ybhA//
otsBA	ghrB//rnt//
paaABCDEFGHIJK	yhhW//ackA//ybjG//ppx//hemA//mltF//gatY//
paaXY	mepS//
pabB_nudL	ydiB//yihX//
pabC_mltG_tmk_holB_ycfH	menF//dosP//nadE//
panBC	caiA//yfcG//
panE_yajL	ppc//
paoABCD	rnd//
pcnB_folK	eda//tadA//
pdeI_dgcI	
pdhR_aceEF_lpd	thiL//sufS//wbbI//nagK//yciA//argS//
pdxA_rsmA	eutB//mrcA//
pdxA_rsmA_apaGH	recJ//eptC//nagA//
pdxB_usg_truA_dedA	pdxB//fumA//
pdxH_tyrS_pdxY	thrA//hisH//arnA//
pdxJ_acpS	purL//aroG//
pepQ_yigZ_trkH_hemG	proA//puuC//fabF//
pflDC	
pgaABCD	tsaB//ilvA//waaH//
pgk_fbaA	uxaA//adeD//
pgpC_tadA	aslA//ppa//
pheLA	hisH//
pheMST_ihfA	rfbB//
phnCDE_1E_2FGHIJKLMNOP	metB//pgl//ybjG//treF//leuC//kdgK//kbaZ//
phnLMNOP	glnS//ynfH//nrdD//curA//hemB//
phoA_psiF	pta//
phoBR	
phoPQ	
pldB_yigL	pdxB//pphA//
plsX_fabHDG	lysC//guaB//gdhA//
pntAB	
potABCD	yeiG//
potFGHI	asd//
poxB_ltaE_ybjT	hisG//yeaG//
ppdAB_ygdB_ppdC_recC	ppsA//
ppdD_hofBC	
ppiB_lpxH	hisB//aspC//
ppk_ppx	prpE//tdk//
pqiAB	
preTA	gmm//
prfB_lysS	alaC//
priC_ybaM	
prlC_rsmJ	pgsA//idnO//
prlF_yhaV	trpA//
prmB_aroC_mepA_yfcA_epmC_yfcL	uxaB//mazG//kduI//mutY//
proBA	ydiF//mutH//
proQ_prc	gmk//
proVWX	fabA//
prpBCDE	gltX//uxaA//ubiH//paoB//
psd_mscM	
pspABCDE	maeB//
pspBCDE	fruK//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pdxH//rluC//
pth_ychF	rlmI//
ptrA_recBD	leuA//ruvA//
ptsA_fsaB_gldA	yeiR//tsaE//
ptsHI_crr	aceB//codA//sufS//
purEK	ymdB//spoT//
purHD	dkgB//metL//
purMN	ddlA//rbsK//
puuAP	pldB//xdhA//
puuCBE	ruvB//rhaA//tilS//
puuDRCBE	ghrA//frdC//dkgB//aroH//
pyrF_yciH	serC//
pyrG_eno	kdsA//rlmI//
pyrLBI	purM//
qmcA_ybbJ	
qseBC	
radA_nadR	nadK//
rapA_rluA	garK//
ratAB	
ravA_viaA	
rbsDACBKR	cobS//psd//ilvN//
rclABC	
rclBC	
rcnAB	pheS//
rcsDB	
rcsF_trmO	pepD//
rdgB_yggW	trpE//
rdoA_dsbA	fadE//adeD//
recAX	
recET_ralR_ydaC_xisR_intR	pgk//tynA//
relA_mazEF	entH//
relBE	malZ//
relBE_hokD	pyrC//
renD_emrE	gpsA//
rfaD_waaFCL	nrdB//nudB//narV//waaB//
rfbACX	narZ//fadD//eptC//gmm//
rfbBDACX	arnA//pyrE//nudL//rfaE//fadD//serA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	asnS//gluQ//ssuD//opgB//carB//wrbA//ulaF//gadB//waaL//
rhaBAD	galT//yeaG//deoA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rlmB//adk//astB//
ribF_ileS_lspA_fkpB_ispH	waaL//btuR//frc//yahK//guaD//
rimK_ybjN	sseA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	mutS//relA//yigL//waaJ//phnP//cobS//ruvA//fdhF//cpsG//rfaD//
rlmE_ftsH	ansA//cysD//
rlmL_uup	rfe//
rluD_yfiH	prpE//ldcC//
rluE_nudJ	nudF//accA//
rnc_era	yihU//
rnc_era_recO_pdxJ_acpS	ruvA//hycC//tadA//mpaA//
rnlAB	tehB//
rnt_lhr	tesB//
rpe_gph_trpS	phnM//hpt//gloA//
rph_pyrE	hisF//yfiC//
rpiR_alsBACE	rlmC//ascB//
rplJL_rpoBC	ssuE//
rplKAJL_rpoBC	glgC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	mocA//
rpmF_plsX_fabHDG	caiC//lgoD//rsmD//
rpmH_rnpA	cdd//mutT//
rpmI_rplT	
rpoBC	ilvN//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	bglA//phnN//cyoE//
rppH_ptsP	asnA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	nudF//
rpsO_pnp	mobA//yeaG//
rpsP_rimM_trmD_rplS	rhaD//
rpsU_dnaG_rpoD	ycjU//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ackA//sodB//
rsmA_apaGH	eno//udp//
rsmD_yhhL	gldA//
rsmE_gshB	fabH//frc//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dinB//fre//thrB//rutC//solA//fabH//mepS//gstB//mhpA//iaaA//mazG//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	lpxM//
rtcBA	fre//ushA//
rutABCDEFG	patA//entF//ynfE//ldtA//nudB//ttdA//
ruvAB	rluB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ligA//
scpA_argK_scpBC	pbpC//sseA//mtn//thiE//
sdaCB	fadA//lpoB//
sdhCDAB_sucABCD	rlmG//yjjG//xylB//sdhD//
sdhDAB	
sdhE_cptA	
secB_gpsA	gpt//
secE_nusG	
secG_leuU	
secMA_mutT	ybcF//
selAB	thiC//aceE//
selD_topB	ushA//coaA//
seqA_pgm	paaG//
serB_radA	pnp//
serC_aroA	gabT//scpA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	sodB//
sgrST_setA	dadX//
skp_lpxD_fabZ_lpxA	hflX//phoA//ligB//
slp_dctR	
solA_yceO	sthA//
speAB	dosP//tyrS//
speF_potE	metA//bfr//
srlAEBD_gutM_srlR_gutQ	mocA//yghU//ribA//
sroG_ribB	pgpC//
sspAB	
ssrS_fau	mnmE//
ssuEADCB	ydiB//trpC//gcvT//
stfE_tfaE	
sucAB	pldB//dgcP//dgcC//
sucABCD	ahpC//folC//mrcB//yfdR//
sufABCDSE	aspA//
surA_pdxA_rsmA_apaGH	truC//argA//galT//purA//
tag_yiaC	rnpA//
talA_tktB	ttdB//gltX//
tamAB_ytfP	
tar_tap_cheRBYZ	dapA//ansA//
tatABC	lpoB//
tatABCD	nudL//waaU//
tauABCD	cheB//ldhA//
tdcABCDEFG	fadI//gcl//mdh//aceE//hyaC//
tdcBCDEFG	bglB//gss//lsrF//dgcP//lacA//
tehAB	paaE//ppiB//
tesA_ybbO	cobC//puuC//
tff_rpsB_tsf	
tgt_yajC	pncC//
thiCEFSGH	mnmA//yeaG//paaK//allD//proS//
thiMD	allC//treA//
thrLABC	dxr//frc//trpS//
thrS_infC	opgE//
thrS_infC_rpmI_rplT_pheMST_ihfA	dmsB//glpA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	acs//ackA//
tolB_pal_cpoB	
tolC_ygiABC	pflB//accC//ssuE//leuA//narH//hycE//mltF//dacA//ilvE//
tomB_hha	
topAI_yjhQ	
torCAD	roxA//
torYZ	hisA//
treBC	udp//yqjG//
trmI_yggL	mpl//
trpCBA	folM//folM//proA//fumA//
trpLEDCBA	umuD//ssuE//cobC//pgpC//ygjK//araB//
tsaB_yeaY	xylA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yahK//rfe//mepS//araD//pck//
ttdABT	mltF//birA//
tyrS_pdxY	sdhA//paaH//
tyrTV_tpr	
tyrV_tpr	
ubiCA	murG//pykA//
ubiEJB	pgpB//
udk_dcd	argF//dmsA//
ugpBAECQ	argA//fbaB//
uhpABC	
uidABC	bcsZ//yhhW//
ulaABCDEF	scpC//waaC//kdsA//frc//
umpG_pcm	glpC//hcaF//
umuDC	pheA//
uof_fur	
upp_uraA	cysE//mcrB//
usg_truA_dedA	murF//
uvrYC	xdhB//
uxaCA	argG//rutC//
uxuAB	cobT//gph//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	epmB//yrfG//
waaQGPSBOJYZU	pdeF//eutC//idi//panD//aceF//waaU//lpxL//dkgA//speC//cysQ//
waaYZ	abgB//ubiX//
waaZU	cysK//rhaB//
wbbIJK	kduI//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	nadB//tdh//galM//sufS//paoA//frc//
wcaKLM	
wrbA_yccJ	aroF//
wza_wzb_wzc	ruvB//sdhD//
wza_wzb_wzc_wcaAB	dadA//phnP//
xanQ_guaD_ghxQ	rluD//pnp//hypF//
xapAB	sdhB//patD//
xdhABC	paaZ//
xerD_dsbC_recJ	sdaB//mnmE//
xseB_ispA_dxs_yajO	yigB//yfbR//mhpB//uvrC//
xylAB	ynfE//gabT//
xylFGHR	ampD//
yabPQ	
yacC_speED	fkpA//frdC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	purU//
yafDE	
yafNOP	thiF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	lpxP//hycF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	murG//
ybaB_recR	glyA//
ybaST	ppsA//
ybbAP	
ybbY_glxK	ybjI//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	lipA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ogt//
ybeZY	
ybeZYX_lnt	nadK//
ybfHG	
ybfOC	
ybgA_phr	mutS//
ybgC_tolQRA	
ybgIJKL_nei	hemC//
ybgQPO	
ybhP_clsB_ybhN	uxuB//
ybiYW	
ybjC_nfsA_rimK_ybjN	ileS//lpxD//
ybjJI	gnd//
ybjO_rlmC	yidA//
ybjQ_amiD	nudJ//
ycaI_msbA_lpxK_ycaQ	folP//yeaG//
ycaR_kdsB	yigL//
ycbK_gloC	hyi//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	hcaE//
yciCB	
yciGFE	
yciK_btuR	sbcB//
yciVOQ	mhpE//
yciZT	
ycjMNOPQRSTUV_ymjB	pykA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ushA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	torA//hyaC//
ydcSTUV_patD	rsmH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ulaD//
ydgK_rsxABCDGE_nth	mobA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	epmB//yigB//
ydiJ_menI_ydiH	bioH//
ydiNB_aroD	ldtA//nudF//
ydiQRST_fadK	yjcS//
ydjA_selD_topB	hmp//glnA//
ydjLKJIHG	ispA//
ydjXYZ_ynjABCD	
yeaGH	hemF//
yeaR_yoaG	
yeaVW	
yebC_ruvC	pdxH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	speE//thiH//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	prs//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	fadM//garR//
yejABEF	rnpB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	citX//
yfaX_rhmD	
yfaX_rhmD_yfaVU	mug//
yfbUT	fre//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	citF//
