# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xthA//
hsdMS	murG//
hsdRMS	napH//
hslRO	
hslVU	pgk//
hyaABCDEF	
hybOABCDEFG	nrdE//
hycABCDEFGHI	narH//glk//
hydN_hypF	gutQ//
hyfABCDEFGHIJR_focB	murI//
hypABCDE	nadD//
hypABCDE_fhlA	ybaS//
hypBCDE	fadD//
hypBCDE_fhlA	glpA//
iaaA_gsiABCD	ynfG//aceF//
ibaG_murA	gss//
ibpAB	
idnDOTR	panE//fucO//thrS//
ileS_lspA_fkpB_ispH	glcD//treA//sdhA//malS//
ilvEDA	ychF//fbp//hcaD//pgpB//
ilvIH	citF//
ilvLXG_1G_2MEDA	ldcC//tauD//arsC//yagE//mltC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	scpB//
insN_1I_1O_1	cfa//
insO_2_yjhWV	
iscRSUA	mnaT//ybiV//
ispDF	gshA//rhaM//
ispG_sroE	nfsA//
isrC_flu	
ivbL_ilvBN	bfr//
ivbL_ilvBN_uhpABC	rluC//
kbaZ_agaVWA	dxs//
kbl_tdh	argG//yfdE//
kdpDE	
kdpFABC	ynfF//
kdsC_lptCAB	pdxY//waaY//
kefFC	yfaU//yajO//
kefGB_yheV	etk//
kilR_ydaE	
lacYA	garL//betA//
lacZYA	speF//rfbC//dmsA//
lapAB	
lapAB_pyrF_yciH	arnB//
lepAB	yfaU//
leuLABCD	gmm//thyA//gatZ//
leuQPV	
leuS_lptE_holA_nadD_cobC	lpxC//pnp//nrfA//
lexA_dinF	
lgt_thyA	eno//insI-3//
ligA_ypeB	codA//
livKHMGF	ybcF//mdh//
lldPRD	yieF//kdsD//
lolA_rarA	
lolB_ispE_prs	ppx//prpE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ruvA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	yhdH//rihA//
lptFG	
lspA_fkpB_ispH	hcp//glpE//trmO//
lsrACDBFG_tam	yeiR//trpB//dapD//dhaM//
lsrRK	lipA//
ltaE_ybjT	argE//
lysT_valT_lysW	
macAB	fabZ//
malEFG	aroD//
malK_lamB_malM	napG//ileS//
malPQ	lpxD//rsmI//
malXY	opgE//allB//
manXYZ	nrfA//
map_glnD_dapD	uvrC//argA//ubiH//
marRAB	
mazEFG	gstA//
mcrBC	pdxA//
mdlAB	
mdtABCD_baeSR	aroA//
mdtEF	nadB//
mdtJI	rlmD//
mdtM_yjiN	trmO//
mdtNOP	rffC//
melAB	nudF//purE//
menA_rraA	aroD//
menBCE	aroK//recF//caiD//
menDHBCE	mnmG//fcl//rlmE//menI//epmC//
menFDHBCE	glyS//ubiF//pyrC//argK//sucC//ampD//
metBL	hemL//glnA//
metNIQ	kdgK//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	purF//phnH//trmO//
metZWV	
mglAC	argF//
mglBAC	menC//
mgtLA	srlD//
mhpABCDFE	idnD//mrcA//frlC//hflX//galM//glcE//
mhpR_lacI	
miaA_hfq_hflXKC	fadJ//hemH//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	rsmE//dacC//
mnaT_ydcZ	sseA//
mngAB	umuC//deoD//
mnmG_rsmG	rluF//hypB//
mntR_ybiR	
moaABCDE	pncB//hcaB//
moaBCDE	yhdH//
mobAB	glyA//
modABC	trmA//
modEF	
moeAB	queF//glgX//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pgm//
mqsRA	murF//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hisC//sdhB//gcvH//mngB//gltX//yagF//udp//fucO//tam//ndh//yhhW//
mreBCD	
mreCD	
msrPQ	
mtlADR	pyrH//speE//thiE//
mtn_btuF_yadS	hemB//emtA//
murB_birA	cdd//prpB//
murQP	sseA//gloC//yhdJ//
murQP_yfeW	glxK//ruvB//ispE//pyrI//
mutL_miaA_hfq_hflXKC	rsmJ//umuC//ddlB//
mutY_yggX	mtn//
mutY_yggX_mltC	fucK//hemN//
mutY_yggX_mltC_nupG	coaA//waaY//deoD//
nadA_pnuC	aroK//lhgO//
nagBAC_umpH	allA//xapA//aceB//
nagK_cobB	allD//waaC//
nanATEK_yhcH	nadC//thiD//lpoA//hypB//
nanCM	avtA//etp//
nanCMS	galK//dut//
napFDAGHBC	murG//
napFDAGHBC_ccmABCDEFGH	tcdA//idnK//
narGHJI	folD//
narWV	galM//
narXL	
narZYWV	lpxA//
nemRA	adhP//
nemRA_gloA	garR//pyrI//
nfrBA	
nhaAR	pgm//
nikABCDER	narI//
nirBDC_cysG	hemD//rnt//lpxK//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	tktB//
nrdAB_yfaE	pagP//
nrdDG	dam//mnmC//
nrdHIEF	pdeH//
nrdR_ribDE_nusB_thiL_pgpA	uvrC//cyaA//phnH//aroB//
nrfABCDEFG	rluD//
nsrR_rnr_rlmB_yjfI	nirD//hisB//
nudB_yebC_ruvC	dacD//hcaB//
nudC_hemE_nfi	nrdB//sodB//
nudF_yqiB_cpdA_yqiA_parE	bioC//ynfF//
nuoABCEFGHIJKLMN	hisF//
nuoMN	surA//
ompR_envZ	
opgGH	
oppABCDF	murI//argK//
osmF_yehYXW	fabZ//
otsBA	guaD//yghU//
paaABCDEFGHIJK	alr//entC//yjeF//pspE//sucD//mnmC//clsB//
paaXY	rbn//
pabB_nudL	queA//ilvE//
pabC_mltG_tmk_holB_ycfH	paaF//clsA//murG//
panBC	dapB//ynjE//
panE_yajL	yagE//
paoABCD	alsK//
pcnB_folK	ansA//gatY//
pdeI_dgcI	
pdhR_aceEF_lpd	glyQ//dosC//xylB//clsA//truB//fabI//
pdxA_rsmA	tyrB//aroB//
pdxA_rsmA_apaGH	trpB//paoA//cysC//
pdxB_usg_truA_dedA	rsmA//rfbB//
pdxH_tyrS_pdxY	appA//ydiB//pflB//
pdxJ_acpS	ldtC//deoB//
pepQ_yigZ_trkH_hemG	hisH//dxr//kbl//
pflDC	
pgaABCD	mnaT//tam//pdeR//
pgk_fbaA	uxaB//cfa//
pgpC_tadA	malQ//deoC//
pheLA	thiI//
pheMST_ihfA	folB//
phnCDE_1E_2FGHIJKLMNOP	yiaY//hycC//rhaA//ung//pgpC//ppiB//tpiA//
phnLMNOP	ldtE//nfi//pspE//ubiI//glnS//
phoA_psiF	torY//
phoBR	
phoPQ	
pldB_yigL	ppiC//torC//
plsX_fabHDG	kdsD//yfdR//talA//
pntAB	
potABCD	fucA//
potFGHI	pheS//
poxB_ltaE_ybjT	pabC//caiD//
ppdAB_ygdB_ppdC_recC	yhdH//
ppdD_hofBC	
ppiB_lpxH	xdhA//cpdA//
ppk_ppx	malS//epd//
pqiAB	
preTA	ppk//
prfB_lysS	rfbB//
priC_ybaM	
prlC_rsmJ	hisI//nanK//
prlF_yhaV	eno//
prmB_aroC_mepA_yfcA_epmC_yfcL	rfe//purM//nirD//aroL//
proBA	atoD//gltX//
proQ_prc	astC//
proVWX	fabF//
prpBCDE	speB//napB//ribD//fabG//
psd_mscM	
pspABCDE	napC//
pspBCDE	mmuM//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	menC//umuD//
pth_ychF	coaE//
ptrA_recBD	pdeL//aldA//
ptsA_fsaB_gldA	torZ//hisH//
ptsHI_crr	gloA//alaC//polB//
purEK	araB//wzc//
purHD	trmI//lpxH//
purMN	glcD//mngB//
puuAP	dapB//der//
puuCBE	pyrD//rfe//glpE//
puuDRCBE	gnd//frdA//cynS//amyA//
pyrF_yciH	dgkA//
pyrG_eno	treF//ybhA//
pyrLBI	lpoB//
qmcA_ybbJ	
qseBC	
radA_nadR	ruvA//
rapA_rluA	ldtE//
ratAB	
ravA_viaA	
rbsDACBKR	cheB//pinE//purF//
rclABC	
rclBC	
rcnAB	metH//
rcsDB	
rcsF_trmO	lpxD//
rdgB_yggW	umpG//
rdoA_dsbA	cysM//cysN//
recAX	
recET_ralR_ydaC_xisR_intR	abgA//gcvT//
relA_mazEF	menE//
relBE	hemC//
relBE_hokD	prpE//
renD_emrE	lipA//
rfaD_waaFCL	nadD//folE//mhpF//murI//
rfbACX	moeB//malZ//thyA//citE//
rfbBDACX	asnA//ackA//mutY//glgP//acpS//trmI//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	fadI//malQ//mog//hypF//menE//tcdA//yghA//nfi//malS//
rhaBAD	puuC//cyoE//folX//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rpiB//hdhA//ppc//
ribF_ileS_lspA_fkpB_ispH	phnM//rhaD//entC//bcsA//waaC//
rimK_ybjN	ydiF//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rhaD//mdh//nudG//rnpA//uxuA//dmsC//cdd//nrfC//metC//ubiE//
rlmE_ftsH	mutH//glpX//
rlmL_uup	fucI//
rluD_yfiH	hpt//adk//
rluE_nudJ	metH//kbl//
rnc_era	rimK//
rnc_era_recO_pdxJ_acpS	pheA//lhgO//phnH//entF//
rnlAB	prmC//
rnt_lhr	yiaY//
rpe_gph_trpS	xdhB//pheA//sucB//
rph_pyrE	rsgA//cheB//
rpiR_alsBACE	dinB//dgcT//
rplJL_rpoBC	folD//
rplKAJL_rpoBC	gcvP//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	dhaL//
rpmF_plsX_fabHDG	fsaB//ung//ydjG//
rpmH_rnpA	menH//ppiA//
rpmI_rplT	
rpoBC	ppiB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	dusA//nanM//pncC//
rppH_ptsP	aroF//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	cheR//
rpsO_pnp	torC//patA//
rpsP_rimM_trmD_rplS	cobS//
rpsU_dnaG_rpoD	lgoD//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ribB//idnK//
rsmA_apaGH	purA//gph//
rsmD_yhhL	yagF//
rsmE_gshB	ugd//ppsA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	melA//panB//ppa//qor//ulaF//araD//yccX//yiaK//yigB//ispE//ppiA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	entH//
rtcBA	yihT//kbaZ//
rutABCDEFG	csdA//tilS//recR//tdcE//mcrA//dadX//
ruvAB	pabC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	cynT//
scpA_argK_scpBC	rdoA//waaU//gltB//nrdB//
sdaCB	yfiH//pphB//
sdhCDAB_sucABCD	kdgK//trmD//rluE//frlB//
sdhDAB	
sdhE_cptA	
secB_gpsA	pfkA//
secE_nusG	
secG_leuU	
secMA_mutT	yciV//
selAB	rsmI//spoT//
selD_topB	bfr//galM//
seqA_pgm	lpxP//
serB_radA	btuR//
serC_aroA	citX//gabT//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	uvrA//
sgrST_setA	hycD//
skp_lpxD_fabZ_lpxA	plsC//prpB//pck//
slp_dctR	
solA_yceO	yeiG//
speAB	serA//pfkA//
speF_potE	trmL//purC//
srlAEBD_gutM_srlR_gutQ	garL//yihT//yeaE//
sroG_ribB	argF//
sspAB	
ssrS_fau	speE//
ssuEADCB	rsmF//dapB//uidA//
stfE_tfaE	
sucAB	btuE//ubiH//prpC//
sucABCD	dgcP//fabD//paaH//ispF//
sufABCDSE	ilvE//
surA_pdxA_rsmA_apaGH	atoD//rbn//rffC//pgpC//
tag_yiaC	fadE//
talA_tktB	deoB//yigL//
tamAB_ytfP	
tar_tap_cheRBYZ	yahK//ydiO//
tatABC	torZ//
tatABCD	nrdB//queD//
tauABCD	rffG//yjhG//
tdcABCDEFG	rsmG//purC//glpX//argK//murI//
tdcBCDEFG	truA//dsdA//ychF//phoA//ilvN//
tehAB	pdxB//asnB//
tesA_ybbO	rlmG//speF//
tff_rpsB_tsf	
tgt_yajC	gcvP//
thiCEFSGH	rffM//arnT//def//murA//paaI//
thiMD	lyxK//preT//
thrLABC	sodB//pgpB//der//
thrS_infC	tktB//
thrS_infC_rpmI_rplT_pheMST_ihfA	gmk//gabD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	cobT//metA//
tolB_pal_cpoB	
tolC_ygiABC	ftsI//eno//thiI//pphB//rlmG//waaG//rnd//kdsC//dinB//
tomB_hha	
topAI_yjhQ	
torCAD	gph//
torYZ	sdhB//
treBC	gph//lpxH//
trmI_yggL	hpt//
trpCBA	tyrA//deoC//trpC//ybjG//
trpLEDCBA	fruK//chbG//opgE//torC//clsB//araD//
tsaB_yeaY	nudJ//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ispU//plsB//serB//xdhA//lpxB//
ttdABT	recR//epmB//
tyrS_pdxY	speA//cysN//
tyrTV_tpr	
tyrV_tpr	
ubiCA	apt//lysS//
ubiEJB	xylB//
udk_dcd	sodB//wzb//
ugpBAECQ	hisS//uxuA//
uhpABC	
uidABC	paaB//dusA//
ulaABCDEF	mutM//aroG//metB//rlmE//
umpG_pcm	ftnA//selA//
umuDC	narY//
uof_fur	
upp_uraA	sodA//yhhW//
usg_truA_dedA	trmH//
uvrYC	mrcA//
uxaCA	ymdB//paaA//
uxuAB	rlmD//cdsA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	bioB//lpcA//
waaQGPSBOJYZU	rrrD//pheA//napB//allB//purE//apt//gss//sdhA//gloC//yeiG//
waaYZ	birA//glpK//
waaZU	rluB//gabT//
wbbIJK	acnA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	bacA//phoA//folE//nagA//rffM//dapA//
wcaKLM	
wrbA_yccJ	kdsD//
wza_wzb_wzc	narZ//tehB//
wza_wzb_wzc_wcaAB	dgcC//nudJ//
xanQ_guaD_ghxQ	murI//dgcP//speF//
xapAB	epd//aspA//
xdhABC	mnaT//
xerD_dsbC_recJ	serB//aslA//
xseB_ispA_dxs_yajO	gcvP//cfa//idnO//psuK//
xylAB	mcrC//mhpA//
xylFGHR	mrcB//
yabPQ	
yacC_speED	bfr//queC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	mltB//
yafDE	
yafNOP	phnP//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	thiG//treF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	dnaQ//
ybaB_recR	gcl//
ybaST	waaU//
ybbAP	
ybbY_glxK	tauD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	glgC//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	cysI//
ybeZY	
ybeZYX_lnt	maa//
ybfHG	
ybfOC	
ybgA_phr	rlmE//
ybgC_tolQRA	
ybgIJKL_nei	glxK//
ybgQPO	
ybhP_clsB_ybhN	yfiH//
ybiYW	
ybjC_nfsA_rimK_ybjN	mutM//prpE//
ybjJI	miaB//
ybjO_rlmC	araD//
ybjQ_amiD	rfbA//
ycaI_msbA_lpxK_ycaQ	cpsB//cyoE//
ycaR_kdsB	murA//
ycbK_gloC	pgk//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	torZ//
yciCB	
yciGFE	
yciK_btuR	ampH//
yciVOQ	frlB//
yciZT	
ycjMNOPQRSTUV_ymjB	ilvG_1//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	mutT//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	mltF//atoD//
ydcSTUV_patD	caiA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	nudJ//
ydgK_rsxABCDGE_nth	trmL//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yihT//ilvD//
ydiJ_menI_ydiH	rph//
ydiNB_aroD	menD//ttdB//
ydiQRST_fadK	hinT//
ydjA_selD_topB	gcvP//yeaE//
ydjLKJIHG	yciV//
ydjXYZ_ynjABCD	
yeaGH	ribD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	eutC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	sdhD//ilvG_1//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rfaE//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	leuB//zwf//
yejABEF	betB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ygjK//
yfaX_rhmD	
yfaX_rhmD_yfaVU	fucK//
yfbUT	scpA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	ygaP//
