# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kdgK//
glpTQ	pncB//tdk//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ybaS//
glvCBG_ysdC	
glyQS	aldA//
glyVXY	
glyW_cysT_leuZ	
gntKU	yhdH//glgB//
gntRKU	alsK//aspS//
gntX_nfuA	
gpmM_envC_yibQ	recJ//hemD//
groSL	
gspAB	
gspCDEFGHIJKLMO	purN//
guaBA	ppx//ubiA//
gudPXD	ycaO//trpD//
hcaEFCBD	pyrH//allB//
hcp_hcr	ogt//cysG//
hdeAB_yhiD	
hemA_prfA_prmC	frdA//deoD//
hemCDXY	rlmJ//hypB//
hflD_purB	deoC//
hfq_hflXKC	cysQ//
hicAB	
higBA	hinT//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	manA//chbG//yfdR//tdcD//
hipBA	menE//
hisBHAFI	gatD//fadK//araA//ulaD//
hisJQMP	rnt//preT//
hisLGDCBHAFI	maa//dgoA//rph//slyD//patD//gldA//prmB//
hofMNOP	
holC_valS	opgE//
holD_rimI_yjjG	pldB//caiD//
hscBA_fdx_iscX	tdh//
hsdMS	ulaF//
hsdRMS	tnaA//
hslRO	
hslVU	thiM//
hyaABCDEF	
hybOABCDEFG	amn//
hycABCDEFGHI	tesB//kdsC//
hydN_hypF	opgB//
hyfABCDEFGHIJR_focB	serB//
hypABCDE	guaB//
hypABCDE_fhlA	prmC//
hypBCDE	hemA//
hypBCDE_fhlA	frlB//
iaaA_gsiABCD	glnE//glmS//
ibaG_murA	gltD//
ibpAB	
idnDOTR	puuB//coaD//ribA//
ileS_lspA_fkpB_ispH	ribD//yggF//rluC//dusC//
ilvEDA	phnJ//treF//apaH//recO//
ilvIH	dgcC//
ilvLXG_1G_2MEDA	dcyD//ubiG//dfp//yfbT//ldcC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	eutC//
insN_1I_1O_1	dgkA//
insO_2_yjhWV	
iscRSUA	ahpF//rsmJ//
ispDF	sodA//carB//
ispG_sroE	speC//
isrC_flu	
ivbL_ilvBN	phnP//
ivbL_ilvBN_uhpABC	mnmC//
kbaZ_agaVWA	dxs//
kbl_tdh	dapB//phnG//
kdpDE	
kdpFABC	torA//
kdsC_lptCAB	kefF//fadA//
kefFC	rluD//tauD//
kefGB_yheV	deoA//
kilR_ydaE	
lacYA	hisS//rhaB//
lacZYA	yfiH//murG//fabF//
lapAB	
lapAB_pyrF_yciH	lpxM//
lepAB	serS//
leuLABCD	gpp//caiB//tcdA//
leuQPV	
leuS_lptE_holA_nadD_cobC	prpC//pfkA//tsaB//
lexA_dinF	
lgt_thyA	fumB//recJ//
ligA_ypeB	gabD//
livKHMGF	tilS//opgB//
lldPRD	frdA//speB//
lolA_rarA	
lolB_ispE_prs	malY//alr//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	lsrF//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	malZ//gloB//
lptFG	
lspA_fkpB_ispH	psd//allA//thiI//
lsrACDBFG_tam	entH//rffG//metE//ansB//
lsrRK	dapA//
ltaE_ybjT	pyrC//
lysT_valT_lysW	
macAB	uxaC//
malEFG	kdsA//
malK_lamB_malM	aroH//gltX//
malPQ	kbaY//aroK//
malXY	pyrH//pyrB//
manXYZ	rsgA//
map_glnD_dapD	aspC//icd//atoD//
marRAB	
mazEFG	scpA//
mcrBC	hyi//
mdlAB	
mdtABCD_baeSR	feaB//
mdtEF	asd//
mdtJI	sdhB//
mdtM_yjiN	nfi//
mdtNOP	yieH//
melAB	treF//glcB//
menA_rraA	yegS//
menBCE	ispD//purT//talB//
menDHBCE	sgbU//rhaA//aphA//dacD//lsrK//
menFDHBCE	paaY//pflB//lpxD//narH//yfeX//bacA//
metBL	torA//fucI//
metNIQ	lpoA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	rffH//cobB//gadB//
metZWV	
mglAC	yjhG//
mglBAC	phnG//
mgtLA	ghrA//
mhpABCDFE	rfaE//aceA//thrB//yihV//gcvH//gcvT//
mhpR_lacI	
miaA_hfq_hflXKC	malS//ligB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pphA//phnJ//
mnaT_ydcZ	hycB//
mngAB	umpH//narI//
mnmG_rsmG	ribC//cysI//
mntR_ybiR	
moaABCDE	thiK//moaE//
moaBCDE	thiI//
mobAB	recR//
modABC	yciA//
modEF	
moeAB	hycC//nanK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	fadJ//
mqsRA	leuS//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	purN//ispE//pyrI//yqjG//yqhD//rfbA//menB//phnN//eda//tsaB//yggF//
mreBCD	
mreCD	
msrPQ	
mtlADR	tdcD//ilvN//plsB//
mtn_btuF_yadS	rsmG//nirD//
murB_birA	glyQ//fadH//
murQP	mqo//guaC//idnK//
murQP_yfeW	yneH//appA//ycjG//ldtD//
mutL_miaA_hfq_hflXKC	rlmE//amiD//yghA//
mutY_yggX	yjhH//
mutY_yggX_mltC	yeiG//pdeR//
mutY_yggX_mltC_nupG	bfr//lpxH//pspE//
nadA_pnuC	trmD//ynfH//
nagBAC_umpH	argH//bfr//aspC//
nagK_cobB	agp//cfa//
nanATEK_yhcH	dfp//metK//argH//ynfF//
nanCM	pyrE//bioB//
nanCMS	rsmA//pldB//
napFDAGHBC	pgaB//
napFDAGHBC_ccmABCDEFGH	aceE//metB//
narGHJI	pdeL//
narWV	gloA//
narXL	
narZYWV	ispA//
nemRA	pabB//
nemRA_gloA	dkgA//pyrG//
nfrBA	
nhaAR	allE//
nikABCDER	tam//
nirBDC_cysG	galT//guaB//lpxT//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	plsB//
nrdAB_yfaE	frmB//
nrdDG	allC//surA//
nrdHIEF	leuB//
nrdR_ribDE_nusB_thiL_pgpA	glyS//yccX//mngB//fabH//
nrfABCDEFG	pgpC//
nsrR_rnr_rlmB_yjfI	waaB//purK//
nudB_yebC_ruvC	pdeR//frdA//
nudC_hemE_nfi	entH//pyrI//
nudF_yqiB_cpdA_yqiA_parE	pbpC//rffM//
nuoABCEFGHIJKLMN	gloA//
nuoMN	kduI//
ompR_envZ	
opgGH	
oppABCDF	rlmM//yihV//
osmF_yehYXW	speG//
otsBA	fabD//dgt//
paaABCDEFGHIJK	sdhC//caiB//rluB//dfp//leuC//rsmG//umpG//
paaXY	cof//
pabB_nudL	purM//ymdB//
pabC_mltG_tmk_holB_ycfH	folA//fadI//selD//
panBC	gltD//metL//
panE_yajL	ugpQ//
paoABCD	fucK//
pcnB_folK	pheT//selA//
pdeI_dgcI	
pdhR_aceEF_lpd	carB//surA//aspA//dcyD//cysD//avtA//
pdxA_rsmA	glnE//narZ//
pdxA_rsmA_apaGH	mqo//rfe//astA//
pdxB_usg_truA_dedA	yihT//ilvH//
pdxH_tyrS_pdxY	sucA//garR//rnpB//
pdxJ_acpS	paoB//yliI//
pepQ_yigZ_trkH_hemG	opgB//gor//dkgB//
pflDC	
pgaABCD	cynS//bcsA//trpA//
pgk_fbaA	puuE//iscS//
pgpC_tadA	waaG//bioB//
pheLA	rhaA//
pheMST_ihfA	dacC//
phnCDE_1E_2FGHIJKLMNOP	thiH//pbpC//ribB//murA//ribA//rnpB//amiD//
phnLMNOP	gadA//fklB//pheT//glgA//trmL//
phoA_psiF	scpC//
phoBR	
phoPQ	
pldB_yigL	thiL//moaD//
plsX_fabHDG	mcrB//gltX//glxR//
pntAB	
potABCD	tdcD//
potFGHI	ilvI//
poxB_ltaE_ybjT	bacA//metH//
ppdAB_ygdB_ppdC_recC	trmI//
ppdD_hofBC	
ppiB_lpxH	hemN//appA//
ppk_ppx	murE//mnmG//
pqiAB	
preTA	accA//
prfB_lysS	nrfB//
priC_ybaM	
prlC_rsmJ	pphB//dnaE//
prlF_yhaV	pdxB//
prmB_aroC_mepA_yfcA_epmC_yfcL	purN//rsgA//rutD//pdeL//
proBA	waaP//yghA//
proQ_prc	gsk//
proVWX	dacD//
prpBCDE	trmI//rluE//ybdL//rffH//
psd_mscM	
pspABCDE	tag//
pspBCDE	ilvN//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ilvG_1//cysN//
pth_ychF	tilS//
ptrA_recBD	rdgB//caiD//
ptsA_fsaB_gldA	thiG//sodC//
ptsHI_crr	mgsA//serB//gpsA//
purEK	rne//ubiX//
purHD	yihX//yigB//
purMN	xdhC//gldA//
puuAP	cysD//pflB//
puuCBE	ilvD//def//fadM//
puuDRCBE	ydiF//yidA//phnM//btuE//
pyrF_yciH	paoA//
pyrG_eno	metC//etk//
pyrLBI	sdhB//
qmcA_ybbJ	
qseBC	
radA_nadR	thiK//
rapA_rluA	dapF//
ratAB	
ravA_viaA	
rbsDACBKR	tyrA//waaJ//nirD//
rclABC	
rclBC	
rcnAB	pinE//
rcsDB	
rcsF_trmO	yigL//
rdgB_yggW	ygiF//
rdoA_dsbA	hisB//hypB//
recAX	
recET_ralR_ydaC_xisR_intR	paoB//hcaB//
relA_mazEF	dapB//
relBE	hemB//
relBE_hokD	argE//
renD_emrE	miaA//
rfaD_waaFCL	mraY//rfaD//fabA//speG//
rfbACX	rfaE//rutD//ruvC//sgbE//
rfbBDACX	phr//dhaK//tdk//mnmE//lacZ//mnmG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	nfi//queG//dmsC//wzc//tilS//fes//mnmC//fau//gloC//
rhaBAD	galT//ynfF//mltA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ackA//trpA//waaY//
ribF_ileS_lspA_fkpB_ispH	galE//paaF//thiC//abgA//lpd//
rimK_ybjN	tdcG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	fbp//sucC//hcp//mdh//rlmE//recO//chbG//nudJ//sucB//btuR//
rlmE_ftsH	menD//recO//
rlmL_uup	rlmB//
rluD_yfiH	curA//yjjG//
rluE_nudJ	glpK//yeaE//
rnc_era	gph//
rnc_era_recO_pdxJ_acpS	dmsC//adiA//rihC//ansA//
rnlAB	yhdJ//
rnt_lhr	alaC//
rpe_gph_trpS	adiA//etk//pspE//
rph_pyrE	phnJ//yfdE//
rpiR_alsBACE	hemE//pfkA//
rplJL_rpoBC	otsB//
rplKAJL_rpoBC	ydfG//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	aroF//
rpmF_plsX_fabHDG	frmA//glgB//truB//
rpmH_rnpA	thiM//lpxT//
rpmI_rplT	
rpoBC	pyrG//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	gpsA//bioB//acpS//
rppH_ptsP	pdxH//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	uxuA//
rpsO_pnp	narH//fadE//
rpsP_rimM_trmD_rplS	gor//
rpsU_dnaG_rpoD	cyoE//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	mutS//puuE//
rsmA_apaGH	amyA//pldA//
rsmD_yhhL	metH//
rsmE_gshB	kdsB//rsmI//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	sucD//prpC//lgoD//paaE//speA//citX//garD//aslA//entA//rutA//mdh//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hisH//
rtcBA	icd//gcl//
rutABCDEFG	cyaA//purF//yigL//hemF//patZ//phoA//
ruvAB	gudD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	pheT//
scpA_argK_scpBC	allD//yjjX//hinT//opgE//
sdaCB	trmL//lysA//
sdhCDAB_sucABCD	rfbA//frmB//speC//hisD//
sdhDAB	
sdhE_cptA	
secB_gpsA	ribF//
secE_nusG	
secG_leuU	
secMA_mutT	ilvI//
selAB	cobT//thiM//
selD_topB	xylA//trxB//
seqA_pgm	cynT//
serB_radA	ileS//
serC_aroA	birA//pdeH//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rutD//
sgrST_setA	paoC//
skp_lpxD_fabZ_lpxA	ppiB//pgaD//slyD//
slp_dctR	
solA_yceO	mutH//
speAB	mltA//moaD//
speF_potE	lpxH//ilvG_1//
srlAEBD_gutM_srlR_gutQ	thiG//opgB//pfkB//
sroG_ribB	trpD//
sspAB	
ssrS_fau	tmcA//
ssuEADCB	yihU//mmuM//polB//
stfE_tfaE	
sucAB	sgbE//sgbH//coaE//
sucABCD	fucU//nudF//cdsA//puuB//
sufABCDSE	pphA//
surA_pdxA_rsmA_apaGH	rfaD//hycB//uxuB//ahpC//
tag_yiaC	rlmB//
talA_tktB	nhoA//upp//
tamAB_ytfP	
tar_tap_cheRBYZ	hycG//gph//
tatABC	murF//
tatABCD	yfiH//rlmF//
tauABCD	sodA//asnA//
tdcABCDEFG	cpsG//rfbA//thiI//uxuA//recG//
tdcBCDEFG	ispD//dgcM//malP//lacZ//pldB//
tehAB	recJ//araB//
tesA_ybbO	agp//cpsB//
tff_rpsB_tsf	
tgt_yajC	fucU//
thiCEFSGH	mhpF//fadK//dgoD//fabH//aroF//
thiMD	uvrC//nadB//
thrLABC	thiF//glpB//tnaA//
thrS_infC	alsE//
thrS_infC_rpmI_rplT_pheMST_ihfA	pepD//ycaO//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ubiE//torC//
tolB_pal_cpoB	
tolC_ygiABC	ilvI//nrdA//ynjE//mnmA//pdeR//pphB//scpA//pfkB//rutA//
tomB_hha	
topAI_yjhQ	
torCAD	dxs//
torYZ	moeA//
treBC	hyuA//pepD//
trmI_yggL	cysJ//
trpCBA	gcvH//dnaE//pdeF//thiF//
trpLEDCBA	pdxJ//cdsA//pheA//galU//gluQ//aroC//
tsaB_yeaY	ppk//
tsaE_amiB_mutL_miaA_hfq_hflXKC	argS//gcvT//recG//purM//waaH//
ttdABT	speA//murA//
tyrS_pdxY	rutD//rfbB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	valS//nudL//
ubiEJB	ldtE//
udk_dcd	dut//puuC//
ugpBAECQ	yliI//aspA//
uhpABC	
uidABC	rlmB//metB//
ulaABCDEF	sad//adk//gcl//ugpQ//
umpG_pcm	pta//fruK//
umuDC	mog//
uof_fur	
upp_uraA	chbF//ydiO//
usg_truA_dedA	sdhA//
uvrYC	thrS//
uxaCA	ascB//pyrG//
uxuAB	glcF//ulaD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	garR//tesA//
waaQGPSBOJYZU	asd//phoA//anmK//malZ//prmB//abgB//tyrS//thrC//tdcB//umuD//
waaYZ	upp//nth//
waaZU	yibQ//pldA//
wbbIJK	ydjG//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ddlB//waaZ//mug//bcsZ//glpB//dnaQ//
wcaKLM	
wrbA_yccJ	ilvG_1//
wza_wzb_wzc	ghrA//yqjG//
wza_wzb_wzc_wcaAB	metK//yihT//
xanQ_guaD_ghxQ	rffM//glgB//miaB//
xapAB	yhhW//tyrS//
xdhABC	ubiH//
xerD_dsbC_recJ	chbF//queC//
xseB_ispA_dxs_yajO	rsuA//fau//lpxH//ansB//
xylAB	der//phnL//
xylFGHR	thiK//
yabPQ	
yacC_speED	tpiA//uvrB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	kdsD//
yafDE	
yafNOP	ynfE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	coaA//narZ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	luxS//
ybaB_recR	nadB//
ybaST	dgkA//
ybbAP	
ybbY_glxK	accA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	tgt//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	dld//
ybeZY	
ybeZYX_lnt	tyrB//
ybfHG	
ybfOC	
ybgA_phr	zwf//
ybgC_tolQRA	
ybgIJKL_nei	purN//
ybgQPO	
ybhP_clsB_ybhN	iaaA//
ybiYW	
ybjC_nfsA_rimK_ybjN	rsmH//abgB//
ybjJI	speG//
ybjO_rlmC	rffH//
ybjQ_amiD	wrbA//
ycaI_msbA_lpxK_ycaQ	psuK//dhaM//
ycaR_kdsB	dam//
ycbK_gloC	ribF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	phoA//
yciCB	
yciGFE	
yciK_btuR	ftnA//
yciVOQ	eptB//
yciZT	
ycjMNOPQRSTUV_ymjB	sdhB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ahpC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yfeW//psd//
ydcSTUV_patD	opgB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	azoR//
ydgK_rsxABCDGE_nth	mnmC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ilvB//amiD//
ydiJ_menI_ydiH	thrC//
ydiNB_aroD	frdA//dusA//
ydiQRST_fadK	ligA//
ydjA_selD_topB	oxc//hyaA//
ydjLKJIHG	argS//
ydjXYZ_ynjABCD	
yeaGH	pepD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	purN//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	apaH//rlmM//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	amyA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	pdxY//lsrG//
yejABEF	mutM//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	garK//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cmoB//
yfbUT	pphB//
yfcUTSRQPO	
yfdGHI	
