# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
dnaAN_recF	paaF//
dnaK_tpke11_dnaJ	epmB//
dnaN_recF	nudB//
dnaTC	
dnaTC_yjjA	
dosCP	nrdB//sufS//
dpiBA	
dppABCDF	rnpA//
dsbC_recJ_prfB	cdd//prpC//
dsbD_yjdC	
dsdXA	accB//ilvG_2//
dusB_fis	ycjU//
dut_slmA	dsdA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	garK//scpA//
efeOB	mutS//
efeU_1U_2	
elbB_mtgA	rimK//
elfDCG_ycbUVF	
emrKY	cmoA//
entCEBAH	yajO//trpE//rnt//def//argI//kduI//
envY_ompT	nadK//
epd_pgk	ilvM//ruvB//
epd_pgk_fbaA	folD//leuS//clsC//
essD_rrrD_rzpD	phoA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	tag//
eutHA	
eutNEJG	
eutSPQTDM	ssuE//
evgAS	
exbBD	
fabDG_acpP	nanA//yceF//
fabG_acpP	udk//
fabHDG	nanE//pdxH//trpS//
fabR_yijD	
fadBA	yicI//lpxH//
fadD_sroD	udk//
fadIJ	hisB//gstA//
fdnGHI	
fdoGHI_fdhE	gor//
fdrA_ylbEF_ybcF	mpl//
fecABCDE	rluE//gabD//
fecIR	
feoABC	dkgA//
fepA_entD	chbF//hemL//ogt//
fepDGC	glpE//
fes_ybdZ_entF_fepE	tilS//thiK//dcyD//
fetAB	
fhuACDB	tehB//ssuD//
ficA_fic_pabA	fau//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	murF//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	clsB//der//
folC_dedD	yfdR//
folD_ybcJ	ttdB//
folE_yeiB	wrbA//
folP_glmM	mcrA//rbn//
folX_yfcH	argH//
frdABCD	gudD//
frlABCDR	yfeX//fabF//hdhA//guaC//
frmRAB	anmK//preT//
fruBKA	tdcB//nadK//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	tpiA//adeD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aldA//ssuD//frdB//tdcD//ydjG//waaS//aroC//bcsZ//rsuA//slt//
ftsQAZ	
ftsYEX	
fucAO	argK//pnp//
fucPIKUR	dmsC//thrA//kdsC//udp//
fumAC	ahr//lgoD//
fusA_tufA	
gabDTP	hisS//nagK//fau//
gadAX	ygeX//
gadBC	dusB//cueO//
gadEF	
gadEF_mdtEF	tsaC//
gadXW	
galET	trxB//glmU//
galETK	fabF//plsC//ackA//
galETKM	nadD//pyrI//cpsG//malY//
gapA_yeaD	entH//
gapC_1C_2	
garPLRK_rnpB	trmL//hisG//acpT//argD//waaU//ispA//
gatYZABCD	argI//ycaO//dnaQ//
gatZABCD	queG//coaE//ynfH//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	fadD//ascB//thiI//idi//ispU//
gcvTHP	aspA//dmsB//csdA//
gfcBCD	
gfcE_etp_etk	gpsA//waaF//
ghoST	fbaB//
glcBA	wzb//sdhB//
glcDEFGBA	napA//waaU//umuD//
glf_wbbH	slyD//
glgAP	rihA//ygaP//
glgBXCAP	ssuE//frc//coaA//fkpA//dld//
glgCAP	yajO//purA//phnG//
glmUS	lsrF//acpH//
glnALG	cysE//
glnHPQ	ddlA//
glnK_amtB	glyS//
glnLG	
glnW_metU_glnVX	
glpABC	pinE//
glpEGR	cynS//narY//
glpFKX	uxaA//nrdD//ybjG//
glpGR	ahpC//
glpTQ	phnI//mnaT//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	thrS//
glvCBG_ysdC	
glyQS	trpA//
glyVXY	
glyW_cysT_leuZ	
gntKU	caiA//paaK//
gntRKU	aspA//paoB//
gntX_nfuA	
gpmM_envC_yibQ	cheB//trmI//
groSL	
gspAB	
gspCDEFGHIJKLMO	hycC//
guaBA	ribD//surA//
gudPXD	gloC//ldcA//
hcaEFCBD	metH//hemE//
hcp_hcr	phnJ//hcp//
hdeAB_yhiD	
hemA_prfA_prmC	allB//hycE//
hemCDXY	chbG//thrA//
hflD_purB	ilvM//
hfq_hflXKC	adiA//
hicAB	
higBA	pyrG//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hemD//rbn//selB//kdgK//
hipBA	ansB//
hisBHAFI	paaY//menH//fumA//btuR//
hisJQMP	gpt//argC//
hisLGDCBHAFI	pyrG//folA//yagF//clsA//ispE//nanE//pheT//
hofMNOP	
holC_valS	mrcB//
holD_rimI_yjjG	trpS//accD//
hscBA_fdx_iscX	yajO//
hsdMS	uxaC//
hsdRMS	pgaD//
hslRO	
hslVU	bcsB//
hyaABCDEF	
hybOABCDEFG	pcm//
hycABCDEFGHI	thyA//xapA//
hydN_hypF	rlmF//
hyfABCDEFGHIJR_focB	trpS//
hypABCDE	ahr//
hypABCDE_fhlA	dgt//
hypBCDE	alaC//
hypBCDE_fhlA	fumA//
iaaA_gsiABCD	napB//ldtC//
ibaG_murA	guaD//
ibpAB	
idnDOTR	rph//waaZ//trmL//
ileS_lspA_fkpB_ispH	speA//narY//malZ//phnG//
ilvEDA	adhE//allE//dgoK//ymdB//
ilvIH	valS//
ilvLXG_1G_2MEDA	sucC//pbpC//aroE//mrcB//cynT//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	lpxA//
insN_1I_1O_1	pncC//
insO_2_yjhWV	
iscRSUA	plsB//dld//
ispDF	prmC//purE//
ispG_sroE	mhpC//
isrC_flu	
ivbL_ilvBN	ribC//
ivbL_ilvBN_uhpABC	ubiD//
kbaZ_agaVWA	fabZ//
kbl_tdh	nadB//ybiV//
kdpDE	
kdpFABC	trpS//
kdsC_lptCAB	avtA//epmA//
kefFC	hisA//arnC//
kefGB_yheV	dgoA//
kilR_ydaE	
lacYA	accA//ybbO//
lacZYA	dsdA//ribD//gntK//
lapAB	
lapAB_pyrF_yciH	adhP//
lepAB	pgpC//
leuLABCD	dadX//agp//tdcB//
leuQPV	
leuS_lptE_holA_nadD_cobC	gltX//tdcE//accC//
lexA_dinF	
lgt_thyA	glgB//murQ//
ligA_ypeB	mepS//
livKHMGF	nhoA//allE//
lldPRD	thiC//torY//
lolA_rarA	
lolB_ispE_prs	fadI//spoT//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yrfG//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mutY//serC//
lptFG	
lspA_fkpB_ispH	purC//nadR//fabG//
lsrACDBFG_tam	ilvG_2//yqjH//ttdA//ydiO//
lsrRK	sucB//
ltaE_ybjT	wecC//
lysT_valT_lysW	
macAB	purB//
malEFG	murE//
malK_lamB_malM	aldA//waaJ//
malPQ	pphA//pck//
malXY	add//rlmJ//
manXYZ	hisD//
map_glnD_dapD	puuB//gloC//paoC//
marRAB	
mazEFG	thiC//
mcrBC	glpX//
mdlAB	
mdtABCD_baeSR	glmU//
mdtEF	citG//
mdtJI	alaC//
mdtM_yjiN	folE//
mdtNOP	malS//
melAB	pncA//bcsB//
menA_rraA	ampD//
menBCE	glcD//trpC//yeaE//
menDHBCE	puuD//mobA//mltF//rpiB//mcrC//
menFDHBCE	kefF//def//cynT//mrcB//rffT//tmk//
metBL	eptB//spoT//
metNIQ	bfr//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	otsA//entD//glcF//
metZWV	
mglAC	pdeH//
mglBAC	eda//
mgtLA	speD//
mhpABCDFE	phnO//gpmM//dapA//sad//dhaM//ybjG//
mhpR_lacI	
miaA_hfq_hflXKC	gcvP//nudI//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	glf//gpp//
mnaT_ydcZ	clsB//
mngAB	emtA//coaD//
mnmG_rsmG	ybaS//gshA//
mntR_ybiR	
moaABCDE	moaE//hisF//
moaBCDE	cyoE//
mobAB	insI-3//
modABC	ribF//
modEF	
moeAB	asd//nanK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	speA//
mqsRA	speF//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	sgbU//pdxB//thiM//acnA//ampC//ampD//puuC//pspE//rnd//preA//aroH//
mreBCD	
mreCD	
msrPQ	
mtlADR	argG//nanM//glcB//
mtn_btuF_yadS	yeaG//patD//
murB_birA	ndh//yneH//
murQP	aes//psuG//hyuA//
murQP_yfeW	cyaA//ldtD//lhgO//glpB//
mutL_miaA_hfq_hflXKC	yqjG//oxc//glgX//
mutY_yggX	hemN//
mutY_yggX_mltC	tdk//serS//
mutY_yggX_mltC_nupG	mutL//bacA//mltF//
nadA_pnuC	ftnA//plsC//
nagBAC_umpH	pdxH//ubiA//acpH//
nagK_cobB	eutD//yieF//
nanATEK_yhcH	pbpC//garL//aroB//nudB//
nanCM	yjjG//idnK//
nanCMS	phnG//paaK//
napFDAGHBC	fabG//
napFDAGHBC_ccmABCDEFGH	epmB//ddlB//
narGHJI	yajO//
narWV	glf//
narXL	
narZYWV	ubiH//
nemRA	mrcA//
nemRA_gloA	ldtB//umuD//
nfrBA	
nhaAR	caiB//
nikABCDER	hisD//
nirBDC_cysG	fucK//waaG//ruvC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ftnA//
nrdAB_yfaE	yihV//
nrdDG	otsB//dnaE//
nrdHIEF	scpC//
nrdR_ribDE_nusB_thiL_pgpA	yidA//pgpB//gabD//yqjH//
nrfABCDEFG	lpxP//
nsrR_rnr_rlmB_yjfI	lipB//murA//
nudB_yebC_ruvC	edd//cadA//
nudC_hemE_nfi	caiD//spoT//
nudF_yqiB_cpdA_yqiA_parE	polB//napH//
nuoABCEFGHIJKLMN	thiL//
nuoMN	hflX//
ompR_envZ	
opgGH	
oppABCDF	hyaA//sodC//
osmF_yehYXW	eptA//
otsBA	nfsA//argK//
paaABCDEFGHIJK	umpH//rrrD//waaZ//ileS//ydiB//rffM//pdxH//
paaXY	ubiF//
pabB_nudL	yneH//prpE//
pabC_mltG_tmk_holB_ycfH	mpaA//purE//entC//
panBC	yieF//rsmI//
panE_yajL	sseA//
paoABCD	wecC//
pcnB_folK	hinT//phnH//
pdeI_dgcI	
pdhR_aceEF_lpd	fcl//kbaZ//nanM//rpe//nudG//rsmC//
pdxA_rsmA	thiC//pgi//
pdxA_rsmA_apaGH	metE//dusC//entE//
pdxB_usg_truA_dedA	rluF//dgoK//
pdxH_tyrS_pdxY	cof//citX//fbaB//
pdxJ_acpS	miaA//mazG//
pepQ_yigZ_trkH_hemG	rffT//nagB//opgB//
pflDC	
pgaABCD	ilvG_2//dapA//yfcG//
pgk_fbaA	aroK//prpB//
pgpC_tadA	menC//amn//
pheLA	trmD//
pheMST_ihfA	ribA//
phnCDE_1E_2FGHIJKLMNOP	cobU//menE//ansA//folX//thiK//fucA//argI//
phnLMNOP	gntK//aceF//speF//entC//astD//
phoA_psiF	panB//
phoBR	
phoPQ	
pldB_yigL	ybbO//aes//
plsX_fabHDG	plsB//aceB//pykA//
pntAB	
potABCD	dgkA//
potFGHI	waaF//
poxB_ltaE_ybjT	yhdH//nagA//
ppdAB_ygdB_ppdC_recC	hyaC//
ppdD_hofBC	
ppiB_lpxH	ulaD//pdxB//
ppk_ppx	mak//tdcE//
pqiAB	
preTA	ligA//
prfB_lysS	clsA//
priC_ybaM	
prlC_rsmJ	lyxK//mtlD//
prlF_yhaV	cobS//
prmB_aroC_mepA_yfcA_epmC_yfcL	galK//etk//pinE//waaH//
proBA	maeB//alkB//
proQ_prc	argC//
proVWX	pyrF//
prpBCDE	hisG//hemL//azoR//mhpF//
psd_mscM	
pspABCDE	fadI//
pspBCDE	accB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	nagB//wecC//
pth_ychF	eutC//
ptrA_recBD	entD//gcd//
ptsA_fsaB_gldA	mutY//ubiI//
ptsHI_crr	aroE//mnmA//pabB//
purEK	hisI//kdsD//
purHD	gldA//mngB//
purMN	sgbH//hycG//
puuAP	bioA//der//
puuCBE	ampH//narZ//mcrC//
puuDRCBE	waaY//tyrB//ygaP//pepD//
pyrF_yciH	glpD//
pyrG_eno	tehB//dosP//
pyrLBI	ispE//
qmcA_ybbJ	
qseBC	
radA_nadR	tdcE//
rapA_rluA	folD//
ratAB	
ravA_viaA	
rbsDACBKR	wcaJ//yajO//pabA//
rclABC	
rclBC	
rcnAB	udp//
rcsDB	
rcsF_trmO	prpE//
rdgB_yggW	sodB//
rdoA_dsbA	entH//recG//
recAX	
recET_ralR_ydaC_xisR_intR	paaE//ugpQ//
relA_mazEF	tdcD//
relBE	phnJ//
relBE_hokD	amyA//
renD_emrE	glgA//
rfaD_waaFCL	hisC//etk//dosP//alkA//
rfbACX	pinE//cyaA//nudL//hcaB//
rfbBDACX	ybbO//cueO//betB//gutQ//eptA//paaF//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	sodC//frlB//frmB//thiD//yghU//pykF//yfiH//cdh//rlmC//
rhaBAD	pgm//prmC//efeB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	fucU//ydjG//nagZ//
ribF_ileS_lspA_fkpB_ispH	ampC//narZ//pdeF//nfsB//yfcG//
rimK_ybjN	miaA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	glgC//thiF//fadJ//nagZ//panD//purC//metE//asnB//trmL//guaC//
rlmE_ftsH	narV//deoD//
rlmL_uup	fadD//
rluD_yfiH	adhP//pflB//
rluE_nudJ	bcsZ//carA//
rnc_era	ogt//
rnc_era_recO_pdxJ_acpS	glpE//aceE//thiK//aroG//
rnlAB	waaP//
rnt_lhr	xdhA//
rpe_gph_trpS	amyA//dnaE//garD//
rph_pyrE	wbbI//mpl//
rpiR_alsBACE	fabB//ribA//
rplJL_rpoBC	cmoB//
rplKAJL_rpoBC	glgX//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	hemF//
rpmF_plsX_fabHDG	pdeH//citD//acnA//
rpmH_rnpA	ruvA//bcsB//
rpmI_rplT	
rpoBC	hyi//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	thiG//panC//thrA//
rppH_ptsP	dgoD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	leuC//
rpsO_pnp	yjcS//relA//
rpsP_rimM_trmD_rplS	tesB//
rpsU_dnaG_rpoD	pdxK//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	rffG//patZ//
rsmA_apaGH	maeB//rluE//
rsmD_yhhL	paaC//
rsmE_gshB	waaP//glgX//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	citE//fkpB//tag//folE//waaS//trpS//prpB//treA//ubiC//hypF//rfbC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	gcvP//
rtcBA	yghA//trpA//
rutABCDEFG	yihU//xthA//fbaA//mpaA//deoC//bioB//
ruvAB	sbcB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	prpE//
scpA_argK_scpBC	glgB//recF//pcm//mutL//
sdaCB	gshA//kdsB//
sdhCDAB_sucABCD	yliI//ubiG//recO//insI-2//
sdhDAB	
sdhE_cptA	
secB_gpsA	rfbB//
secE_nusG	
secG_leuU	
secMA_mutT	xthA//
selAB	qor//yfiC//
selD_topB	yigB//fadB//
seqA_pgm	wzc//
serB_radA	ycaO//
serC_aroA	aes//putA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	frdD//
sgrST_setA	umpH//
skp_lpxD_fabZ_lpxA	ygiF//ybdL//yjeF//
slp_dctR	
solA_yceO	rfbB//
speAB	hemE//ubiA//
speF_potE	atoD//mak//
srlAEBD_gutM_srlR_gutQ	entD//rffM//ruvB//
sroG_ribB	aroF//
sspAB	
ssrS_fau	yeaE//
ssuEADCB	rbsD//garR//thrB//
stfE_tfaE	
sucAB	nadR//napC//gpmM//
sucABCD	allC//rlmL//lpoB//lpoA//
sufABCDSE	nrdD//
surA_pdxA_rsmA_apaGH	tyrB//allD//frlD//clsB//
tag_yiaC	ravA//
talA_tktB	lpxC//aroL//
tamAB_ytfP	
tar_tap_cheRBYZ	accA//sufS//
tatABC	fbaA//
tatABCD	ung//def//
tauABCD	phnH//lgoD//
tdcABCDEFG	gatZ//ribB//nirD//talA//dxr//
tdcBCDEFG	rnb//metH//ybdL//fes//pyrC//
tehAB	sseA//metB//
tesA_ybbO	cynS//fsaA//
tff_rpsB_tsf	
tgt_yajC	aldB//
thiCEFSGH	entF//kdgK//cof//rihC//prpC//
thiMD	relA//metG//
thrLABC	ligA//yciA//codA//
thrS_infC	queA//
thrS_infC_rpmI_rplT_pheMST_ihfA	galU//mdh//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	narV//caiD//
tolB_pal_cpoB	
tolC_ygiABC	galT//pdxB//menD//dhaL//pabC//lpxC//dhaL//ravA//xapA//
tomB_hha	
topAI_yjhQ	
torCAD	ybdL//
torYZ	leuD//
treBC	yagF//ycjG//
trmI_yggL	dinB//
trpCBA	yidA//rnpB//dxr//bioD//
trpLEDCBA	fdhF//ydbC//ssuD//sodC//cysD//menI//
tsaB_yeaY	ppa//
tsaE_amiB_mutL_miaA_hfq_hflXKC	mcrA//udp//coaD//narY//fdhF//
ttdABT	glpK//aspC//
tyrS_pdxY	nrdE//atoD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rihC//napA//
ubiEJB	umpG//
udk_dcd	ydbC//hemG//
ugpBAECQ	tgt//menH//
uhpABC	
uidABC	dacD//rsmC//
ulaABCDEF	frc//pdeL//nirB//adhP//
umpG_pcm	hemE//cobB//
umuDC	amn//
uof_fur	
upp_uraA	mnmA//ansA//
usg_truA_dedA	dcd//
uvrYC	wzc//
uxaCA	ruvC//spoT//
uxuAB	mraY//pyrE//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ampH//puuD//
waaQGPSBOJYZU	yneH//lpd//galK//glmM//phoA//hemE//sdhA//ubiC//yqjG//glk//
waaYZ	purN//hemA//
waaZU	mpaA//aroG//
wbbIJK	rpiA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	pabB//ackA//queD//yhhW//kefF//ansA//
wcaKLM	
wrbA_yccJ	yihS//
wza_wzb_wzc	glgP//rffH//
wza_wzb_wzc_wcaAB	rsmG//paaE//
xanQ_guaD_ghxQ	frdC//ubiE//cmk//
xapAB	paaG//udp//
xdhABC	lsrF//
xerD_dsbC_recJ	frmA//ubiE//
xseB_ispA_dxs_yajO	aroK//frdB//uxaA//cdsA//
xylAB	rhaD//glnS//
xylFGHR	lpxC//
yabPQ	
yacC_speED	phnO//pgm//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	yihT//
yafDE	
yafNOP	dapB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	cysG//menC//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ribA//
ybaB_recR	ldcC//
ybaST	rsmI//
ybbAP	
ybbY_glxK	scpB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rffH//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	suhB//
ybeZY	
ybeZYX_lnt	preT//
ybfHG	
ybfOC	
ybgA_phr	rffT//
ybgC_tolQRA	
ybgIJKL_nei	mngB//
ybgQPO	
ybhP_clsB_ybhN	betB//
ybiYW	
ybjC_nfsA_rimK_ybjN	nadB//garD//
ybjJI	citE//
ybjO_rlmC	can//
ybjQ_amiD	rlmF//
ycaI_msbA_lpxK_ycaQ	rnd//preA//
ycaR_kdsB	trpS//
ycbK_gloC	paaZ//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	frc//
yciCB	
yciGFE	
yciK_btuR	hemG//
yciVOQ	rpiB//
yciZT	
ycjMNOPQRSTUV_ymjB	kdsC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	tcdA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	arsC//entC//
ydcSTUV_patD	panC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	paaI//
ydgK_rsxABCDGE_nth	entB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	epd//phnM//
ydiJ_menI_ydiH	mgsA//
ydiNB_aroD	cysQ//glpA//
ydiQRST_fadK	accA//
ydjA_selD_topB	pgpB//rfbC//
ydjLKJIHG	caiA//
ydjXYZ_ynjABCD	
yeaGH	panB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	hisS//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	dacD//yicI//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	waaZ//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	trpE//qor//
yejABEF	hdhA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	nadC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	purT//
yfbUT	cobC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	nanA//
