# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yniC//
codBA	frdB//moeA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	pyrG//
csgBAC	
csgDEFG	ribD//
csiD_lhgO_gabDTP	nadB//betB//mutY//paaK//
cusCFBA	purF//
cusRS	
cvpA_purF_ubiX	rlmE//gor//
cydAB	tyrB//
cydDC	bglA//
cydX_ybgE	lpoB//
cynTS	ubiF//phnI//
cynTSX	opgB//plsC//yjeF//
cyoABCDE	thiH//nagB//
cysDNC	pgm//yjjX//
cysJIH	glxR//pdeH//dacC//
cysPUWAM	yagE//recF//pbpC//
dadAX	gmk//yfcF//
damX_dam_rpe_gph_trpS	napH//yfiC//clsC//waaU//
dam_rpe_gph_trpS	glpD//mnmA//glf//pgm//
dapA_bamC	puuE//
dapE_ypfN	allC//
dcm_vsr	folX//
dcuB_fumB	dmsC//nudC//
dcuSR	
dcyD_tcyLN	mltA//truC//
ddpXABCDF	nagK//
def_fmt	argS//rpiB//
degQS	hisG//insI-3//
deoABD	thiC//kbaZ//sad//
deoBD	cueO//recF//
deoCABD	queG//ftnA//yihS//mak//
dgoRKADT	prmB//deoB//yfiH//metC//
dhaKLM	eno//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hemC//patA//
dinJ_yafQ	paaY//
dksA_gluQ	ispF//
dmsABC	accB//
dnaAN_recF	ilvN//
dnaK_tpke11_dnaJ	arnC//
dnaN_recF	narI//
dnaTC	
dnaTC_yjjA	
dosCP	cysD//tyrB//
dpiBA	
dppABCDF	yieH//
dsbC_recJ_prfB	dgkA//dgoA//
dsbD_yjdC	
dsdXA	ydiB//dgcM//
dusB_fis	yjjX//
dut_slmA	pgsA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	rluC//menE//
efeOB	aphA//
efeU_1U_2	
elbB_mtgA	gapA//
elfDCG_ycbUVF	
emrKY	yjeF//
entCEBAH	mltF//ppiB//cysG//phnI//idnK//gshB//
envY_ompT	ribD//
epd_pgk	purA//nadA//
epd_pgk_fbaA	lpxM//sucA//aroB//
essD_rrrD_rzpD	lpoA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cysN//
eutHA	
eutNEJG	
eutSPQTDM	gapA//
evgAS	
exbBD	
fabDG_acpP	thiI//nudL//
fabG_acpP	gapA//
fabHDG	cof//fucO//fabB//
fabR_yijD	
fadBA	dgkA//hcp//
fadD_sroD	serC//
fadIJ	ldtA//pdxY//
fdnGHI	
fdoGHI_fdhE	mnmA//
fdrA_ylbEF_ybcF	selD//
fecABCDE	thiI//uvrC//
fecIR	
feoABC	nanE//
fepA_entD	tktA//ruvC//allC//
fepDGC	sad//
fes_ybdZ_entF_fepE	pgsA//eda//prmC//
fetAB	
fhuACDB	pnp//phnI//
ficA_fic_pabA	yciA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dapE//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	yihX//prpC//
folC_dedD	hemL//
folD_ybcJ	ilvM//
folE_yeiB	ldtD//
folP_glmM	acpS//aes//
folX_yfcH	ftnA//
frdABCD	btuR//
frlABCDR	rsmH//lysC//murF//moeA//
frmRAB	uxaA//waaG//
fruBKA	dkgA//lysU//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	dgcM//alaS//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aspS//idnO//yieF//waaF//chbF//pabC//glyQ//lldD//ybcF//ppc//
ftsQAZ	
ftsYEX	
fucAO	kdsD//etk//
fucPIKUR	apaH//galT//araB//iscS//
fumAC	moaE//fbaA//
fusA_tufA	
gabDTP	deoA//roxA//epmB//
gadAX	pncA//
gadBC	cynS//lsrF//
gadEF	
gadEF_mdtEF	pgk//
gadXW	
galET	dut//citG//
galETK	aspS//ybdL//tktA//
galETKM	hchA//dusB//gcl//glcF//
gapA_yeaD	sseA//
gapC_1C_2	
garPLRK_rnpB	rfbB//selB//pdeL//murF//pyrG//appA//
gatYZABCD	mutL//citF//bioF//
gatZABCD	thiF//pyrH//dapE//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	gshA//ybdL//aspA//betB//paaI//
gcvTHP	glmU//cysQ//waaO//
gfcBCD	
gfcE_etp_etk	nanK//mltD//
ghoST	bglB//
glcBA	ldtA//plsC//
glcDEFGBA	glmU//bioH//trmA//
glf_wbbH	fadK//
glgAP	hypF//acnB//
glgBXCAP	nrdD//pgl//trpE//sbcB//dxr//
glgCAP	xdhC//frlD//mrcB//
glmUS	dmlA//purC//
glnALG	ybbO//
glnHPQ	ygjK//
glnK_amtB	ilvI//
glnLG	
glnW_metU_glnVX	
glpABC	paaB//
glpEGR	mltB//ribA//
glpFKX	gadA//rimK//menH//
glpGR	gatY//
glpTQ	curA//yfeW//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	torY//
glvCBG_ysdC	
glyQS	purU//
glyVXY	
glyW_cysT_leuZ	
gntKU	thiF//lldD//
gntRKU	gltB//rsmB//
gntX_nfuA	
gpmM_envC_yibQ	glyA//pgaD//
groSL	
gspAB	
gspCDEFGHIJKLMO	xylB//
guaBA	gdhA//menB//
gudPXD	metG//sodB//
hcaEFCBD	eda//rfaD//
hcp_hcr	rluD//fkpA//
hdeAB_yhiD	
hemA_prfA_prmC	asnB//srlD//
hemCDXY	narG//aldA//
hflD_purB	deoB//
hfq_hflXKC	nudC//
hicAB	
higBA	uxuA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ldcA//scpA//frc//xylA//
hipBA	ppiA//
hisBHAFI	pdxK//malP//pheS//tnaA//
hisJQMP	nadB//bioC//
hisLGDCBHAFI	tdcG//pssA//rihA//dapA//paaA//tsaC//cobS//
hofMNOP	
holC_valS	nirD//
holD_rimI_yjjG	ampC//lysC//
hscBA_fdx_iscX	garD//
hsdMS	patZ//
hsdRMS	sdaB//
hslRO	
hslVU	ulaD//
hyaABCDEF	
hybOABCDEFG	uvrB//
hycABCDEFGHI	guaB//uxaA//
hydN_hypF	pabB//
hyfABCDEFGHIJR_focB	purA//
hypABCDE	rluF//
hypABCDE_fhlA	ribB//
hypBCDE	fadA//
hypBCDE_fhlA	rlmD//
iaaA_gsiABCD	gatD//pssA//
ibaG_murA	rlmJ//
ibpAB	
idnDOTR	gss//lpxA//mnmE//
ileS_lspA_fkpB_ispH	patD//mpaA//rlmJ//purN//
ilvEDA	narY//ldtE//pspE//pdxB//
ilvIH	hemH//
ilvLXG_1G_2MEDA	selA//asd//rsmH//miaB//hyi//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	kdsB//
insN_1I_1O_1	pncB//
insO_2_yjhWV	
iscRSUA	pgl//ubiH//
ispDF	tag//queA//
ispG_sroE	yjhH//
isrC_flu	
ivbL_ilvBN	fadI//
ivbL_ilvBN_uhpABC	ahpF//
kbaZ_agaVWA	fruK//
kbl_tdh	gpmA//kdsC//
kdpDE	
kdpFABC	gph//
kdsC_lptCAB	murG//luxS//
kefFC	serS//fklB//
kefGB_yheV	dusB//
kilR_ydaE	
lacYA	ybjG//accC//
lacZYA	puuB//aroE//umuC//
lapAB	
lapAB_pyrF_yciH	lldD//
lepAB	paoC//
leuLABCD	serA//paoC//waaQ//
leuQPV	
leuS_lptE_holA_nadD_cobC	torY//rsmE//epmB//
lexA_dinF	
lgt_thyA	glgC//mcrB//
ligA_ypeB	hcaF//
livKHMGF	mmuM//thiH//
lldPRD	cpdB//nudK//
lolA_rarA	
lolB_ispE_prs	dgoD//xthA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	torC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	metH//selD//
lptFG	
lspA_fkpB_ispH	yeiG//oxc//nrdD//
lsrACDBFG_tam	mnmA//metB//murD//nrdE//
lsrRK	ycaO//
ltaE_ybjT	pabB//
lysT_valT_lysW	
macAB	thrB//
malEFG	uxaC//
malK_lamB_malM	glgP//nirB//
malPQ	cobT//pgpA//
malXY	hmp//uxaA//
manXYZ	gadA//
map_glnD_dapD	add//ruvA//ilvE//
marRAB	
mazEFG	folC//
mcrBC	ppiC//
mdlAB	
mdtABCD_baeSR	ppx//
mdtEF	glpX//
mdtJI	glgB//
mdtM_yjiN	tam//
mdtNOP	queD//
melAB	pyrB//hcp//
menA_rraA	hyaB//
menBCE	yidA//garR//dmsC//
menDHBCE	avtA//rsmD//dadA//roxA//ppiC//
menFDHBCE	rfbC//rsmG//folC//dxr//lpxL//nirB//
metBL	iscS//bioF//
metNIQ	pheT//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	gloB//oxc//yqjG//
metZWV	
mglAC	pta//
mglBAC	gatY//
mgtLA	clsA//
mhpABCDFE	dadA//pdxB//slt//pyrB//preA//pepD//
mhpR_lacI	
miaA_hfq_hflXKC	yeaG//ydiB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	yigL//yfbT//
mnaT_ydcZ	ldtC//
mngAB	ycjU//yqhD//
mnmG_rsmG	ahr//serB//
mntR_ybiR	
moaABCDE	hchA//yqjG//
moaBCDE	hisD//
mobAB	lgoD//
modABC	kdgK//
modEF	
moeAB	folK//sufS//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	argH//
mqsRA	nrdD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pdxJ//yfiH//hemA//yfdR//pdeR//wbbI//yniC//thiF//ruvC//glmM//curA//
mreBCD	
mreCD	
msrPQ	
mtlADR	umuD//bacA//gatZ//
mtn_btuF_yadS	fcl//feaB//
murB_birA	nrdB//rffG//
murQP	murB//yhdH//glpA//
murQP_yfeW	hycE//fucO//idnK//puuB//
mutL_miaA_hfq_hflXKC	qor//rpiA//pta//
mutY_yggX	lpxP//
mutY_yggX_mltC	efeB//cyaA//
mutY_yggX_mltC_nupG	aphA//bglA//psuK//
nadA_pnuC	yciV//mtlD//
nagBAC_umpH	dkgB//pfkB//pheA//
nagK_cobB	glcD//rnpA//
nanATEK_yhcH	phnI//cynT//suhB//ribB//
nanCM	epmC//ygaP//
nanCMS	trpD//ygeX//
napFDAGHBC	proB//
napFDAGHBC_ccmABCDEFGH	folE//ruvA//
narGHJI	maa//
narWV	trpD//
narXL	
narZYWV	pgl//
nemRA	hemF//
nemRA_gloA	mltB//glmM//
nfrBA	
nhaAR	dadA//
nikABCDER	allD//
nirBDC_cysG	pabB//talB//yjhH//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	trpE//
nrdAB_yfaE	bioF//
nrdDG	fabG//yghU//
nrdHIEF	csdA//
nrdR_ribDE_nusB_thiL_pgpA	cobB//clsB//fklB//asd//
nrfABCDEFG	rffH//
nsrR_rnr_rlmB_yjfI	rsmG//queD//
nudB_yebC_ruvC	waaP//paoC//
nudC_hemE_nfi	lpoA//hisA//
nudF_yqiB_cpdA_yqiA_parE	thiG//accC//
nuoABCEFGHIJKLMN	glmU//
nuoMN	nhoA//
ompR_envZ	
opgGH	
oppABCDF	epmC//alaA//
osmF_yehYXW	yjjG//
otsBA	aceA//serB//
paaABCDEFGHIJK	tesA//yqaB//clsC//mrdA//coaE//galU//folE//
paaXY	adhP//
pabB_nudL	opgB//hcaE//
pabC_mltG_tmk_holB_ycfH	ldtB//rlmJ//caiB//
panBC	hisG//yqaB//
panE_yajL	gudD//
paoABCD	folA//
pcnB_folK	fabA//wbbI//
pdeI_dgcI	
pdhR_aceEF_lpd	umpG//cueO//cdh//yeaG//zwf//plsC//
pdxA_rsmA	rutA//ybcF//
pdxA_rsmA_apaGH	folC//ddlA//frdA//
pdxB_usg_truA_dedA	dgcT//pfkB//
pdxH_tyrS_pdxY	mltA//caiA//hcaB//
pdxJ_acpS	fklB//ydiF//
pepQ_yigZ_trkH_hemG	purF//pdeL//pldB//
pflDC	
pgaABCD	phoA//ddlB//mltD//
pgk_fbaA	gdhA//rluE//
pgpC_tadA	tynA//leuA//
pheLA	ilvD//
pheMST_ihfA	ileS//
phnCDE_1E_2FGHIJKLMNOP	ilvG_1//ispB//yihS//paaK//fadE//metF//uvrC//
phnLMNOP	mrcB//paaE//narG//cysD//aroA//
phoA_psiF	paaB//
phoBR	
phoPQ	
pldB_yigL	orn//gcvH//
plsX_fabHDG	kdgK//dacC//guaA//
pntAB	
potABCD	folC//
potFGHI	fumB//
poxB_ltaE_ybjT	acs//yfbR//
ppdAB_ygdB_ppdC_recC	entD//
ppdD_hofBC	
ppiB_lpxH	waaC//proA//
ppk_ppx	purF//ssuD//
pqiAB	
preTA	tauD//
prfB_lysS	rfbA//
priC_ybaM	
prlC_rsmJ	hycB//nirB//
prlF_yhaV	malQ//
prmB_aroC_mepA_yfcA_epmC_yfcL	fbp//citG//abgB//ulaD//
proBA	trmA//yahK//
proQ_prc	manA//
proVWX	betA//
prpBCDE	ppc//rsmB//solA//yfaU//
psd_mscM	
pspABCDE	puuC//
pspBCDE	aroH//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	preA//ydbC//
pth_ychF	pdxH//
ptrA_recBD	lgoD//gstA//
ptsA_fsaB_gldA	eptB//metL//
ptsHI_crr	queC//yghA//hemF//
purEK	yfbT//pgpB//
purHD	recR//mqo//
purMN	queG//paaC//
puuAP	arnB//rsmH//
puuCBE	pgpC//rutE//ansA//
puuDRCBE	ssuE//ybhA//bfr//fau//
pyrF_yciH	bioB//
pyrG_eno	citD//fadD//
pyrLBI	yegS//
qmcA_ybbJ	
qseBC	
radA_nadR	yfaU//
rapA_rluA	torA//
ratAB	
ravA_viaA	
rbsDACBKR	asnA//cyaA//mak//
rclABC	
rclBC	
rcnAB	hemE//
rcsDB	
rcsF_trmO	metC//
rdgB_yggW	trmD//
rdoA_dsbA	glmS//cmoB//
recAX	
recET_ralR_ydaC_xisR_intR	gutQ//ppa//
relA_mazEF	fadK//
relBE	idnD//
relBE_hokD	gatD//
renD_emrE	recO//
rfaD_waaFCL	hisS//yhhW//ribB//xdhB//
rfbACX	dxs//dgoD//trpS//pfkB//
rfbBDACX	sucA//xdhB//lpd//folM//folC//aroD//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	xapA//cysM//caiB//thrB//fabF//argH//proS//birA//cysM//
rhaBAD	hemD//pphA//puuE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ahr//gldA//murD//
ribF_ileS_lspA_fkpB_ispH	thrB//glyQ//rnt//bioF//rsmC//
rimK_ybjN	selB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	cpsB//gapA//nanM//ispE//ttdA//pncA//entB//narZ//glnE//wecB//
rlmE_ftsH	rfbA//prs//
rlmL_uup	bcsZ//
rluD_yfiH	udk//hisC//
rluE_nudJ	galE//eptC//
rnc_era	yghU//
rnc_era_recO_pdxJ_acpS	mtlD//hisD//paoC//yfcG//
rnlAB	trmH//
rnt_lhr	ahr//
rpe_gph_trpS	yfiC//bioF//menD//
rph_pyrE	alkA//fabG//
rpiR_alsBACE	ldhA//deoD//
rplJL_rpoBC	allE//
rplKAJL_rpoBC	recJ//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gadB//
rpmF_plsX_fabHDG	recO//tdh//fabF//
rpmH_rnpA	proS//narZ//
rpmI_rplT	
rpoBC	psuK//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	treF//cobC//glyS//
rppH_ptsP	yniC//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	hchA//
rpsO_pnp	leuD//lsrG//
rpsP_rimM_trmD_rplS	yiaY//
rpsU_dnaG_rpoD	aphA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	appA//napG//
rsmA_apaGH	argI//mraY//
rsmD_yhhL	ybjG//
rsmE_gshB	waaJ//nrfC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dgoK//cheR//pabB//purU//clsB//pck//prpB//entB//ulaE//frmA//gcl//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ilvI//
rtcBA	hemB//dkgB//
rutABCDEFG	rbsK//metL//pgi//tig//purU//nrfA//
ruvAB	ispF//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	proC//
scpA_argK_scpBC	hypF//nudE//rluE//mltC//
sdaCB	rlmA//thiM//
sdhCDAB_sucABCD	menF//bioB//cynS//rbsK//
sdhDAB	
sdhE_cptA	
secB_gpsA	moaA//
secE_nusG	
secG_leuU	
secMA_mutT	maeB//
selAB	ribD//dapA//
selD_topB	tsaD//leuD//
seqA_pgm	frlC//
serB_radA	dusC//
serC_aroA	yidA//araB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	moaA//
sgrST_setA	nanM//
skp_lpxD_fabZ_lpxA	dgcM//rpiB//purU//
slp_dctR	
solA_yceO	rutE//
speAB	ubiE//fabH//
speF_potE	gnd//mhpA//
srlAEBD_gutM_srlR_gutQ	ppiB//ymdB//gcl//
sroG_ribB	miaA//
sspAB	
ssrS_fau	guaA//
ssuEADCB	ubiA//alr//galK//
stfE_tfaE	
sucAB	cmoB//mtn//eda//
sucABCD	tdcG//hemF//sgbH//sucA//
sufABCDSE	cysG//
surA_pdxA_rsmA_apaGH	tehB//hycD//udp//queD//
tag_yiaC	ileS//
talA_tktB	umuC//ascB//
tamAB_ytfP	
tar_tap_cheRBYZ	yieH//asnS//
tatABC	cheB//
tatABCD	cynT//pdxH//
tauABCD	arsC//coaA//
tdcABCDEFG	selD//cpsG//ligA//murG//truB//
tdcBCDEFG	nth//purF//fsaB//yfbT//rne//
tehAB	apaH//ubiC//
tesA_ybbO	paaK//metA//
tff_rpsB_tsf	
tgt_yajC	ydiO//
thiCEFSGH	waaG//gshB//otsA//hemF//torY//
thiMD	aroB//pyrD//
thrLABC	paaK//nagZ//prs//
thrS_infC	aspS//
thrS_infC_rpmI_rplT_pheMST_ihfA	ldcC//nanK//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	treF//ddlB//
tolB_pal_cpoB	
tolC_ygiABC	waaJ//proB//hemB//mrcB//apt//cynT//yjhG//metG//bioF//
tomB_hha	
topAI_yjhQ	
torCAD	ybcF//
torYZ	dapF//
treBC	pphA//ybjI//
trmI_yggL	sdhA//
trpCBA	fcl//thiE//trxB//gltA//
trpLEDCBA	galT//pdeF//umuD//cysI//rffG//ilvN//
tsaB_yeaY	pdeF//
tsaE_amiB_mutL_miaA_hfq_hflXKC	malZ//tnaA//yjjG//lysU//argD//
ttdABT	uxuA//ygiF//
tyrS_pdxY	gpsA//rlmG//
tyrTV_tpr	
tyrV_tpr	
ubiCA	gloA//purD//
ubiEJB	eptC//
udk_dcd	murQ//aroE//
ugpBAECQ	rlmD//yqaB//
uhpABC	
uidABC	speB//gloC//
ulaABCDEF	mocA//ygiF//galE//ldhA//
umpG_pcm	hflX//garK//
umuDC	hyi//
uof_fur	
upp_uraA	fabA//citC//
usg_truA_dedA	alsE//
uvrYC	treF//
uxaCA	hemB//prs//
uxuAB	glgP//tdcE//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	hisG//recR//
waaQGPSBOJYZU	prmC//mtn//melA//paaE//rsgA//aldA//gnd//cmk//leuS//dcm//
waaYZ	uvrA//suhB//
waaZU	mrcB//glcB//
wbbIJK	uidA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	dgkA//lpxC//entA//waaS//pdxJ//yfeW//
wcaKLM	
wrbA_yccJ	paoC//
wza_wzb_wzc	dmsA//cdh//
wza_wzb_wzc_wcaAB	thrC//rsmI//
xanQ_guaD_ghxQ	arnA//waaY//dnaQ//
xapAB	hypB//pdeF//
xdhABC	leuB//
xerD_dsbC_recJ	tadA//chbF//
xseB_ispA_dxs_yajO	gpsA//gshB//hflX//azoR//
xylAB	adiA//rsmJ//
xylFGHR	ubiG//
yabPQ	
yacC_speED	astB//atoA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	glnE//
yafDE	
yafNOP	hcaF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yjjX//nagK//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	glf//
ybaB_recR	ygaP//
ybaST	yfdR//
ybbAP	
ybbY_glxK	ppiA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ynjE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ilvH//
ybeZY	
ybeZYX_lnt	efeB//
ybfHG	
ybfOC	
ybgA_phr	rffG//
ybgC_tolQRA	
ybgIJKL_nei	atoA//
ybgQPO	
ybhP_clsB_ybhN	alr//
ybiYW	
ybjC_nfsA_rimK_ybjN	glpD//paaY//
ybjJI	sbcB//
ybjO_rlmC	epmA//
ybjQ_amiD	caiB//
ycaI_msbA_lpxK_ycaQ	pagP//sdhD//
ycaR_kdsB	murE//
ycbK_gloC	katE//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	frdB//
yciCB	
yciGFE	
yciK_btuR	adiA//
yciVOQ	carB//
yciZT	
ycjMNOPQRSTUV_ymjB	agp//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	sucB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	lpcA//hemN//
ydcSTUV_patD	sucD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	fabG//
ydgK_rsxABCDGE_nth	ftnA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	idi//ispE//
ydiJ_menI_ydiH	allA//
ydiNB_aroD	umuC//fabD//
ydiQRST_fadK	glpD//
ydjA_selD_topB	pabB//nanE//
ydjLKJIHG	speF//
ydjXYZ_ynjABCD	
yeaGH	aphA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	alsK//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nagK//nudJ//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	murC//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ribE//gsk//
yejABEF	rutC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ppiA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	wzc//
yfbUT	kbl//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	aspA//
