# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argS//
cysJIH	gsk//torY//yihU//
cysPUWAM	frmA//preA//argF//
dadAX	add//garR//
damX_dam_rpe_gph_trpS	glyS//metA//uxaA//fau//
dam_rpe_gph_trpS	pdeL//ydbC//pyrC//atoA//
dapA_bamC	ampD//
dapE_ypfN	ilvI//
dcm_vsr	mnmA//
dcuB_fumB	purH//gpmA//
dcuSR	
dcyD_tcyLN	ilvG_1//murC//
ddpXABCDF	kbl//
def_fmt	speB//malP//
degQS	ubiF//atoB//
deoABD	yigB//pncB//tsaC//
deoBD	eutC//insI-2//
deoCABD	mutS//yhdH//atoA//argK//
dgoRKADT	dapE//glgP//hcaC//preA//
dhaKLM	surA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	lysU//mnmG//
dinJ_yafQ	pphA//
dksA_gluQ	ilvG_2//
dmsABC	ribF//
dnaAN_recF	sbcB//
dnaK_tpke11_dnaJ	cdd//
dnaN_recF	pncC//
dnaTC	
dnaTC_yjjA	
dosCP	pspE//murG//
dpiBA	
dppABCDF	mhpD//
dsbC_recJ_prfB	fucA//pldB//
dsbD_yjdC	
dsdXA	paaY//yohF//
dusB_fis	ycjG//
dut_slmA	glpX//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ynfH//dacC//
efeOB	amn//
efeU_1U_2	
elbB_mtgA	alsK//
elfDCG_ycbUVF	
emrKY	nrdF//
entCEBAH	deoA//glnA//leuC//fadB//hflX//xthA//
envY_ompT	dapF//
epd_pgk	rnpA//yfdE//
epd_pgk_fbaA	fabG//cysE//waaQ//
essD_rrrD_rzpD	pabB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	feaB//
eutHA	
eutNEJG	
eutSPQTDM	cynS//
evgAS	
exbBD	
fabDG_acpP	fadE//cmoB//
fabG_acpP	tpiA//
fabHDG	tdcG//hycE//glcD//
fabR_yijD	
fadBA	ugpQ//aldB//
fadD_sroD	birA//
fadIJ	paaE//rlmG//
fdnGHI	
fdoGHI_fdhE	fadA//
fdrA_ylbEF_ybcF	entB//
fecABCDE	yeaE//ybaS//
fecIR	
feoABC	plsC//
fepA_entD	aroH//puuC//nadB//
fepDGC	murF//
fes_ybdZ_entF_fepE	tyrB//ilvC//ampH//
fetAB	
fhuACDB	ribB//mhpE//
ficA_fic_pabA	dacC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dapD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	hcaE//nemA//
folC_dedD	pgpA//
folD_ybcJ	trmA//
folE_yeiB	sad//
folP_glmM	btuR//truB//
folX_yfcH	lsrK//
frdABCD	nudI//
frlABCDR	waaZ//hinT//slyD//narG//
frmRAB	ftsI//thrS//
fruBKA	dusA//wecC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	atoD//pgpB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ribF//nfsA//efeB//gpmM//ychF//tpiA//lacZ//katE//yfcF//purD//
ftsQAZ	
ftsYEX	
fucAO	yihS//ymdB//
fucPIKUR	uxaB//gltB//moeA//paaA//
fumAC	etp//gmm//
fusA_tufA	
gabDTP	etk//clsC//sseA//
gadAX	acs//
gadBC	paaI//emtA//
gadEF	
gadEF_mdtEF	pdxH//
gadXW	
galET	folC//selB//
galETK	prpE//nadR//gloC//
galETKM	waaU//ynfG//gntK//cysE//
gapA_yeaD	fabH//
gapC_1C_2	
garPLRK_rnpB	paaE//rutB//hinT//atoD//gcvT//nth//
gatYZABCD	proS//ppiC//entH//
gatZABCD	mhpB//recG//phnN//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	galM//panD//wbbI//acpS//paoA//
gcvTHP	frdB//tig//lpoB//
gfcBCD	
gfcE_etp_etk	recR//mltF//
ghoST	panE//
glcBA	hemB//trpE//
glcDEFGBA	citG//truD//cadA//
glf_wbbH	ynjE//
glgAP	ispD//hisS//
glgBXCAP	alkB//insI-2//guaA//oxc//katG//
glgCAP	frc//treF//ttdA//
glmUS	purD//thiE//
glnALG	ribA//
glnHPQ	atoA//
glnK_amtB	gldA//
glnLG	
glnW_metU_glnVX	
glpABC	aroK//
glpEGR	rfbD//speF//
glpFKX	pncC//rdoA//galE//
glpGR	adeD//
glpTQ	pgk//mnmE//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	menH//
glvCBG_ysdC	
glyQS	yidA//
glyVXY	
glyW_cysT_leuZ	
gntKU	yiaK//gatD//
gntRKU	pbpC//mazG//
gntX_nfuA	
gpmM_envC_yibQ	dgoA//waaP//
groSL	
gspAB	
gspCDEFGHIJKLMO	ispG//
guaBA	ppa//alkA//
gudPXD	nhoA//yfeW//
hcaEFCBD	psd//eutB//
hcp_hcr	yieH//recF//
hdeAB_yhiD	
hemA_prfA_prmC	phnN//glcF//
hemCDXY	pdxY//dmlA//
hflD_purB	dcd//
hfq_hflXKC	cpdA//
hicAB	
higBA	cobC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mraY//dnaE//mnmE//murB//
hipBA	waaU//
hisBHAFI	rutA//metL//ydjG//adk//
hisJQMP	trmH//proA//
hisLGDCBHAFI	asnB//ispF//yihS//galE//ydiB//caiD//entD//
hofMNOP	
holC_valS	serB//
holD_rimI_yjjG	metE//ddlB//
hscBA_fdx_iscX	yeaG//
hsdMS	treA//
hsdRMS	trmJ//
hslRO	
hslVU	otsB//
hyaABCDEF	
hybOABCDEFG	yqaB//
hycABCDEFGHI	ybbO//argC//
hydN_hypF	fabD//
hyfABCDEFGHIJR_focB	mrdA//
hypABCDE	araA//
hypABCDE_fhlA	proS//
hypBCDE	sucA//
hypBCDE_fhlA	ruvB//
iaaA_gsiABCD	yceF//rsmB//
ibaG_murA	nudJ//
ibpAB	
idnDOTR	sdaB//ilvM//lpoA//
ileS_lspA_fkpB_ispH	waaB//phnM//pgaD//pncB//
ilvEDA	ltaE//rpe//pabA//rluA//
ilvIH	dut//
ilvLXG_1G_2MEDA	mhpD//yfbT//yjjX//truC//wzc//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	thiH//
insN_1I_1O_1	rne//
insO_2_yjhWV	
iscRSUA	tdcG//yigB//
ispDF	xylB//cyoE//
ispG_sroE	yciA//
isrC_flu	
ivbL_ilvBN	fumC//
ivbL_ilvBN_uhpABC	ydbC//
kbaZ_agaVWA	purK//
kbl_tdh	rutE//pdeF//
kdpDE	
kdpFABC	ruvB//
kdsC_lptCAB	metL//glxR//
kefFC	der//adeD//
kefGB_yheV	ulaD//
kilR_ydaE	
lacYA	pnp//frdD//
lacZYA	mcrA//psuG//yihS//
lapAB	
lapAB_pyrF_yciH	wrbA//
lepAB	nfsA//
leuLABCD	atoA//mltC//sucD//
leuQPV	
leuS_lptE_holA_nadD_cobC	tyrB//ribC//patZ//
lexA_dinF	
lgt_thyA	asnB//pdxA//
ligA_ypeB	asd//
livKHMGF	rlmD//dsdA//
lldPRD	astD//yhdH//
lolA_rarA	
lolB_ispE_prs	dcm//gadB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	prmB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ribD//purL//
lptFG	
lspA_fkpB_ispH	mnmA//dmlA//mutM//
lsrACDBFG_tam	argE//mrcA//glxK//fucK//
lsrRK	bioC//
ltaE_ybjT	adhE//
lysT_valT_lysW	
macAB	insI-1//
malEFG	azoR//
malK_lamB_malM	yjiA//thiD//
malPQ	talA//pinE//
malXY	cysI//dnaE//
manXYZ	rrrD//
map_glnD_dapD	pyrG//ldtC//murC//
marRAB	
mazEFG	cysK//
mcrBC	ansA//
mdlAB	
mdtABCD_baeSR	tktB//
mdtEF	hemL//
mdtJI	ftnA//
mdtM_yjiN	asnS//
mdtNOP	entC//
melAB	pphB//rlmM//
menA_rraA	cysK//
menBCE	mnmG//adk//aphA//
menDHBCE	tesA//fucA//rsmA//rffM//rlmI//
menFDHBCE	glf//fucO//pdxY//yjjG//garK//clsB//
metBL	nadC//glyS//
metNIQ	gor//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	bacA//waaU//yqaB//
metZWV	
mglAC	insI-3//
mglBAC	ynjE//
mgtLA	aroC//
mhpABCDFE	eno//dut//cynS//polB//pgi//tehB//
mhpR_lacI	
miaA_hfq_hflXKC	rsmC//fucK//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	mhpC//purK//
mnaT_ydcZ	hemC//
mngAB	idnK//dnaQ//
mnmG_rsmG	glpK//dadA//
mntR_ybiR	
moaABCDE	rffC//trpC//
moaBCDE	hcaF//
mobAB	alkA//
modABC	ycjG//
modEF	
moeAB	def//fucI//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	cdd//
mqsRA	ulaD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pgaB//rlmC//recJ//purH//pspE//puuD//paaZ//nrdB//rfaE//yihX//ung//
mreBCD	
mreCD	
msrPQ	
mtlADR	pspE//guaB//cysM//
mtn_btuF_yadS	fabH//yhdH//
murB_birA	gpp//araD//
murQP	zwf//mazG//dgoA//
murQP_yfeW	aroK//galM//queG//der//
mutL_miaA_hfq_hflXKC	mazG//yfbR//gor//
mutY_yggX	argK//
mutY_yggX_mltC	ybhA//tdcE//
mutY_yggX_mltC_nupG	yagE//cof//argI//
nadA_pnuC	ilvM//serC//
nagBAC_umpH	folC//glmS//tktA//
nagK_cobB	eutC//otsB//
nanATEK_yhcH	nudB//leuS//yfaU//dmsC//
nanCM	paoB//cysN//
nanCMS	ppiB//rdoA//
napFDAGHBC	aroA//
napFDAGHBC_ccmABCDEFGH	yfdE//dld//
narGHJI	pheA//
narWV	ampC//
narXL	
narZYWV	chbF//
nemRA	fadH//
nemRA_gloA	menA//cysD//
nfrBA	
nhaAR	rsmE//
nikABCDER	xthA//
nirBDC_cysG	selD//nrfB//trpA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rlmD//
nrdAB_yfaE	rfbD//
nrdDG	phnI//ispG//
nrdHIEF	ygjK//
nrdR_ribDE_nusB_thiL_pgpA	mhpB//truB//nrfB//lipB//
nrfABCDEFG	moaA//
nsrR_rnr_rlmB_yjfI	argB//lysU//
nudB_yebC_ruvC	cynS//rlmB//
nudC_hemE_nfi	mraY//ilvB//
nudF_yqiB_cpdA_yqiA_parE	eptA//leuB//
nuoABCEFGHIJKLMN	cpdA//
nuoMN	ybhA//
ompR_envZ	
opgGH	
oppABCDF	edd//plsB//
osmF_yehYXW	yicI//
otsBA	eutB//atoA//
paaABCDEFGHIJK	aceA//rluC//cysJ//waaG//fucO//emtA//yhdH//
paaXY	ldtC//
pabB_nudL	preT//bcsZ//
pabC_mltG_tmk_holB_ycfH	moeA//glnS//asd//
panBC	cobB//rhaD//
panE_yajL	trxB//
paoABCD	ampD//
pcnB_folK	aroE//nagK//
pdeI_dgcI	
pdhR_aceEF_lpd	pfkA//wcaJ//kdgK//pyrD//kduI//garL//
pdxA_rsmA	ppiA//maa//
pdxA_rsmA_apaGH	gcvH//rnd//galE//
pdxB_usg_truA_dedA	yegS//trpE//
pdxH_tyrS_pdxY	yjjX//rsmC//ldcC//
pdxJ_acpS	xylA//yagE//
pepQ_yigZ_trkH_hemG	torZ//appA//pdeR//
pflDC	
pgaABCD	entF//umuD//narI//
pgk_fbaA	napC//hyaA//
pgpC_tadA	rdgB//cadA//
pheLA	pheA//
pheMST_ihfA	treC//
phnCDE_1E_2FGHIJKLMNOP	ldtD//nfi//narY//panE//truD//pagP//oxc//
phnLMNOP	sad//nrfC//thiM//ansB//gstA//
phoA_psiF	hyaC//
phoBR	
phoPQ	
pldB_yigL	nirD//purA//
plsX_fabHDG	polB//queF//nudG//
pntAB	
potABCD	yfeX//
potFGHI	moeB//
poxB_ltaE_ybjT	frdD//thrA//
ppdAB_ygdB_ppdC_recC	udk//
ppdD_hofBC	
ppiB_lpxH	dfp//gpmM//
ppk_ppx	hcaB//rihA//
pqiAB	
preTA	nudG//
prfB_lysS	metE//
priC_ybaM	
prlC_rsmJ	dusA//trpA//
prlF_yhaV	pcm//
prmB_aroC_mepA_yfcA_epmC_yfcL	nfsB//glpA//cfa//tatD//
proBA	metA//asd//
proQ_prc	deoB//
proVWX	waaS//
prpBCDE	gabT//rlmI//udp//trpE//
psd_mscM	
pspABCDE	coaD//
pspBCDE	trmH//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	gltD//garK//
pth_ychF	bcsZ//
ptrA_recBD	glpE//queG//
ptsA_fsaB_gldA	bioC//gpsA//
ptsHI_crr	gutQ//sodA//gltD//
purEK	paoC//gnd//
purHD	yicI//eno//
purMN	tsaC//tgt//
puuAP	mpaA//cynT//
puuCBE	bcsB//phnI//ruvB//
puuDRCBE	glgP//sad//nagB//birA//
pyrF_yciH	hisB//
pyrG_eno	iscS//pdxY//
pyrLBI	dacA//
qmcA_ybbJ	
qseBC	
radA_nadR	arnT//
rapA_rluA	hcaB//
ratAB	
ravA_viaA	
rbsDACBKR	ispU//ansA//betB//
rclABC	
rclBC	
rcnAB	tag//
rcsDB	
rcsF_trmO	cysQ//
rdgB_yggW	pdxK//
rdoA_dsbA	prpC//cysD//
recAX	
recET_ralR_ydaC_xisR_intR	nrfB//narG//
relA_mazEF	rfbA//
relBE	mltA//
relBE_hokD	citD//
renD_emrE	rlmB//
rfaD_waaFCL	mltC//ydjG//araA//dgcC//
rfbACX	gcvT//gmd//folA//sdhD//
rfbBDACX	tdk//ynfE//fadK//fau//btuR//rlmF//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	puuA//caiA//garR//pgm//psd//napG//gpt//yggF//dhaM//
rhaBAD	yigL//treF//gloB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glcB//tam//araA//
ribF_ileS_lspA_fkpB_ispH	bioA//gloB//metE//gcd//ilvB//
rimK_ybjN	tesB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rbn//kbaY//ftnA//tdcE//arnT//truC//avtA//ttdA//adk//thyA//
rlmE_ftsH	cysD//wzc//
rlmL_uup	mcrB//
rluD_yfiH	thiH//der//
rluE_nudJ	tig//aroK//
rnc_era	yihX//
rnc_era_recO_pdxJ_acpS	ubiI//clsA//yeaG//tmcA//
rnlAB	ybbO//
rnt_lhr	slt//
rpe_gph_trpS	paaZ//pyrD//hisS//
rph_pyrE	nrfA//rsmG//
rpiR_alsBACE	mhpE//iscS//
rplJL_rpoBC	bcsA//
rplKAJL_rpoBC	citF//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	nadC//
rpmF_plsX_fabHDG	gabT//fdhF//cobU//
rpmH_rnpA	serA//fabH//
rpmI_rplT	
rpoBC	galM//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	rlmD//tsaD//csdA//
rppH_ptsP	ahpC//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	yfcF//
rpsO_pnp	argG//fabA//
rpsP_rimM_trmD_rplS	argH//
rpsU_dnaG_rpoD	ribC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	hyi//argB//
rsmA_apaGH	astC//preA//
rsmD_yhhL	dgcT//
rsmE_gshB	gabT//rlmJ//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	metE//ampD//torY//mltD//yihT//narH//srlD//eutC//gudD//atoD//folM//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yajO//
rtcBA	rdgB//maa//
rutABCDEFG	nudI//ulaD//spoT//phnJ//fau//nrdD//
ruvAB	rffC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	adk//
scpA_argK_scpBC	btuR//ribB//fau//glxK//
sdaCB	icd//mhpE//
sdhCDAB_sucABCD	hemF//bfr//ilvB//rne//
sdhDAB	
sdhE_cptA	
secB_gpsA	cysK//
secE_nusG	
secG_leuU	
secMA_mutT	ahpF//
selAB	glgX//relA//
selD_topB	gmm//ppk//
seqA_pgm	yghU//
serB_radA	mcrC//
serC_aroA	dmsC//xapA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	cynT//
sgrST_setA	acnB//
skp_lpxD_fabZ_lpxA	thiM//narH//eutD//
slp_dctR	
solA_yceO	tgt//
speAB	pabC//epmC//
speF_potE	malQ//cmoA//
srlAEBD_gutM_srlR_gutQ	mutY//glmM//sdaA//
sroG_ribB	nadE//
sspAB	
ssrS_fau	hcaB//
ssuEADCB	gatY//leuD//ackA//
stfE_tfaE	
sucAB	tmk//torA//alaA//
sucABCD	carB//uvrA//hemL//ynfE//
sufABCDSE	arnA//
surA_pdxA_rsmA_apaGH	fabD//dsdA//fumB//thyA//
tag_yiaC	mtn//
talA_tktB	tsaC//uidA//
tamAB_ytfP	
tar_tap_cheRBYZ	hycB//nudG//
tatABC	ung//
tatABCD	nudF//argS//
tauABCD	folB//yihT//
tdcABCDEFG	polA//ppc//scpC//lpxH//cysS//
tdcBCDEFG	uvrC//mutL//frmB//fabB//yjhH//
tehAB	sdhC//pssA//
tesA_ybbO	folE//ynjE//
tff_rpsB_tsf	
tgt_yajC	pbpC//
thiCEFSGH	lpxA//ldcC//purF//tauD//mtn//
thiMD	cdh//sbcB//
thrLABC	ribA//gdhA//nrdD//
thrS_infC	hemC//
thrS_infC_rpmI_rplT_pheMST_ihfA	hisH//mpaA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	tktB//birA//
tolB_pal_cpoB	
tolC_ygiABC	fsaA//ispU//carA//waaH//trmJ//deoA//mnmC//ilvH//mgsA//
tomB_hha	
topAI_yjhQ	
torCAD	yiaK//
torYZ	tehB//
treBC	allD//dgcT//
trmI_yggL	murA//
trpCBA	pdxA//metK//yhhW//mocA//
trpLEDCBA	hchA//hdhA//fabD//rluE//mltF//cysM//
tsaB_yeaY	carA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ppa//yohF//yiaY//thrS//arnC//
ttdABT	metB//aroL//
tyrS_pdxY	malY//mocA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	uvrC//rph//
ubiEJB	purB//
udk_dcd	treF//ilvB//
ugpBAECQ	mdh//ampD//
uhpABC	
uidABC	rlmF//bglA//
ulaABCDEF	nadK//yfeW//glgC//prmC//
umpG_pcm	ogt//slt//
umuDC	yliI//
uof_fur	
upp_uraA	glyA//ribB//
usg_truA_dedA	ispG//
uvrYC	paoA//
uxaCA	yggF//nanM//
uxuAB	waaA//cfa//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	treA//rsmF//
waaQGPSBOJYZU	waaZ//waaG//panD//tadA//rluC//citF//gshB//cobT//nfi//paaH//
waaYZ	murF//eptA//
waaZU	rrrD//pta//
wbbIJK	cobS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	rluD//nadK//glpK//dgt//nrfA//menB//
wcaKLM	
wrbA_yccJ	rsmG//
wza_wzb_wzc	pdeF//ubiC//
wza_wzb_wzc_wcaAB	panB//otsB//
xanQ_guaD_ghxQ	ispB//dcd//aphA//
xapAB	ldtB//ynjE//
xdhABC	ubiF//
xerD_dsbC_recJ	betA//astC//
xseB_ispA_dxs_yajO	cadA//dapB//thiM//accC//
xylAB	nagZ//oxc//
xylFGHR	aldA//
yabPQ	
yacC_speED	ynfF//nirB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rsmD//
yafDE	
yafNOP	citF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ubiE//gltB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	napH//
ybaB_recR	ddlA//
ybaST	kduI//
ybbAP	
ybbY_glxK	otsB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	fucO//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	uxaC//
ybeZY	
ybeZYX_lnt	folE//
ybfHG	
ybfOC	
ybgA_phr	gloB//
ybgC_tolQRA	
ybgIJKL_nei	waaP//
ybgQPO	
ybhP_clsB_ybhN	prs//
ybiYW	
ybjC_nfsA_rimK_ybjN	ispA//betA//
ybjJI	tynA//
ybjO_rlmC	ubiE//
ybjQ_amiD	waaH//
ycaI_msbA_lpxK_ycaQ	pgsA//fau//
ycaR_kdsB	alaA//
ycbK_gloC	torA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	idnD//
yciCB	
yciGFE	
yciK_btuR	nth//
yciVOQ	rdoA//
yciZT	
ycjMNOPQRSTUV_ymjB	arnC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ppiC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	aes//ybdL//
ydcSTUV_patD	pdxH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pdeR//
ydgK_rsxABCDGE_nth	napG//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yihT//pldA//
ydiJ_menI_ydiH	acs//
ydiNB_aroD	sdaB//gloA//
ydiQRST_fadK	cfa//
ydjA_selD_topB	ampH//rffH//
ydjLKJIHG	pagP//
ydjXYZ_ynjABCD	
yeaGH	garR//
yeaR_yoaG	
yeaVW	
yebC_ruvC	galM//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	fau//sad//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	lsrG//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	rutD//fabG//
yejABEF	rluF//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rrrD//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cpdA//
yfbUT	rfbB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	mrcA//
