# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lacZ//
caiTABCDE	thiF//lpxL//thiF//nudF//yjjX//
carAB	phnI//
casABCDE12	katE//
casDE12	sdhB//
cbpAM	
cbrBC	
ccmABCDEFGH	lpxA//
cecR_ybhGFSR	
chaBC	
chbBCARFG	alr//metH//narH//
chiP_ybfN	murF//
chpSB	ubiX//
citCDEFXG	psuK//pdeL//glxK//
clpPX	glpA//pheS//mltF//xapA//
clpX_lon	nudG//rsmD//paoB//
clsA_yciU	glk//
cmk_rpsA	pspE//
cmoM_mukFEB	
cmtBA_yggPFDC	rsmG//citF//
coaE_zapD_yacG	trmO//
cobUST	waaH//gmd//nrdB//
codBA	paaI//hycD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	deoB//
csgBAC	
csgDEFG	fumC//
csiD_lhgO_gabDTP	ulaG//nudG//hchA//yqaB//
cusCFBA	pyrD//
cusRS	
cvpA_purF_ubiX	nrdD//speG//
cydAB	hpt//
cydDC	qor//
cydX_ybgE	hisS//
cynTS	lpxD//ushA//
cynTSX	metE//gshA//ltaE//
cyoABCDE	pcm//arsC//
cysDNC	thiC//preA//
cysJIH	yeaG//mhpF//pgsA//
cysPUWAM	hyuA//hypF//mhpF//
dadAX	talA//yajO//
damX_dam_rpe_gph_trpS	aroL//phnI//zwf//trpD//
dam_rpe_gph_trpS	yibQ//etp//gpsA//thiD//
dapA_bamC	hemN//
dapE_ypfN	nudI//
dcm_vsr	moaE//
dcuB_fumB	pssA//dcd//
dcuSR	
dcyD_tcyLN	murF//ydiO//
ddpXABCDF	rhaD//
def_fmt	ribB//waaY//
degQS	leuB//ygjK//
deoABD	folB//ldcA//rutB//
deoBD	opgE//fucU//
deoCABD	fucA//trpA//citG//rsmE//
dgoRKADT	lpxD//hcaE//dkgA//leuD//
dhaKLM	fucO//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	apaH//yciV//
dinJ_yafQ	ppiC//
dksA_gluQ	kdsB//
dmsABC	speF//
dnaAN_recF	paaG//
dnaK_tpke11_dnaJ	wecC//
dnaN_recF	orn//
dnaTC	
dnaTC_yjjA	
dosCP	purD//leuA//
dpiBA	
dppABCDF	nfsA//
dsbC_recJ_prfB	gntK//rluE//
dsbD_yjdC	
dsdXA	dkgB//wzb//
dusB_fis	nrdF//
dut_slmA	gpmA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	gmd//trpS//
efeOB	aroG//
efeU_1U_2	
elbB_mtgA	bioH//
elfDCG_ycbUVF	
emrKY	phnG//
entCEBAH	trpS//rutC//opgE//narI//ubiH//yfeW//
envY_ompT	nadC//
epd_pgk	yfbR//gnd//
epd_pgk_fbaA	truB//rhaB//ycaO//
essD_rrrD_rzpD	aceF//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	tsaC//
eutHA	
eutNEJG	
eutSPQTDM	cpsG//
evgAS	
exbBD	
fabDG_acpP	gabT//rhaB//
fabG_acpP	ycjU//
fabHDG	gutQ//ruvA//glmM//
fabR_yijD	
fadBA	kdsC//sdaB//
fadD_sroD	recG//
fadIJ	yfaU//cmoB//
fdnGHI	
fdoGHI_fdhE	trmH//
fdrA_ylbEF_ybcF	yhdJ//
fecABCDE	phnG//yjcS//
fecIR	
feoABC	gatZ//
fepA_entD	hyaB//ghrA//thiM//
fepDGC	thiE//
fes_ybdZ_entF_fepE	mhpA//uxaB//cmoA//
fetAB	
fhuACDB	nudJ//fadD//
ficA_fic_pabA	cheB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dmsC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	fadD//paaC//
folC_dedD	ampH//
folD_ybcJ	lgoD//
folE_yeiB	folX//
folP_glmM	pgaD//rnpA//
folX_yfcH	yeaE//
frdABCD	narZ//
frlABCDR	fucA//ligA//psuK//pgpB//
frmRAB	araB//accB//
fruBKA	eutD//aroF//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	fabZ//anmK//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	narY//pta//waaH//malS//yihT//mhpA//nudE//hemF//rsmB//ispH//
ftsQAZ	
ftsYEX	
fucAO	bglA//eutD//
fucPIKUR	nfsB//mutY//alkA//serC//
fumAC	allB//mnaT//
fusA_tufA	
gabDTP	relA//patZ//dgoA//
gadAX	rihC//
gadBC	glcE//ybdL//
gadEF	
gadEF_mdtEF	prpD//
gadXW	
galET	nrdE//tktB//
galETK	cysK//ppiC//fdhF//
galETKM	folX//fucO//yeiG//acpS//
gapA_yeaD	rlmM//
gapC_1C_2	
garPLRK_rnpB	paaA//waaG//alr//glgA//nagB//miaB//
gatYZABCD	pdxK//pgpB//yqhD//
gatZABCD	pyrC//fabZ//idi//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	lipB//pinE//trmL//dgcZ//pykA//
gcvTHP	narV//gudD//etk//
gfcBCD	
gfcE_etp_etk	entE//prmC//
ghoST	hycE//
glcBA	prpE//nadB//
glcDEFGBA	ldtB//fucA//waaF//
glf_wbbH	metF//
glgAP	arnA//poxB//
glgBXCAP	ispH//pyrH//katG//mog//glyS//
glgCAP	tsaD//hypF//yigB//
glmUS	citE//rfbC//
glnALG	fucI//
glnHPQ	ampD//
glnK_amtB	tig//
glnLG	
glnW_metU_glnVX	
glpABC	murQ//
glpEGR	bacA//pheS//
glpFKX	metA//tadA//hisH//
glpGR	abgB//
glpTQ	entC//napB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	nth//
glvCBG_ysdC	
glyQS	ftnA//
glyVXY	
glyW_cysT_leuZ	
gntKU	yjjX//panB//
gntRKU	argA//edd//
gntX_nfuA	
gpmM_envC_yibQ	gph//rnpB//
groSL	
gspAB	
gspCDEFGHIJKLMO	ruvC//
guaBA	ynjE//glpC//
gudPXD	rsmJ//cysI//
hcaEFCBD	rnb//ppiB//
hcp_hcr	mnmC//pgsA//
hdeAB_yhiD	
hemA_prfA_prmC	roxA//caiA//
hemCDXY	mqo//murG//
hflD_purB	rlmF//
hfq_hflXKC	lpd//
hicAB	
higBA	pspE//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	speG//rlmD//mazG//rluF//
hipBA	argB//
hisBHAFI	clsB//pnp//metB//glgP//
hisJQMP	cyoE//atoA//
hisLGDCBHAFI	fabH//aceB//dapE//acpS//yihU//hyaB//ruvC//
hofMNOP	
holC_valS	mltA//
holD_rimI_yjjG	rfbB//adhE//
hscBA_fdx_iscX	glpC//
hsdMS	cysN//
hsdRMS	astC//
hslRO	
hslVU	narH//
hyaABCDEF	
hybOABCDEFG	hcaE//
hycABCDEFGHI	waaB//ispA//
hydN_hypF	suhB//
hyfABCDEFGHIJR_focB	malS//
hypABCDE	nfi//
hypABCDE_fhlA	adk//
hypBCDE	folA//
hypBCDE_fhlA	rsmJ//
iaaA_gsiABCD	araA//lipB//
ibaG_murA	leuC//
ibpAB	
idnDOTR	hisA//speD//yihS//
ileS_lspA_fkpB_ispH	adiA//paaK//rluE//bglX//
ilvEDA	nanA//asd//queG//mazG//
ilvIH	dcyD//
ilvLXG_1G_2MEDA	opgB//murQ//ynfF//rsmF//cysM//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	speE//
insN_1I_1O_1	ybcF//
insO_2_yjhWV	
iscRSUA	rlmA//fau//
ispDF	pdxK//hcaB//
ispG_sroE	btuR//
isrC_flu	
ivbL_ilvBN	galK//
ivbL_ilvBN_uhpABC	umpH//
kbaZ_agaVWA	rph//
kbl_tdh	sgbH//uxuB//
kdpDE	
kdpFABC	rluE//
kdsC_lptCAB	bioB//mutY//
kefFC	mtn//rlmE//
kefGB_yheV	pgi//
kilR_ydaE	
lacYA	hchA//yidA//
lacZYA	thrS//napB//napB//
lapAB	
lapAB_pyrF_yciH	fruK//
lepAB	mnmE//
leuLABCD	mpl//fucK//waaY//
leuQPV	
leuS_lptE_holA_nadD_cobC	fes//nanE//umuC//
lexA_dinF	
lgt_thyA	pgi//waaB//
ligA_ypeB	hycE//
livKHMGF	lhgO//ampC//
lldPRD	serS//gstA//
lolA_rarA	
lolB_ispE_prs	truB//alaS//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	lgoD//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ispD//thiE//
lptFG	
lspA_fkpB_ispH	ybcF//entD//dgcM//
lsrACDBFG_tam	cysS//lplA//wrbA//ydiB//
lsrRK	speF//
ltaE_ybjT	rihC//
lysT_valT_lysW	
macAB	purE//
malEFG	thiE//
malK_lamB_malM	ahpC//ampC//
malPQ	hycF//paaJ//
malXY	dnaQ//clsB//
manXYZ	napC//
map_glnD_dapD	ligB//epd//paaB//
marRAB	
mazEFG	pagP//
mcrBC	hcaE//
mdlAB	
mdtABCD_baeSR	mhpE//
mdtEF	patZ//
mdtJI	epmA//
mdtM_yjiN	insI-1//
mdtNOP	rluD//
melAB	pyrC//fklB//
menA_rraA	leuB//
menBCE	nrfA//alkA//edd//
menDHBCE	yfdR//lipA//ybcF//thiF//malZ//
menFDHBCE	speB//allA//xdhC//ssuD//acpT//thyA//
metBL	recJ//ruvC//
metNIQ	insI-3//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	rutC//gldA//rsmG//
metZWV	
mglAC	aspC//
mglBAC	nanA//
mgtLA	rlmL//
mhpABCDFE	aroK//tyrB//umuD//waaS//fsaB//yniC//
mhpR_lacI	
miaA_hfq_hflXKC	yeiR//metF//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	dapB//lldD//
mnaT_ydcZ	nth//
mngAB	mltC//fre//
mnmG_rsmG	pheA//xapA//
mntR_ybiR	
moaABCDE	ybhA//rsgA//
moaBCDE	tatD//
mobAB	entC//
modABC	waaF//
modEF	
moeAB	fbp//hdhA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pdeH//
mqsRA	mpl//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lsrG//rluA//fsaA//bioH//ghrB//rpiB//mltA//paaG//xdhB//kbaY//eda//
mreBCD	
mreCD	
msrPQ	
mtlADR	rlmE//queF//tilS//
mtn_btuF_yadS	citG//accC//
murB_birA	appA//dusB//
murQP	insI-3//hyaB//fabD//
murQP_yfeW	recG//gadB//dnaE//yihV//
mutL_miaA_hfq_hflXKC	pyrF//leuA//phr//
mutY_yggX	idi//
mutY_yggX_mltC	murB//ubiH//
mutY_yggX_mltC_nupG	nagB//mtgA//paaA//
nadA_pnuC	coaD//mtlD//
nagBAC_umpH	zwf//rbn//pabB//
nagK_cobB	uvrB//ssuE//
nanATEK_yhcH	xylB//dgoD//tgt//garR//
nanCM	dgcC//dadX//
nanCMS	citD//galM//
napFDAGHBC	lpxC//
napFDAGHBC_ccmABCDEFGH	waaC//aspS//
narGHJI	metB//
narWV	bcsB//
narXL	
narZYWV	fkpA//
nemRA	fadH//
nemRA_gloA	napB//ftnA//
nfrBA	
nhaAR	fkpA//
nikABCDER	trmL//
nirBDC_cysG	ubiI//deoD//opgE//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	aceF//
nrdAB_yfaE	mobA//
nrdDG	rnpA//cdh//
nrdHIEF	sufS//
nrdR_ribDE_nusB_thiL_pgpA	yfcF//dgcC//mcrA//hisH//
nrfABCDEFG	entC//
nsrR_rnr_rlmB_yjfI	trmL//fbp//
nudB_yebC_ruvC	aroC//gltD//
nudC_hemE_nfi	metA//yeaE//
nudF_yqiB_cpdA_yqiA_parE	nanM//nadC//
nuoABCEFGHIJKLMN	araD//
nuoMN	ispU//
ompR_envZ	
opgGH	
oppABCDF	ydbC//puuC//
osmF_yehYXW	lpoA//
otsBA	dgkA//menI//
paaABCDEFGHIJK	emtA//gadA//tyrB//nagK//rffC//manA//gdhA//
paaXY	gntK//
pabB_nudL	acpS//glpA//
pabC_mltG_tmk_holB_ycfH	hcaB//mocA//xdhA//
panBC	pdeR//dhaL//
panE_yajL	mltD//
paoABCD	asnA//
pcnB_folK	gstA//gudD//
pdeI_dgcI	
pdhR_aceEF_lpd	mhpC//garL//mhpC//waaF//hisH//guaC//
pdxA_rsmA	hypF//lysS//
pdxA_rsmA_apaGH	proC//wrbA//speA//
pdxB_usg_truA_dedA	rluF//ada//
pdxH_tyrS_pdxY	cysJ//tag//trxB//
pdxJ_acpS	waaC//dgoA//
pepQ_yigZ_trkH_hemG	argF//etk//gltA//
pflDC	
pgaABCD	ppc//nagA//abgA//
pgk_fbaA	panD//scpA//
pgpC_tadA	trmH//nrdB//
pheLA	nadR//
pheMST_ihfA	ghrB//
phnCDE_1E_2FGHIJKLMNOP	narH//ubiI//rutE//pdeR//ruvC//queD//hinT//
phnLMNOP	emtA//ulaD//mutH//nudE//pyrI//
phoA_psiF	nirD//
phoBR	
phoPQ	
pldB_yigL	panC//gph//
plsX_fabHDG	glnA//pykF//ldcA//
pntAB	
potABCD	ribB//
potFGHI	patZ//
poxB_ltaE_ybjT	rsgA//waaP//
ppdAB_ygdB_ppdC_recC	rlmC//
ppdD_hofBC	
ppiB_lpxH	ppk//lacA//
ppk_ppx	asnA//nhoA//
pqiAB	
preTA	ydiB//
prfB_lysS	cysE//
priC_ybaM	
prlC_rsmJ	yhdH//acs//
prlF_yhaV	fucK//
prmB_aroC_mepA_yfcA_epmC_yfcL	uxaC//alsK//gmk//caiD//
proBA	mltA//spoT//
proQ_prc	ldtE//
proVWX	glgC//
prpBCDE	can//epd//truB//glyA//
psd_mscM	
pspABCDE	paaF//
pspBCDE	uxuB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pgpC//glcF//
pth_ychF	anmK//
ptrA_recBD	uxaB//lipB//
ptsA_fsaB_gldA	gatD//scpB//
ptsHI_crr	ribC//ribC//ispG//
purEK	nagB//cpsB//
purHD	pykF//nrdB//
purMN	tauD//serA//
puuAP	patD//hisC//
puuCBE	psuG//astD//gsk//
puuDRCBE	ybjI//tag//leuB//hcaD//
pyrF_yciH	aroC//
pyrG_eno	feaB//folP//
pyrLBI	rfe//
qmcA_ybbJ	
qseBC	
radA_nadR	trpD//
rapA_rluA	galK//
ratAB	
ravA_viaA	
rbsDACBKR	nanA//acpS//recO//
rclABC	
rclBC	
rcnAB	puuE//
rcsDB	
rcsF_trmO	ybhA//
rdgB_yggW	hisC//
rdoA_dsbA	rluF//mutM//
recAX	
recET_ralR_ydaC_xisR_intR	pdxA//tdcD//
relA_mazEF	solA//
relBE	tesB//
relBE_hokD	dxs//
renD_emrE	trmJ//
rfaD_waaFCL	hcaE//cysI//nudC//cfa//
rfbACX	rsmI//lpxM//katG//feaB//
rfbBDACX	azoR//paaY//glpC//rsmC//add//paoA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	cysG//deoB//udp//fabB//cmk//ispG//frdA//dosC//yfaU//
rhaBAD	prpC//mnaT//tyrA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	pgaD//codA//rlmM//
ribF_ileS_lspA_fkpB_ispH	tdcE//waaB//umuC//hemD//waaQ//
rimK_ybjN	lacZ//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	folE//otsB//trmH//narI//ydiO//rdoA//rffG//mrcA//tauD//azoR//
rlmE_ftsH	menI//nhoA//
rlmL_uup	murF//
rluD_yfiH	puuD//gloB//
rluE_nudJ	allE//nfi//
rnc_era	dgkA//
rnc_era_recO_pdxJ_acpS	prpE//mqo//proS//proS//
rnlAB	udk//
rnt_lhr	citX//
rpe_gph_trpS	trmJ//nrfC//trmI//
rph_pyrE	lpxB//gldA//
rpiR_alsBACE	mhpC//ilvB//
rplJL_rpoBC	arnC//
rplKAJL_rpoBC	atoD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	tdcD//
rpmF_plsX_fabHDG	allD//lhgO//dgkA//
rpmH_rnpA	rffH//hycE//
rpmI_rplT	
rpoBC	aspC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	dgt//metA//nrdE//
rppH_ptsP	emtA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	puuC//
rpsO_pnp	cof//rsmD//
rpsP_rimM_trmD_rplS	tilS//
rpsU_dnaG_rpoD	bcsA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	mutS//trmJ//
rsmA_apaGH	rdoA//yfdE//
rsmD_yhhL	folK//
rsmE_gshB	guaA//glmS//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rhaM//proA//yicI//idnO//ilvI//folP//yfiC//nfsA//xdhC//frmB//frdB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hisA//
rtcBA	ulaF//bioA//
rutABCDEFG	ispA//kduD//queF//lipA//amiD//xdhB//
ruvAB	sgbU//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	trmO//
scpA_argK_scpBC	ubiX//bioB//dmlA//mmuM//
sdaCB	bioD//mqo//
sdhCDAB_sucABCD	polA//cysM//folA//panC//
sdhDAB	
sdhE_cptA	
secB_gpsA	gor//
secE_nusG	
secG_leuU	
secMA_mutT	thiC//
selAB	metH//ispF//
selD_topB	glmU//mutH//
seqA_pgm	nanM//
serB_radA	pabB//
serC_aroA	ugd//hcaB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ppiB//
sgrST_setA	napC//
skp_lpxD_fabZ_lpxA	argB//yiaY//hycG//
slp_dctR	
solA_yceO	scpA//
speAB	hpt//pabB//
speF_potE	narZ//cadA//
srlAEBD_gutM_srlR_gutQ	cynT//ugd//pphA//
sroG_ribB	dgoA//
sspAB	
ssrS_fau	uxuA//
ssuEADCB	eutB//fklB//lpcA//
stfE_tfaE	
sucAB	eno//cfa//garL//
sucABCD	bcsA//scpA//proA//yfbT//
sufABCDSE	xdhB//
surA_pdxA_rsmA_apaGH	adhE//cobC//gshB//mnmE//
tag_yiaC	cysD//
talA_tktB	alaA//truA//
tamAB_ytfP	
tar_tap_cheRBYZ	nadB//nrdD//
tatABC	wbbI//
tatABCD	pdeF//tig//
tauABCD	moaE//mtgA//
tdcABCDEFG	gpp//thiD//fsaB//etk//trpD//
tdcBCDEFG	ushA//dusC//waaS//nudF//rfaE//
tehAB	birA//leuD//
tesA_ybbO	pfkA//serS//
tff_rpsB_tsf	
tgt_yajC	yidA//
thiCEFSGH	pgaD//fadI//curA//umpH//luxS//
thiMD	ampH//ampC//
thrLABC	cobT//manA//ilvB//
thrS_infC	eutC//
thrS_infC_rpmI_rplT_pheMST_ihfA	arnA//mpl//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	nudJ//hemB//
tolB_pal_cpoB	
tolC_ygiABC	arnB//ulaD//aroH//gstB//nudK//cadA//kefF//sodB//scpA//
tomB_hha	
topAI_yjhQ	
torCAD	glpE//
torYZ	rsmD//
treBC	pabC//thiC//
trmI_yggL	gph//
trpCBA	pheA//ynjE//sseA//glk//
trpLEDCBA	speC//apaH//dhaM//entA//yhdJ//birA//
tsaB_yeaY	trpC//
tsaE_amiB_mutL_miaA_hfq_hflXKC	kbaY//yiaY//dgkA//atoA//lpoB//
ttdABT	puuE//frlC//
tyrS_pdxY	yajO//rfbA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	nrfB//dapB//
ubiEJB	yidA//
udk_dcd	trmJ//hyaB//
ugpBAECQ	glcB//iscS//
uhpABC	
uidABC	glnE//fruK//
ulaABCDEF	fsaA//yfcG//yciA//pgi//
umpG_pcm	etp//nanE//
umuDC	aphA//
uof_fur	
upp_uraA	hisD//nrfC//
usg_truA_dedA	tktA//
uvrYC	metB//
uxaCA	torC//purD//
uxuAB	glgX//folM//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	fabF//nudK//
waaQGPSBOJYZU	rlmL//trpB//ppiB//torC//tdcG//garL//csdA//yeaG//fadJ//ghrB//
waaYZ	nagA//nfsB//
waaZU	recJ//pgi//
wbbIJK	lpxM//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	glyS//ynfH//eptC//ilvE//malZ//frc//
wcaKLM	
wrbA_yccJ	plsB//
wza_wzb_wzc	lsrK//cynT//
wza_wzb_wzc_wcaAB	ppc//kefF//
xanQ_guaD_ghxQ	roxA//glpA//def//
xapAB	argA//yfbT//
xdhABC	hcaC//
xerD_dsbC_recJ	polB//waaZ//
xseB_ispA_dxs_yajO	tsaD//ilvB//yihT//rlmJ//
xylAB	frlB//aspS//
xylFGHR	metE//
yabPQ	
yacC_speED	prpE//poxB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	dhaM//
yafDE	
yafNOP	argD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	icd//dgcZ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	malQ//
ybaB_recR	lipA//
ybaST	nudG//
ybbAP	
ybbY_glxK	frdC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ynfH//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	cysQ//
ybeZY	
ybeZYX_lnt	ung//
ybfHG	
ybfOC	
ybgA_phr	solA//
ybgC_tolQRA	
ybgIJKL_nei	nrdE//
ybgQPO	
ybhP_clsB_ybhN	sucC//
ybiYW	
ybjC_nfsA_rimK_ybjN	rhaM//wzc//
ybjJI	yfeW//
ybjO_rlmC	trmL//
ybjQ_amiD	sucD//
ycaI_msbA_lpxK_ycaQ	putA//gntK//
ycaR_kdsB	argI//
ycbK_gloC	ybcF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ilvD//
yciCB	
yciGFE	
yciK_btuR	tsaC//
yciVOQ	rlmG//
yciZT	
ycjMNOPQRSTUV_ymjB	entC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	paoA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	aspA//lysA//
ydcSTUV_patD	fabA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pgaB//
ydgK_rsxABCDGE_nth	aspC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	apaH//putA//
ydiJ_menI_ydiH	yqaB//
ydiNB_aroD	dmsB//yohF//
ydiQRST_fadK	rsmC//
ydjA_selD_topB	allD//thrS//
ydjLKJIHG	trmA//
ydjXYZ_ynjABCD	
yeaGH	lysU//
yeaR_yoaG	
yeaVW	
yebC_ruvC	hyaA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	malZ//nfsA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	idnK//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	nudF//rph//
yejABEF	asnB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ahpC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	emtA//
yfbUT	yfaU//
yfcUTSRQPO	
yfdGHI	
