# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffG//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	paaJ//preT//
dinJ_yafQ	nagZ//
dksA_gluQ	napC//
dmsABC	pssA//
dnaAN_recF	folB//
dnaK_tpke11_dnaJ	paaC//
dnaN_recF	alaS//
dnaTC	
dnaTC_yjjA	
dosCP	folD//fadE//
dpiBA	
dppABCDF	lysS//
dsbC_recJ_prfB	hyaB//yiaY//
dsbD_yjdC	
dsdXA	argD//lldD//
dusB_fis	trmD//
dut_slmA	adhE//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	astD//queC//
efeOB	umpG//
efeU_1U_2	
elbB_mtgA	dosP//
elfDCG_ycbUVF	
emrKY	argI//
entCEBAH	ftnA//dacA//gpsA//lysU//mog//gstA//
envY_ompT	uidA//
epd_pgk	rsuA//glgB//
epd_pgk_fbaA	yfbR//betA//rsmG//
essD_rrrD_rzpD	glpD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	dgcM//
eutHA	
eutNEJG	
eutSPQTDM	gstA//
evgAS	
exbBD	
fabDG_acpP	yggF//ribD//
fabG_acpP	rhaD//
fabHDG	yniC//nanA//sdhB//
fabR_yijD	
fadBA	eptC//ubiC//
fadD_sroD	purC//
fadIJ	rlmD//bcsB//
fdnGHI	
fdoGHI_fdhE	leuS//
fdrA_ylbEF_ybcF	sodB//
fecABCDE	hisC//trpE//
fecIR	
feoABC	ddlA//
fepA_entD	mdh//purL//tyrS//
fepDGC	folE//
fes_ybdZ_entF_fepE	pyrF//ribE//icd//
fetAB	
fhuACDB	yeaE//rffM//
ficA_fic_pabA	nadE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	fumB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	tpiA//nagB//
folC_dedD	cpdA//
folD_ybcJ	pdeR//
folE_yeiB	serA//
folP_glmM	idi//gpt//
folX_yfcH	eda//
frdABCD	ahpF//
frlABCDR	nadK//hemL//luxS//ruvC//
frmRAB	phnI//ruvA//
fruBKA	yieH//alkA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	mhpB//hisB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dkgB//ghrB//fadI//adk//luxS//yggF//astA//pyrF//gpmM//thrC//
ftsQAZ	
ftsYEX	
fucAO	pdeR//glxK//
fucPIKUR	abgB//uvrA//cobC//etp//
fumAC	purH//ybhA//
fusA_tufA	
gabDTP	thiD//ydiF//menI//
gadAX	gdhA//
gadBC	gluQ//wecB//
gadEF	
gadEF_mdtEF	anmK//
gadXW	
galET	proB//wzc//
galETK	sdhC//kduI//ldtB//
galETKM	aphA//nudG//tsaD//opgE//
gapA_yeaD	ppsA//
gapC_1C_2	
garPLRK_rnpB	alkA//mrcB//rlmB//ugd//bioD//dacA//
gatYZABCD	proC//efeB//pdeF//
gatZABCD	arnC//maeA//nrfD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	pheS//dinB//menB//ilvD//mutY//
gcvTHP	yigL//can//yihV//
gfcBCD	
gfcE_etp_etk	rluE//atoA//
ghoST	lsrK//
glcBA	nrdF//glpQ//
glcDEFGBA	mcrC//glk//lplA//
glf_wbbH	prs//
glgAP	pdxJ//nirB//
glgBXCAP	metB//ychF//rne//guaA//gadB//
glgCAP	fsaA//ribF//dgkA//
glmUS	phnG//menH//
glnALG	alaS//
glnHPQ	plsC//
glnK_amtB	menH//
glnLG	
glnW_metU_glnVX	
glpABC	yiaK//
glpEGR	pheA//ilvH//
glpFKX	dosC//pcm//ampC//
glpGR	fadH//
glpTQ	mug//pgpA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	hyaC//
glvCBG_ysdC	
glyQS	murC//
glyVXY	
glyW_cysT_leuZ	
gntKU	ubiA//thiF//
gntRKU	caiB//hisB//
gntX_nfuA	
gpmM_envC_yibQ	hemA//narG//
groSL	
gspAB	
gspCDEFGHIJKLMO	guaC//
guaBA	ruvB//rluF//
gudPXD	agp//xdhC//
hcaEFCBD	tesB//gatY//
hcp_hcr	bcsZ//trpS//
hdeAB_yhiD	
hemA_prfA_prmC	phnO//glnA//
hemCDXY	nadB//dsdA//
hflD_purB	mnmE//
hfq_hflXKC	cpdA//
hicAB	
higBA	amyA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mutL//atoD//scpB//metA//
hipBA	rfbC//
hisBHAFI	nanE//kbaY//suhB//mhpA//
hisJQMP	lysU//spoT//
hisLGDCBHAFI	mobA//trpA//sucD//lhgO//aspC//galM//rsmJ//
hofMNOP	
holC_valS	narG//
holD_rimI_yjjG	murF//sgbU//
hscBA_fdx_iscX	nudF//
hsdMS	yihU//
hsdRMS	tnaA//
hslRO	
hslVU	kduD//
hyaABCDEF	
hybOABCDEFG	nanK//
hycABCDEFGHI	gabD//mnmG//
hydN_hypF	narG//
hyfABCDEFGHIJR_focB	spoT//
hypABCDE	yieF//
hypABCDE_fhlA	ulaE//
hypBCDE	metA//
hypBCDE_fhlA	upp//
iaaA_gsiABCD	ampH//cobU//
ibaG_murA	rihA//
ibpAB	
idnDOTR	yghA//yeiG//ppk//
ileS_lspA_fkpB_ispH	serS//pyrD//valS//alaS//
ilvEDA	slyD//napB//leuB//sseA//
ilvIH	treC//
ilvLXG_1G_2MEDA	folE//fbaB//deoA//yneH//tdcB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	dnaE//
insN_1I_1O_1	slyD//
insO_2_yjhWV	
iscRSUA	mhpD//pdeR//
ispDF	thrS//codA//
ispG_sroE	tehB//
isrC_flu	
ivbL_ilvBN	ispD//
ivbL_ilvBN_uhpABC	cpsB//
kbaZ_agaVWA	fabI//
kbl_tdh	mltC//speC//
kdpDE	
kdpFABC	rlmI//
kdsC_lptCAB	mcrA//ubiG//
kefFC	paoA//glpK//
kefGB_yheV	ldtD//
kilR_ydaE	
lacYA	leuC//ynfE//
lacZYA	talB//dapD//tktA//
lapAB	
lapAB_pyrF_yciH	cheR//
lepAB	tktB//
leuLABCD	murE//mraY//ldtE//
leuQPV	
leuS_lptE_holA_nadD_cobC	ybdL//pheT//rihC//
lexA_dinF	
lgt_thyA	ascB//aroE//
ligA_ypeB	maeB//
livKHMGF	mgsA//glcD//
lldPRD	allA//gmk//
lolA_rarA	
lolB_ispE_prs	yihS//rluA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ribF//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	frlD//rsgA//
lptFG	
lspA_fkpB_ispH	dcd//dapF//pgsA//
lsrACDBFG_tam	fabD//alaC//putA//astD//
lsrRK	nrfA//
ltaE_ybjT	otsA//
lysT_valT_lysW	
macAB	dgkA//
malEFG	hemH//
malK_lamB_malM	prpE//yfeX//
malPQ	gltX//mngB//
malXY	prpB//mhpE//
manXYZ	moaD//
map_glnD_dapD	ycjU//agp//ycjG//
marRAB	
mazEFG	argA//
mcrBC	dcm//
mdlAB	
mdtABCD_baeSR	puuA//
mdtEF	accB//
mdtJI	bglA//
mdtM_yjiN	epd//
mdtNOP	lplA//
melAB	tnaA//orn//
menA_rraA	tmcA//
menBCE	nth//pck//astD//
menDHBCE	speE//argI//ilvI//yohF//nfsA//
menFDHBCE	ycjG//allA//pyrG//nfi//ravA//moaA//
metBL	lpxA//dnaE//
metNIQ	gcvT//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	rsmF//rluD//argA//
metZWV	
mglAC	yigB//
mglBAC	dusC//
mgtLA	selB//
mhpABCDFE	slyD//purU//narI//lpxD//ampH//hycG//
mhpR_lacI	
miaA_hfq_hflXKC	ybjI//dgcT//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	tmcA//purN//
mnaT_ydcZ	cobU//
mngAB	coaA//gstA//
mnmG_rsmG	hyi//rhaA//
mntR_ybiR	
moaABCDE	dgcC//argC//
moaBCDE	yieF//
mobAB	glnS//
modABC	tdcG//
modEF	
moeAB	curA//narV//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	phnO//
mqsRA	ssuE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	xdhA//hemG//phnI//dhaK//talA//waaS//yceF//amn//pgm//lpxL//dadA//
mreBCD	
mreCD	
msrPQ	
mtlADR	ldtC//guaD//trpC//
mtn_btuF_yadS	nudJ//cynS//
murB_birA	ycjG//insI-2//
murQP	murF//uidA//yqaB//
murQP_yfeW	bglA//dxs//tyrA//fkpB//
mutL_miaA_hfq_hflXKC	cfa//speD//hycB//
mutY_yggX	nanE//
mutY_yggX_mltC	trxB//pgaB//
mutY_yggX_mltC_nupG	emtA//ribF//ycaO//
nadA_pnuC	lsrG//rffT//
nagBAC_umpH	mltB//lysU//mpl//
nagK_cobB	pldA//tsaE//
nanATEK_yhcH	ppk//ubiF//aceA//hycD//
nanCM	yieF//waaU//
nanCMS	gmhB//rluE//
napFDAGHBC	ndh//
napFDAGHBC_ccmABCDEFGH	nemA//cdh//
narGHJI	metL//
narWV	fsaB//
narXL	
narZYWV	csdA//
nemRA	panC//
nemRA_gloA	serB//fkpA//
nfrBA	
nhaAR	menD//
nikABCDER	trmH//
nirBDC_cysG	cyoE//allB//ydiO//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rnd//
nrdAB_yfaE	rluF//
nrdDG	hyaB//gpp//
nrdHIEF	nfsA//
nrdR_ribDE_nusB_thiL_pgpA	hemE//add//paaI//phnJ//
nrfABCDEFG	malP//
nsrR_rnr_rlmB_yjfI	murC//azoR//
nudB_yebC_ruvC	ftsI//tehB//
nudC_hemE_nfi	tcdA//ybjG//
nudF_yqiB_cpdA_yqiA_parE	phnL//galU//
nuoABCEFGHIJKLMN	efeB//
nuoMN	mcrA//
ompR_envZ	
opgGH	
oppABCDF	thiF//mltF//
osmF_yehYXW	pgaD//
otsBA	fadI//yigB//
paaABCDEFGHIJK	mltD//cueO//paaJ//leuB//entE//xylB//paaE//
paaXY	aroL//
pabB_nudL	ubiD//panE//
pabC_mltG_tmk_holB_ycfH	lpxD//gcvT//glpA//
panBC	galU//allE//
panE_yajL	truD//
paoABCD	fau//
pcnB_folK	rluD//ribC//
pdeI_dgcI	
pdhR_aceEF_lpd	gshB//purF//pbpC//entF//yiaY//truD//
pdxA_rsmA	ruvB//hycG//
pdxA_rsmA_apaGH	cdd//maa//yfdR//
pdxB_usg_truA_dedA	gss//alaA//
pdxH_tyrS_pdxY	pdxB//paaY//glnS//
pdxJ_acpS	epmC//aphA//
pepQ_yigZ_trkH_hemG	nudB//ruvA//dgcP//
pflDC	
pgaABCD	ilvB//dgcC//yfbT//
pgk_fbaA	rfaD//gmhB//
pgpC_tadA	lysS//cysH//
pheLA	gltD//
pheMST_ihfA	garL//
phnCDE_1E_2FGHIJKLMNOP	speE//yqjG//lipA//purE//glgX//cpdB//nirD//
phnLMNOP	yfiC//sdaB//yieF//add//pphA//
phoA_psiF	mutH//
phoBR	
phoPQ	
pldB_yigL	gpt//rpe//
plsX_fabHDG	paaZ//murF//frlC//
pntAB	
potABCD	malZ//
potFGHI	rfbC//
poxB_ltaE_ybjT	psuG//fucI//
ppdAB_ygdB_ppdC_recC	panD//
ppdD_hofBC	
ppiB_lpxH	rlmJ//trpA//
ppk_ppx	ldtE//trpA//
pqiAB	
preTA	gudD//
prfB_lysS	adhP//
priC_ybaM	
prlC_rsmJ	nudB//nadA//
prlF_yhaV	wecC//
prmB_aroC_mepA_yfcA_epmC_yfcL	guaA//rrrD//dkgB//fadH//
proBA	aphA//manA//
proQ_prc	galK//
proVWX	trpB//
prpBCDE	cobU//accB//paaK//glxR//
psd_mscM	
pspABCDE	ulaD//
pspBCDE	tcdA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	tnaA//purE//
pth_ychF	allA//
ptrA_recBD	sdhD//leuB//
ptsA_fsaB_gldA	mak//trpC//
ptsHI_crr	pheS//yiaY//waaP//
purEK	nudC//yjhH//
purHD	xdhA//sucC//
purMN	kbaZ//purU//
puuAP	moaA//ddlA//
puuCBE	thiG//rffC//mltC//
puuDRCBE	tadA//purA//torY//argA//
pyrF_yciH	purK//
pyrG_eno	bcsB//tktB//
pyrLBI	glgC//
qmcA_ybbJ	
qseBC	
radA_nadR	idnD//
rapA_rluA	metE//
ratAB	
ravA_viaA	
rbsDACBKR	mtgA//narZ//purM//
rclABC	
rclBC	
rcnAB	ndk//
rcsDB	
rcsF_trmO	dgcM//
rdgB_yggW	add//
rdoA_dsbA	fadB//yciV//
recAX	
recET_ralR_ydaC_xisR_intR	fucO//fabG//
relA_mazEF	aspC//
relBE	glxR//
relBE_hokD	solA//
renD_emrE	tdk//
rfaD_waaFCL	ispH//tmk//otsB//pssA//
rfbACX	rhaB//uidA//pdxK//fucA//
rfbBDACX	rffC//dusA//fabZ//gnd//tam//hypF//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	fklB//arnC//mnmA//trmJ//hemE//rsmJ//hisG//yfiH//dfp//
rhaBAD	gapA//glxR//hyuA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	dxs//uxaA//waaL//
ribF_ileS_lspA_fkpB_ispH	cheR//mcrC//rlmM//ugpQ//dgt//
rimK_ybjN	menC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gmm//accA//bcsB//ynfG//fumC//yihU//galK//pphB//queA//rpiB//
rlmE_ftsH	mhpE//waaO//
rlmL_uup	gor//
rluD_yfiH	nirB//yqaB//
rluE_nudJ	dgcT//ydiB//
rnc_era	garD//
rnc_era_recO_pdxJ_acpS	murA//galM//glpD//ydiF//
rnlAB	rlmH//
rnt_lhr	rffH//
rpe_gph_trpS	ogt//allD//puuB//
rph_pyrE	moaD//maa//
rpiR_alsBACE	upp//cpsG//
rplJL_rpoBC	sodC//
rplKAJL_rpoBC	gmm//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gapA//
rpmF_plsX_fabHDG	rlmF//ygeX//xdhA//
rpmH_rnpA	glxK//udk//
rpmI_rplT	
rpoBC	entC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	puuA//ldtB//glpK//
rppH_ptsP	rdgB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	menB//
rpsO_pnp	ycjU//fbp//
rpsP_rimM_trmD_rplS	glpX//
rpsU_dnaG_rpoD	dapD//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ttdB//murD//
rsmA_apaGH	lpoB//hycG//
rsmD_yhhL	rsmD//
rsmE_gshB	glgB//lpxK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	thiF//tdcE//glpX//kdsC//glgX//miaA//lsrF//nudJ//cueO//cyaA//rsmG//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ilvB//
rtcBA	hyaB//tag//
rutABCDEFG	hyaA//cobU//dacD//slt//argD//sufS//
ruvAB	tnaA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	bacA//
scpA_argK_scpBC	sgbU//edd//def//dgkA//
sdaCB	paaK//ravA//
sdhCDAB_sucABCD	sgbU//rutB//xapA//cheB//
sdhDAB	
sdhE_cptA	
secB_gpsA	aroA//
secE_nusG	
secG_leuU	
secMA_mutT	uvrB//
selAB	yhdJ//pfkB//
selD_topB	araB//rpe//
seqA_pgm	nudG//
serB_radA	cpsG//
serC_aroA	leuC//mltA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dosC//
sgrST_setA	yciV//
skp_lpxD_fabZ_lpxA	mltC//mcrB//luxS//
slp_dctR	
solA_yceO	ilvD//
speAB	dapB//ubiA//
speF_potE	lpxC//gloB//
srlAEBD_gutM_srlR_gutQ	gltD//xapA//astE//
sroG_ribB	mhpF//
sspAB	
ssrS_fau	arnB//
ssuEADCB	gluQ//tdcG//dadA//
stfE_tfaE	
sucAB	purK//rffG//aceA//
sucABCD	mnaT//rnd//acpS//rhaD//
sufABCDSE	fabD//
surA_pdxA_rsmA_apaGH	hemF//trmO//dcd//glnE//
tag_yiaC	phnN//
talA_tktB	leuC//pheS//
tamAB_ytfP	
tar_tap_cheRBYZ	ascB//thiG//
tatABC	glgP//
tatABCD	metC//pinE//
tauABCD	ppiC//rfaE//
tdcABCDEFG	hycG//rluF//sbcB//uxuA//acnA//
tdcBCDEFG	moaE//ampD//narH//umuC//purU//
tehAB	cpdB//queA//
tesA_ybbO	glxR//cmoB//
tff_rpsB_tsf	
tgt_yajC	argE//
thiCEFSGH	gltA//pyrC//yihT//bioD//paoA//
thiMD	alkA//menB//
thrLABC	rpiA//yajO//paaF//
thrS_infC	patA//
thrS_infC_rpmI_rplT_pheMST_ihfA	acpT//ldtC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	torZ//galT//
tolB_pal_cpoB	
tolC_ygiABC	hycD//dapF//opgB//bcsZ//wcaJ//dapF//rluF//kduD//dkgB//
tomB_hha	
topAI_yjhQ	
torCAD	yliI//
torYZ	cueO//
treBC	ubiI//pheS//
trmI_yggL	ssuD//
trpCBA	lpxK//nadC//gmhB//dapB//
trpLEDCBA	hflX//truB//galK//ttdA//fbp//guaC//
tsaB_yeaY	yliI//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yhdJ//nudJ//purN//mpaA//aphA//
ttdABT	ssuD//tcdA//
tyrS_pdxY	glcE//hflX//
tyrTV_tpr	
tyrV_tpr	
ubiCA	dfp//astD//
ubiEJB	bioB//
udk_dcd	psuK//pncB//
ugpBAECQ	yqjH//tsaD//
uhpABC	
uidABC	ldcA//bacA//
ulaABCDEF	rlmE//napC//trmA//dusA//
umpG_pcm	rdgB//sdaB//
umuDC	aceE//
uof_fur	
upp_uraA	ispE//tsaE//
usg_truA_dedA	ssuD//
uvrYC	mqo//
uxaCA	hisB//nrdB//
uxuAB	kdgK//ybjG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	sodB//dgcP//
waaQGPSBOJYZU	pdeF//nanE//dusC//pgk//bioC//iscS//plsB//mgsA//cdsA//folD//
waaYZ	pyrI//fcl//
waaZU	ung//ahpF//
wbbIJK	bioD//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	tadA//lpoB//mtn//rfbD//allC//ybaS//
wcaKLM	
wrbA_yccJ	metG//
wza_wzb_wzc	entD//cysE//
wza_wzb_wzc_wcaAB	panB//gdhA//
xanQ_guaD_ghxQ	gmhB//insI-2//uvrB//
xapAB	add//lpcA//
xdhABC	argC//
xerD_dsbC_recJ	tdk//epmB//
xseB_ispA_dxs_yajO	yjhH//napH//allE//ybaS//
xylAB	hpt//moaA//
xylFGHR	dapA//
yabPQ	
yacC_speED	lpxC//astE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	scpB//
yafDE	
yafNOP	cysN//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	purC//sbcB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	yneH//
ybaB_recR	narI//
ybaST	yeiG//
ybbAP	
ybbY_glxK	waaA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	serS//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	citD//
ybeZY	
ybeZYX_lnt	astA//
ybfHG	
ybfOC	
ybgA_phr	rhaA//
ybgC_tolQRA	
ybgIJKL_nei	deoD//
ybgQPO	
ybhP_clsB_ybhN	ahpC//
ybiYW	
ybjC_nfsA_rimK_ybjN	hemC//etp//
ybjJI	waaH//
ybjO_rlmC	umuC//
ybjQ_amiD	gsk//
ycaI_msbA_lpxK_ycaQ	uvrA//fbp//
ycaR_kdsB	tsaE//
ycbK_gloC	nrfC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ycaO//
yciCB	
yciGFE	
yciK_btuR	arnB//
yciVOQ	ugd//
yciZT	
ycjMNOPQRSTUV_ymjB	citX//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	serC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	talB//cysD//
ydcSTUV_patD	rbsD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	tatD//
ydgK_rsxABCDGE_nth	nrfC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	torA//sdhD//
ydiJ_menI_ydiH	torZ//
ydiNB_aroD	dosC//insI-1//
ydiQRST_fadK	selB//
ydjA_selD_topB	ppa//dmsA//
ydjLKJIHG	yfdE//
ydjXYZ_ynjABCD	
yeaGH	udk//
yeaR_yoaG	
yeaVW	
yebC_ruvC	citC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	insI-2//edd//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gloB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	pdeF//chbG//
yejABEF	mhpE//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	lplA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ttdB//
yfbUT	rutE//
yfcUTSRQPO	
yfdGHI	
