# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nudI//
cysJIH	pdxJ//arnA//mcrB//
cysPUWAM	ndh//murF//yjcS//
dadAX	lpxC//btuE//
damX_dam_rpe_gph_trpS	phnP//tdcG//glcD//gpp//
dam_rpe_gph_trpS	lpxH//ymdB//nagA//nirB//
dapA_bamC	pheS//
dapE_ypfN	pldA//
dcm_vsr	codA//
dcuB_fumB	aroD//appA//
dcuSR	
dcyD_tcyLN	ydiO//gsk//
ddpXABCDF	dusA//
def_fmt	roxA//rutC//
degQS	rutE//ilvB//
deoABD	hpt//adiA//purL//
deoBD	narH//udp//
deoCABD	ubiA//yjeF//eda//moaE//
dgoRKADT	aroC//udp//yajO//hisH//
dhaKLM	ansA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	galM//cysC//
dinJ_yafQ	gdhA//
dksA_gluQ	dnaE//
dmsABC	sucB//
dnaAN_recF	fadI//
dnaK_tpke11_dnaJ	paaH//
dnaN_recF	tig//
dnaTC	
dnaTC_yjjA	
dosCP	ydfG//birA//
dpiBA	
dppABCDF	folP//
dsbC_recJ_prfB	ybjG//cmoB//
dsbD_yjdC	
dsdXA	ppsA//accC//
dusB_fis	mtn//
dut_slmA	yjjG//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	cpsB//ymdB//
efeOB	rihB//
efeU_1U_2	
elbB_mtgA	pheA//
elfDCG_ycbUVF	
emrKY	wrbA//
entCEBAH	paoC//nth//narI//solA//rffG//mhpD//
envY_ompT	lpxT//
epd_pgk	lgoD//tdcD//
epd_pgk_fbaA	tktA//fdhF//ldtE//
essD_rrrD_rzpD	umpG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rlmD//
eutHA	
eutNEJG	
eutSPQTDM	malP//
evgAS	
exbBD	
fabDG_acpP	phr//sufS//
fabG_acpP	ynfG//
fabHDG	fucK//srlD//miaA//
fabR_yijD	
fadBA	mqo//ushA//
fadD_sroD	yieF//
fadIJ	ilvI//uxaA//
fdnGHI	
fdoGHI_fdhE	spoT//
fdrA_ylbEF_ybcF	mutL//
fecABCDE	fsaB//puuE//
fecIR	
feoABC	hemB//
fepA_entD	dgcP//tsaD//glcF//
fepDGC	napA//
fes_ybdZ_entF_fepE	gabT//glgX//yciV//
fetAB	
fhuACDB	fsaA//tmk//
ficA_fic_pabA	nudB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	uvrC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	dfp//purB//
folC_dedD	yghU//
folD_ybcJ	rpe//
folE_yeiB	epmC//
folP_glmM	serS//aroH//
folX_yfcH	paaY//
frdABCD	cysS//
frlABCDR	fabB//aldB//thrC//yjjG//
frmRAB	mhpA//ppa//
fruBKA	dacA//yjiA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	thiM//yihX//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rffG//hcaE//ftsI//arnC//mmuM//avtA//tadA//mutH//mutS//yiaY//
ftsQAZ	
ftsYEX	
fucAO	yniC//tig//
fucPIKUR	recF//yjjX//fadK//aroL//
fumAC	murE//fklB//
fusA_tufA	
gabDTP	pyrI//folE//glmM//
gadAX	ynfE//
gadBC	umpG//ttdA//
gadEF	
gadEF_mdtEF	pyrG//
gadXW	
galET	yhdH//dapE//
galETK	napH//ispG//cdh//
galETKM	napB//codA//ahpC//umpH//
gapA_yeaD	uxuA//
gapC_1C_2	
garPLRK_rnpB	napH//hemF//gatZ//ubiA//speC//pgpA//
gatYZABCD	purH//gltD//mdh//
gatZABCD	ybbO//selB//ndk//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	aceB//lpxL//cueO//alaC//ynfH//
gcvTHP	pssA//entD//yeaG//
gfcBCD	
gfcE_etp_etk	treC//dgcT//
ghoST	lipB//
glcBA	ahr//waaS//
glcDEFGBA	hemB//aceF//alsE//
glf_wbbH	waaF//
glgAP	csdA//leuA//
glgBXCAP	cysK//mnaT//yihT//thiH//rsmI//
glgCAP	astB//ilvN//aroL//
glmUS	ynfF//kdsC//
glnALG	yqjG//
glnHPQ	nagB//
glnK_amtB	ribE//
glnLG	
glnW_metU_glnVX	
glpABC	eno//
glpEGR	glcB//argA//
glpFKX	sucA//rlmF//rhaD//
glpGR	agp//
glpTQ	fau//cysH//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	metC//
glvCBG_ysdC	
glyQS	lsrG//
glyVXY	
glyW_cysT_leuZ	
gntKU	yqaB//rffM//
gntRKU	hchA//ynfG//
gntX_nfuA	
gpmM_envC_yibQ	glcF//recG//
groSL	
gspAB	
gspCDEFGHIJKLMO	sad//
guaBA	arnC//apaH//
gudPXD	yigL//hisD//
hcaEFCBD	pncA//malQ//
hcp_hcr	dcm//allD//
hdeAB_yhiD	
hemA_prfA_prmC	azoR//caiA//
hemCDXY	mrdA//garD//
hflD_purB	frdC//
hfq_hflXKC	tdk//
hicAB	
higBA	malQ//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	lysS//kdsA//pykA//ldtA//
hipBA	paaB//
hisBHAFI	yeiG//purK//dld//frdB//
hisJQMP	pyrB//cobT//
hisLGDCBHAFI	mnmC//ispA//yigL//ung//tdcG//psd//metB//
hofMNOP	
holC_valS	cobS//
holD_rimI_yjjG	mug//pheS//
hscBA_fdx_iscX	uxuA//
hsdMS	alaS//
hsdRMS	deoC//
hslRO	
hslVU	ygeX//
hyaABCDEF	
hybOABCDEFG	allE//
hycABCDEFGHI	hemF//caiC//
hydN_hypF	ydiB//
hyfABCDEFGHIJR_focB	entB//
hypABCDE	mutL//
hypABCDE_fhlA	thyA//
hypBCDE	purN//
hypBCDE_fhlA	ubiF//
iaaA_gsiABCD	purM//adiA//
ibaG_murA	nrfB//
ibpAB	
idnDOTR	glnA//mltF//fabZ//
ileS_lspA_fkpB_ispH	yjjX//alaC//allE//lpxK//
ilvEDA	purT//mnmE//aceA//yfiC//
ilvIH	purC//
ilvLXG_1G_2MEDA	hmp//paaH//mhpA//moaD//pabC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	glpB//
insN_1I_1O_1	fabA//
insO_2_yjhWV	
iscRSUA	panE//queD//
ispDF	ilvN//recO//
ispG_sroE	rffC//
isrC_flu	
ivbL_ilvBN	yhdJ//
ivbL_ilvBN_uhpABC	galT//
kbaZ_agaVWA	lpxK//
kbl_tdh	murB//pinE//
kdpDE	
kdpFABC	gntK//
kdsC_lptCAB	alaC//gpmA//
kefFC	lpd//hypF//
kefGB_yheV	amn//
kilR_ydaE	
lacYA	yceF//patD//
lacZYA	apt//deoC//codA//
lapAB	
lapAB_pyrF_yciH	puuD//
lepAB	lipA//
leuLABCD	pgaD//dapE//yihT//
leuQPV	
leuS_lptE_holA_nadD_cobC	curA//gpmA//talA//
lexA_dinF	
lgt_thyA	yohF//ispF//
ligA_ypeB	mutS//
livKHMGF	acpS//emtA//
lldPRD	scpB//astD//
lolA_rarA	
lolB_ispE_prs	rutA//dgkA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	fumA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	glpC//surA//
lptFG	
lspA_fkpB_ispH	menC//rsmE//bcsA//
lsrACDBFG_tam	mltF//kduD//ycjG//hycC//
lsrRK	pabB//
ltaE_ybjT	pdxA//
lysT_valT_lysW	
macAB	metA//
malEFG	gadB//
malK_lamB_malM	tauD//adiA//
malPQ	glgP//dusA//
malXY	coaE//rutA//
manXYZ	pncA//
map_glnD_dapD	dusC//dsdA//hemE//
marRAB	
mazEFG	lysS//
mcrBC	folE//
mdlAB	
mdtABCD_baeSR	aspS//
mdtEF	hisS//
mdtJI	rfe//
mdtM_yjiN	dcm//
mdtNOP	rffH//
melAB	glpK//dosC//
menA_rraA	aspC//
menBCE	purA//speG//gmk//
menDHBCE	ydiO//citD//ycaO//tig//nagK//
menFDHBCE	tpiA//aroB//ispF//clsC//kbaZ//glcB//
metBL	tyrS//efeB//
metNIQ	eda//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	gpmA//ydiB//yeaE//
metZWV	
mglAC	pldA//
mglBAC	aspS//
mgtLA	cysE//
mhpABCDFE	nrdD//pyrD//tktA//malY//murE//yigL//
mhpR_lacI	
miaA_hfq_hflXKC	nagB//gcd//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	maa//nrfA//
mnaT_ydcZ	ydiF//
mngAB	kbaZ//pabC//
mnmG_rsmG	queD//rlmL//
mntR_ybiR	
moaABCDE	cyoE//tdcE//
moaBCDE	srlD//
mobAB	yhhW//
modABC	nadA//
modEF	
moeAB	aspA//uxuB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	murB//
mqsRA	hycE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gdhA//lsrK//gluQ//hemN//ydiB//paoB//idi//sad//gmm//pldA//apaH//
mreBCD	
mreCD	
msrPQ	
mtlADR	allB//cobU//nudF//
mtn_btuF_yadS	gatD//frmA//
murB_birA	pfkA//argH//
murQP	xdhB//rsmB//gadB//
murQP_yfeW	yiaK//yibQ//ldtC//pflB//
mutL_miaA_hfq_hflXKC	plsC//yfiC//pgpC//
mutY_yggX	ligA//
mutY_yggX_mltC	murC//scpC//
mutY_yggX_mltC_nupG	argF//rihA//ybjG//
nadA_pnuC	hisD//ychF//
nagBAC_umpH	glcD//rdoA//aroL//
nagK_cobB	frlB//dkgB//
nanATEK_yhcH	acnB//pspE//menD//ybjI//
nanCM	yneH//menF//
nanCMS	trmO//pck//
napFDAGHBC	glk//
napFDAGHBC_ccmABCDEFGH	ydjG//tnaA//
narGHJI	yagF//
narWV	ubiD//
narXL	
narZYWV	rihB//
nemRA	dosP//
nemRA_gloA	metF//pflB//
nfrBA	
nhaAR	hcaD//
nikABCDER	pncA//
nirBDC_cysG	trmO//aroG//ribA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	narG//
nrdAB_yfaE	thrS//
nrdDG	tktA//cysG//
nrdHIEF	prs//
nrdR_ribDE_nusB_thiL_pgpA	mobA//deoC//napG//ynfH//
nrfABCDEFG	aceE//
nsrR_rnr_rlmB_yjfI	metH//tilS//
nudB_yebC_ruvC	yfeX//rlmF//
nudC_hemE_nfi	talA//cmoA//
nudF_yqiB_cpdA_yqiA_parE	wecB//bioH//
nuoABCEFGHIJKLMN	fumC//
nuoMN	clsB//
ompR_envZ	
opgGH	
oppABCDF	udp//nrdB//
osmF_yehYXW	cysM//
otsBA	menH//rfe//
paaABCDEFGHIJK	alsK//bglA//waaB//trpB//hisB//entH//mltC//
paaXY	dusC//
pabB_nudL	dnaQ//purK//
pabC_mltG_tmk_holB_ycfH	aroD//phnO//idi//
panBC	thiF//kdsD//
panE_yajL	patZ//
paoABCD	ldtB//
pcnB_folK	gldA//idnK//
pdeI_dgcI	
pdhR_aceEF_lpd	nanK//tehB//cysM//astE//pinE//hflX//
pdxA_rsmA	purC//gmhB//
pdxA_rsmA_apaGH	araD//ybjG//nrdA//
pdxB_usg_truA_dedA	ushA//gshA//
pdxH_tyrS_pdxY	acpT//waaH//kdgK//
pdxJ_acpS	sufS//sseA//
pepQ_yigZ_trkH_hemG	proB//rlmB//lpoB//
pflDC	
pgaABCD	pcm//asnA//ahpF//
pgk_fbaA	ulaE//yliI//
pgpC_tadA	hypB//yigB//
pheLA	acnB//
pheMST_ihfA	ycjG//
phnCDE_1E_2FGHIJKLMNOP	pgaD//rlmD//cueO//gmm//relA//paaF//argK//
phnLMNOP	gpsA//hyaB//sdhC//ybhA//nudF//
phoA_psiF	sdaA//
phoBR	
phoPQ	
pldB_yigL	hycF//mnmG//
plsX_fabHDG	ispA//mutY//nudG//
pntAB	
potABCD	nfsB//
potFGHI	fadK//
poxB_ltaE_ybjT	nudC//rpiA//
ppdAB_ygdB_ppdC_recC	amn//
ppdD_hofBC	
ppiB_lpxH	aroA//kbaY//
ppk_ppx	cdh//araB//
pqiAB	
preTA	rsmA//
prfB_lysS	pgl//
priC_ybaM	
prlC_rsmJ	mltA//dxr//
prlF_yhaV	fumB//
prmB_aroC_mepA_yfcA_epmC_yfcL	frmA//alsE//aceA//yjjX//
proBA	cobC//cobS//
proQ_prc	aphA//
proVWX	pdxH//
prpBCDE	kduI//etp//abgA//prmB//
psd_mscM	
pspABCDE	guaD//
pspBCDE	kdsB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	amiD//lpcA//
pth_ychF	tdcB//
ptrA_recBD	paaB//gltD//
ptsA_fsaB_gldA	cobC//dapB//
ptsHI_crr	frc//yfcG//lysA//
purEK	truB//nemA//
purHD	eptB//fsaA//
purMN	yqhD//insI-2//
puuAP	speB//lpxK//
puuCBE	wecC//cdsA//tatD//
puuDRCBE	aroA//pyrH//idnK//ldtE//
pyrF_yciH	aceF//
pyrG_eno	hdhA//entB//
pyrLBI	pdeR//
qmcA_ybbJ	
qseBC	
radA_nadR	rsmE//
rapA_rluA	ilvH//
ratAB	
ravA_viaA	
rbsDACBKR	lipA//argH//tsaD//
rclABC	
rclBC	
rcnAB	cadA//
rcsDB	
rcsF_trmO	rbn//
rdgB_yggW	dapD//
rdoA_dsbA	fucK//rutE//
recAX	
recET_ralR_ydaC_xisR_intR	pfkA//malQ//
relA_mazEF	purM//
relBE	ygiF//
relBE_hokD	recO//
renD_emrE	otsB//
rfaD_waaFCL	rutA//gcvP//aroD//gltA//
rfbACX	dapF//trmA//dacA//cysJ//
rfbBDACX	coaD//bacA//metL//rsmB//phnO//folX//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	sodC//galK//cysH//argI//ycjG//acnA//metG//rnb//gnd//
rhaBAD	rsmH//yihV//trmL//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	cysQ//glgX//arnC//
ribF_ileS_lspA_fkpB_ispH	patD//ydiF//lpoA//mhpD//alkB//
rimK_ybjN	tatD//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	bioB//dcd//metH//yihV//otsB//edd//serS//ddlA//ruvB//mnmA//
rlmE_ftsH	yicI//phnI//
rlmL_uup	pykA//
rluD_yfiH	yfeX//atoA//
rluE_nudJ	hflX//fbaB//
rnc_era	narG//
rnc_era_recO_pdxJ_acpS	xdhC//icd//yfbR//araD//
rnlAB	murC//
rnt_lhr	citG//
rpe_gph_trpS	hyaA//kdsC//rffM//
rph_pyrE	fumC//fabI//
rpiR_alsBACE	paaB//hcaF//
rplJL_rpoBC	malQ//
rplKAJL_rpoBC	carB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	hdhA//
rpmF_plsX_fabHDG	menC//allD//luxS//
rpmH_rnpA	purK//gldA//
rpmI_rplT	
rpoBC	pgaC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	trpS//gph//fadI//
rppH_ptsP	yceF//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	thrC//
rpsO_pnp	thiM//astC//
rpsP_rimM_trmD_rplS	yjhG//
rpsU_dnaG_rpoD	dgoA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	tdh//yqjG//
rsmA_apaGH	thrS//dusB//
rsmD_yhhL	ynfF//
rsmE_gshB	yieF//astB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	menA//yiaY//puuE//argB//hycD//metH//panD//lplA//sgbE//murI//adhP//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	murA//
rtcBA	glnE//pinE//
rutABCDEFG	serA//yjjG//yggF//garR//ybhA//nudJ//
ruvAB	serB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	trpS//
scpA_argK_scpBC	rhaB//pldB//dcyD//hemF//
sdaCB	ygjK//malP//
sdhCDAB_sucABCD	ilvG_2//can//bioC//puuB//
sdhDAB	
sdhE_cptA	
secB_gpsA	rutD//
secE_nusG	
secG_leuU	
secMA_mutT	rfe//
selAB	tesB//argE//
selD_topB	trmD//ychF//
seqA_pgm	folE//
serB_radA	abgB//
serC_aroA	bcsA//etp//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	pheT//
sgrST_setA	menA//
skp_lpxD_fabZ_lpxA	ulaG//nemA//paoA//
slp_dctR	
solA_yceO	allB//
speAB	gadB//dgcM//
speF_potE	pck//tgt//
srlAEBD_gutM_srlR_gutQ	caiA//rpe//pgi//
sroG_ribB	lpxM//
sspAB	
ssrS_fau	metB//
ssuEADCB	gpp//yhhW//tsaE//
stfE_tfaE	
sucAB	paaI//aspA//rlmH//
sucABCD	hyaA//gpmA//napA//entE//
sufABCDSE	lpxT//
surA_pdxA_rsmA_apaGH	thiH//hemG//rutE//dgoD//
tag_yiaC	pdxY//
talA_tktB	nadB//queC//
tamAB_ytfP	
tar_tap_cheRBYZ	bioB//dgoD//
tatABC	rhaM//
tatABCD	nrfA//agp//
tauABCD	glcB//arnC//
tdcABCDEFG	prpD//cadA//hpt//tauD//lgoD//
tdcBCDEFG	epmC//ybbO//glyA//rluF//ycjU//
tehAB	glmS//prpC//
tesA_ybbO	dcyD//trmO//
tff_rpsB_tsf	
tgt_yajC	rsmE//
thiCEFSGH	mutY//eutB//gltB//ampD//paaA//
thiMD	ygiF//purN//
thrLABC	ruvA//yghA//yfeW//
thrS_infC	sdhC//
thrS_infC_rpmI_rplT_pheMST_ihfA	pyrG//proB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	nth//hisS//
tolB_pal_cpoB	
tolC_ygiABC	torY//rffG//ydfG//yagE//fabB//rfbD//ileS//treF//dinB//
tomB_hha	
topAI_yjhQ	
torCAD	ilvM//
torYZ	speG//
treBC	pck//truC//
trmI_yggL	dgcM//
trpCBA	thyA//fklB//hycB//thiI//
trpLEDCBA	rnd//hypF//pdxY//ulaE//yahK//bacA//
tsaB_yeaY	rlmD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	accA//emtA//napC//ascB//nudF//
ttdABT	guaD//yhdJ//
tyrS_pdxY	fucU//ribC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	der//speD//
ubiEJB	pdxH//
udk_dcd	waaG//fabZ//
ugpBAECQ	sucD//uxaC//
uhpABC	
uidABC	pcm//emtA//
ulaABCDEF	hcaE//uxuB//ruvA//rffC//
umpG_pcm	glxR//ulaF//
umuDC	hemL//
uof_fur	
upp_uraA	hmp//sucA//
usg_truA_dedA	nagZ//
uvrYC	insI-2//
uxaCA	metF//lipA//
uxuAB	eutB//mhpA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	allE//sucA//
waaQGPSBOJYZU	atoD//yegS//dosC//lpxP//pncA//xdhB//kbaZ//bioC//rsmD//fucK//
waaYZ	yjiA//mocA//
waaZU	trmL//ushA//
wbbIJK	astE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	rlmB//tsaC//rfaE//rnt//kduI//moaD//
wcaKLM	
wrbA_yccJ	aroK//
wza_wzb_wzc	roxA//preA//
wza_wzb_wzc_wcaAB	umpH//avtA//
xanQ_guaD_ghxQ	arnT//yihT//hisG//
xapAB	gabD//uxaC//
xdhABC	gpmM//
xerD_dsbC_recJ	nadR//fumA//
xseB_ispA_dxs_yajO	tsaE//tehB//aspC//tsaC//
xylAB	fsaB//nirB//
xylFGHR	fadM//
yabPQ	
yacC_speED	sdhB//bcsZ//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	katG//
yafDE	
yafNOP	rlmH//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	allE//fsaA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	recG//
ybaB_recR	yniC//
ybaST	paaH//
ybbAP	
ybbY_glxK	kbaZ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	trmL//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ilvH//
ybeZY	
ybeZYX_lnt	fcl//
ybfHG	
ybfOC	
ybgA_phr	trmH//
ybgC_tolQRA	
ybgIJKL_nei	cyoE//
ybgQPO	
ybhP_clsB_ybhN	uvrC//
ybiYW	
ybjC_nfsA_rimK_ybjN	trxB//gadB//
ybjJI	miaB//
ybjO_rlmC	rbn//
ybjQ_amiD	rnt//
ycaI_msbA_lpxK_ycaQ	eutD//rlmL//
ycaR_kdsB	yfdE//
ycbK_gloC	ppiA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rhaM//
yciCB	
yciGFE	
yciK_btuR	gadA//
yciVOQ	rihC//
yciZT	
ycjMNOPQRSTUV_ymjB	malS//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	dcm//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	metF//entH//
ydcSTUV_patD	pabC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	malY//
ydgK_rsxABCDGE_nth	garK//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pgk//cadA//
ydiJ_menI_ydiH	azoR//
ydiNB_aroD	roxA//mltF//
ydiQRST_fadK	astC//
ydjA_selD_topB	can//glcD//
ydjLKJIHG	ghrA//
ydjXYZ_ynjABCD	
yeaGH	lipA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	gutQ//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	recF//dgoD//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	glcD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ribD//argB//
yejABEF	treA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	glpB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	aceE//
yfbUT	gcvH//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
