# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thrC//
fabR_yijD	
fadBA	lgoD//rnb//
fadD_sroD	rihA//
fadIJ	atoB//astC//
fdnGHI	
fdoGHI_fdhE	aslA//
fdrA_ylbEF_ybcF	oxc//
fecABCDE	nrfD//dgkA//
fecIR	
feoABC	waaF//
fepA_entD	ybjG//yliI//yahK//
fepDGC	fadB//
fes_ybdZ_entF_fepE	ilvG_2//orn//rpiB//
fetAB	
fhuACDB	cyoE//tdk//
ficA_fic_pabA	glnS//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	fumA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	nrdB//trmJ//
folC_dedD	polA//
folD_ybcJ	tatD//
folE_yeiB	metC//
folP_glmM	gltB//lhgO//
folX_yfcH	mraY//
frdABCD	aspC//
frlABCDR	nfi//entD//talB//murC//
frmRAB	araB//ldhA//
fruBKA	galT//pssA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ttdB//araD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pgi//surA//cfa//aroH//dut//ruvC//cysG//pncC//dacA//torZ//
ftsQAZ	
ftsYEX	
fucAO	nudF//ligA//
fucPIKUR	glyQ//moeB//mepS//umpH//
fumAC	phnH//aroL//
fusA_tufA	
gabDTP	lpoB//gcvH//thrS//
gadAX	yegS//
gadBC	cobT//adhE//
gadEF	
gadEF_mdtEF	speD//
gadXW	
galET	tehB//adeD//
galETK	yigB//narH//menB//
galETKM	murQ//plsB//thrB//yjeF//
gapA_yeaD	purC//
gapC_1C_2	
garPLRK_rnpB	rbn//puuC//pgaB//torZ//uvrB//fadM//
gatYZABCD	glcD//tpiA//mtlD//
gatZABCD	ldtD//cpsG//recO//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	rluF//opgE//ldtC//fruK//dapD//
gcvTHP	tag//rbn//sdhA//
gfcBCD	
gfcE_etp_etk	pabB//nadA//
ghoST	nanK//
glcBA	galK//rluF//
glcDEFGBA	hyaC//yfiC//yghU//
glf_wbbH	deoB//
glgAP	murG//napA//
glgBXCAP	coaE//tehB//nadB//purN//fruK//
glgCAP	valS//bioF//rutE//
glmUS	menB//tsaB//
glnALG	malP//
glnHPQ	pdxK//
glnK_amtB	fabG//
glnLG	
glnW_metU_glnVX	
glpABC	purT//
glpEGR	metB//entB//
glpFKX	glnS//scpC//menH//
glpGR	hycF//
glpTQ	fabZ//panC//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yqjG//
glvCBG_ysdC	
glyQS	coaD//
glyVXY	
glyW_cysT_leuZ	
gntKU	glxR//yhdH//
gntRKU	mhpE//ycjG//
gntX_nfuA	
gpmM_envC_yibQ	lgoD//menD//
groSL	
gspAB	
gspCDEFGHIJKLMO	ndk//
guaBA	allD//mltB//
gudPXD	alsK//pdeH//
hcaEFCBD	fadD//tam//
hcp_hcr	ahpC//pdxH//
hdeAB_yhiD	
hemA_prfA_prmC	idi//tktA//
hemCDXY	betB//ligB//
hflD_purB	lpxM//
hfq_hflXKC	rluD//
hicAB	
higBA	rhaA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	frlB//aroB//waaB//lplA//
hipBA	frdC//
hisBHAFI	lsrG//betA//moaA//ulaE//
hisJQMP	trmA//mqo//
hisLGDCBHAFI	dusC//aspC//ligB//gmm//pgsA//astC//gsk//
hofMNOP	
holC_valS	yqjH//
holD_rimI_yjjG	hypF//sucA//
hscBA_fdx_iscX	lpxL//
hsdMS	tnaA//
hsdRMS	ilvG_2//
hslRO	
hslVU	glnE//
hyaABCDEF	
hybOABCDEFG	mepS//
hycABCDEFGHI	glf//glmM//
hydN_hypF	wzb//
hyfABCDEFGHIJR_focB	dgcP//
hypABCDE	ilvE//
hypABCDE_fhlA	scpA//
hypBCDE	rlmL//
hypBCDE_fhlA	uxaA//
iaaA_gsiABCD	ygaP//araA//
ibaG_murA	miaB//
ibpAB	
idnDOTR	glpX//tynA//panD//
ileS_lspA_fkpB_ispH	metK//panD//bcsA//ynfF//
ilvEDA	cmoB//idnK//ddlA//narZ//
ilvIH	dfp//
ilvLXG_1G_2MEDA	hypF//putA//scpB//trmI//hcaB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	proB//
insN_1I_1O_1	nagZ//
insO_2_yjhWV	
iscRSUA	curA//yjiA//
ispDF	miaB//fabG//
ispG_sroE	trpS//
isrC_flu	
ivbL_ilvBN	gcvH//
ivbL_ilvBN_uhpABC	glpB//
kbaZ_agaVWA	glnS//
kbl_tdh	yeiG//yidA//
kdpDE	
kdpFABC	tdcD//
kdsC_lptCAB	bioH//dxs//
kefFC	pbpC//rffC//
kefGB_yheV	gmm//
kilR_ydaE	
lacYA	yeiR//dacA//
lacZYA	frdB//paoB//luxS//
lapAB	
lapAB_pyrF_yciH	purU//
lepAB	dosC//
leuLABCD	yajO//amn//mog//
leuQPV	
leuS_lptE_holA_nadD_cobC	gabD//glpC//folX//
lexA_dinF	
lgt_thyA	rluE//tsaD//
ligA_ypeB	lsrG//
livKHMGF	bioH//rluD//
lldPRD	araA//aes//
lolA_rarA	
lolB_ispE_prs	gabD//cpsB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	mpaA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	rlmJ//metA//
lptFG	
lspA_fkpB_ispH	aes//ruvB//mltD//
lsrACDBFG_tam	paaK//mhpD//trpB//gluQ//
lsrRK	sad//
ltaE_ybjT	yhdJ//
lysT_valT_lysW	
macAB	dxs//
malEFG	gadA//
malK_lamB_malM	puuC//ppx//
malPQ	glyS//kduD//
malXY	rsmG//malP//
manXYZ	bglA//
map_glnD_dapD	allC//ampC//cobB//
marRAB	
mazEFG	dgcZ//
mcrBC	prpE//
mdlAB	
mdtABCD_baeSR	purD//
mdtEF	aceA//
mdtJI	hemN//
mdtM_yjiN	eno//
mdtNOP	fadD//
melAB	ydbC//agp//
menA_rraA	yfbR//
menBCE	alr//emtA//paaC//
menDHBCE	waaJ//fadM//yqjG//hemN//metH//
menFDHBCE	gadB//mutH//yliI//gldA//leuB//alaS//
metBL	rlmM//mltB//
metNIQ	astC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yahK//ndh//citX//
metZWV	
mglAC	mltF//
mglBAC	abgB//
mgtLA	cheR//
mhpABCDFE	yieH//xapA//nanE//dmsB//selB//hemH//
mhpR_lacI	
miaA_hfq_hflXKC	ddlA//pykA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	tyrB//opgB//
mnaT_ydcZ	speE//
mngAB	dapD//sdhA//
mnmG_rsmG	cpsB//fadI//
mntR_ybiR	
moaABCDE	asnA//uvrC//
moaBCDE	gor//
mobAB	manA//
modABC	leuD//
modEF	
moeAB	fabF//arnC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	gltB//
mqsRA	sgbH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	trmH//atoD//yceF//hpt//ubiA//opgB//glmM//cobS//yfcF//fabF//fucA//
mreBCD	
mreCD	
msrPQ	
mtlADR	yjeF//yqhD//ilvB//
mtn_btuF_yadS	cysI//pncB//
murB_birA	rutC//epmA//
murQP	yieH//maeA//nudI//
murQP_yfeW	ogt//phnH//folE//tmcA//
mutL_miaA_hfq_hflXKC	fadE//dosP//serS//
mutY_yggX	fabZ//
mutY_yggX_mltC	rffT//eutD//
mutY_yggX_mltC_nupG	mhpA//acnA//gpmM//
nadA_pnuC	aceE//hemF//
nagBAC_umpH	plsB//rluD//nrdF//
nagK_cobB	argK//yjcS//
nanATEK_yhcH	ubiE//rnt//adk//fadB//
nanCM	rffC//pheS//
nanCMS	ydiO//hisA//
napFDAGHBC	hycG//
napFDAGHBC_ccmABCDEFGH	nudF//cpsB//
narGHJI	waaP//
narWV	cysK//
narXL	
narZYWV	ahpC//
nemRA	bglB//
nemRA_gloA	ilvG_1//lpxT//
nfrBA	
nhaAR	eptC//
nikABCDER	uvrC//
nirBDC_cysG	gmm//astC//apaH//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ubiA//
nrdAB_yfaE	dmlA//
nrdDG	mrdA//fes//
nrdHIEF	sdhB//
nrdR_ribDE_nusB_thiL_pgpA	purF//accC//folA//murD//
nrfABCDEFG	fbaA//
nsrR_rnr_rlmB_yjfI	gnd//trpE//
nudB_yebC_ruvC	napC//der//
nudC_hemE_nfi	bfr//aphA//
nudF_yqiB_cpdA_yqiA_parE	malZ//ybbO//
nuoABCEFGHIJKLMN	csdA//
nuoMN	hemN//
ompR_envZ	
opgGH	
oppABCDF	rne//coaD//
osmF_yehYXW	bacA//
otsBA	ribF//srlD//
paaABCDEFGHIJK	rfbA//lpxH//abgB//mutH//agp//fabI//narY//
paaXY	gpt//
pabB_nudL	idnD//frmB//
pabC_mltG_tmk_holB_ycfH	hemH//folA//rnb//
panBC	dkgB//rlmM//
panE_yajL	ilvD//
paoABCD	arnA//
pcnB_folK	frlC//tdk//
pdeI_dgcI	
pdhR_aceEF_lpd	ribF//yicI//hinT//curA//moaD//ulaD//
pdxA_rsmA	yqaB//lpoA//
pdxA_rsmA_apaGH	nudI//cpsB//hpt//
pdxB_usg_truA_dedA	ahpC//puuE//
pdxH_tyrS_pdxY	edd//mqo//serC//
pdxJ_acpS	clsA//thiC//
pepQ_yigZ_trkH_hemG	alaA//rluC//paaI//
pflDC	
pgaABCD	codA//dkgA//mhpB//
pgk_fbaA	gltB//coaD//
pgpC_tadA	ybbO//yjcS//
pheLA	bcsB//
pheMST_ihfA	cobT//
phnCDE_1E_2FGHIJKLMNOP	epmA//trxB//lsrK//lpxH//aceB//mutM//nrdE//
phnLMNOP	rfbB//rfbD//mog//clsB//ftsI//
phoA_psiF	prmC//
phoBR	
phoPQ	
pldB_yigL	clsA//thyA//
plsX_fabHDG	mnmC//ispE//yjjG//
pntAB	
potABCD	murE//
potFGHI	ulaF//
poxB_ltaE_ybjT	nagB//menD//
ppdAB_ygdB_ppdC_recC	puuE//
ppdD_hofBC	
ppiB_lpxH	yfcF//alsE//
ppk_ppx	galT//pdxB//
pqiAB	
preTA	thrC//
prfB_lysS	deoD//
priC_ybaM	
prlC_rsmJ	rfaD//uxaC//
prlF_yhaV	dacC//
prmB_aroC_mepA_yfcA_epmC_yfcL	curA//orn//miaB//nrdD//
proBA	cysI//uxuA//
proQ_prc	cmoA//
proVWX	folP//
prpBCDE	cysN//puuE//relA//nadD//
psd_mscM	
pspABCDE	queD//
pspBCDE	fabF//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ynfH//miaB//
pth_ychF	aroC//
ptrA_recBD	mdh//idnO//
ptsA_fsaB_gldA	hycF//nirD//
ptsHI_crr	yohF//waaF//aphA//
purEK	glgX//rfbB//
purHD	nrfA//ymdB//
purMN	phnI//menB//
puuAP	selA//pflB//
puuCBE	mgsA//adiA//carB//
puuDRCBE	narH//yniC//lpxC//rihC//
pyrF_yciH	hcaD//
pyrG_eno	entC//purD//
pyrLBI	tnaA//
qmcA_ybbJ	
qseBC	
radA_nadR	suhB//
rapA_rluA	citD//
ratAB	
ravA_viaA	
rbsDACBKR	aldA//thiE//eutC//
rclABC	
rclBC	
rcnAB	metL//
rcsDB	
rcsF_trmO	gph//
rdgB_yggW	rlmB//
rdoA_dsbA	hyaB//adhE//
recAX	
recET_ralR_ydaC_xisR_intR	bioB//trpB//
relA_mazEF	ndh//
relBE	rluB//
relBE_hokD	aroL//
renD_emrE	sdhA//
rfaD_waaFCL	pdeL//paaH//recG//tdh//
rfbACX	ppx//aroE//trxB//waaY//
rfbBDACX	gshA//ymdB//xdhB//ampH//acpT//metL//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	aes//astD//trmD//selA//bioC//dapB//tatD//dmsB//argB//
rhaBAD	cysS//nadA//frdB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	nadA//rluB//glnA//
ribF_ileS_lspA_fkpB_ispH	ppk//rfaE//rne//yjiA//phnP//
rimK_ybjN	rlmI//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rbsK//glpX//leuD//moeA//ulaG//tehB//ppsA//hemC//ygeX//rph//
rlmE_ftsH	malP//srlD//
rlmL_uup	aspA//
rluD_yfiH	gabT//ppsA//
rluE_nudJ	speE//phnL//
rnc_era	trmL//
rnc_era_recO_pdxJ_acpS	sgbU//glcE//nudB//murG//
rnlAB	rutE//
rnt_lhr	narV//
rpe_gph_trpS	eptB//fre//gmk//
rph_pyrE	ydjG//yieF//
rpiR_alsBACE	hinT//gss//
rplJL_rpoBC	pgaC//
rplKAJL_rpoBC	patZ//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	rluA//
rpmF_plsX_fabHDG	hemE//ubiD//rlmG//
rpmH_rnpA	hycB//speD//
rpmI_rplT	
rpoBC	ilvD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	paaF//uidA//fkpA//
rppH_ptsP	ygeX//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	curA//
rpsO_pnp	paaE//sad//
rpsP_rimM_trmD_rplS	paaE//
rpsU_dnaG_rpoD	melA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	lsrK//gcl//
rsmA_apaGH	solA//hchA//
rsmD_yhhL	glpK//
rsmE_gshB	aphA//hemN//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pabB//rfbA//hemA//selA//rlmJ//purL//etp//arnT//rihA//ilvE//rutA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	gshB//
rtcBA	metC//yihX//
rutABCDEFG	ygiF//preA//dapE//solA//araB//sgbH//
ruvAB	pgaC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	nemA//
scpA_argK_scpBC	citX//bioA//speF//waaB//
sdaCB	ispU//rnt//
sdhCDAB_sucABCD	aroB//fumA//tmk//orn//
sdhDAB	
sdhE_cptA	
secB_gpsA	narY//
secE_nusG	
secG_leuU	
secMA_mutT	mhpF//
selAB	oxc//ulaE//
selD_topB	mcrC//fadH//
seqA_pgm	amn//
serB_radA	alaS//
serC_aroA	arnC//aldA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dapA//
sgrST_setA	dgkA//
skp_lpxD_fabZ_lpxA	fbaB//narY//glpX//
slp_dctR	
solA_yceO	yjhH//
speAB	dgkA//citC//
speF_potE	nudL//deoC//
srlAEBD_gutM_srlR_gutQ	thrB//aroC//nanA//
sroG_ribB	yfbT//
sspAB	
ssrS_fau	tauD//
ssuEADCB	rffC//otsB//aes//
stfE_tfaE	
sucAB	nudJ//thiG//sdhD//
sucABCD	selD//aceB//mocA//hisD//
sufABCDSE	pgaB//
surA_pdxA_rsmA_apaGH	ssuD//pssA//yjjG//deoC//
tag_yiaC	ispH//
talA_tktB	napG//mutY//
tamAB_ytfP	
tar_tap_cheRBYZ	proA//frmB//
tatABC	gltD//
tatABCD	nudG//arnT//
tauABCD	hypB//mrcA//
tdcABCDEFG	cynT//rlmJ//solA//gpmA//bioA//
tdcBCDEFG	mutM//coaE//cysJ//bioF//pabA//
tehAB	paoC//ybaS//
tesA_ybbO	mltF//hyuA//
tff_rpsB_tsf	
tgt_yajC	hcaC//
thiCEFSGH	rlmH//purT//ilvM//ppk//thiH//
thiMD	phnI//gltD//
thrLABC	mltD//wecC//ilvD//
thrS_infC	narG//
thrS_infC_rpmI_rplT_pheMST_ihfA	opgE//mngB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	yfcF//entD//
tolB_pal_cpoB	
tolC_ygiABC	rpe//paaI//mgsA//ynfG//serA//pssA//rne//fabG//allC//
tomB_hha	
topAI_yjhQ	
torCAD	malQ//
torYZ	gmhB//
treBC	argE//tag//
trmI_yggL	cmoB//
trpCBA	hcaB//hemC//kdgK//gor//
trpLEDCBA	nadB//proB//metC//yjiA//fabF//malP//
tsaB_yeaY	hisH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yigL//ssuE//galK//napC//rsuA//
ttdABT	dxs//arnC//
tyrS_pdxY	ubiH//trmJ//
tyrTV_tpr	
tyrV_tpr	
ubiCA	cysM//lysU//
ubiEJB	glxR//
udk_dcd	mhpC//mnmA//
ugpBAECQ	lpxP//prs//
uhpABC	
uidABC	mutY//leuA//
ulaABCDEF	fucA//bglA//thiD//waaS//
umpG_pcm	cysQ//gapA//
umuDC	pnp//
uof_fur	
upp_uraA	dosC//cysJ//
usg_truA_dedA	tcdA//
uvrYC	sdhA//
uxaCA	xylA//pfkA//
uxuAB	mltC//fabA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pgsA//galU//
waaQGPSBOJYZU	glpQ//pncC//dgt//treF//purH//acnA//ydfG//cysM//narH//thiG//
waaYZ	waaZ//adhE//
waaZU	lipA//tyrS//
wbbIJK	fsaB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	idnK//tatD//argD//moeB//mpaA//ilvA//
wcaKLM	
wrbA_yccJ	selD//
wza_wzb_wzc	phnI//eptA//
wza_wzb_wzc_wcaAB	pspE//pphB//
xanQ_guaD_ghxQ	yeiR//lldD//rluB//
xapAB	yeaG//ugpQ//
xdhABC	idnK//
xerD_dsbC_recJ	ispG//fdhF//
xseB_ispA_dxs_yajO	yniC//trpE//hisH//kbaZ//
xylAB	pepD//fbp//
xylFGHR	araB//
yabPQ	
yacC_speED	atoA//pgi//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	guaD//
yafDE	
yafNOP	ldtE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yeaG//allB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	gltB//
ybaB_recR	sdaB//
ybaST	rlmB//
ybbAP	
ybbY_glxK	tesB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	yagF//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	nfi//
ybeZY	
ybeZYX_lnt	fumC//
ybfHG	
ybfOC	
ybgA_phr	ispB//
ybgC_tolQRA	
ybgIJKL_nei	rffM//
ybgQPO	
ybhP_clsB_ybhN	dgoK//
ybiYW	
ybjC_nfsA_rimK_ybjN	uvrA//pykA//
ybjJI	wcaJ//
ybjO_rlmC	entB//
ybjQ_amiD	yihS//
ycaI_msbA_lpxK_ycaQ	atoD//ttdA//
ycaR_kdsB	fumA//
ycbK_gloC	waaO//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	pdeF//
yciCB	
yciGFE	
yciK_btuR	fumC//
yciVOQ	ubiE//
yciZT	
ycjMNOPQRSTUV_ymjB	thrC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	cdh//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	frmA//ilvI//
ydcSTUV_patD	hisC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	yniC//
ydgK_rsxABCDGE_nth	coaE//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	appA//glxK//
ydiJ_menI_ydiH	accC//
ydiNB_aroD	nhoA//atoA//
ydiQRST_fadK	caiD//
ydjA_selD_topB	bioD//rdoA//
ydjLKJIHG	ampC//
ydjXYZ_ynjABCD	
yeaGH	pdxH//
yeaR_yoaG	
yeaVW	
yebC_ruvC	rfbB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	citG//alaA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	sbcB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	tmk//fucU//
yejABEF	ppk//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	yjhH//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ribC//
yfbUT	cyaA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	pphB//
