# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabB//
dcyD_tcyLN	glpD//pldB//
ddpXABCDF	betB//
def_fmt	arnB//aldA//
degQS	hyaB//metA//
deoABD	idi//ubiH//der//
deoBD	metK//mutY//
deoCABD	sgbH//talA//hemD//wbbI//
dgoRKADT	napB//garD//ldtE//maeA//
dhaKLM	panE//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hycF//tynA//
dinJ_yafQ	gabT//
dksA_gluQ	fabD//
dmsABC	phnP//
dnaAN_recF	prpC//
dnaK_tpke11_dnaJ	recR//
dnaN_recF	cysG//
dnaTC	
dnaTC_yjjA	
dosCP	entD//gshB//
dpiBA	
dppABCDF	idnD//
dsbC_recJ_prfB	ydiF//gph//
dsbD_yjdC	
dsdXA	yqjG//ydiB//
dusB_fis	cmk//
dut_slmA	ybjI//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	garK//hisH//
efeOB	yagE//
efeU_1U_2	
elbB_mtgA	paaJ//
elfDCG_ycbUVF	
emrKY	narH//
entCEBAH	dapE//ldcC//sbcB//umuD//acpH//ansB//
envY_ompT	phnJ//
epd_pgk	glcF//paaE//
epd_pgk_fbaA	ygjK//manA//deoD//
essD_rrrD_rzpD	ttdB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	frdB//
eutHA	
eutNEJG	
eutSPQTDM	waaC//
evgAS	
exbBD	
fabDG_acpP	cysE//fadH//
fabG_acpP	tcdA//
fabHDG	ymdB//spoT//cmoA//
fabR_yijD	
fadBA	sdaB//sgbE//
fadD_sroD	frmA//
fadIJ	eptA//caiB//
fdnGHI	
fdoGHI_fdhE	dgoA//
fdrA_ylbEF_ybcF	napA//
fecABCDE	prpD//metB//
fecIR	
feoABC	amyA//
fepA_entD	prs//cysN//hyi//
fepDGC	nth//
fes_ybdZ_entF_fepE	pykA//napH//pdeR//
fetAB	
fhuACDB	ldcC//hyaC//
ficA_fic_pabA	ygjK//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dgt//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pck//entB//
folC_dedD	ulaD//
folD_ybcJ	rluC//
folE_yeiB	ilvE//
folP_glmM	ycjG//nadK//
folX_yfcH	ygiF//
frdABCD	mgsA//
frlABCDR	dgcZ//ugd//caiA//dfp//
frmRAB	proA//prpC//
fruBKA	ispU//bioH//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	hcaD//apt//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ravA//aspC//trpA//leuS//dgcP//rluE//aslA//citD//garL//glk//
ftsQAZ	
ftsYEX	
fucAO	proS//phnN//
fucPIKUR	citC//pgpA//poxB//mpaA//
fumAC	roxA//ascB//
fusA_tufA	
gabDTP	ispB//yihU//fadI//
gadAX	hyaC//
gadBC	hflX//rsmG//
gadEF	
gadEF_mdtEF	mepS//
gadXW	
galET	atoB//rihA//
galETK	trxB//uxuA//pdxA//
galETKM	paaF//panB//speA//sdaB//
gapA_yeaD	cobB//
gapC_1C_2	
garPLRK_rnpB	paaH//asnS//lpoA//miaB//nadC//rlmJ//
gatYZABCD	valS//gabT//kbaZ//
gatZABCD	gluQ//purH//entD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	ispF//entE//allA//rlmB//ppsA//
gcvTHP	waaQ//fabB//ghrB//
gfcBCD	
gfcE_etp_etk	gloA//mocA//
ghoST	ilvN//
glcBA	thiF//hcp//
glcDEFGBA	glcD//mak//allD//
glf_wbbH	ligA//
glgAP	metA//scpB//
glgBXCAP	pgaC//rsmD//sdhC//ydiO//hemG//
glgCAP	recG//ribD//narV//
glmUS	mepS//glgC//
glnALG	patD//
glnHPQ	ahpF//
glnK_amtB	ttdA//
glnLG	
glnW_metU_glnVX	
glpABC	cysI//
glpEGR	mocA//yjjG//
glpFKX	nhoA//ychF//moaE//
glpGR	rnpB//
glpTQ	proC//rsuA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yfdR//
glvCBG_ysdC	
glyQS	trpS//
glyVXY	
glyW_cysT_leuZ	
gntKU	tdcE//tmk//
gntRKU	mutM//trpE//
gntX_nfuA	
gpmM_envC_yibQ	hisF//recR//
groSL	
gspAB	
gspCDEFGHIJKLMO	gpmA//
guaBA	mltB//rsmB//
gudPXD	citF//narH//
hcaEFCBD	pyrF//nrdF//
hcp_hcr	trpS//pck//
hdeAB_yhiD	
hemA_prfA_prmC	gss//glcF//
hemCDXY	wzb//trmH//
hflD_purB	ydiB//
hfq_hflXKC	acpS//
hicAB	
higBA	dgoD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	rsmD//asd//ychF//lysC//
hipBA	lysC//
hisBHAFI	gloB//ssuE//glcF//citG//
hisJQMP	yeaE//pyrB//
hisLGDCBHAFI	nanE//selA//ybiV//alaS//rnb//fsaB//phnN//
hofMNOP	
holC_valS	glyQ//
holD_rimI_yjjG	ruvA//yniC//
hscBA_fdx_iscX	trpA//
hsdMS	atoD//
hsdRMS	gshB//
hslRO	
hslVU	mcrA//
hyaABCDEF	
hybOABCDEFG	gntK//
hycABCDEFGHI	sbcB//atoA//
hydN_hypF	thiM//
hyfABCDEFGHIJR_focB	ygeX//
hypABCDE	curA//
hypABCDE_fhlA	glcE//
hypBCDE	glyS//
hypBCDE_fhlA	dmlA//
iaaA_gsiABCD	kbaY//fumA//
ibaG_murA	betB//
ibpAB	
idnDOTR	lpxB//speC//ppc//
ileS_lspA_fkpB_ispH	serB//def//mdh//rnpB//
ilvEDA	sucD//scpA//aslA//citG//
ilvIH	fucU//
ilvLXG_1G_2MEDA	tdcD//tdcG//paaA//qor//insI-3//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yihX//
insN_1I_1O_1	mhpB//
insO_2_yjhWV	
iscRSUA	ligA//trpC//
ispDF	cobU//nadR//
ispG_sroE	yfbT//
isrC_flu	
ivbL_ilvBN	ushA//
ivbL_ilvBN_uhpABC	kdsA//
kbaZ_agaVWA	speD//
kbl_tdh	pabA//mhpE//
kdpDE	
kdpFABC	dapD//
kdsC_lptCAB	dgoK//caiA//
kefFC	dgoK//cysE//
kefGB_yheV	tsaE//
kilR_ydaE	
lacYA	ilvE//wecC//
lacZYA	nrdA//insI-3//dacC//
lapAB	
lapAB_pyrF_yciH	citX//
lepAB	glpA//
leuLABCD	dacA//tsaE//sdhB//
leuQPV	
leuS_lptE_holA_nadD_cobC	purH//cdsA//nrdA//
lexA_dinF	
lgt_thyA	rpiB//trxB//
ligA_ypeB	thiD//
livKHMGF	amyA//acnA//
lldPRD	yjhG//arnC//
lolA_rarA	
lolB_ispE_prs	rfaE//hemB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	thiI//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	efeB//yfiH//
lptFG	
lspA_fkpB_ispH	aroE//bioF//gltB//
lsrACDBFG_tam	yjjG//nadR//waaP//udk//
lsrRK	dcd//
ltaE_ybjT	ldcA//
lysT_valT_lysW	
macAB	fumA//
malEFG	leuS//
malK_lamB_malM	malP//yciA//
malPQ	acpS//yghU//
malXY	rihB//ydfG//
manXYZ	fbaA//
map_glnD_dapD	glnA//menC//aroC//
marRAB	
mazEFG	tsaB//
mcrBC	nudE//
mdlAB	
mdtABCD_baeSR	sbcB//
mdtEF	tsaD//
mdtJI	garD//
mdtM_yjiN	idnO//
mdtNOP	pdxH//
melAB	galK//moaA//
menA_rraA	nadB//
menBCE	bcsB//yfeX//ruvC//
menDHBCE	avtA//aroK//deoA//ybhA//gmhB//
menFDHBCE	oxc//aspA//mraY//tatD//yfiH//kdgK//
metBL	bioA//puuD//
metNIQ	paaY//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	nudE//mpl//acs//
metZWV	
mglAC	feaB//
mglBAC	frc//
mgtLA	ahpC//
mhpABCDFE	panE//folP//leuC//hemB//pspE//clsC//
mhpR_lacI	
miaA_hfq_hflXKC	yghA//gatY//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	queA//scpB//
mnaT_ydcZ	citD//
mngAB	thrS//puuD//
mnmG_rsmG	rlmI//trmD//
mntR_ybiR	
moaABCDE	scpA//fadD//
moaBCDE	allC//
mobAB	yjiA//
modABC	hycB//
modEF	
moeAB	yniC//ligB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	cdh//
mqsRA	pyrB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lplA//yjiA//galE//hcp//yfcF//otsB//mrcB//hycF//paaC//cysS//mltF//
mreBCD	
mreCD	
msrPQ	
mtlADR	gdhA//azoR//fabB//
mtn_btuF_yadS	pyrF//csdA//
murB_birA	thyA//truA//
murQP	dacA//yihU//nudJ//
murQP_yfeW	yagE//mak//folK//dgcZ//
mutL_miaA_hfq_hflXKC	luxS//atoA//yjjG//
mutY_yggX	patA//
mutY_yggX_mltC	pdeF//tsaB//
mutY_yggX_mltC_nupG	pepD//pfkA//gcl//
nadA_pnuC	gmm//yjeF//
nagBAC_umpH	gor//acpT//hemA//
nagK_cobB	nfsB//fabF//
nanATEK_yhcH	rsmH//citG//anmK//sucC//
nanCM	waaJ//gpmA//
nanCMS	hisF//tauD//
napFDAGHBC	kdsA//
napFDAGHBC_ccmABCDEFGH	glpK//glmS//
narGHJI	argC//
narWV	rlmF//
narXL	
narZYWV	mnmG//
nemRA	gph//
nemRA_gloA	suhB//lipA//
nfrBA	
nhaAR	glpB//
nikABCDER	entD//
nirBDC_cysG	pgpA//malY//fucU//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	yhdH//
nrdAB_yfaE	ogt//
nrdDG	rihA//nudB//
nrdHIEF	glgP//
nrdR_ribDE_nusB_thiL_pgpA	araD//cdh//valS//speE//
nrfABCDEFG	rluC//
nsrR_rnr_rlmB_yjfI	rsmH//dfp//
nudB_yebC_ruvC	sgbU//allC//
nudC_hemE_nfi	cpdA//thiH//
nudF_yqiB_cpdA_yqiA_parE	glgC//mnmG//
nuoABCEFGHIJKLMN	murD//
nuoMN	yigL//
ompR_envZ	
opgGH	
oppABCDF	nfi//purA//
osmF_yehYXW	paaC//
otsBA	hyaA//paaA//
paaABCDEFGHIJK	adhE//dmsC//frlD//tsaC//trpE//paoC//gpmM//
paaXY	hemC//
pabB_nudL	mrdA//pepD//
pabC_mltG_tmk_holB_ycfH	lpxM//yibQ//metB//
panBC	dadA//waaB//
panE_yajL	prmC//
paoABCD	atoA//
pcnB_folK	serA//yohF//
pdeI_dgcI	
pdhR_aceEF_lpd	hyaC//hisS//cobC//dcyD//dld//nhoA//
pdxA_rsmA	accD//dfp//
pdxA_rsmA_apaGH	waaL//paaZ//rhaA//
pdxB_usg_truA_dedA	lpd//lysU//
pdxH_tyrS_pdxY	mmuM//aldA//argS//
pdxJ_acpS	sdaB//fcl//
pepQ_yigZ_trkH_hemG	fre//torZ//feaB//
pflDC	
pgaABCD	asnS//uvrA//moaE//
pgk_fbaA	atoD//ybbO//
pgpC_tadA	metB//nudL//
pheLA	mhpA//
pheMST_ihfA	mcrA//
phnCDE_1E_2FGHIJKLMNOP	uxaA//dgt//cheR//caiA//hisC//recJ//murQ//
phnLMNOP	rlmI//ynfE//menD//der//narV//
phoA_psiF	valS//
phoBR	
phoPQ	
pldB_yigL	wcaJ//frdD//
plsX_fabHDG	bfr//gatD//lysS//
pntAB	
potABCD	glxR//
potFGHI	purK//
poxB_ltaE_ybjT	ugpQ//plsC//
ppdAB_ygdB_ppdC_recC	accD//
ppdD_hofBC	
ppiB_lpxH	pldB//astA//
ppk_ppx	dapE//thiG//
pqiAB	
preTA	ilvA//
prfB_lysS	gmhB//
priC_ybaM	
prlC_rsmJ	fabG//ydbC//
prlF_yhaV	ssuD//
prmB_aroC_mepA_yfcA_epmC_yfcL	yhhW//alr//pnp//fcl//
proBA	alr//hcaF//
proQ_prc	xylB//
proVWX	cheR//
prpBCDE	argK//rsmF//serC//ynfH//
psd_mscM	
pspABCDE	adhE//
pspBCDE	murF//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	lpd//rsmJ//
pth_ychF	rnpA//
ptrA_recBD	purM//upp//
ptsA_fsaB_gldA	ileS//dld//
ptsHI_crr	yqjG//mutT//puuC//
purEK	phoA//murQ//
purHD	hemF//bioB//
purMN	tadA//fabG//
puuAP	lpcA//rdgB//
puuCBE	tdcD//ubiD//moaA//
puuDRCBE	etk//yihX//suhB//cysI//
pyrF_yciH	frdC//
pyrG_eno	pflB//gatZ//
pyrLBI	ybiV//
qmcA_ybbJ	
qseBC	
radA_nadR	recR//
rapA_rluA	hmp//
ratAB	
ravA_viaA	
rbsDACBKR	gmm//fadJ//anmK//
rclABC	
rclBC	
rcnAB	pldA//
rcsDB	
rcsF_trmO	alsE//
rdgB_yggW	glgX//
rdoA_dsbA	ribC//pgk//
recAX	
recET_ralR_ydaC_xisR_intR	thyA//garL//
relA_mazEF	speE//
relBE	aceF//
relBE_hokD	coaE//
renD_emrE	hemH//
rfaD_waaFCL	uvrC//ugd//phnH//puuB//
rfbACX	ybcF//murQ//yghA//queF//
rfbBDACX	glxK//paaK//mngB//dhaM//lpoA//prpE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ynfF//nadD//dgcZ//trmH//glyQ//aldB//pyrC//glgP//fabF//
rhaBAD	napA//eptC//pinE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	speG//napG//torY//
ribF_ileS_lspA_fkpB_ispH	phnP//insI-2//pheT//citC//narH//
rimK_ybjN	dkgA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	abgB//entE//gnd//queF//hisG//tadA//hemA//murD//yjcS//ltaE//
rlmE_ftsH	dld//hemF//
rlmL_uup	mnaT//
rluD_yfiH	slt//katG//
rluE_nudJ	entC//tcdA//
rnc_era	phoA//
rnc_era_recO_pdxJ_acpS	emtA//tilS//hemB//kefF//
rnlAB	galK//
rnt_lhr	mutL//
rpe_gph_trpS	yhdJ//ruvA//dgcP//
rph_pyrE	aspA//patZ//
rpiR_alsBACE	lsrG//speE//
rplJL_rpoBC	frdB//
rplKAJL_rpoBC	upp//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	paaE//
rpmF_plsX_fabHDG	bglX//fkpA//waaC//
rpmH_rnpA	allB//purB//
rpmI_rplT	
rpoBC	murA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	purT//insI-1//citD//
rppH_ptsP	gadB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	atoB//
rpsO_pnp	yicI//ppc//
rpsP_rimM_trmD_rplS	folD//
rpsU_dnaG_rpoD	paaA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	iaaA//fabB//
rsmA_apaGH	mtn//dld//
rsmD_yhhL	katG//
rsmE_gshB	ruvA//nagA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yfcG//sdhB//pdeR//tadA//trmJ//mazG//pphB//cpdB//dacD//thiM//folX//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	pbpC//
rtcBA	maa//btuE//
rutABCDEFG	iaaA//ubiF//waaL//pphB//rlmA//ppiB//
ruvAB	acnB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	allC//
scpA_argK_scpBC	dusC//ubiH//guaD//rlmJ//
sdaCB	miaB//yqaB//
sdhCDAB_sucABCD	tam//hyaC//ileS//aspC//
sdhDAB	
sdhE_cptA	
secB_gpsA	ackA//
secE_nusG	
secG_leuU	
secMA_mutT	cysE//
selAB	entC//gcvT//
selD_topB	xapA//entB//
seqA_pgm	rsgA//
serB_radA	fklB//
serC_aroA	sad//thiL//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	hisH//
sgrST_setA	valS//
skp_lpxD_fabZ_lpxA	dgoD//prs//kdsA//
slp_dctR	
solA_yceO	yicI//
speAB	hycC//bcsB//
speF_potE	rluB//pldB//
srlAEBD_gutM_srlR_gutQ	kdgK//ilvM//accB//
sroG_ribB	ppk//
sspAB	
ssrS_fau	ansA//
ssuEADCB	glgP//yjjX//pbpC//
stfE_tfaE	
sucAB	ugd//alaC//gcvH//
sucABCD	glyA//bioC//oxc//paaG//
sufABCDSE	rlmH//
surA_pdxA_rsmA_apaGH	alaA//yfcF//fbp//fabI//
tag_yiaC	ldtE//
talA_tktB	fumB//fau//
tamAB_ytfP	
tar_tap_cheRBYZ	ispF//dcd//
tatABC	hisG//
tatABCD	recF//waaQ//
tauABCD	lpcA//lysS//
tdcABCDEFG	tcdA//folP//ldtB//puuA//argG//
tdcBCDEFG	efeB//ansB//metB//narG//tyrB//
tehAB	dut//astD//
tesA_ybbO	asnA//pgm//
tff_rpsB_tsf	
tgt_yajC	hyuA//
thiCEFSGH	gpmM//gcd//fadM//fadH//yieF//
thiMD	aroB//trpA//
thrLABC	mtlD//tktB//patD//
thrS_infC	rhaM//
thrS_infC_rpmI_rplT_pheMST_ihfA	aroC//clsC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	lpd//rhaD//
tolB_pal_cpoB	
tolC_ygiABC	paaH//aceA//metG//anmK//pphA//yjjG//chbF//ilvA//waaP//
tomB_hha	
topAI_yjhQ	
torCAD	ilvC//
torYZ	mltB//
treBC	dosC//leuS//
trmI_yggL	tktB//
trpCBA	yfdR//aceF//tam//rutB//
trpLEDCBA	gph//rsmJ//rsmE//ribB//gabT//argC//
tsaB_yeaY	truC//
tsaE_amiB_mutL_miaA_hfq_hflXKC	rpe//frdB//rluE//yliI//hemC//
ttdABT	aroC//mcrB//
tyrS_pdxY	alaS//aslA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	frdC//yjcS//
ubiEJB	epmC//
udk_dcd	dhaK//yfbR//
ugpBAECQ	yhdH//mhpA//
uhpABC	
uidABC	cobU//asnB//
ulaABCDEF	treF//yigL//trmO//insI-2//
umpG_pcm	melA//gshA//
umuDC	waaQ//
uof_fur	
upp_uraA	murE//gmhB//
usg_truA_dedA	fucA//
uvrYC	yfdE//
uxaCA	suhB//ghrB//
uxuAB	icd//nagA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	aroB//insI-1//
waaQGPSBOJYZU	nrdF//cynS//ampH//serA//pheS//galU//paoB//ppx//pnp//cof//
waaYZ	pnp//lpxB//
waaZU	lyxK//hcaB//
wbbIJK	serB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	arnB//fes//ribA//dut//scpB//sdhC//
wcaKLM	
wrbA_yccJ	wzc//
wza_wzb_wzc	rihB//mutM//
wza_wzb_wzc_wcaAB	thrC//cof//
xanQ_guaD_ghxQ	eda//ispG//yrfG//
xapAB	hyaB//tesA//
xdhABC	gsk//
xerD_dsbC_recJ	fadB//glcD//
xseB_ispA_dxs_yajO	tdcB//lhgO//betA//waaY//
xylAB	suhB//sucA//
xylFGHR	dcyD//
yabPQ	
yacC_speED	gsk//rutE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rsmH//
yafDE	
yafNOP	torZ//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	sodC//gsk//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	waaB//
ybaB_recR	ilvD//
ybaST	speC//
ybbAP	
ybbY_glxK	cysJ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pdxJ//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ahpC//
ybeZY	
ybeZYX_lnt	ymdB//
ybfHG	
ybfOC	
ybgA_phr	uxaA//
ybgC_tolQRA	
ybgIJKL_nei	lpxM//
ybgQPO	
ybhP_clsB_ybhN	serC//
ybiYW	
ybjC_nfsA_rimK_ybjN	hcaC//pdeH//
ybjJI	allD//
ybjO_rlmC	folB//
ybjQ_amiD	galK//
ycaI_msbA_lpxK_ycaQ	rdgB//thiE//
ycaR_kdsB	gudD//
ycbK_gloC	gldA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	nrfD//
yciCB	
yciGFE	
yciK_btuR	ydbC//
yciVOQ	ligB//
yciZT	
ycjMNOPQRSTUV_ymjB	solA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rsgA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	ilvD//yjjX//
ydcSTUV_patD	pnp//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	rnd//
ydgK_rsxABCDGE_nth	nirB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	rnb//pyrG//
ydiJ_menI_ydiH	cpsG//
ydiNB_aroD	recF//lldD//
ydiQRST_fadK	hycC//
ydjA_selD_topB	narZ//pfkA//
ydjLKJIHG	rne//
ydjXYZ_ynjABCD	
yeaGH	rnb//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ubiA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	rutA//glmS//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	chbG//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ydiF//fabG//
yejABEF	mrcB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	galU//
yfaX_rhmD	
yfaX_rhmD_yfaVU	entA//
yfbUT	epmC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	nfsB//
