# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patZ//
folD_ybcJ	nudJ//
folE_yeiB	rsmG//
folP_glmM	queF//bcsB//
folX_yfcH	lacA//
frdABCD	birA//
frlABCDR	sufS//ligB//mqo//argC//
frmRAB	araA//astB//
fruBKA	ubiE//ahr//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	btuE//yfeW//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	agp//dfp//asd//selA//cpsG//ruvA//ispA//ldhA//folA//mcrB//
ftsQAZ	
ftsYEX	
fucAO	pssA//treF//
fucPIKUR	ampD//deoB//glcD//yciA//
fumAC	lpxC//entH//
fusA_tufA	
gabDTP	yjjX//rhaD//pncB//
gadAX	arnC//
gadBC	citC//wzc//
gadEF	
gadEF_mdtEF	hisA//
gadXW	
galET	hemN//mrcA//
galETK	trmH//arnC//galU//
galETKM	fadB//atoA//avtA//murQ//
gapA_yeaD	ugpQ//
gapC_1C_2	
garPLRK_rnpB	malY//cdh//pncB//puuC//tauD//pfkB//
gatYZABCD	mgsA//paoB//fucI//
gatZABCD	mutS//ispH//phnO//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yrfG//gapA//yiaY//ilvC//rhaM//
gcvTHP	glyA//folK//phnO//
gfcBCD	
gfcE_etp_etk	atoA//yieF//
ghoST	purT//
glcBA	cyaA//ynfF//
glcDEFGBA	rhaD//xthA//fbaB//
glf_wbbH	fabI//
glgAP	pepD//patD//
glgBXCAP	tktB//dmsC//cysJ//ilvD//avtA//
glgCAP	speA//dmsA//mltF//
glmUS	thiD//hemC//
glnALG	mrcA//
glnHPQ	lipA//
glnK_amtB	yihX//
glnLG	
glnW_metU_glnVX	
glpABC	mnmE//
glpEGR	sucA//gpp//
glpFKX	mazG//poxB//thiD//
glpGR	yibQ//
glpTQ	cobC//ilvE//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ubiF//
glvCBG_ysdC	
glyQS	purA//
glyVXY	
glyW_cysT_leuZ	
gntKU	zwf//folM//
gntRKU	aes//fucA//
gntX_nfuA	
gpmM_envC_yibQ	hycE//rlmL//
groSL	
gspAB	
gspCDEFGHIJKLMO	glmM//
guaBA	rluA//hypF//
gudPXD	purK//prmC//
hcaEFCBD	mnaT//dld//
hcp_hcr	codA//metH//
hdeAB_yhiD	
hemA_prfA_prmC	astB//uvrB//
hemCDXY	dgcP//ispE//
hflD_purB	hpt//
hfq_hflXKC	dmsA//
hicAB	
higBA	arnT//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	yihX//puuA//paoA//yjjG//
hipBA	nrfB//
hisBHAFI	phnM//argE//kbaZ//yeiR//
hisJQMP	slt//serS//
hisLGDCBHAFI	citX//tauD//mtlD//rlmA//aphA//hcaC//hchA//
hofMNOP	
holC_valS	bioH//
holD_rimI_yjjG	nagB//pdeL//
hscBA_fdx_iscX	apt//
hsdMS	rsmJ//
hsdRMS	fabG//
hslRO	
hslVU	narY//
hyaABCDEF	
hybOABCDEFG	purM//
hycABCDEFGHI	amiD//aspA//
hydN_hypF	panC//
hyfABCDEFGHIJR_focB	citX//
hypABCDE	alsK//
hypABCDE_fhlA	ldtB//
hypBCDE	menH//
hypBCDE_fhlA	hemN//
iaaA_gsiABCD	waaQ//galT//
ibaG_murA	prmB//
ibpAB	
idnDOTR	cynS//sgbU//gsk//
ileS_lspA_fkpB_ispH	ada//ruvC//glgP//hypF//
ilvEDA	manA//yigL//rsmJ//amyA//
ilvIH	dhaK//
ilvLXG_1G_2MEDA	pyrF//gpmA//rihA//acpT//aroG//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	frlB//
insN_1I_1O_1	hemE//
insO_2_yjhWV	
iscRSUA	nhoA//dapF//
ispDF	coaD//waaG//
ispG_sroE	fucU//
isrC_flu	
ivbL_ilvBN	dld//
ivbL_ilvBN_uhpABC	argG//
kbaZ_agaVWA	paaC//
kbl_tdh	xdhC//trmJ//
kdpDE	
kdpFABC	tadA//
kdsC_lptCAB	tdcD//yahK//
kefFC	ybaS//frmA//
kefGB_yheV	recJ//
kilR_ydaE	
lacYA	accC//aceF//
lacZYA	etk//yibQ//purD//
lapAB	
lapAB_pyrF_yciH	psuK//
lepAB	pphA//
leuLABCD	ispU//entB//serB//
leuQPV	
leuS_lptE_holA_nadD_cobC	thiD//cysC//ileS//
lexA_dinF	
lgt_thyA	yjcS//leuA//
ligA_ypeB	guaA//
livKHMGF	trpE//thrB//
lldPRD	ubiC//nudE//
lolA_rarA	
lolB_ispE_prs	psd//hisD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	menA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ldtA//pgaD//
lptFG	
lspA_fkpB_ispH	scpA//argD//narG//
lsrACDBFG_tam	rsmD//pgsA//lysA//pdxJ//
lsrRK	bioF//
ltaE_ybjT	rsgA//
lysT_valT_lysW	
macAB	rluA//
malEFG	dmsA//
malK_lamB_malM	nadA//ychF//
malPQ	dgt//emtA//
malXY	lpxT//cysJ//
manXYZ	nudE//
map_glnD_dapD	ispE//entH//hpt//
marRAB	
mazEFG	clsB//
mcrBC	phnO//
mdlAB	
mdtABCD_baeSR	thiD//
mdtEF	mutS//
mdtJI	narV//
mdtM_yjiN	ulaF//
mdtNOP	yajO//
melAB	dapB//purC//
menA_rraA	add//
menBCE	patZ//entA//rfbD//
menDHBCE	paaH//anmK//ribF//tesB//ldcC//
menFDHBCE	phnH//hemC//ybiV//folM//mutM//fadM//
metBL	paaB//thiL//
metNIQ	dxs//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dadX//pdeF//pphA//
metZWV	
mglAC	mug//
mglBAC	napB//
mgtLA	gltA//
mhpABCDFE	ubiX//waaB//hycE//malS//cysN//rhaA//
mhpR_lacI	
miaA_hfq_hflXKC	yagF//ribF//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ybdL//tyrA//
mnaT_ydcZ	glyQ//
mngAB	deoC//cmoB//
mnmG_rsmG	poxB//cysN//
mntR_ybiR	
moaABCDE	yfiC//pgaC//
moaBCDE	mnmA//
mobAB	fadD//
modABC	phnG//
modEF	
moeAB	guaD//serC//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	yihU//
mqsRA	dfp//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glk//purN//mmuM//metH//pagP//metE//pagP//tyrA//mcrB//rnd//rihA//
mreBCD	
mreCD	
msrPQ	
mtlADR	preA//entB//nhoA//
mtn_btuF_yadS	ruvA//glmM//
murB_birA	lpoA//trmJ//
murQP	pabA//slt//ung//
murQP_yfeW	treA//cyaA//lpxP//phoA//
mutL_miaA_hfq_hflXKC	lysC//ruvB//tyrS//
mutY_yggX	paoA//
mutY_yggX_mltC	udk//thrC//
mutY_yggX_mltC_nupG	katG//mrcA//metF//
nadA_pnuC	idnO//ugd//
nagBAC_umpH	rffC//panE//nudE//
nagK_cobB	argI//mhpA//
nanATEK_yhcH	pfkB//nfi//fkpA//waaA//
nanCM	ynfE//gloA//
nanCMS	dgcC//treF//
napFDAGHBC	fbaA//
napFDAGHBC_ccmABCDEFGH	paoB//gatD//
narGHJI	ilvC//
narWV	dusA//
narXL	
narZYWV	ndk//
nemRA	ilvN//
nemRA_gloA	hemF//deoA//
nfrBA	
nhaAR	nagB//
nikABCDER	waaP//
nirBDC_cysG	dapA//ddlA//proC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gss//
nrdAB_yfaE	folC//
nrdDG	dmlA//idi//
nrdHIEF	birA//
nrdR_ribDE_nusB_thiL_pgpA	bglB//yfiC//sufS//fsaB//
nrfABCDEFG	gatD//
nsrR_rnr_rlmB_yjfI	dmlA//glyQ//
nudB_yebC_ruvC	mocA//selA//
nudC_hemE_nfi	purH//alaS//
nudF_yqiB_cpdA_yqiA_parE	trmO//paoB//
nuoABCEFGHIJKLMN	murG//
nuoMN	entH//
ompR_envZ	
opgGH	
oppABCDF	pncB//dusC//
osmF_yehYXW	mrdA//
otsBA	hycF//frdB//
paaABCDEFGHIJK	cyaA//aceB//garR//fsaA//ogt//aroC//kbaZ//
paaXY	adeD//
pabB_nudL	ppx//glpB//
pabC_mltG_tmk_holB_ycfH	waaC//rihC//dgoK//
panBC	deoB//yggF//
panE_yajL	gloC//
paoABCD	recO//
pcnB_folK	bioF//glgC//
pdeI_dgcI	
pdhR_aceEF_lpd	rsuA//ppk//anmK//ispD//queA//ansB//
pdxA_rsmA	nfsA//plsB//
pdxA_rsmA_apaGH	cysH//bglX//tesA//
pdxB_usg_truA_dedA	relA//cysD//
pdxH_tyrS_pdxY	fumC//hisC//hycG//
pdxJ_acpS	mhpE//cynT//
pepQ_yigZ_trkH_hemG	narZ//menD//astD//
pflDC	
pgaABCD	thiG//ydiO//cobS//
pgk_fbaA	folP//ushA//
pgpC_tadA	garL//trpA//
pheLA	kdsA//
pheMST_ihfA	cobC//
phnCDE_1E_2FGHIJKLMNOP	rpiB//speD//pcm//purC//mqo//nudB//metH//
phnLMNOP	purB//arnT//galK//pyrF//pdeR//
phoA_psiF	dgoK//
phoBR	
phoPQ	
pldB_yigL	yjeF//eptB//
plsX_fabHDG	epd//ybcF//prmB//
pntAB	
potABCD	bglX//
potFGHI	sseA//
poxB_ltaE_ybjT	wbbI//ung//
ppdAB_ygdB_ppdC_recC	codA//
ppdD_hofBC	
ppiB_lpxH	mepS//yiaY//
ppk_ppx	rsmI//tyrA//
pqiAB	
preTA	ispG//
prfB_lysS	galM//
priC_ybaM	
prlC_rsmJ	ssuE//yrfG//
prlF_yhaV	cheB//
prmB_aroC_mepA_yfcA_epmC_yfcL	puuB//ubiA//bioD//trmO//
proBA	sdhB//murC//
proQ_prc	ybbO//
proVWX	mhpB//
prpBCDE	queA//gmk//cpsB//ldtB//
psd_mscM	
pspABCDE	yihS//
pspBCDE	mltB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	rutA//hmp//
pth_ychF	astA//
ptrA_recBD	paaC//gcvH//
ptsA_fsaB_gldA	dmsC//astE//
ptsHI_crr	ubiD//ycjU//rlmA//
purEK	tdcG//puuB//
purHD	narV//acnA//
purMN	nanM//asd//
puuAP	fadJ//trmA//
puuCBE	galT//murD//thiI//
puuDRCBE	pdxY//dapF//tsaB//mhpE//
pyrF_yciH	tdcE//
pyrG_eno	glnE//udk//
pyrLBI	kduD//
qmcA_ybbJ	
qseBC	
radA_nadR	alaC//
rapA_rluA	frdC//
ratAB	
ravA_viaA	
rbsDACBKR	murQ//wzb//cueO//
rclABC	
rclBC	
rcnAB	frlD//
rcsDB	
rcsF_trmO	pyrI//
rdgB_yggW	frdB//
rdoA_dsbA	dnaE//glk//
recAX	
recET_ralR_ydaC_xisR_intR	deoD//folK//
relA_mazEF	coaD//
relBE	adhE//
relBE_hokD	amn//
renD_emrE	purD//
rfaD_waaFCL	ilvN//prmC//murA//pdxA//
rfbACX	ribE//dkgB//nanE//rluF//
rfbBDACX	nrdB//rlmD//acnA//paaZ//yieH//argG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	lpoB//fadA//yjhH//tauD//mhpD//fucU//truB//ileS//rlmC//
rhaBAD	ilvD//acpS//dfp//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	kefF//ldcC//nagB//
ribF_ileS_lspA_fkpB_ispH	menI//rffT//frlD//eptC//add//
rimK_ybjN	gloA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ynjE//yagE//ybjG//pldA//paaF//kdgK//gsk//fadK//mhpE//lacZ//
rlmE_ftsH	truD//puuA//
rlmL_uup	mnmA//
rluD_yfiH	dgoK//ydiF//
rluE_nudJ	thrC//rluA//
rnc_era	melA//
rnc_era_recO_pdxJ_acpS	purD//murE//hdhA//trmH//
rnlAB	pcm//
rnt_lhr	kduI//
rpe_gph_trpS	glpA//glk//phoA//
rph_pyrE	prs//wzc//
rpiR_alsBACE	idi//acpS//
rplJL_rpoBC	astB//
rplKAJL_rpoBC	pspE//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	scpB//
rpmF_plsX_fabHDG	fadI//fadD//hisH//
rpmH_rnpA	pck//purH//
rpmI_rplT	
rpoBC	ydjG//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pfkA//nudB//dgcM//
rppH_ptsP	hemD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	pgpA//
rpsO_pnp	serB//lgoD//
rpsP_rimM_trmD_rplS	deoC//
rpsU_dnaG_rpoD	entH//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	cysN//xylA//
rsmA_apaGH	menI//sucA//
rsmD_yhhL	paoC//
rsmE_gshB	guaA//ldtD//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ynfE//dkgA//otsA//feaB//ydbC//citE//phr//lsrF//hisS//fadJ//gcl//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	mnmA//
rtcBA	coaD//tnaA//
rutABCDEFG	mltC//gatD//patD//rlmB//leuC//ygjK//
ruvAB	garR//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	cysG//
scpA_argK_scpBC	ndh//tgt//ubiI//ygjK//
sdaCB	dinB//thrS//
sdhCDAB_sucABCD	tsaE//kbl//napG//mepS//
sdhDAB	
sdhE_cptA	
secB_gpsA	dcm//
secE_nusG	
secG_leuU	
secMA_mutT	rlmD//
selAB	pyrC//atoB//
selD_topB	rlmI//yciV//
seqA_pgm	gabT//
serB_radA	agp//
serC_aroA	adhP//sseA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	pabB//
sgrST_setA	fabI//
skp_lpxD_fabZ_lpxA	astC//paaY//garR//
slp_dctR	
solA_yceO	nfi//
speAB	pgsA//rsmJ//
speF_potE	nfsB//ilvH//
srlAEBD_gutM_srlR_gutQ	serA//rutD//aroE//
sroG_ribB	purN//
sspAB	
ssrS_fau	glpD//
ssuEADCB	fadE//arnC//mnmG//
stfE_tfaE	
sucAB	yjcS//citX//alaA//
sucABCD	trmJ//acpT//rffC//speF//
sufABCDSE	kbaZ//
surA_pdxA_rsmA_apaGH	dapD//dfp//cyaA//rlmJ//
tag_yiaC	fabZ//
talA_tktB	glpE//rlmH//
tamAB_ytfP	
tar_tap_cheRBYZ	ydfG//bioB//
tatABC	cueO//
tatABCD	pncB//folM//
tauABCD	ycaO//dmsA//
tdcABCDEFG	hcaC//pagP//cdd//rnb//rsmH//
tdcBCDEFG	proC//deoD//tktA//tyrS//ispA//
tehAB	dosP//murQ//
tesA_ybbO	mhpA//bacA//
tff_rpsB_tsf	
tgt_yajC	bioH//
thiCEFSGH	rutD//menB//ulaE//recG//rsmJ//
thiMD	tmk//trmL//
thrLABC	polA//nirB//glnS//
thrS_infC	solA//
thrS_infC_rpmI_rplT_pheMST_ihfA	fsaA//frc//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	araB//amiD//
tolB_pal_cpoB	
tolC_ygiABC	glnA//speE//mhpB//ldtD//ygeX//dapB//opgB//pagP//bcsZ//
tomB_hha	
topAI_yjhQ	
torCAD	fabG//
torYZ	cyoE//
treBC	acnB//dapE//
trmI_yggL	ldtD//
trpCBA	waaG//dkgB//torC//xapA//
trpLEDCBA	paaK//aes//ispA//pgpB//ligB//bioD//
tsaB_yeaY	ligA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	metB//menA//glgP//trpC//dgkA//
ttdABT	yeiG//acpT//
tyrS_pdxY	pheT//argC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	tesB//cobB//
ubiEJB	insI-1//
udk_dcd	mmuM//miaA//
ugpBAECQ	adeD//pncC//
uhpABC	
uidABC	rutD//hcaD//
ulaABCDEF	citF//def//nudB//uvrA//
umpG_pcm	entF//folE//
umuDC	poxB//
uof_fur	
upp_uraA	nudJ//hinT//
usg_truA_dedA	phnO//
uvrYC	yiaK//
uxaCA	nanM//moaD//
uxuAB	gsk//gshB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pdxK//edd//
waaQGPSBOJYZU	recF//rsmJ//yihV//adiA//phnG//napA//fkpB//dacA//prpE//cdd//
waaYZ	ilvD//proC//
waaZU	truA//yieH//
wbbIJK	trmO//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	hcp//hemB//menI//yeaG//surA//ppx//
wcaKLM	
wrbA_yccJ	agp//
wza_wzb_wzc	ahr//ydjG//
wza_wzb_wzc_wcaAB	paaH//aspC//
xanQ_guaD_ghxQ	ldcC//pflB//nrdE//
xapAB	mak//lsrF//
xdhABC	rlmE//
xerD_dsbC_recJ	araA//hycB//
xseB_ispA_dxs_yajO	ydbC//yagF//thrC//ansB//
xylAB	nrdB//mcrC//
xylFGHR	cheB//
yabPQ	
yacC_speED	ada//tsaC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	frc//
yafDE	
yafNOP	caiA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yeaE//emtA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	dld//
ybaB_recR	qor//
ybaST	amn//
ybbAP	
ybbY_glxK	coaD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	phnG//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	dusB//
ybeZY	
ybeZYX_lnt	aroG//
ybfHG	
ybfOC	
ybgA_phr	araB//
ybgC_tolQRA	
ybgIJKL_nei	ilvM//
ybgQPO	
ybhP_clsB_ybhN	efeB//
ybiYW	
ybjC_nfsA_rimK_ybjN	puuD//sodB//
ybjJI	lhgO//
ybjO_rlmC	aroC//
ybjQ_amiD	rhaB//
ycaI_msbA_lpxK_ycaQ	tgt//preT//
ycaR_kdsB	yfcG//
ycbK_gloC	nudI//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	cobU//
yciCB	
yciGFE	
yciK_btuR	lpxB//
yciVOQ	accB//
yciZT	
ycjMNOPQRSTUV_ymjB	fucK//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	eptB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	argG//opgB//
ydcSTUV_patD	pheS//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	nudC//
ydgK_rsxABCDGE_nth	srlD//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pyrI//purT//
ydiJ_menI_ydiH	lgoD//
ydiNB_aroD	pgaC//dxr//
ydiQRST_fadK	tpiA//
ydjA_selD_topB	opgB//garD//
ydjLKJIHG	maeA//
ydjXYZ_ynjABCD	
yeaGH	rsmI//
yeaR_yoaG	
yeaVW	
yebC_ruvC	pyrD//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	gldA//katG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pdxJ//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ynfH//hisG//
yejABEF	murG//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rsmJ//
yfaX_rhmD	
yfaX_rhmD_yfaVU	folM//
yfbUT	tilS//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	ilvM//
