# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	guaA//
gpmM_envC_yibQ	eptA//cysK//
groSL	
gspAB	
gspCDEFGHIJKLMO	entE//
guaBA	yghA//cmk//
gudPXD	sodA//yihX//
hcaEFCBD	ushA//lsrK//
hcp_hcr	entA//glpD//
hdeAB_yhiD	
hemA_prfA_prmC	rhaB//lplA//
hemCDXY	eutC//menC//
hflD_purB	pabA//
hfq_hflXKC	insI-3//
hicAB	
higBA	hdhA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hpt//etk//ilvI//prmB//
hipBA	glyA//
hisBHAFI	sufS//paoC//citE//deoC//
hisJQMP	glnS//rlmL//
hisLGDCBHAFI	yigB//xapA//cof//preT//pgaD//narY//argD//
hofMNOP	
holC_valS	serA//
holD_rimI_yjjG	lpxB//purD//
hscBA_fdx_iscX	birA//
hsdMS	glyQ//
hsdRMS	bioD//
hslRO	
hslVU	napC//
hyaABCDEF	
hybOABCDEFG	menF//
hycABCDEFGHI	rhaB//fklB//
hydN_hypF	yfiC//
hyfABCDEFGHIJR_focB	nrfC//
hypABCDE	ymdB//
hypABCDE_fhlA	glcB//
hypBCDE	mak//
hypBCDE_fhlA	folC//
iaaA_gsiABCD	dapF//rluC//
ibaG_murA	moeA//
ibpAB	
idnDOTR	lpxT//gabT//mazG//
ileS_lspA_fkpB_ispH	tatD//thiF//kdsC//purT//
ilvEDA	entC//hyaA//rnpA//kbaZ//
ilvIH	etp//
ilvLXG_1G_2MEDA	frdB//mrcA//deoB//pgi//curA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	eutD//
insN_1I_1O_1	emtA//
insO_2_yjhWV	
iscRSUA	serC//fre//
ispDF	xylA//puuD//
ispG_sroE	pcm//
isrC_flu	
ivbL_ilvBN	ydbC//
ivbL_ilvBN_uhpABC	pdxY//
kbaZ_agaVWA	bglX//
kbl_tdh	paaC//truB//
kdpDE	
kdpFABC	asnA//
kdsC_lptCAB	citE//kefF//
kefFC	rffC//fumC//
kefGB_yheV	hpt//
kilR_ydaE	
lacYA	ispE//pabC//
lacZYA	gltX//trmJ//tdcD//
lapAB	
lapAB_pyrF_yciH	ansA//
lepAB	lpoA//
leuLABCD	trmJ//ilvC//pgpA//
leuQPV	
leuS_lptE_holA_nadD_cobC	cysG//dhaL//recR//
lexA_dinF	
lgt_thyA	torY//ahr//
ligA_ypeB	phnP//
livKHMGF	yciA//fumC//
lldPRD	pdxA//lipB//
lolA_rarA	
lolB_ispE_prs	argA//hisS//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	zwf//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ybaS//argE//
lptFG	
lspA_fkpB_ispH	aroA//truB//cdsA//
lsrACDBFG_tam	fabG//pyrG//purE//aphA//
lsrRK	yfdE//
ltaE_ybjT	poxB//
lysT_valT_lysW	
macAB	ilvN//
malEFG	avtA//
malK_lamB_malM	yggF//alaC//
malPQ	entC//appA//
malXY	tnaA//betB//
manXYZ	upp//
map_glnD_dapD	gabD//bioA//rne//
marRAB	
mazEFG	aslA//
mcrBC	epd//
mdlAB	
mdtABCD_baeSR	btuR//
mdtEF	patA//
mdtJI	hyaA//
mdtM_yjiN	prpB//
mdtNOP	caiD//
melAB	ilvG_1//eptB//
menA_rraA	glcD//
menBCE	frlD//idnO//bioF//
menDHBCE	cobB//glyS//ileS//cpdA//thiE//
menFDHBCE	paaK//ycjU//mcrA//abgB//alkB//lpcA//
metBL	lacA//phnP//
metNIQ	speC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	hycF//xylA//alsK//
metZWV	
mglAC	narG//
mglBAC	entF//
mgtLA	metC//
mhpABCDFE	yigL//gudD//rsmA//glyA//nirD//coaE//
mhpR_lacI	
miaA_hfq_hflXKC	paaC//hycF//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pabA//rffT//
mnaT_ydcZ	cpdB//
mngAB	ynfF//yjiA//
mnmG_rsmG	katG//lsrK//
mntR_ybiR	
moaABCDE	carA//kbl//
moaBCDE	nirD//
mobAB	rnpA//
modABC	alaA//
modEF	
moeAB	gltA//pldB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	paaA//
mqsRA	tyrA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dut//ilvH//nudJ//uxuA//lsrG//gltA//dapB//ndk//xylB//waaG//fadA//
mreBCD	
mreCD	
msrPQ	
mtlADR	aspS//hisF//yfbT//
mtn_btuF_yadS	btuR//cyaA//
murB_birA	metG//thiG//
murQP	rffT//ybbO//mhpA//
murQP_yfeW	allC//yjjG//plsB//pfkB//
mutL_miaA_hfq_hflXKC	carB//dusC//cmk//
mutY_yggX	pphB//
mutY_yggX_mltC	dapD//ddlA//
mutY_yggX_mltC_nupG	puuE//pdxB//mepS//
nadA_pnuC	metE//dxr//
nagBAC_umpH	pgaD//pyrG//apaH//
nagK_cobB	waaL//poxB//
nanATEK_yhcH	ndh//metL//tcdA//mhpD//
nanCM	thiK//purA//
nanCMS	ispB//apaH//
napFDAGHBC	ynfE//
napFDAGHBC_ccmABCDEFGH	rdgB//deoA//
narGHJI	rnt//
narWV	manA//
narXL	
narZYWV	rlmL//
nemRA	treF//
nemRA_gloA	rdoA//tdcD//
nfrBA	
nhaAR	dmlA//
nikABCDER	pabC//
nirBDC_cysG	kduD//rffH//ribD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dxs//
nrdAB_yfaE	waaQ//
nrdDG	idnK//mltB//
nrdHIEF	murC//
nrdR_ribDE_nusB_thiL_pgpA	ispU//hmp//ssuE//lpxP//
nrfABCDEFG	ygiF//
nsrR_rnr_rlmB_yjfI	orn//fabB//
nudB_yebC_ruvC	arnT//frlB//
nudC_hemE_nfi	cadA//ndk//
nudF_yqiB_cpdA_yqiA_parE	miaB//citD//
nuoABCEFGHIJKLMN	fabB//
nuoMN	gstA//
ompR_envZ	
opgGH	
oppABCDF	umpG//argA//
osmF_yehYXW	rpiA//
otsBA	purU//yeiG//
paaABCDEFGHIJK	ltaE//yfiC//fabD//ulaD//ruvC//rsmJ//talA//
paaXY	frdB//
pabB_nudL	entH//mraY//
pabC_mltG_tmk_holB_ycfH	narY//dgoD//lysS//
panBC	epmC//nrdB//
panE_yajL	mhpC//
paoABCD	ampC//
pcnB_folK	nadA//serA//
pdeI_dgcI	
pdhR_aceEF_lpd	aldA//roxA//ruvB//otsB//frlB//mqo//
pdxA_rsmA	pfkA//clsA//
pdxA_rsmA_apaGH	lipA//pfkA//eptB//
pdxB_usg_truA_dedA	deoC//sdhC//
pdxH_tyrS_pdxY	gatD//ubiE//narG//
pdxJ_acpS	ppiC//uxaC//
pepQ_yigZ_trkH_hemG	cdsA//rsmE//murQ//
pflDC	
pgaABCD	phnN//phnH//fabA//
pgk_fbaA	murE//ldtC//
pgpC_tadA	suhB//thiD//
pheLA	hcp//
pheMST_ihfA	coaA//
phnCDE_1E_2FGHIJKLMNOP	yhdH//ahr//yciA//nudI//thiC//rph//mutS//
phnLMNOP	coaE//prs//rlmE//umuD//trpD//
phoA_psiF	nudG//
phoBR	
phoPQ	
pldB_yigL	lpxA//pdeR//
plsX_fabHDG	ilvD//rrrD//lysA//
pntAB	
potABCD	guaD//
potFGHI	pgaD//
poxB_ltaE_ybjT	phnG//napG//
ppdAB_ygdB_ppdC_recC	queG//
ppdD_hofBC	
ppiB_lpxH	glpX//bioA//
ppk_ppx	alr//tam//
pqiAB	
preTA	rph//
prfB_lysS	frlB//
priC_ybaM	
prlC_rsmJ	dut//nudC//
prlF_yhaV	tdcE//
prmB_aroC_mepA_yfcA_epmC_yfcL	insI-3//purM//glpD//pgpC//
proBA	aslA//menD//
proQ_prc	recO//
proVWX	thiE//
prpBCDE	mrcB//prpB//gltB//rutE//
psd_mscM	
pspABCDE	ilvC//
pspBCDE	gor//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	miaB//fabB//
pth_ychF	ulaE//
ptrA_recBD	pfkB//ugd//
ptsA_fsaB_gldA	nrdE//dcm//
ptsHI_crr	rluC//ascB//citF//
purEK	nudC//yqjG//
purHD	puuA//miaB//
purMN	tgt//aceB//
puuAP	dgoD//asnA//
puuCBE	rnd//psuK//fadD//
puuDRCBE	glcE//oxc//paaZ//arnC//
pyrF_yciH	cobT//
pyrG_eno	ispG//hemE//
pyrLBI	pdxB//
qmcA_ybbJ	
qseBC	
radA_nadR	gss//
rapA_rluA	hypF//
ratAB	
ravA_viaA	
rbsDACBKR	ugd//tilS//tesB//
rclABC	
rclBC	
rcnAB	sucB//
rcsDB	
rcsF_trmO	pagP//
rdgB_yggW	mcrA//
rdoA_dsbA	glpD//sbcB//
recAX	
recET_ralR_ydaC_xisR_intR	rutC//allB//
relA_mazEF	entA//
relBE	asnA//
relBE_hokD	ldhA//
renD_emrE	paaZ//
rfaD_waaFCL	rsmE//pabB//chbG//trmA//
rfbACX	dapB//murG//pdxH//pykA//
rfbBDACX	cyaA//ubiC//pgaB//ascB//pspE//chbF//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	entH//yigL//tmk//ssuE//pdeL//serA//rdgB//sgbE//mhpD//
rhaBAD	pck//nfi//argS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rpe//yfiH//leuA//
ribF_ileS_lspA_fkpB_ispH	narZ//pgk//fes//kduD//lsrK//
rimK_ybjN	plsB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ynfH//nrdE//citE//ycjG//pdxK//tmk//cpdB//glmU//rsmE//cysG//
rlmE_ftsH	murD//glgP//
rlmL_uup	hycE//
rluD_yfiH	pyrH//rnb//
rluE_nudJ	pflB//trpD//
rnc_era	alaA//
rnc_era_recO_pdxJ_acpS	birA//adhP//dapE//gss//
rnlAB	fadI//
rnt_lhr	eptC//
rpe_gph_trpS	nemA//glpX//hcaF//
rph_pyrE	dnaQ//yagF//
rpiR_alsBACE	rfaD//glgC//
rplJL_rpoBC	dadA//
rplKAJL_rpoBC	ravA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	miaB//
rpmF_plsX_fabHDG	dgkA//lgoD//ybiV//
rpmH_rnpA	ribE//uxaA//
rpmI_rplT	
rpoBC	bioC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pgsA//frdD//rffG//
rppH_ptsP	purA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	trpS//
rpsO_pnp	hemB//ybhA//
rpsP_rimM_trmD_rplS	pphB//
rpsU_dnaG_rpoD	moeA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	panE//truD//
rsmA_apaGH	plsB//menI//
rsmD_yhhL	ilvD//
rsmE_gshB	hisH//guaC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fumA//insI-2//argA//pldB//argK//argH//nagK//hcaC//gmm//rluC//ispB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	murG//
rtcBA	rsmE//apaH//
rutABCDEFG	pheS//ttdB//waaU//xylB//bioD//umpG//
ruvAB	rlmA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	allE//
scpA_argK_scpBC	pyrI//mhpD//tgt//rlmJ//
sdaCB	tdcG//ilvD//
sdhCDAB_sucABCD	nrfD//yfdR//mutS//fau//
sdhDAB	
sdhE_cptA	
secB_gpsA	dmsC//
secE_nusG	
secG_leuU	
secMA_mutT	roxA//
selAB	ung//yahK//
selD_topB	lysU//ldtE//
seqA_pgm	yfbR//
serB_radA	hypB//
serC_aroA	putA//hpt//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	adhE//
sgrST_setA	cyaA//
skp_lpxD_fabZ_lpxA	thrB//waaZ//epmB//
slp_dctR	
solA_yceO	rpe//
speAB	fucU//fucU//
speF_potE	sgbE//mnaT//
srlAEBD_gutM_srlR_gutQ	tdcB//prpB//gcl//
sroG_ribB	waaS//
sspAB	
ssrS_fau	rlmL//
ssuEADCB	ubiX//metA//ybcF//
stfE_tfaE	
sucAB	malS//ubiF//rffM//
sucABCD	yjhH//ddlA//yidA//thiE//
sufABCDSE	alaS//
surA_pdxA_rsmA_apaGH	ispG//umuD//paaK//rpe//
tag_yiaC	purU//
talA_tktB	gmk//mutL//
tamAB_ytfP	
tar_tap_cheRBYZ	pgaC//queF//
tatABC	fabZ//
tatABCD	mutM//eno//
tauABCD	paoA//truD//
tdcABCDEFG	rsuA//gadA//ygeX//hisI//yliI//
tdcBCDEFG	purU//speF//tsaC//preT//luxS//
tehAB	sad//yfeW//
tesA_ybbO	deoA//tadA//
tff_rpsB_tsf	
tgt_yajC	deoC//
thiCEFSGH	rluA//phnO//ldhA//dapF//ribB//
thiMD	waaB//pldB//
thrLABC	idnO//csdA//leuS//
thrS_infC	dcm//
thrS_infC_rpmI_rplT_pheMST_ihfA	moaE//bioD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	dgcM//apt//
tolB_pal_cpoB	
tolC_ygiABC	coaD//dacA//fadE//argS//ubiD//pyrB//wecB//dgcC//uidA//
tomB_hha	
topAI_yjhQ	
torCAD	tag//
torYZ	arnA//
treBC	tktB//tktB//
trmI_yggL	mmuM//
trpCBA	tesA//ldtE//atoB//bioD//
trpLEDCBA	talA//wcaJ//cysQ//thrB//nudF//fumB//
tsaB_yeaY	atoD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	queC//ruvB//panE//carA//tadA//
ttdABT	xapA//gloB//
tyrS_pdxY	umuD//alsK//
tyrTV_tpr	
tyrV_tpr	
ubiCA	xapA//yqaB//
ubiEJB	tsaE//
udk_dcd	tilS//fadH//
ugpBAECQ	recJ//serB//
uhpABC	
uidABC	rsuA//fadB//
ulaABCDEF	sgbE//apt//waaG//dapA//
umpG_pcm	fucU//frdB//
umuDC	gatZ//
uof_fur	
upp_uraA	nudB//aroE//
usg_truA_dedA	epd//
uvrYC	mraY//
uxaCA	tmcA//tauD//
uxuAB	torZ//tilS//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	folE//gstB//
waaQGPSBOJYZU	gloC//dnaE//gldA//qor//nadD//fabA//gudD//fabG//betB//hemD//
waaYZ	mnmC//pdxA//
waaZU	araB//mutS//
wbbIJK	rlmJ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	menC//argI//accD//menE//rsmF//cysI//
wcaKLM	
wrbA_yccJ	dgcT//
wza_wzb_wzc	folM//alsE//
wza_wzb_wzc_wcaAB	rlmM//manA//
xanQ_guaD_ghxQ	psuG//ispB//fadM//
xapAB	ascB//allE//
xdhABC	manA//
xerD_dsbC_recJ	hinT//pheA//
xseB_ispA_dxs_yajO	yagE//lpxK//pspE//pyrG//
xylAB	ugpQ//atoA//
xylFGHR	aceF//
yabPQ	
yacC_speED	nfsB//queC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	waaS//
yafDE	
yafNOP	eptA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	pgaB//paaF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	bcsB//
ybaB_recR	narY//
ybaST	tesB//
ybbAP	
ybbY_glxK	mngB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rlmJ//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	serA//
ybeZY	
ybeZYX_lnt	astD//
ybfHG	
ybfOC	
ybgA_phr	ubiA//
ybgC_tolQRA	
ybgIJKL_nei	dusA//
ybgQPO	
ybhP_clsB_ybhN	cobU//
ybiYW	
ybjC_nfsA_rimK_ybjN	napG//birA//
ybjJI	paaY//
ybjO_rlmC	panD//
ybjQ_amiD	rutE//
ycaI_msbA_lpxK_ycaQ	mraY//rlmM//
ycaR_kdsB	allA//
ycbK_gloC	narH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	truB//
yciCB	
yciGFE	
yciK_btuR	tag//
yciVOQ	ruvB//
yciZT	
ycjMNOPQRSTUV_ymjB	waaH//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	mhpE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	lpxB//nadC//
ydcSTUV_patD	dacA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	murD//
ydgK_rsxABCDGE_nth	dgcC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ppiA//yeaG//
ydiJ_menI_ydiH	uxuB//
ydiNB_aroD	tsaE//hycF//
ydiQRST_fadK	mutL//
ydjA_selD_topB	prpE//fumA//
ydjLKJIHG	nrdF//
ydjXYZ_ynjABCD	
yeaGH	hcaB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fadK//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	frdB//cpsB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pyrH//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	cysQ//deoC//
yejABEF	phnJ//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pgpA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	truC//
yfbUT	rlmF//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	appA//
