# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnG//
deoBD	glxR//glpK//
deoCABD	yihV//rffM//pyrH//thiK//
dgoRKADT	pgaC//thrS//rihC//waaG//
dhaKLM	lpxK//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	lpxA//gcl//
dinJ_yafQ	yagF//
dksA_gluQ	tpiA//
dmsABC	opgB//
dnaAN_recF	dusA//
dnaK_tpke11_dnaJ	trxB//
dnaN_recF	folX//
dnaTC	
dnaTC_yjjA	
dosCP	pyrH//pdxY//
dpiBA	
dppABCDF	paaK//
dsbC_recJ_prfB	mqo//rfbB//
dsbD_yjdC	
dsdXA	metB//maa//
dusB_fis	panB//
dut_slmA	orn//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	eptB//hypF//
efeOB	frlD//
efeU_1U_2	
elbB_mtgA	clsC//
elfDCG_ycbUVF	
emrKY	aceE//
entCEBAH	rfbB//tsaD//tktA//idnD//ydfG//dosC//
envY_ompT	pncA//
epd_pgk	purC//queA//
epd_pgk_fbaA	yccX//phr//dcd//
essD_rrrD_rzpD	truB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	folD//
eutHA	
eutNEJG	
eutSPQTDM	fumA//
evgAS	
exbBD	
fabDG_acpP	hycE//ulaG//
fabG_acpP	dusC//
fabHDG	talA//pdxJ//astC//
fabR_yijD	
fadBA	fbaA//ubiE//
fadD_sroD	trmL//
fadIJ	amyA//curA//
fdnGHI	
fdoGHI_fdhE	eno//
fdrA_ylbEF_ybcF	miaB//
fecABCDE	lpcA//ampC//
fecIR	
feoABC	sad//
fepA_entD	waaG//adeD//panC//
fepDGC	thiD//
fes_ybdZ_entF_fepE	ynfG//dnaQ//ravA//
fetAB	
fhuACDB	rffT//hemH//
ficA_fic_pabA	accA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	hemN//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	dmsC//hemG//
folC_dedD	hemE//
folD_ybcJ	nadD//
folE_yeiB	dgcM//
folP_glmM	ybiV//argC//
folX_yfcH	frmB//
frdABCD	purL//
frlABCDR	nanA//lipA//yhdH//uxaC//
frmRAB	rnpB//dadX//
fruBKA	dinB//frmB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	dcm//fumC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rsmH//rnpB//puuC//pdxK//mltF//ispB//napC//moeB//fre//epmC//
ftsQAZ	
ftsYEX	
fucAO	pldB//hyi//
fucPIKUR	apaH//selD//nudB//otsB//
fumAC	gutQ//rnt//
fusA_tufA	
gabDTP	paaA//hemG//waaB//
gadAX	apt//
gadBC	gatY//psuG//
gadEF	
gadEF_mdtEF	preT//
gadXW	
galET	arnB//glnA//
galETK	hyaC//appA//fsaA//
galETKM	nagB//cysG//dusC//rsmI//
gapA_yeaD	mrcA//
gapC_1C_2	
garPLRK_rnpB	pssA//fes//mltC//rnpA//citD//hypF//
gatYZABCD	thiH//speE//gsk//
gatZABCD	glgP//tmk//thiI//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	pheS//hycC//fabF//hycE//caiD//
gcvTHP	betB//queA//dusA//
gfcBCD	
gfcE_etp_etk	pdxH//lysS//
ghoST	pgl//
glcBA	murE//rffH//
glcDEFGBA	yliI//wbbI//bfr//
glf_wbbH	mmuM//
glgAP	rlmM//cysN//
glgBXCAP	waaO//paaC//nudE//cdsA//phr//
glgCAP	metL//menC//miaA//
glmUS	bioA//phnI//
glnALG	tyrB//
glnHPQ	yagF//
glnK_amtB	lysS//
glnLG	
glnW_metU_glnVX	
glpABC	tag//
glpEGR	yceF//nrfB//
glpFKX	gloA//kbaZ//purE//
glpGR	panD//
glpTQ	narI//argG//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ahpC//
glvCBG_ysdC	
glyQS	menE//
glyVXY	
glyW_cysT_leuZ	
gntKU	nudI//asd//
gntRKU	lpoA//bglA//
gntX_nfuA	
gpmM_envC_yibQ	nudG//citC//
groSL	
gspAB	
gspCDEFGHIJKLMO	cobB//
guaBA	avtA//rfaD//
gudPXD	dapB//umpH//
hcaEFCBD	fsaA//bioC//
hcp_hcr	moeA//pgsA//
hdeAB_yhiD	
hemA_prfA_prmC	idi//yegS//
hemCDXY	yegS//ybhA//
hflD_purB	fabH//
hfq_hflXKC	truB//
hicAB	
higBA	psuG//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ubiD//mug//gcl//lyxK//
hipBA	prpB//
hisBHAFI	waaH//mug//fadK//ppa//
hisJQMP	lsrF//scpA//
hisLGDCBHAFI	ldcA//entB//bcsA//cysK//pabA//pheS//dhaL//
hofMNOP	
holC_valS	cobT//
holD_rimI_yjjG	pgl//speA//
hscBA_fdx_iscX	hyaC//
hsdMS	ilvC//
hsdRMS	gmm//
hslRO	
hslVU	hemB//
hyaABCDEF	
hybOABCDEFG	gnd//
hycABCDEFGHI	argI//pepD//
hydN_hypF	rutB//
hyfABCDEFGHIJR_focB	narZ//
hypABCDE	nirD//
hypABCDE_fhlA	recJ//
hypBCDE	rhaB//
hypBCDE_fhlA	dgcP//
iaaA_gsiABCD	cynT//tilS//
ibaG_murA	kduD//
ibpAB	
idnDOTR	hycB//yihS//gnd//
ileS_lspA_fkpB_ispH	ushA//astC//trpA//gloC//
ilvEDA	mpaA//pyrD//bioB//dgcM//
ilvIH	metE//
ilvLXG_1G_2MEDA	gntK//nudF//cpsG//phnG//mdh//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	citG//
insN_1I_1O_1	phnJ//
insO_2_yjhWV	
iscRSUA	guaD//deoC//
ispDF	nudF//fumC//
ispG_sroE	fabB//
isrC_flu	
ivbL_ilvBN	torC//
ivbL_ilvBN_uhpABC	phr//
kbaZ_agaVWA	preT//
kbl_tdh	proA//allE//
kdpDE	
kdpFABC	asd//
kdsC_lptCAB	tdcB//mltF//
kefFC	tmcA//yfiC//
kefGB_yheV	kdsA//
kilR_ydaE	
lacYA	cof//glgC//
lacZYA	ydiO//mraY//valS//
lapAB	
lapAB_pyrF_yciH	gldA//
lepAB	cpdB//
leuLABCD	rutA//katE//murA//
leuQPV	
leuS_lptE_holA_nadD_cobC	nhoA//gmd//metE//
lexA_dinF	
lgt_thyA	accA//folK//
ligA_ypeB	yfcG//
livKHMGF	nudF//aroK//
lldPRD	aroH//mog//
lolA_rarA	
lolB_ispE_prs	xdhA//cysN//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	paaE//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mltC//arnB//
lptFG	
lspA_fkpB_ispH	acpH//selB//fucI//
lsrACDBFG_tam	dcyD//mak//narH//eutD//
lsrRK	pdxY//
ltaE_ybjT	prpE//
lysT_valT_lysW	
macAB	prmC//
malEFG	tadA//
malK_lamB_malM	glmU//phnO//
malPQ	yegS//rsmD//
malXY	galK//pdeH//
manXYZ	queA//
map_glnD_dapD	glpD//mazG//hflX//
marRAB	
mazEFG	hisF//
mcrBC	paaF//
mdlAB	
mdtABCD_baeSR	dgcC//
mdtEF	hycC//
mdtJI	trpA//
mdtM_yjiN	dacD//
mdtNOP	entH//
melAB	ppiC//otsA//
menA_rraA	alsE//
menBCE	dapF//paaC//guaB//
menDHBCE	ispU//maeA//kdgK//aslA//gcvP//
menFDHBCE	dosP//tgt//gadA//gpmA//ydbC//uidA//
metBL	waaU//psuK//
metNIQ	purB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	hisB//truD//nudJ//
metZWV	
mglAC	sseA//
mglBAC	mcrC//
mgtLA	bcsZ//
mhpABCDFE	rnpB//yieF//ynfF//phoA//tadA//rlmM//
mhpR_lacI	
miaA_hfq_hflXKC	gpsA//eutB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	yjjX//yihT//
mnaT_ydcZ	caiD//
mngAB	mnaT//trmJ//
mnmG_rsmG	nth//tcdA//
mntR_ybiR	
moaABCDE	fbaB//fucU//
moaBCDE	fkpB//
mobAB	uxaB//
modABC	prs//
modEF	
moeAB	yfdR//malP//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ruvA//
mqsRA	lpxH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ilvD//frc//ulaE//fabH//curA//menD//argG//menI//yieH//cdsA//tsaE//
mreBCD	
mreCD	
msrPQ	
mtlADR	fau//nagB//entC//
mtn_btuF_yadS	rbn//pgsA//
murB_birA	aroB//cyoE//
murQP	yagE//oxc//galM//
murQP_yfeW	cmk//feaB//pyrI//acpS//
mutL_miaA_hfq_hflXKC	ampH//mhpF//aslA//
mutY_yggX	hcaB//
mutY_yggX_mltC	pdeR//malY//
mutY_yggX_mltC_nupG	serB//pyrF//udp//
nadA_pnuC	metC//mog//
nagBAC_umpH	cysQ//trpC//paaG//
nagK_cobB	amyA//ubiX//
nanATEK_yhcH	mltC//gss//tdcD//guaD//
nanCM	pgl//udk//
nanCMS	narZ//ravA//
napFDAGHBC	betB//
napFDAGHBC_ccmABCDEFGH	aroF//cysQ//
narGHJI	metE//
narWV	murI//
narXL	
narZYWV	fklB//
nemRA	citC//
nemRA_gloA	caiC//metK//
nfrBA	
nhaAR	phnJ//
nikABCDER	murG//
nirBDC_cysG	pgk//nth//bioH//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	adhE//
nrdAB_yfaE	tmcA//
nrdDG	glxR//lpxC//
nrdHIEF	arsC//
nrdR_ribDE_nusB_thiL_pgpA	torY//pheA//xdhA//rffT//
nrfABCDEFG	tktB//
nsrR_rnr_rlmB_yjfI	arnB//insI-2//
nudB_yebC_ruvC	mtgA//gdhA//
nudC_hemE_nfi	citC//waaC//
nudF_yqiB_cpdA_yqiA_parE	speD//yfiH//
nuoABCEFGHIJKLMN	thrS//
nuoMN	dxs//
ompR_envZ	
opgGH	
oppABCDF	yidA//asnS//
osmF_yehYXW	citX//
otsBA	udp//leuB//
paaABCDEFGHIJK	insI-3//fdhF//uvrB//mltF//atoA//ubiX//paaE//
paaXY	ghrB//
pabB_nudL	chbG//pnp//
pabC_mltG_tmk_holB_ycfH	ldtA//entB//citF//
panBC	fdhF//narI//
panE_yajL	yicI//
paoABCD	paoA//
pcnB_folK	hypF//gss//
pdeI_dgcI	
pdhR_aceEF_lpd	nanA//aslA//aroF//xdhA//ppx//cdsA//
pdxA_rsmA	putA//dgkA//
pdxA_rsmA_apaGH	purC//ogt//puuA//
pdxB_usg_truA_dedA	rsmF//pfkA//
pdxH_tyrS_pdxY	allA//malZ//poxB//
pdxJ_acpS	phnO//glgB//
pepQ_yigZ_trkH_hemG	pabB//pbpC//sodB//
pflDC	
pgaABCD	ydiO//rlmA//pgaD//
pgk_fbaA	pdxH//cynT//
pgpC_tadA	wbbI//wzc//
pheLA	gltB//
pheMST_ihfA	mobA//
phnCDE_1E_2FGHIJKLMNOP	poxB//purH//cpsG//ybjG//deoC//purH//thiF//
phnLMNOP	sgbE//idnD//ugd//menD//murG//
phoA_psiF	nagB//
phoBR	
phoPQ	
pldB_yigL	prmC//rutD//
plsX_fabHDG	cadA//rhaB//mtn//
pntAB	
potABCD	yrfG//
potFGHI	nudB//
poxB_ltaE_ybjT	moaE//pphA//
ppdAB_ygdB_ppdC_recC	kefF//
ppdD_hofBC	
ppiB_lpxH	mcrC//fucO//
ppk_ppx	nudJ//rluC//
pqiAB	
preTA	tyrB//
prfB_lysS	ydiB//
priC_ybaM	
prlC_rsmJ	paaA//asnA//
prlF_yhaV	adiA//
prmB_aroC_mepA_yfcA_epmC_yfcL	glpQ//gmhB//coaA//menF//
proBA	ascB//betB//
proQ_prc	scpC//
proVWX	alr//
prpBCDE	yigB//ubiD//sodC//ilvB//
psd_mscM	
pspABCDE	yliI//
pspBCDE	rutC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	speA//paoC//
pth_ychF	acpT//
ptrA_recBD	menH//rnd//
ptsA_fsaB_gldA	ddlA//dnaE//
ptsHI_crr	emtA//mhpC//yfeX//
purEK	prmB//wzc//
purHD	pgm//tyrS//
purMN	dgoD//asnA//
puuAP	nirB//hycG//
puuCBE	glpD//nadE//gloB//
puuDRCBE	ada//recG//ybjI//narH//
pyrF_yciH	folE//
pyrG_eno	pgaC//aceA//
pyrLBI	pepD//
qmcA_ybbJ	
qseBC	
radA_nadR	pnp//
rapA_rluA	katE//
ratAB	
ravA_viaA	
rbsDACBKR	mgsA//torA//frdA//
rclABC	
rclBC	
rcnAB	kduD//
rcsDB	
rcsF_trmO	mutL//
rdgB_yggW	iaaA//
rdoA_dsbA	aspC//lpxL//
recAX	
recET_ralR_ydaC_xisR_intR	rfaD//bacA//
relA_mazEF	moaD//
relBE	tsaB//
relBE_hokD	metC//
renD_emrE	paaI//
rfaD_waaFCL	def//trmD//leuC//ulaG//
rfbACX	argG//yhdJ//wecB//lpxC//
rfbBDACX	ulaD//aroH//pck//kdsA//sthA//adhE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ppiB//hcaB//murA//queA//astB//mrdA//abgB//nrfB//ynfH//
rhaBAD	fucO//ilvB//hypB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	entA//cdh//entB//
ribF_ileS_lspA_fkpB_ispH	pgk//uidA//rpiA//sodA//rffM//
rimK_ybjN	fabG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ppc//dgoD//hisS//surA//ligB//pdeR//rihB//narY//phoA//pgaC//
rlmE_ftsH	hisH//bioC//
rlmL_uup	rffH//
rluD_yfiH	murA//moeA//
rluE_nudJ	wbbI//ada//
rnc_era	ldtC//
rnc_era_recO_pdxJ_acpS	yjiA//hyi//hcaE//yciA//
rnlAB	ldtD//
rnt_lhr	paaG//
rpe_gph_trpS	nudB//ldtE//ubiC//
rph_pyrE	argI//dcd//
rpiR_alsBACE	speC//gstB//
rplJL_rpoBC	rihC//
rplKAJL_rpoBC	fes//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	glmU//
rpmF_plsX_fabHDG	sucD//ansA//waaZ//
rpmH_rnpA	rihB//tktB//
rpmI_rplT	
rpoBC	araA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	wzb//agp//spoT//
rppH_ptsP	ahr//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	lpxA//
rpsO_pnp	def//yfdR//
rpsP_rimM_trmD_rplS	sodB//
rpsU_dnaG_rpoD	adiA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ydiO//tcdA//
rsmA_apaGH	xylA//ribE//
rsmD_yhhL	guaC//
rsmE_gshB	alsE//rsmG//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mltB//rutD//murD//puuD//suhB//wecC//acpS//tsaD//hemL//yihU//pdxA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	kdsA//
rtcBA	thiD//lipB//
rutABCDEFG	yqaB//frlB//bioD//ynjE//mltB//speC//
ruvAB	leuD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	epmB//
scpA_argK_scpBC	manA//pyrG//fumA//pykA//
sdaCB	dusC//panB//
sdhCDAB_sucABCD	dgcZ//rph//hyi//ssuD//
sdhDAB	
sdhE_cptA	
secB_gpsA	pcm//
secE_nusG	
secG_leuU	
secMA_mutT	metH//
selAB	uxuA//glcF//
selD_topB	recJ//panC//
seqA_pgm	scpB//
serB_radA	fucU//
serC_aroA	glnS//ribF//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	btuE//
sgrST_setA	argD//
skp_lpxD_fabZ_lpxA	rlmJ//ackA//edd//
slp_dctR	
solA_yceO	dgcP//
speAB	sgbE//cysG//
speF_potE	hisC//yihU//
srlAEBD_gutM_srlR_gutQ	garL//otsB//ppa//
sroG_ribB	epmB//
sspAB	
ssrS_fau	yagE//
ssuEADCB	dkgB//cdsA//pncB//
stfE_tfaE	
sucAB	dgcT//sseA//ybiV//
sucABCD	selD//glyQ//hisC//chbF//
sufABCDSE	fadM//
surA_pdxA_rsmA_apaGH	ubiH//plsC//sgbU//argF//
tag_yiaC	deoC//
talA_tktB	cysK//fucI//
tamAB_ytfP	
tar_tap_cheRBYZ	ulaG//ddlB//
tatABC	pepD//
tatABCD	rnpA//clsA//
tauABCD	galM//hmp//
tdcABCDEFG	polA//panD//lpxH//fkpA//bglX//
tdcBCDEFG	pgl//katE//anmK//dapF//pagP//
tehAB	rfbD//mltA//
tesA_ybbO	waaS//trmI//
tff_rpsB_tsf	
tgt_yajC	thiF//
thiCEFSGH	gudD//hyuA//pinE//maa//lpxB//
thiMD	trpS//hyi//
thrLABC	hycB//rsmA//hisI//
thrS_infC	birA//
thrS_infC_rpmI_rplT_pheMST_ihfA	rfbA//glcD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ydiB//icd//
tolB_pal_cpoB	
tolC_ygiABC	mtlD//rnd//yjhH//tyrS//kdsA//hemC//ydfG//rsmE//luxS//
tomB_hha	
topAI_yjhQ	
torCAD	kdsB//
torYZ	pinE//
treBC	cdsA//lpxC//
trmI_yggL	pykA//
trpCBA	polB//rlmH//ileS//nrfA//
trpLEDCBA	hdhA//puuC//ravA//ghrB//nudF//mpaA//
tsaB_yeaY	avtA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	mocA//nfi//lsrK//mhpE//rlmM//
ttdABT	truA//dosP//
tyrS_pdxY	wzb//allA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rutA//psd//
ubiEJB	putA//
udk_dcd	cobC//epmC//
ugpBAECQ	eptA//ldtD//
uhpABC	
uidABC	waaS//dcd//
ulaABCDEF	cheR//cobU//pyrD//waaC//
umpG_pcm	rlmJ//pyrG//
umuDC	nagK//
uof_fur	
upp_uraA	mhpB//xapA//
usg_truA_dedA	patZ//
uvrYC	dam//
uxaCA	dcd//pgpB//
uxuAB	sad//hyaC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	epmB//fabA//
waaQGPSBOJYZU	ybaS//leuC//idnK//rsgA//nth//gapA//ispH//dhaL//aspS//murC//
waaYZ	caiD//dgcT//
waaZU	treA//mutT//
wbbIJK	paaY//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	rihB//lpoA//sdaB//alkA//folX//ribA//
wcaKLM	
wrbA_yccJ	gatY//
wza_wzb_wzc	garL//tmk//
wza_wzb_wzc_wcaAB	frdA//phnJ//
xanQ_guaD_ghxQ	galU//speB//uxaC//
xapAB	pyrC//fadJ//
xdhABC	rluD//
xerD_dsbC_recJ	gstA//arsC//
xseB_ispA_dxs_yajO	nudE//malS//rlmD//ampD//
xylAB	ilvD//melA//
xylFGHR	asnB//
yabPQ	
yacC_speED	uxuB//astC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	pflB//
yafDE	
yafNOP	ubiG//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	cheR//eutB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ssuD//
ybaB_recR	malP//
ybaST	nudK//
ybbAP	
ybbY_glxK	thyA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	aroE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	rpiA//
ybeZY	
ybeZYX_lnt	mpl//
ybfHG	
ybfOC	
ybgA_phr	metK//
ybgC_tolQRA	
ybgIJKL_nei	ubiG//
ybgQPO	
ybhP_clsB_ybhN	nemA//
ybiYW	
ybjC_nfsA_rimK_ybjN	glnS//metG//
ybjJI	lsrG//
ybjO_rlmC	mhpC//
ybjQ_amiD	apaH//
ycaI_msbA_lpxK_ycaQ	pck//cysI//
ycaR_kdsB	zwf//
ycbK_gloC	pyrB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	cysM//
yciCB	
yciGFE	
yciK_btuR	epd//
yciVOQ	waaL//
yciZT	
ycjMNOPQRSTUV_ymjB	narG//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rlmD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fcl//phnJ//
ydcSTUV_patD	ydiF//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	adhP//
ydgK_rsxABCDGE_nth	yhdJ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	phnL//cysN//
ydiJ_menI_ydiH	murE//
ydiNB_aroD	rfbA//zwf//
ydiQRST_fadK	dut//
ydjA_selD_topB	paoC//thiI//
ydjLKJIHG	aroK//
ydjXYZ_ynjABCD	
yeaGH	rbsD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ulaE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hycB//cysJ//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gsk//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	purM//thrC//
yejABEF	menD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	wbbI//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yidA//
yfbUT	phoA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	guaC//
