# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	sufS//ynfE//
IdnR	alkB//cysI//entH//metB//polA//galE//
IlvY	chbF//
IscR	puuE//malQ//paaK//chbF//pck//trpC//
KdgR	leuC//gltD//
KdpE	astB//
LacI	gpmM//xylA//moaA//
LeuO	ulaE//mltF//ascB//fdhF//nadB//fadB//
LexA	galT//glpA//murI//purL//uvrB//garD//ulaE//rfe//argF//idnD//garR//glpD//rutC//aldA//ribA//xylB//dgcC//cysH//hycC//fau//rutE//
LldR	hcaC//fabH//
LrhA	
LsrR	hemH//allA//allA//ulaE//pheS//
LysR	hycC//
MalI	ttdB//ruvA//
MalT	hcaF//dacC//ssuD//glgC//aroF//pheS//
MarA	uvrA//fucO//aspC//pfkA//phnJ//metC//tdcD//guaA//phnO//prpB//ulaE//phnG//patA//leuD//aroH//relA//gudD//lhgO//idnO//polA//dinB//nrfC//trpD//
MarR	
MatA	pgaD//
MazE	gloA//
MazE-MazF	rutA//
McbR	
MelR	pncB//rimK//
MetJ	gudD//metK//tdcB//pnp//aceE//paaI//fruK//nemA//caiB//gcvT//
MetR	glcF//argC//argI//mnmG//
MhpR	dmsA//hycD//uxuB//katG//ada//alsE//
Mlc	wzb//rutD//yeaG//aroH//
MlrA	fes//
MngR	garK//fadJ//
MntR	allC//pheT//
ModE	gatZ//ugpQ//nanK//moaD//rfe//ribA//add//paaK//phr//metK//betB//garR//deoB//cysG//
MprA	asnA//narI//betB//
MqsA	prpE//gutQ//
MraZ	purC//cdd//ttdB//bglB//gcvP//glcB//phnL//murG//fabZ//mhpE//galK//
MtlR	garL//phnG//prs//
MurR	nirD//edd//ulaD//
Nac	argF//caiB//glgB//mazG//gpmA//ynfE//sgbU//frdA//gatY//rffM//
NadR	ybjG//yqjH//dgkA//xylB//
NagC	cysJ//astA//rffT//ybaS//lysC//ybaS//nrfA//oxc//sgbH//pykF//thrS//ubiX//luxS//paaY//ynfG//aspC//fucK//accD//gcvH//
NanR	relA//polB//purD//pgk//tadA//phnI//
NarL	cysN//frc//folE//garR//caiC//frdB//dinB//prs//ubiC//edd//glgA//ppiA//rsmH//alsE//napB//sgbU//codA//mtlD//astC//cysE//paaK//tyrB//ppiA//phnH//gntK//prpB//wrbA//gutQ//ldtB//glgX//accA//ldtD//polA//ynfE//trpE//fdhF//
NarP	ybjG//argH//alaC//aceE//phnN//mpaA//phnH//metL//yeaG//treC//purA//
NemR	psd//mpl//
NhaR	narI//purC//paaA//astA//bioB//
NikR	adhE//
NimR	frdA//
NorR	umuC//
NrdR	napB//hemH//psd//pdeH//
NsrR	lpxA//glmS//ppiA//uxuA//lysC//glpD//ldtB//dacC//galM//dinB//prpE//thrS//ndh//hcaF//cueO//hycD//adiA//aroH//gudD//tdcG//nfsB//ppc//nfsA//mdh//ahpC//cysJ//ndh//tnaA//fabA//deoB//glyA//citE//accA//talA//glxK//caiC//
NtrC	adhE//cdd//mhpF//ynfF//entB//ulaE//ilvC//fadM//cyoE//purC//gpmM//paaE//aroH//prs//caiB//phr//torA//nfsB//tktB//ssuE//pagP//
OmpR	mhpA//codA//entA//carB//pdeL//eno//zwf//lhgO//
OxyR	fucO//rhaB//hmp//folE//pagP//fruK//uxaC//fabB//fadJ//ilvC//glgA//mngB//nrfD//umpH//
PaaX	frdD//hyaC//phnG//rffG//pck//malS//pyrC//moaA//truB//
PdeL	phnP//
PdhR	paaB//fadD//purA//sdhC//alaC//patD//aceB//lpxC//appA//srlD//rnpB//gpmM//torC//ugpQ//frdC//bioC//rffM//psd//mhpD//fabD//mdh//fadH//galM//eda//paaB//moeA//
PepA	phnH//codA//
PgrR	yeaE//entH//
PhoB	pyrD//hcp//aspC//purF//dhaL//ldtD//argI//napC//yfdE//rbsK//citD//pyrC//gltD//sodA//torA//speB//umuC//mhpA//
PhoP	carB//rsmH//fadA//argG//argE//murC//alaC//yfdE//aroF//aceB//ruvB//accA//sodB//nrdF//gadB//glgC//nadA//acnA//ppiA//sodB//murC//hcaC//pdeH//nagA//galE//purK//murE//dkgB//pflB//ulaD//allB//paaK//trpB//
PrpR	alkA//fau//tyrB//argG//
PspF	purF//
PurR	mhpC//psd//hycG//folA//ilvC//umuC//betB//idnK//mhpC//rimK//purL//glcB//xapA//tynA//malY//ogt//fadH//malY//dhaL//caiC//glk//adhE//acnB//ilvC//purC//citE//
PutA	puuB//hmp//
PuuR	argF//bacA//aroF//amn//xylB//ssuE//
QseB	
RbsR	betA//glpC//rbsK//mltF//glpQ//nagA//
RcdA	astB//
RclR	
RcnR	chbF//
RcsAB	murQ//asnB//sdhA//
RcsB	nagA//ulaG//aceE//gatD//
RcsB-BglJ	pheT//trpC//
RelB	dmsC//
RelB-RelE	treC//
RhaR	
RhaS	wzc//gabD//iscS//malZ//
Rob	rffM//guaB//fes//citF//xylB//ssuE//frdB//fucI//sufS//mdh//polA//uidA//bioC//napB//ftnA//cyoE//sdhA//icd//rutD//
RstA	gpmM//ascB//tyrA//
RtcR	trpB//hycB//
RutR	deoC//glgB//dmsC//purB//appA//fadE//napG//rutC//kbaZ//purC//cysN//
SdiA	
SgrR	poxB//garK//hyaA//
SlyA	
SoxR	lacA//
SoxS	nirB//aroL//uvrB//uxaC//pgaB//nemA//phnH//frdC//glmS//glpK//dhaK//cdd//fumB//ppsA//trpC//pheT//ubiA//glpC//fucA//entC//nrdB//astB//mtlD//lpxC//wecB//galT//
StpA	polA//rbsD//lysC//
SutR	ubiA//gatY//
TdcA	metA//araA//entA//cysD//mhpC//
TdcR	puuB//paaC//glcF//pflB//lacZ//
TorR	eno//allD//frdB//cysK//
TreR	puuD//glgX//
TrpR	glpK//aceE//sucC//ulaG//lsrF//torC//glpQ//kbaY//srlD//
TyrR	torC//glpD//phnM//yeaG//rhaA//treC//fadJ//hycB//paaH//
UhpA	rffH//
UidR	paaY//glpD//
UlaR	rffM//yqjH//astD//moaA//metA//
UvrY	gcl//phnL//
UxuR	caiC//galM//rffG//folA//ubiX//
XapR	kbaY//nrdD//
XylR	argF//ftsI//ubiX//
YdeO	galT//cynT//pdeL//
YedW	murD//alkA//mngB//
YefM	mazG//
YefM-YoeB	mltF//
YehT	
YeiL	
YiaJ	galK//yiaK//xylB//argG//uvrA//ppiA//
YjjQ	katG//
YpdB	
YqhC	metA//frdB//
YqjI	trpB//
ZntR	accA//
ZraR	
Zur	allA//
