# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	sucC//lpd//
NarL	araB//nfsA//fadM//sufS//ddlB//trpE//pheT//glcF//napG//cadA//phoA//fadJ//citC//udp//glyA//citE//rsmH//ampC//hycG//frdC//trpE//metC//sucC//trpD//gcl//dkgA//ulaE//pnp//fucO//argB//cysE//cysH//idnO//aceE//purF//lacA//
NarP	paaF//kbaY//prpB//cysI//lysC//uvrA//sdhD//nadB//ftnA//ndh//entC//
NemR	citE//glnA//
NhaR	mazG//mnmG//aroG//metL//purL//
NikR	caiB//
NimR	speA//
NorR	gcl//
NrdR	sufS//waaH//pgaD//ruvB//
NsrR	galK//ascB//glpB//glcB//mhpF//sodB//glpB//katG//hemH//pagP//ftnA//gcvH//ldtC//dacC//citF//aldA//cynS//psd//metE//uvrC//caiB//citC//cysI//prs//tktB//glk//ulaF//torC//allE//gutQ//fabG//gdhA//nirD//fabA//moaE//gcvP//
NtrC	deoC//phnL//xylB//gatZ//gatZ//feaB//uxaA//frdD//speB//alaC//araA//zwf//putA//lpxD//hycG//ruvB//ubiA//araA//lhgO//nrfC//alkA//
OmpR	uxuB//dgkA//polB//atoB//napG//pdeH//gnd//pncB//
OxyR	acnA//paaI//gpmM//araA//paaE//sodA//gltD//entA//ynfG//purA//eda//wzc//fau//pgk//
PaaX	mhpD//tauD//ppsA//phnO//ppiA//glxR//glgB//nrdD//lldD//
PdeL	hycC//
PdhR	tktB//aspC//fabG//citD//paaJ//tadA//lsrG//slt//ldtB//gutQ//sgbU//malS//purF//ulaG//lpxC//leuD//mhpF//glyA//puuC//nfsA//trpA//waaY//katE//rbsK//aroF//uidA//
PepA	glpB//lsrF//
PgrR	cynT//napH//
PhoB	paaF//sodA//murF//wecC//hycC//puuB//gpmA//garL//rfe//kbaY//dkgB//aceF//wecB//rpiB//gltB//torC//sgbH//caiD//
PhoP	galE//deoA//lpxD//purF//asnB//phnL//iscS//rdoA//metF//pck//ruvB//hcaF//murI//mngB//fucA//nrfC//atoA//hycE//folA//ribA//uidA//murI//fucA//hcaD//slt//alaS//prs//frdD//phnP//paaF//argC//guaA//fumB//
PrpR	bioA//ahpC//alaS//dmsB//
PspF	phnO//
PurR	glcE//ynfG//sucB//entB//ychF//hyaA//metF//pyrD//tadA//dapD//alsE//lpxD//ynfG//ogt//rdoA//feaB//sdhA//betA//ada//torA//murG//fadH//gcvH//tyrB//iscS//glmS//
PutA	purM//phnH//
PuuR	aceB//gcl//putA//hcaF//glxR//pykF//
QseB	
RbsR	caiA//asnB//mltF//purN//oxc//umuD//
RcdA	nrdE//
RclR	
RcnR	phnL//
RcsAB	glpA//murI//entD//
RcsB	cysN//icd//accD//frdA//
RcsB-BglJ	napA//rsmH//
RelB	pncB//
RelB-RelE	fbaB//
RhaR	
RhaS	caiA//dhaK//glpK//metL//
Rob	fumB//phnH//ada//hypF//cysM//napC//fadJ//glyA//atoA//icd//phnL//fumB//rhaD//argC//phnL//yeaG//citX//glxR//waaH//
RstA	araB//nrdD//glcD//
RtcR	moeB//purL//
RutR	rffT//citD//ugpQ//pgaC//nirB//atoA//cysI//ynfH//mpaA//folE//cysC//
SdiA	
SgrR	astB//feaB//hyaC//
SlyA	
SoxR	pspE//
SoxS	alaC//gadA//araD//napB//aceF//lyxK//puuD//glgP//trpA//ulaD//malZ//lhgO//glk//srlD//cysM//nadB//cadA//metH//fadE//astC//patA//uxuA//nrfA//murC//deoD//fau//
StpA	rutE//phnG//cysJ//
SutR	fadD//pyrD//
TdcA	pncB//sgbU//hcaD//glxK//tdcE//
TdcR	tynA//trpA//leuB//pgi//allB//
TorR	mhpE//nrdD//ssuE//carA//
TreR	gcvT//nanM//
TrpR	dmsA//cynT//epd//mhpD//asnB//alaS//fau//ahpC//fes//
TyrR	nagB//feaB//prs//pgaB//cadA//glmU//glgX//ulaE//gpmM//
UhpA	nirB//
UidR	aceE//trpA//
UlaR	wecC//polA//glpA//nanM//ssuD//
UvrY	argH//paaY//
UxuR	cysI//mdh//purM//rdoA//gapA//
XapR	murC//prpB//
XylR	gloA//garR//fadM//
YdeO	uvrC//acnA//glyA//
YedW	purN//rutC//murD//
YefM	lyxK//
YefM-YoeB	putA//
YehT	
YeiL	
YiaJ	sucC//phnG//waaH//puuC//guaA//paaC//
YjjQ	lysC//
YpdB	
YqhC	speB//cysI//
YqjI	caiD//
ZntR	dapB//
ZraR	
Zur	gatZ//
