# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	narH//cdd//
MetJ	purE//ppiA//mhpC//tdcG//dgcC//gltD//ybaS//waaZ//ilvC//carA//
MetR	uxuB//rffC//lpxA//hycE//
MhpR	glpQ//lacA//allA//ybaS//guaA//mngB//
Mlc	melA//paaK//lsrG//cysC//
MlrA	deoA//
MngR	hcaC//accA//
MntR	caiB//atoD//
ModE	lpd//nfsA//aroH//uxaC//ung//sucB//paaY//sucD//betA//purM//pagP//fadA//yqhD//gnd//
MprA	ubiC//aceE//fabA//
MqsA	katG//sodB//
MraZ	waaZ//caiC//rffC//cynT//nfsA//ybaS//paaK//gadA//trpB//gapA//trpE//
MtlR	gor//tnaA//fadA//
MurR	deoA//moaD//glmU//
Nac	alaC//sucA//nagA//lsrF//sgbE//rhaB//purL//argF//fadJ//glpD//
NadR	sodB//patA//caiC//phr//
NagC	sucA//slt//fadJ//mltF//dsdA//sodB//tdcG//pagP//nfsB//alsE//citC//ddlB//wzc//ubiX//hemH//cysI//ybaS//amn//cysJ//
NanR	allB//poxB//fucI//oxc//paaY//idnK//
NarL	gltB//aceF//xylB//mhpD//lsrK//ugpQ//nadA//allD//lpxA//hemL//add//argE//citX//ung//garD//bglB//umpH//paaE//yfbR//carB//torC//umuD//ynfE//ddlB//leuD//bioB//trpA//aroL//nanA//mpl//pnp//aceA//amn//glpD//murI//napG//
NarP	gdhA//cyoE//napC//folE//galK//ybaS//pgpC//pykF//dapD//paaI//moaD//
NemR	wecC//guaB//
NhaR	ybaS//moaD//glgX//paaK//metF//
NikR	glpC//
NimR	argF//
NorR	sdhA//
NrdR	carA//gatD//caiD//recF//
NsrR	kbaZ//mhpE//polB//citC//nagB//accA//aroG//umuC//hcaE//pgaB//nrdB//nrfD//dkgA//speB//pyrD//arsC//nanA//xylA//argA//lhgO//metL//slt//cysJ//murF//hemH//nanE//gatZ//fadD//deoD//yfdE//tynA//paaE//entB//gltB//paaC//puuC//
NtrC	ynfE//mdh//uxaC//malS//trpD//citF//cynS//aspA//paaA//purC//cyoE//fucK//aroL//gpmM//pnp//cysN//tdcD//hmp//fadH//asnA//nagB//
OmpR	cysD//fadB//astA//torC//cysC//malQ//hcaC//deoC//
OxyR	nrdE//ldtD//fumC//nanK//pdeL//ribA//garR//trpB//fumB//fbaA//citC//glpD//ruvA//umuC//
PaaX	aceA//hcaB//carB//glpK//pncB//moaE//gltD//gatZ//udp//
PdeL	deoD//
PdhR	pgaD//fabZ//rffM//gcvP//kbaY//rutD//fadM//prpB//kbaZ//nrfB//rbsK//nfsB//leuC//sucC//bioF//galE//nanM//mhpA//pncB//pheT//gapA//asnA//paaB//sucA//patD//fabZ//
PepA	kbaY//hcaF//
PgrR	glxR//uxuB//
PhoB	murQ//aceA//glpQ//allA//cyoE//yqjH//accD//frc//dkgA//metA//mhpC//uidA//cysG//rffG//fucI//lhgO//glmS//narG//
PhoP	hycF//lpxD//umpH//murD//deoA//luxS//rffH//metF//entB//citC//mltF//rutA//aspA//gntK//cynT//napA//nrdF//tpiA//ruvB//ynfF//murI//fumC//trpC//paaY//bioF//argD//puuE//ampC//lpxC//guaA//ulaD//metH//citC//
PrpR	ilvC//arsC//tdcB//pheS//
PspF	slt//
PurR	ascB//ahpF//katE//lldD//ahpC//fabA//rutC//atoD//ung//metE//deoB//moeA//cysM//yibQ//narI//thrS//lsrG//astE//gpmA//ribA//edd//glpK//icd//polB//sucD//ribA//
PutA	torC//ahpC//
PuuR	lysA//tdcE//astD//glpK//dhaL//rffT//
QseB	
RbsR	phnP//xapA//pheT//napC//citE//garR//
RcdA	wzc//
RclR	
RcnR	glpX//
RcsAB	ynfG//fruK//entC//
RcsB	trpB//fbaB//murD//fumB//
RcsB-BglJ	nirB//pncB//
RelB	talA//
RelB-RelE	moaE//
RhaR	
RhaS	paaY//cysE//guaA//hycC//
Rob	uxuB//katG//cdd//accB//glk//mhpC//pdeR//moeB//wzb//uxaB//fabD//phoA//fadJ//arsC//betA//mhpB//hypB//fadD//cysH//
RstA	fruK//serA//purK//
RtcR	kbaY//astD//
RutR	ybjG//rhaB//murD//frdC//atoD//frdD//astB//fucO//glpX//metF//hyaA//
SdiA	
SgrR	hycC//sdhB//malP//
SlyA	
SoxR	hmp//
SoxS	caiC//ubiX//patD//tehB//fadA//umuC//melA//glgX//alkB//oxc//moeB//tyrA//aroG//dgcZ//hcaD//wrbA//pnp//fabA//rhaA//ycjG//malP//gltD//sucD//uxaB//rbsD//gpmM//
StpA	ybaS//paaC//allE//
SutR	aspA//purM//
TdcA	hypF//pdeR//purK//hyi//paaJ//
TdcR	uvrB//metF//tdcE//paaK//purB//
TorR	gatY//murE//metH//citF//
TreR	fruK//entF//
TrpR	lysA//ubiA//gabD//cyoE//citF//glpB//napA//paaG//dmsC//
TyrR	rffC//patA//malZ//frdD//trpB//ulaG//katE//nrdD//garR//
UhpA	sodB//
UidR	sdhC//nrdE//
UlaR	accC//napC//entB//tdcD//ulaD//
UvrY	allB//cysK//
UxuR	ogt//sgbE//hyaA//caiC//nanE//
XapR	gapA//hycE//
XylR	citC//nanE//hypB//
YdeO	cysC//tynA//entE//
YedW	fbaA//yqhD//accD//
YefM	astA//
YefM-YoeB	entC//
YehT	
YeiL	
YiaJ	gltB//adiA//cysI//rutE//fabH//fadJ//
YjjQ	malZ//
YpdB	
YqhC	purK//trpB//
YqjI	dacC//
ZntR	entC//
ZraR	
Zur	frdA//
