# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	deoB//tadA//
FadR	adiA//umpH//guaB//gpmM//cysH//uxaC//argG//atoD//nrfC//cysK//cysG//narG//cysI//rffT//sdhD//alsE//fadD//moaA//
FeaR	xylB//tpiA//
FhlA	bioB//polB//tdcD//patA//mhpF//rhaA//gcvP//
FlhDC	alsE//tam//prpE//ilvC//citF//argH//frc//hcp//lsrF//polA//aceB//
FliZ	gdhA//yfdE//purM//chbG//mltF//
FucR	waaZ//ssuD//puuE//xylA//yqjH//bioA//
Fur	pflB//amn//nrfD//lpd//alaS//mhpF//cyoE//hycB//ilvC//rffC//citG//fadM//lpxD//paaZ//cadA//pspE//gutQ//cynT//purN//tnaA//paaZ//ttdA//fadI//purB//alsE//putA//murQ//aceA//pdeL//atoB//amn//rfe//pgaD//puuC//glgB//glxK//glpC//sucA//fadM//garD//aceF//metK//nanK//pheT//gcl//nrfD//puuA//malQ//mhpF//yeaE//gcvH//hemH//gutQ//alaS//mhpB//purD//fruK//ascB//entA//tdcG//ulaD//tnaA//epd//
GadE	cysI//phnL//melA//glcE//codA//glcE//umuC//sucA//cyoE//wecB//
GadE-RcsB	alaS//hmp//torA//guaB//
GadW	gabD//aceB//ychF//katE//
GadX	yfbR//malP//cysK//gntK//ldtB//yfbR//sdhC//narH//galE//entD//paaI//glpD//
GalR	rpiB//rhaB//argA//allE//iscS//talA//
GalS	pck//deoB//ftnA//nadB//fadM//torC//
GatR	aceA//aldA//ldtB//
GcvA	lpxD//pyrD//hycE//
GlcC	aceA//nemA//aroL//
GlpR	fadA//adhE//srlD//gatY//sucB//dinB//speA//
GlrR	
GntR	argG//leuC//moaD//astD//psd//phnN//phnL//napC//gcvT//
GutM	yibQ//nagB//paaY//
GutR	allB//rutB//purA//
HU	mhpA//gatD//argH//mpl//lpxD//citG//narG//
HcaR	cysM//fabI//
HdfR	
HigA	rimK//
HigB-HigA	frc//
HipAB	tadA//aroG//
HipB	mpl//gapA//gatZ//
HyfR	ssuD//
HypT	ugpQ//ddlB//argF//pck//tpiA//fumC//mtlD//
IclR	mhpB//fumC//leuD//
IdnR	nrfD//aspC//lpxD//sodB//lysC//ychF//
IlvY	allB//
IscR	lsrK//idnD//yeaG//nrdD//aceB//hcp//
KdgR	atoA//paaH//
KdpE	hyi//
LacI	phnG//ruvA//gor//
LeuO	dapD//lsrG//moaE//frdD//malQ//glcB//
LexA	luxS//tam//psd//fabD//nirD//ddlB//puuC//mpl//glcF//glk//purB//metE//rsmH//atoB//napA//rutE//puuA//citD//entF//aroH//oxc//
LldR	prpB//amn//
LrhA	
LsrR	astE//cysC//nrdF//torA//wzc//
LysR	phr//
MalI	yfbR//hcaB//
MalT	fadE//fabZ//fabB//rutA//ybaS//wzc//
MarA	cueO//ssuD//glpA//guaA//ascB//glyA//glcE//glpC//prpE//phnL//mhpA//gabD//appA//dmsC//argD//galK//purB//entB//cysD//gabD//deoC//sgbH//pgaC//
MarR	
MatA	metH//
MazE	nrfB//
MazE-MazF	ahpF//
McbR	
MelR	caiA//paaK//
MetJ	entF//idnK//edd//sodB//hycF//puuB//glxK//speA//citG//adiA//
MetR	nrdD//poxB//wecC//malY//
MhpR	rfe//frdA//pykF//rhaA//metE//fadM//
Mlc	frdD//allE//idnD//mltF//
MlrA	phnP//
MngR	astD//nemA//
MntR	cysH//citF//
ModE	pgaB//trpA//purF//puuD//hycF//moaE//ampC//hcaC//narH//murE//ybaS//pdeR//astC//sgbU//
MprA	ddlB//pgaC//pyrD//
MqsA	phnJ//fucI//
MraZ	waaY//glk//speA//recF//rutA//metC//galT//prpC//ynfF//sufS//accB//
MtlR	ftsI//metF//aroL//
MurR	chbF//sucD//yeaG//
Nac	prs//glpK//ulaG//fabZ//mltF//leuA//rimK//citG//phnP//phnO//
NadR	ampC//ulaF//sdhC//purB//
NagC	gabT//katG//accB//yiaK//sucB//purK//allE//argF//glcE//galT//pyrD//wecB//metA//araD//nagB//folA//recF//umpH//ftnA//
NanR	glcE//xylB//phr//lyxK//fadA//gcvH//
NarL	purD//lpxA//ynfF//cysD//icd//paaF//ttdA//pgpC//paaG//alaC//pgpC//uxuA//leuA//folE//glxR//yfbR//atoB//iscS//ssuE//luxS//amn//argE//tadA//lpd//pgpC//lpd//rffG//fruK//ilvC//phnG//sodB//rffG//ldtB//putA//ppc//moeB//
NarP	moeB//ybjG//argF//metC//citX//purM//mnmG//napH//rbsD//mdh//fdhF//
NemR	ldtC//paaC//
NhaR	poxB//aroH//speB//entD//cysH//
NikR	fabG//
NimR	torC//
NorR	paaI//
NrdR	entA//umpH//pgk//hycC//
NsrR	fucA//entE//hcaE//pdeR//frc//dapD//malZ//fucI//fucI//uxuA//ynfE//citC//dapB//gatD//phnG//ppsA//glxK//aceF//pdeH//entD//arsC//paaC//folE//patA//hycE//bglB//rutA//hcaB//kbaZ//hypF//prpE//ribA//accA//cynS//frdB//ada//
NtrC	glpC//phnP//umuD//fumB//frdA//cueO//umuC//fadD//tauD//phnI//aspA//chbG//gnd//nrfB//gltB//rfe//astE//nanA//uxaB//metE//fumB//
OmpR	gutQ//rffM//pykF//idnK//bioA//putA//malP//gapA//
OxyR	wrbA//entD//ppc//aldA//pykF//mhpE//add//murQ//tehB//rutA//waaZ//pyrC//tdcE//prs//
PaaX	alkB//tktB//guaB//yeaE//argA//ftsI//murF//lysA//poxB//
PdeL	sufS//
PdhR	dmsA//gutQ//hcaF//fucI//leuA//fabH//fabH//hcaB//hmp//purB//cdd//fbaA//tyrA//aldA//gabD//napB//frc//lsrG//fucO//ppsA//rutA//purN//murG//metK//puuB//bglB//
PepA	fadJ//uxaC//
PgrR	umpH//ycjG//
PhoB	purE//hyaB//frc//pdeH//paaK//pgaB//pyrC//purM//gpmM//aceA//kbaY//tyrB//pfkA//allA//gapA//lsrK//dgcC//moaA//
PhoP	aceB//luxS//astA//xylB//metE//glpX//polA//uvrC//paaE//hcp//aspA//ung//paaC//phnH//ppiA//glgB//tehB//nrdD//rhaB//tpiA//lldD//leuC//katG//patA//accB//fadH//fucK//lhgO//purN//glgP//aceA//pepD//phnH//
PrpR	tynA//purN//alsE//atoB//
PspF	mhpF//
PurR	nrfC//fadB//acnA//dacC//dmsC//fadI//uidA//trpE//umuD//mhpE//galE//glgC//lysA//pflB//murC//ldtD//phnJ//epd//pyrC//allC//leuA//gloA//ndh//cysE//cyoE//murI//
PutA	fadA//aroH//
PuuR	ada//fadE//cysI//hycB//folE//fbaA//
QseB	
RbsR	rdoA//glpD//caiA//caiA//ubiX//deoB//
RcdA	hcaB//
RclR	
RcnR	torA//
RcsAB	mhpC//leuC//hycD//
RcsB	purE//gatD//gatY//tynA//
RcsB-BglJ	glpQ//paaB//
RelB	ddlB//
RelB-RelE	argA//
RhaR	
RhaS	glpX//cdd//malY//uvrB//
Rob	hcaD//astD//fdhF//puuB//gor//nadA//mhpC//rffG//allD//argI//sdhD//rffT//fabZ//lysC//ulaF//speB//waaY//xylA//mdh//
RstA	nagA//rpiB//glpB//
RtcR	mhpB//folA//
RutR	nrfA//treC//uxuA//fdhF//allD//fbaB//wecC//argG//tpiA//allD//sucA//
SdiA	
SgrR	pdeR//polA//fadD//
SlyA	
SoxR	hyaA//
SoxS	garL//entD//xylB//moaE//glmU//codA//fadE//rimK//astD//fabA//paaE//hycC//hcaB//sucC//nrdE//mhpD//eno//uxaA//hycC//puuA//caiA//ybjG//edd//purK//pheT//tdcD//
StpA	serA//nanA//citG//
SutR	idnD//frdB//
TdcA	lysA//ftsI//yqhD//hypF//fucK//
TdcR	umuC//ulaF//glcD//citF//patA//
TorR	gatD//wecC//fucK//gdhA//
TreR	allE//glpA//
TrpR	cysG//ulaE//ampC//ynfF//cysC//hycC//alaC//mltF//glgB//
TyrR	chbF//glcF//cynS//rutA//tehB//gadA//hcaB//malS//glxR//
UhpA	pgk//
UidR	phnL//rhaB//
UlaR	tdcB//kbaZ//glpA//umuC//citX//
UvrY	dgcC//recF//
UxuR	xapA//fucI//nanM//murC//glpA//
XapR	eno//puuA//
XylR	purB//purM//pspE//
YdeO	purM//waaH//frdC//
YedW	hypB//pagP//lpd//
YefM	ssuD//
YefM-YoeB	ttdA//
YehT	
YeiL	
YiaJ	nirD//lyxK//fabA//narH//tnaA//carB//
YjjQ	fucA//
YpdB	
YqhC	pyrD//hycD//
YqjI	pheS//
ZntR	phnH//
ZraR	
Zur	caiD//
