# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	eda//rnpB//
NagC	cynS//paaZ//fucA//galE//phnO//tnaA//phr//lsrG//nanE//aroH//iscS//paaI//tadA//gpmA//bioF//sgbU//xylB//prpE//ahpC//
NanR	uxuA//mnmG//murF//glcD//astC//pgaD//
NarL	folA//nrdD//rbsK//alaC//uxuB//dmsB//tadA//leuC//argG//alsE//argA//eno//lysA//mhpF//mngB//nemA//cysI//cysN//cadA//lacZ//ilvC//gatZ//dapD//mtlD//napG//purN//dsdA//entH//cysM//aceF//asnA//hycF//betA//metB//hcaF//lsrF//
NarP	cueO//glgA//glgB//gcl//frc//metH//prpB//yfdE//metE//sucC//aceB//
NemR	rsmH//fbaB//
NhaR	malY//tauD//rhaA//rsmH//waaH//
NikR	sucD//
NimR	nirD//
NorR	dacC//
NrdR	gcl//ttdB//fadD//sdhD//
NsrR	ynfG//fabD//putA//dhaM//fadI//phnJ//murD//prs//hycB//fabA//slt//glmS//rutB//bioC//ung//nrfD//umuD//ldtB//hcaF//fabZ//uvrA//rnpB//bacA//ttdA//bioA//leuD//napH//aroL//ppsA//kbaZ//alaC//eno//pdeH//hcaD//fucI//ascB//
NtrC	dapD//sdhA//ftnA//lysC//paaE//kbaZ//waaZ//astB//add//wzc//napG//hycG//hycD//pck//mraY//katE//glcD//caiA//deoB//argE//murQ//
OmpR	fadB//iscS//glmU//phnL//entB//frc//truB//purF//
OxyR	sucC//feaB//yiaK//rutD//nadB//glxR//udp//pfkA//malS//mngB//aceE//hycB//cueO//mhpB//
PaaX	chbG//frdB//phnL//ampC//fadE//hyaA//pheS//glpA//pdeL//
PdeL	pheT//
PdhR	astD//ybjG//nanM//glyA//fabI//glgB//uxuB//sucC//pdeH//puuB//carB//fabD//glpQ//murE//metL//metC//rimK//tdcD//tadA//gapA//murF//cysM//paaA//ubiA//ddlB//dapB//
PepA	rutE//wzb//
PgrR	dacC//umuC//
PhoB	cysJ//nrdE//fbaB//guaA//astB//gudD//glpC//xylB//fabI//cyoE//pflB//ulaG//tpiA//ldtB//paaJ//glnA//katE//yqhD//
PhoP	glyA//mpaA//talA//acnB//dacC//purN//tauD//frc//wzb//nagB//kbaZ//lysA//melA//bioD//garD//fumB//purH//phnG//leuB//nrfB//fabD//napH//aroL//folE//ynfF//lpxD//ndh//glk//paaG//ubiC//acnA//cysM//polB//
PrpR	lysC//polB//asnA//gor//
PspF	cysN//
PurR	nemA//gcvH//ubiC//garD//galT//fabA//fabI//folA//fabH//carB//uvrB//gntK//appA//aroH//ychF//cysM//cysM//nirB//yeaG//bioC//pheS//wrbA//ubiX//glgC//glgP//glcB//
PutA	prpC//glpC//
PuuR	mpl//mhpC//argB//paaA//pfkA//torC//
QseB	
RbsR	yiaK//speB//rsmH//sodB//tam//folA//
RcdA	slt//
RclR	
RcnR	acnA//
RcsAB	pgk//waaZ//uvrA//
RcsB	rffC//gutQ//metL//ftsI//
RcsB-BglJ	phnO//hyaA//
RelB	aspA//
RelB-RelE	melA//
RhaR	
RhaS	nfsA//gapA//citG//nanM//
Rob	polA//rutB//argI//xylB//rimK//tyrB//nrdA//hcaC//phnG//pdeR//tam//aspC//dacC//hcaF//ulaE//malY//accD//ung//xapA//
RstA	patA//hyi//fucK//
RtcR	lpxC//rffG//
RutR	uvrB//glpX//gapA//pdeL//phnP//ldtD//bioA//gapA//frdD//dgkA//fucK//
SdiA	
SgrR	ahpF//betA//phnJ//
SlyA	
SoxR	malZ//
SoxS	ubiC//leuC//mngB//nanK//add//umuD//nrfD//asnB//trpD//fumB//hmp//appA//fabI//cysK//pyrD//ppc//fruK//ndh//murF//purH//argA//nrfB//ribA//accB//ynfH//leuC//
StpA	purA//hyaA//dmsB//
SutR	citX//ung//
TdcA	tktB//mdh//mhpB//malS//ruvB//
TdcR	rbsK//mhpA//dinB//dgkA//argC//
TorR	argG//malQ//feaB//napA//
TreR	ulaD//aspA//
TrpR	tynA//rfe//bioD//moeB//ilvC//ndh//nanE//glpB//caiC//
TyrR	gatD//glgB//argB//rimK//glxK//hcaD//truB//pflB//paaI//
UhpA	carA//
UidR	metC//napH//
UlaR	yqjH//idnK//umuD//deoA//dmsC//
UvrY	hcp//caiA//
UxuR	kbaZ//mnmG//pspE//bioA//galM//
XapR	astA//pdeR//
XylR	tdcE//pgaB//sucA//
YdeO	allB//wzb//wecC//
YedW	gcvH//sdhC//glgB//
YefM	fadJ//
YefM-YoeB	eno//
YehT	
YeiL	
YiaJ	purC//malZ//fadB//nagB//hyaA//nrdB//
YjjQ	fucA//
YpdB	
YqhC	deoB//leuC//
YqjI	paaH//
ZntR	wzc//
ZraR	
Zur	phnJ//
