# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mnmG//aceA//
PspF	cynT//
PurR	prpD//nfsB//napG//mazG//ppiA//chbG//glcF//umpH//gltB//ppsA//gpmA//phnH//dgcC//mhpA//mhpE//fau//luxS//moaD//mnmG//gatY//cyoE//metE//murF//ubiX//guaB//phnM//
PutA	glgX//lpd//
PuuR	ssuD//purD//srlD//fadH//tyrA//sodB//
QseB	
RbsR	napG//galM//fbaA//xylA//astB//betA//
RcdA	pgaC//
RclR	
RcnR	alaS//
RcsAB	kbaY//fumC//hyi//
RcsB	hycE//fau//cadA//glcD//
RcsB-BglJ	malY//umuD//
RelB	citC//
RelB-RelE	paaF//
RhaR	
RhaS	bglB//murQ//xylB//nanK//
Rob	entH//chbG//wecB//phnI//relA//tehB//phnN//iscS//murG//tyrA//lpxD//ynfE//glxR//nrdB//deoC//phnI//lsrG//tdcG//asnB//
RstA	dapB//mhpD//patD//
RtcR	aceE//rdoA//
RutR	pgaD//galE//pgpC//ubiX//sdhA//fadH//ulaE//fucO//puuB//argH//adiA//
SdiA	
SgrR	frdD//purN//eno//
SlyA	
SoxR	gor//
SoxS	malP//glxK//gcvH//entD//cysE//cysM//dmsB//trpC//fadD//fes//ascB//bioA//gatZ//hycF//paaF//recF//entC//fruK//prpD//mltF//hcaE//recF//fabG//narI//ldtC//phnH//
StpA	atoD//tehB//rhaD//
SutR	aldA//waaH//
TdcA	sodB//araA//purA//hypF//ttdB//
TdcR	ldtC//atoA//citC//argD//dsdA//
TorR	purD//hyaA//sodA//gor//
TreR	pyrC//slt//
TrpR	prpD//fbaA//gabD//murC//appA//gcvH//glpD//sdhA//narG//
TyrR	deoB//fumC//gadA//putA//chbG//glcE//glmS//sodB//moaA//
UhpA	ychF//
UidR	bioA//nrfB//
UlaR	citG//nfsB//sgbU//phnP//mtlD//
UvrY	torC//tam//
UxuR	murG//nagA//icd//hycE//frdD//
XapR	nrfD//accB//
XylR	wecB//lyxK//metH//
YdeO	ulaE//ulaD//rdoA//
YedW	eno//rimK//paaK//
YefM	phnL//
YefM-YoeB	alkA//
YehT	
YeiL	
YiaJ	sdhC//ldtD//icd//argD//purB//dgcC//
YjjQ	gapA//
YpdB	
YqhC	phnI//aldA//
YqjI	hyaC//
ZntR	yeaE//
ZraR	
Zur	uvrA//
