# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	tnaA//mhpA//
ExuR	ynfE//udp//cadA//aspA//ycjG//murE//
FabR	napC//frdB//
FadR	tdcE//ulaE//murC//yqhD//rffM//garD//ulaF//ppsA//trpE//dacC//lpxD//zwf//metH//amn//glnA//garR//sgbH//codA//
FeaR	napA//ubiA//
FhlA	gatZ//puuA//fdhF//paaZ//pykF//ugpQ//pfkA//
FlhDC	paaK//ahpC//arsC//ubiC//ubiA//pck//prpE//dgcZ//argI//moeB//rffT//
FliZ	cysD//pgaD//cysN//ugpQ//idnK//
FucR	mltF//alsE//speB//aroG//umuD//speA//
Fur	gltB//uvrC//nanM//nadA//hyi//ulaE//nanA//caiC//cysG//lacZ//gpmM//rhaB//rpiB//lacZ//mazG//ribA//ssuD//fumC//gcvH//fadD//prpD//gudD//caiB//mdh//wecC//cysD//sodB//glcB//bioC//atoB//serA//glyA//bioC//bioF//prpE//fabI//katG//alsE//trpC//carA//paaA//fucO//idnK//entA//luxS//yqjH//ribA//yeaG//trpA//waaH//murF//guaA//tdcG//murC//entH//glmU//fau//metE//guaB//ldtD//phoA//allD//pgpC//
GadE	lysA//metB//ftnA//puuD//ybjG//ruvA//garL//entB//chbG//ycjG//
GadE-RcsB	metF//nrdA//cynS//aldA//
GadW	glgA//uxuB//cysM//tyrA//
GadX	ada//phnI//murF//srlD//rbsD//malQ//pgk//ubiX//uvrA//pdeL//hcaD//xylA//
GalR	garL//mdh//mngB//pflB//rbsD//wecC//
GalS	sgbE//gapA//phnJ//metH//gudD//adhE//
GatR	hycF//dhaM//idnO//
GcvA	yibQ//idnO//hyaC//
GlcC	fabH//ruvB//purH//
GlpR	purN//paaF//pagP//sgbE//torA//murC//garD//
GlrR	
GntR	speA//caiC//tktB//cyoE//dapB//malP//aldA//eda//guaB//
GutM	tnaA//ahpF//moaA//
GutR	fabD//pck//codA//
HU	lpxD//sgbE//dgkA//tdcG//glpB//gcvP//bioA//
HcaR	dgcZ//cysE//
HdfR	
HigA	sodB//
HigB-HigA	speB//
HipAB	argF//slt//
HipB	lacA//tynA//cdd//
HyfR	talA//
HypT	bioD//entE//purD//uxuB//betA//gcvH//yibQ//
IclR	entH//mpaA//eno//
IdnR	metH//rffM//rutA//waaH//puuD//metK//
IlvY	mngB//
IscR	oxc//paaC//putA//pncB//fadA//bioA//
KdgR	pnp//frdD//
KdpE	rimK//
LacI	yiaK//wecB//folA//
LeuO	gudD//folE//ttdB//phr//cueO//aroL//
LexA	leuC//rffM//nrdE//cysI//nirD//gcvT//nrdF//nadB//gatD//betB//glpD//pspE//ubiA//adiA//udp//sucC//nanM//phoA//purC//atoB//fucU//
LldR	guaA//ssuE//
LrhA	
LsrR	dmsA//idnD//kbaY//ahpC//ynfE//
LysR	torA//
MalI	gatD//rffM//
MalT	rbsK//entA//icd//hycB//pepD//tdcG//
MarA	pdeH//atoA//chbF//nfsA//lacA//fadB//serA//uxaC//cyoE//cynT//astA//ldtB//paaY//uvrC//tdcG//katE//lpxA//pgk//cysC//pnp//pdeR//phoA//codA//
MarR	
MatA	xapA//
MazE	garK//
MazE-MazF	lpxC//
McbR	
MelR	fadH//phnI//
MetJ	gcvH//uxuA//ldtD//metE//trpC//tam//paaY//pepD//trpC//mpl//
MetR	arsC//idnK//paaI//trpD//
MhpR	araD//garK//tnaA//moaE//leuC//argC//
Mlc	lacA//speA//fbaB//tam//
MlrA	paaZ//
MngR	araB//napB//
MntR	mraY//gabD//
ModE	nrdA//paaF//glpX//puuA//hyaC//glyA//gatZ//rbsD//rutA//alaC//uxuA//pdeL//garL//dkgB//
MprA	nirD//ppc//hyi//
MqsA	citX//hcaD//
MraZ	pspE//gadB//guaB//hemL//bglB//nrfD//dhaK//leuB//bioB//pflB//glcB//
MtlR	speB//caiC//sgbE//
MurR	uxaC//gabD//murC//
Nac	citF//tktB//gcvT//garL//pdeL//aceF//phnJ//glmU//entD//lacZ//
NadR	purK//asnA//glcB//lsrF//
NagC	idnO//murC//ftnA//mraY//chbG//frdC//xylA//gabT//aroH//phnO//mhpA//astD//frc//bioB//allC//garL//purK//malY//astB//
NanR	gcl//folA//mpaA//gltB//prpD//araD//
NarL	ppiA//citE//uxaB//nrfB//puuA//pheS//frdD//puuA//allA//mhpA//nadA//gcvT//prpC//rutD//glnA//entF//rnpB//rsmH//gor//epd//phnI//frdA//hcaD//melA//pspE//oxc//napH//ubiC//appA//hcaB//nrdE//purM//pgaB//ilvC//caiC//nanM//
NarP	rnpB//uvrA//tauD//glgP//zwf//pflB//cysE//glxR//rhaA//gntK//ulaD//
NemR	yiaK//ahpF//
NhaR	bioB//moaD//tynA//araB//caiA//
NikR	aceF//
NimR	pdeL//
NorR	glgA//
NrdR	galK//phnO//rffH//entF//
NsrR	pykF//lacA//dkgA//rbsD//ruvA//fadE//phnI//puuC//tyrA//nirD//fadJ//mhpC//gcvH//sodB//deoD//dapD//arsC//tam//trpC//sgbH//pykF//nrfA//puuD//purK//murC//alaC//purF//nirB//atoB//trpA//yeaG//fabA//deoD//murF//accA//mdh//
NtrC	uxaC//aroG//ttdB//rnpB//nrfD//lacZ//carA//rffG//bacA//tadA//carA//fes//sgbH//nrdF//dmsB//hcaE//pyrC//fau//amn//fumB//araD//
OmpR	dmsC//trpD//rutE//slt//rfe//ldtD//prs//caiB//
OxyR	edd//recF//nrfB//glpC//ulaD//udp//hycD//allA//purA//pflB//lpd//adiA//trpA//nrfD//
PaaX	nfsA//glyA//tnaA//dhaM//glmU//fucA//glnA//speA//xylB//
PdeL	metE//
PdhR	dhaK//tynA//trpB//fadM//yiaK//ynfE//deoB//napG//tpiA//moeB//nirB//aceA//hyaB//ynfG//tdcE//pncB//glmU//wrbA//uvrA//moaD//astA//betB//tyrB//ldtD//yeaG//uxuB//
PepA	puuB//fadM//
PgrR	malY//fbaA//
PhoB	ada//metA//ruvB//aroL//kbaZ//mhpB//gltD//ldtD//katG//moeB//gpmM//srlD//rhaA//sodA//ppc//oxc//hcaE//mhpE//
PhoP	fucU//aroH//nrfC//katG//hyaA//lpxC//lpxC//rffG//moaE//fucA//allB//hycG//malQ//hcaD//phnN//napB//mltF//fbaB//nfsA//fabD//alaS//dacC//paaK//mtlD//malP//fdhF//sgbH//bioD//ada//mraY//pagP//uvrB//glk//
PrpR	ybaS//fucI//xylA//gcvP//
PspF	frdD//
PurR	nanA//pheS//rbsD//gudD//rffC//eda//cysI//tam//hcaE//ynfG//rutE//rffH//dmsA//nanK//puuE//cueO//acnA//dmsB//glk//aldA//uxaA//ruvB//paaF//murG//paaJ//sgbU//
PutA	bioF//paaE//
PuuR	yqjH//uvrB//serA//moaD//citX//pck//
QseB	
RbsR	fadE//sufS//kbaY//napC//aceA//metA//
RcdA	frdC//
RclR	
RcnR	glcF//
RcsAB	deoD//phnG//dhaK//
RcsB	gcvH//ruvB//lsrF//alkB//
RcsB-BglJ	lsrG//icd//
RelB	frc//
RelB-RelE	alaC//
RhaR	
RhaS	yqhD//glgP//uxuB//fabI//
Rob	amn//paaG//lsrK//puuA//caiD//lsrF//trpB//napC//frdD//glpK//rutD//idnO//atoB//sodA//kbaY//glk//purH//cysN//allD//
RstA	fucA//pheS//araB//
RtcR	hycB//folA//
RutR	murQ//uxaA//glmU//pdeR//ppiA//glmU//accD//glyA//murF//murD//murG//
SdiA	
SgrR	mhpF//glnA//uxuA//
SlyA	
SoxR	uxuB//
SoxS	argH//sdhB//entD//nrdB//leuB//citE//purC//ynfH//allB//sdhA//dmsA//moaA//fabA//waaH//chbG//moeA//nrdB//cyoE//treC//gdhA//paaF//paaJ//ttdB//purF//murD//sdhD//
StpA	nrfA//nrdD//allB//
SutR	yfbR//yqjH//
TdcA	fabB//leuA//lsrG//argH//allD//
TdcR	tdcB//waaY//araA//leuD//bioC//
TorR	araD//hemH//melA//fucO//
TreR	atoB//puuA//
TrpR	purM//argE//entE//gpmM//astB//rdoA//truB//nfsA//gntK//
TyrR	guaA//ldtB//recF//murF//ftnA//ddlB//cysM//narH//hcaC//
UhpA	guaA//
UidR	lyxK//astA//
UlaR	betA//trpC//metB//nrdE//mhpE//
UvrY	gcvP//rdoA//
UxuR	moeA//gutQ//metL//fau//sucC//
XapR	gadB//ulaF//
XylR	sdhB//kbaZ//rhaD//
YdeO	paaH//alkA//accC//
YedW	puuA//fabG//ndh//
YefM	caiD//
YefM-YoeB	lhgO//
YehT	
YeiL	
YiaJ	glpX//pykF//rffC//hcaB//garD//umuD//
YjjQ	malS//
YpdB	
YqhC	ynfF//aroG//
YqjI	ulaD//
ZntR	nanM//
ZraR	
Zur	sdhD//
