# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	purD//rnpB//
HypT	malZ//metF//amn//cysN//garK//tdcD//aceA//
IclR	mhpB//hyaA//gudD//
IdnR	kbaY//gcvP//rfe//accA//lpxD//nanE//
IlvY	hyaB//
IscR	fabI//hypF//ruvA//nadB//bglB//puuA//
KdgR	sucA//leuC//
KdpE	glk//
LacI	bacA//dhaK//asnB//
LeuO	purL//ynfG//purB//uxuB//bioA//ssuD//
LexA	argC//yqjH//hemL//murI//fucU//paaH//glmU//rutD//alaC//yeaE//paaI//dmsA//rffG//nrdD//hcp//rdoA//gatZ//purB//trpC//ybjG//tnaA//
LldR	glgC//ubiA//
LrhA	
LsrR	napB//phnP//rnpB//xapA//chbF//
LysR	astC//
MalI	lpxA//cysH//
MalT	lysC//puuD//entA//ssuD//gor//prpE//
MarA	fdhF//cynT//speA//ugpQ//wzb//fbaB//lysA//hyaC//pgaC//atoB//pykF//ahpF//tdcB//tehB//dmsC//pgaD//tadA//trpD//lldD//trpC//glnA//rnpB//alkB//
MarR	
MatA	sucD//
MazE	lyxK//
MazE-MazF	sodB//
McbR	
MelR	rffM//fucA//
MetJ	gltD//galK//katE//atoA//mtlD//sdhC//ybjG//xylB//tauD//ppc//
MetR	leuA//tnaA//dmsA//cadA//
MhpR	aceE//rutE//murE//nfsB//citD//metH//
Mlc	umuC//mraY//rbsK//cysH//
MlrA	murD//
MngR	napG//argH//
MntR	pfkA//accC//
ModE	rffC//phnI//ybaS//yibQ//nanE//hypF//leuC//rffM//tam//ppc//argE//cysD//nadA//lsrG//
MprA	fabI//fucA//rhaB//
MqsA	dgkA//fabG//
MraZ	citG//uidA//metA//ahpF//mhpA//paaJ//nemA//metA//accD//fbaB//caiA//
MtlR	phnN//gltD//folA//
MurR	umuD//tyrB//acnA//
Nac	dgcZ//frdD//citC//aspC//yqhD//ahpC//allB//leuC//ubiA//tynA//
NadR	narG//ybjG//nanM//arsC//
NagC	ruvB//phnN//moaD//kbaY//prpC//kbaZ//garK//malZ//carA//purM//gpmM//ldtB//metL//gloA//purB//ulaE//malQ//codA//malZ//
NanR	rutD//codA//metC//pdeH//wzb//dhaK//
NarL	gcvH//ndh//trpE//fruK//lsrK//glgC//pgaB//bacA//galK//rutA//ycjG//mhpA//paaF//hycE//hcaC//astD//ynfG//amn//nrdA//prpB//psd//astD//fucA//leuC//glgB//gadA//phnO//purK//glpB//atoA//puuE//amn//murE//citD//gatD//murI//
NarP	nanM//napC//ugpQ//lpxC//argH//frdB//murE//murI//frdD//phnH//fucU//
NemR	prpC//prs//
NhaR	cysC//argD//dkgB//poxB//puuB//
NikR	moaA//
NimR	nrfD//
NorR	murQ//
NrdR	mtlD//pck//frdC//metE//
NsrR	amn//bacA//sucC//entC//narH//fadB//ycjG//sufS//glyA//yeaE//araA//tdcG//hyaC//sdhB//glnA//argH//nrfC//ugpQ//zwf//rffC//bacA//gcvT//moaD//glnA//hyaC//asnB//sdhA//mhpA//gapA//uvrA//cynS//betB//rutC//metH//prs//moeA//
NtrC	phnG//metA//moaD//acnA//lpxC//argG//ampC//dhaM//fadJ//puuC//galT//ftnA//hcaD//aceE//lpxA//dgkA//ppsA//hyaA//yeaE//uxaB//hycF//
OmpR	luxS//melA//umpH//citF//cysD//pnp//glcE//rnpB//
OxyR	mhpF//fabI//pdeH//patD//glyA//acnB//pagP//tdcG//frc//glxR//murF//fau//hycB//malS//
PaaX	aceA//folA//hypB//polB//nirD//fadH//waaH//torA//murC//
PdeL	frdB//
PdhR	narH//cysM//glgX//purK//atoA//paaI//torA//mdh//appA//fucA//paaK//recF//lacA//fau//napC//aceA//bglB//purC//rffC//ubiX//gloA//fabD//serA//prpD//ynfG//accC//
PepA	mhpF//gcvP//
PgrR	moeB//leuB//
PhoB	purL//appA//leuA//glcD//citX//frdA//metK//ppiA//fadE//umpH//aroL//galM//purF//fadM//fabG//gltB//cysE//entH//
PhoP	fadD//nirB//malS//amn//ldtD//frdA//hycE//xylA//pykF//ttdA//astA//nirD//add//purA//phoA//ulaG//ahpF//thrS//metH//astB//lpd//citE//rpiB//araB//yiaK//hycD//aldA//glcE//pgpC//gntK//asnA//sgbE//narH//
PrpR	mhpF//uxuA//hemH//citD//
PspF	dmsA//
PurR	hcaC//ada//gltD//tktB//bioF//allE//caiA//sodA//garR//narH//relA//leuD//pgi//deoC//lacZ//lhgO//aceB//ddlB//araB//lldD//nadB//fadA//pdeH//chbF//ttdB//rutA//
PutA	rutA//hycD//
PuuR	katE//ada//hmp//garK//uidA//malS//
QseB	
RbsR	xapA//argC//hemL//nanE//fucU//glgB//
RcdA	glgP//
RclR	
RcnR	deoA//
RcsAB	sdhA//tyrA//hyaB//
RcsB	ubiC//alkB//hypF//malP//
RcsB-BglJ	tdcE//glcF//
RelB	fadJ//
RelB-RelE	purM//
RhaR	
RhaS	thrS//trpE//nirB//acnB//
Rob	speB//amn//tehB//metA//putA//gadA//ruvB//nrdF//napA//rsmH//cyoE//fadI//ulaG//paaG//folA//melA//rhaB//rffH//feaB//
RstA	trpB//mtlD//udp//
RtcR	atoB//alsE//
RutR	truB//frdA//pyrD//cysD//dkgA//puuB//astB//xapA//betB//dmsA//gor//
SdiA	
SgrR	uvrA//fadE//fdhF//
SlyA	
SoxR	mazG//
SoxS	allA//torA//astB//sdhA//nanA//folA//ldtD//epd//garR//ybaS//hyaC//katE//pgi//hycF//wzb//allD//fumB//mraY//dapB//lysA//aldA//adiA//gapA//deoC//glgX//phnP//
StpA	frc//dgcC//uxaA//
SutR	alaC//dhaM//
TdcA	nrfA//nanM//mhpF//aceE//caiD//
TdcR	trpE//trpD//wecC//pgk//phnL//
TorR	cyoE//deoB//purE//talA//
TreR	hemH//murF//
TrpR	mraY//yqjH//hemH//feaB//fucO//ldtB//rsmH//citF//mhpC//
TyrR	lpxD//metE//tnaA//gabD//speA//kbaZ//malZ//pdeH//moaE//
UhpA	ubiC//
UidR	napG//uxaB//
UlaR	ulaE//murG//hycF//accD//amn//
UvrY	glk//dacC//
UxuR	fadB//xylB//dgcZ//katG//phoA//
XapR	hycG//ulaG//
XylR	fruK//phnL//pgaC//
YdeO	purB//entC//allC//
YedW	adiA//guaA//paaF//
YefM	sdhC//
YefM-YoeB	pflB//
YehT	
YeiL	
YiaJ	lysA//pflB//ubiA//aroL//torC//rhaA//
YjjQ	aroL//
YpdB	
YqhC	cysC//cysE//
YqjI	ulaG//
ZntR	rffG//
ZraR	
Zur	xylA//
