# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	yfdE//oxc//
GlrR	
GntR	cysG//aldA//ulaF//amn//deoB//nrdB//accA//deoB//glmS//
GutM	phnI//folA//astA//
GutR	acnB//cysK//purL//
HU	paaB//nrdB//rhaD//bioF//alsE//uxaB//purC//
HcaR	caiB//paaZ//
HdfR	
HigA	hcaE//
HigB-HigA	lldD//
HipAB	deoA//purF//
HipB	allA//murF//allB//
HyfR	cadA//
HypT	chbF//fadJ//uxaA//pgpC//astB//fabI//lhgO//
IclR	udp//allD//deoC//
IdnR	xylB//nadB//deoD//torA//hypF//accB//
IlvY	ahpF//
IscR	hmp//polA//moaD//argD//adhE//glxR//
KdgR	ugpQ//deoC//
KdpE	hcaC//
LacI	citE//lyxK//katG//
LeuO	hycG//fabZ//glgX//nrdD//katG//ssuE//
LexA	nrdD//argG//atoA//rfe//napA//gudD//phnI//hcaB//cysM//fabG//metH//ldtC//phnJ//puuA//ahpF//hycC//tam//hycG//lacZ//mltF//frdA//
LldR	truB//accA//
LrhA	
LsrR	ndh//glcE//napB//nrfB//uxaC//
LysR	wzb//
MalI	edd//hycE//
MalT	garL//fdhF//gntK//trpD//glpB//bglB//
MarA	wzc//ugpQ//cadA//murG//nrfD//arsC//purN//rsmH//dhaM//mhpA//aroH//fadJ//narH//metA//tehB//frdD//xylA//gabT//srlD//pdeL//nirD//ssuE//astD//
MarR	
MatA	ogt//
MazE	fabG//
MazE-MazF	pykF//
McbR	
MelR	paaI//glpD//
MetJ	murQ//alaC//nirD//sufS//pnp//hypB//narI//tdcG//fadJ//araB//
MetR	lpxC//malZ//argE//glgB//
MhpR	prpB//glpX//patD//galM//napG//yeaE//
Mlc	argG//appA//ddlB//mngB//
MlrA	metK//
MngR	argC//accC//
MntR	frc//nanK//
ModE	fabD//speB//dkgB//accD//moaA//fbaB//pgaC//rsmH//trpA//gadB//cdd//nfsB//hcaF//glcF//
MprA	polB//argF//phnO//
MqsA	yqjH//hycB//
MraZ	garD//glk//rutE//nanE//fumC//nfsA//rhaD//mhpF//ynfH//srlD//prs//
MtlR	dgcC//fau//mdh//
MurR	patA//sgbU//dgcC//
Nac	gloA//nanM//gpmM//paaE//dkgA//mdh//yiaK//mhpB//frdA//napA//
NadR	hyaC//metH//pyrD//fumC//
NagC	pykF//prs//rfe//acnA//fabH//ubiC//ddlB//aceF//fucI//add//rhaD//sdhB//frdC//napA//phnN//araB//fadH//lpd//guaB//
NanR	phnM//ybaS//pgaC//wrbA//talA//fucU//
NarL	paaY//paaE//moeB//ndh//aspA//nanE//wzc//gudD//mhpA//mpl//purD//carA//bioC//murF//astC//nagA//tdcG//psd//sgbU//aroH//purA//pagP//sufS//mltF//ruvB//glxK//fadJ//purL//alkA//yeaG//sufS//cynT//paaZ//ndh//nrdD//accA//
NarP	gapA//prpD//mpl//citD//gabD//folE//cueO//ubiC//rffM//hycC//puuA//
NemR	fabA//glcE//
NhaR	ldtB//napH//accD//trpC//pncB//
NikR	acnA//
NimR	paaC//
NorR	iscS//
NrdR	sucC//atoA//phnN//araD//
NsrR	hypB//paaF//caiD//dhaL//glxK//allC//fbaB//ruvA//glpQ//mhpD//paaF//prpB//rffG//cysD//mhpE//hycF//phnH//umuC//bacA//nrfA//pheT//malQ//napG//gabD//metB//argH//puuA//nirB//aroL//garR//araD//chbG//fabZ//glpB//aroL//entB//
NtrC	katG//glmS//ribA//aceA//tdcB//chbF//entE//aceE//alaS//rutC//argF//hmp//gabD//uidA//ttdA//udp//argI//ftnA//ldtD//lldD//wzb//
OmpR	argE//sgbE//malS//glgC//mhpF//nrfC//wzb//fadA//
OxyR	gadA//wecC//ttdB//hcaD//fadM//nanM//ppiA//serA//bglB//ldtB//mhpF//nrfD//tdcG//argI//
PaaX	treC//galK//lacZ//pyrD//gpmA//phr//cysK//allB//ulaG//
PdeL	glmS//
PdhR	lsrK//nfsB//gloA//folE//yibQ//pgi//kbaZ//rfe//hycC//ddlB//nagA//metF//add//hyaC//paaA//aceF//citG//purM//fabG//paaK//mhpD//hcp//dapB//nrdA//rhaA//deoA//
PepA	fadH//phr//
PgrR	sdhC//gcvH//
PhoB	aroG//xylB//xylB//galM//puuC//hcaE//rpiB//nrfD//malP//glxK//metF//sodB//nemA//pck//speA//hcaB//glgA//iscS//
PhoP	mhpC//nirB//lhgO//xylA//lacA//guaB//glmS//kbaY//paaZ//aldA//poxB//astA//metK//entC//argG//glmS//rhaA//cysJ//gnd//dhaK//nadA//hyi//hyaA//napH//uvrA//nrdD//pnp//ubiC//citD//aroL//pgpC//epd//araA//
PrpR	asnB//deoD//xapA//ftnA//
PspF	sgbH//
PurR	hemL//glpX//betA//allE//pheT//garL//hyi//guaB//bioA//allE//rutC//astA//argC//ubiX//umuD//adiA//ynfF//sdhC//truB//codA//speA//metB//aroF//gltB//tyrB//leuC//
PutA	pck//speA//
PuuR	gpmA//mhpA//entF//dgcZ//caiD//hemL//
QseB	
RbsR	ogt//glk//ybjG//mtlD//patA//xapA//
RcdA	deoB//
RclR	
RcnR	ribA//
RcsAB	fucK//ldtB//torA//
RcsB	phnO//purN//katE//ulaF//
RcsB-BglJ	frc//gnd//
RelB	glpK//
RelB-RelE	argC//
RhaR	
RhaS	lpxC//mpaA//astD//gatD//
Rob	fucK//hemL//hcaD//wecC//deoD//argA//glgX//nfsA//kbaZ//pheT//aceE//phr//gcvP//sucC//hcaD//narI//metH//atoA//pgk//
RstA	aroG//atoD//kbaY//
RtcR	deoC//dapB//
RutR	alkA//hyaC//fadH//nrdB//garR//pagP//dkgA//gcl//hypB//pheS//allB//
SdiA	
SgrR	pflB//kbaZ//phnI//
SlyA	
SoxR	rfe//
SoxS	metF//purB//pflB//udp//rdoA//caiD//ahpC//umpH//hycF//gltD//acnB//fdhF//metF//garK//aspA//murQ//slt//nadA//galE//ldtD//fucO//allA//citD//dapD//moeA//ubiX//
StpA	srlD//mhpB//narG//
SutR	ssuD//wecC//
TdcA	tdcE//hycF//gudD//argI//icd//
TdcR	malS//gdhA//mngB//hyaC//napC//
TorR	tynA//murI//patA//rsmH//
TreR	appA//carB//
TrpR	sgbH//argF//ahpF//pgaB//prpE//tam//sucC//ascB//purM//
TyrR	ybaS//aroL//caiB//rhaA//uxaC//ttdB//frdB//glpB//gadB//
UhpA	nemA//
UidR	prs//mdh//
UlaR	murI//paaK//folE//fucK//allE//
UvrY	glyA//rutD//
UxuR	rbsK//wecC//dkgB//entB//aroG//
XapR	mhpE//puuE//
XylR	gor//uxaB//rffG//
YdeO	lacZ//katG//leuC//
YedW	cyoE//sgbE//sucD//
YefM	serA//
YefM-YoeB	glcB//
YehT	
YeiL	
YiaJ	rbsK//gor//ynfG//paaY//pyrC//glyA//
YjjQ	allB//
YpdB	
YqhC	pnp//entD//
YqjI	paaC//
ZntR	gabT//
ZraR	
Zur	glmS//
