# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gapA//dapD//
NarL	moaA//astA//hcaF//astA//cynS//folA//metF//kbaZ//hycD//slt//purD//prpD//puuE//waaH//frdD//dkgA//nfsB//puuC//fabH//bioF//paaB//umpH//fadH//argC//murI//tnaA//gutQ//gltB//argH//add//gadB//cysJ//ada//citC//kbaY//acnB//
NarP	purE//alkB//astE//hyaA//glpX//dmsA//sodA//deoA//dkgB//gadB//sgbE//
NemR	nfsA//cysE//
NhaR	fucU//carB//hycG//umuC//bglB//
NikR	dhaL//
NimR	cdd//
NorR	malQ//
NrdR	glyA//amn//cueO//lysA//
NsrR	glxR//phnM//fau//allC//dinB//mhpA//dmsB//bioF//fucA//ndh//sdhC//trpB//phnJ//betB//ndh//glpD//pagP//argH//pyrD//astA//rhaA//entE//fucA//ribA//hycE//phr//nfsA//dkgA//sucC//napC//narH//tauD//deoB//adhE//waaZ//fruK//
NtrC	rhaD//betB//allC//ulaE//dhaK//lysA//pepD//dsdA//fabH//ldtD//ubiA//torA//hyaB//tpiA//bacA//araD//rutD//alkB//yiaK//polA//allC//
OmpR	glxR//dgcZ//citD//fadB//tauD//mnmG//udp//icd//
OxyR	gpmA//ilvC//accA//speA//moaA//frc//cysJ//uxuA//hemL//purA//araD//astB//luxS//frc//
PaaX	mhpA//fabD//umuD//ppc//srlD//fumB//ahpC//yibQ//metK//
PdeL	pck//
PdhR	gdhA//phnP//uxaB//nemA//hcp//ribA//nirD//slt//argF//rbsK//glpK//hycF//paaE//malZ//glmS//cysN//gapA//cysK//rimK//nrdA//nrfB//fumB//hcaB//astB//mdh//atoD//
PepA	alaC//argA//
PgrR	ung//accD//
PhoB	ynfF//trpB//glyA//rutB//fabZ//moaA//phoA//narG//aroH//ldtD//caiC//sucA//recF//lpxA//nagB//ulaG//gatD//glcB//
PhoP	gor//trpB//mngB//atoD//paaY//rutE//alkB//astC//fes//folA//tdcD//glpK//narI//nrdE//glnA//cysI//glyA//tpiA//nrdE//gadB//aceF//glmU//fucI//waaH//araB//ugpQ//alkB//cynT//nadA//nrfA//citE//adiA//galM//
PrpR	dapB//metF//xapA//nrfB//
PspF	fucA//
PurR	talA//nanK//ttdA//pgaB//lacA//phnP//guaA//gadA//pdeR//mhpC//entF//gabT//galE//fadJ//citC//trpB//ftsI//frdB//waaY//glnA//nfsA//aspA//astD//dmsC//citG//folE//
PutA	alkA//murF//
PuuR	nagB//uvrB//paaY//moaA//rutB//yqjH//
QseB	
RbsR	glgC//nanK//mngB//frdB//moaE//trpE//
RcdA	pgaC//
RclR	
RcnR	leuD//
RcsAB	gpmA//moeA//lpxA//
RcsB	guaA//malP//gatD//paaC//
RcsB-BglJ	ndh//waaY//
RelB	galK//
RelB-RelE	argF//
RhaR	
RhaS	serA//uxaC//pheT//entH//
Rob	putA//entA//tdcB//paaC//polB//allC//astC//tauD//accA//purA//hycD//hypF//gadA//idnD//fadE//aroF//idnO//fbaA//entH//
RstA	metC//fadH//fruK//
RtcR	metC//pgaD//
RutR	ulaD//astA//speB//hyaA//pyrC//dmsB//metB//glcF//narI//slt//malP//
SdiA	
SgrR	tdcD//murF//rutA//
SlyA	
SoxR	metE//
SoxS	tdcD//kbaY//fadH//caiA//sdhB//phnP//gpmA//rhaD//fruK//purN//fucI//rffC//cysG//ynfH//sdhC//hcaC//alkB//dinB//purA//glcB//trpA//aceE//argB//paaG//glgC//trpD//
StpA	prs//cyoE//glyA//
SutR	codA//fabG//
TdcA	dhaK//glyA//metE//accB//yfbR//
TdcR	nirB//gltD//dacC//lysC//sgbH//
TorR	fadE//rffH//glpQ//fadE//
TreR	cysC//mhpF//
TrpR	leuA//frdB//dmsA//cysM//glpQ//uidA//alaS//purH//glcF//
TyrR	rutE//nirB//tynA//accB//hyaA//lsrG//hcaE//dhaL//fadB//
UhpA	aceE//
UidR	cdd//icd//
UlaR	gpmA//puuB//epd//lacA//garL//
UvrY	paaI//caiA//
UxuR	hcaE//citX//napB//nagA//frdB//
XapR	sgbE//ldtD//
XylR	rhaD//mdh//recF//
YdeO	pgpC//allD//gudD//
YedW	napH//fucI//cysC//
YefM	rimK//
YefM-YoeB	narI//
YehT	
YeiL	
YiaJ	dapB//tam//fes//fadB//aceA//epd//
YjjQ	patA//
YpdB	
YqhC	psd//tyrA//
YqjI	rnpB//
ZntR	acnB//
ZraR	
Zur	lsrF//
