# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	cueO//prpE//
CytR	bglB//icd//glpB//idnK//accB//appA//iscS//ynfH//malS//adiA//
Dan	gcvP//hcaB//
DcuR	nadA//bacA//xylB//pdeL//
DeoR	tdcG//narG//ribA//gatY//chbG//yiaK//
DhaR	uidA//
DicA	
DinJ-YafQ	pepD//
DnaA	speB//hycF//torC//mhpD//lpxC//ybjG//
DpiA	codA//nrfD//glpQ//cadA//accA//
DsdC	phnL//chbG//
EbgR	
EnvR	fau//galE//
EnvY	rffG//puuA//
EvgA	tauD//entD//hmp//gabD//napA//slt//
ExuR	prpC//paaG//aspC//yfdE//xylA//gatZ//
FabR	astA//narI//
FadR	mtlD//phoA//paaC//slt//cysN//ulaE//glpB//metB//purL//pgk//folA//phnP//frdD//hycD//ppc//entH//fabB//murE//
FeaR	glpQ//fucA//
FhlA	arsC//adiA//guaB//rdoA//ahpF//phnN//astE//
FlhDC	umuD//aceF//hyaA//ddlB//pgaD//ahpC//cysN//glxR//dacC//ldtB//nirB//
FliZ	lsrK//paaZ//fau//hcaF//sodA//
FucR	gatY//caiA//ulaD//uxuB//astE//accB//
Fur	nanM//serA//alaC//hycB//relA//tktB//purN//lacA//thrS//guaB//dinB//purM//mhpF//hmp//lysC//chbG//ynfE//aroG//umuC//ahpF//nadB//nirD//lsrK//kbaY//moaE//argD//acnA//phnL//glnA//hcaC//pgaB//paaG//fadE//mnmG//pgaB//fucA//cysK//glpD//deoA//fabA//ulaF//paaI//appA//fucO//amn//leuA//dgcC//gatY//poxB//argB//cyoE//allE//paaB//purL//accA//wzc//dkgA//nadB//argI//metA//sdhC//gpmA//ynfH//
GadE	astB//patA//phnP//araD//deoB//malP//asnB//glgX//uvrA//treC//
GadE-RcsB	argF//appA//pagP//uxuA//
GadW	ppsA//sdhB//accD//ttdB//
GadX	wrbA//rhaA//phnH//hcp//glgC//frdA//citD//atoA//eda//napH//adiA//sodA//
GalR	glmS//edd//paaJ//hemL//argI//udp//
GalS	rpiB//leuD//pyrD//accB//ampC//rdoA//
GatR	glpA//citF//citF//
GcvA	puuD//paaJ//folA//
GlcC	tam//umuD//argB//
GlpR	aspC//malZ//gpmM//purM//arsC//carA//ttdA//
GlrR	
GntR	alsE//hyaA//garK//frdD//iscS//argI//nrdF//citC//purE//
GutM	alkB//dkgA//dapD//
GutR	glpK//pflB//kbaY//
HU	lpd//fabH//glxR//rutD//moaA//mhpC//phnG//
HcaR	dmsB//speB//
HdfR	
HigA	nrdE//
HigB-HigA	hyi//
HipAB	atoB//entB//
HipB	dgkA//phnG//aspC//
HyfR	fadH//
HypT	nanM//lpxC//cyoE//hyaC//lyxK//dmsA//fabA//
IclR	murE//talA//malS//
IdnR	glgA//napG//putA//prpE//gnd//citF//
IlvY	ndh//
IscR	nagB//lysC//galM//murC//tam//hypF//
KdgR	argD//srlD//
KdpE	hcaD//
LacI	murQ//pagP//cysH//
LeuO	mraY//cysI//mhpF//malS//purA//speA//
LexA	metL//fucU//thrS//mltF//allC//cysN//polA//entE//lsrK//fruK//bacA//mnmG//murG//moeB//frc//fadM//dkgB//lpxC//rutE//metB//cysM//
LldR	yeaE//cysK//
LrhA	
LsrR	allE//cdd//fucA//tyrA//tynA//
LysR	nanK//
MalI	garD//tpiA//
MalT	galK//sdhD//idnD//dapD//sgbH//gntK//
MarA	eda//pncB//rutB//frdD//fbaB//tauD//glpC//galE//luxS//gadB//mngB//pfkA//ruvA//araD//trpE//dkgB//leuB//puuC//nirD//gpmA//gatZ//hycB//murD//
MarR	
MatA	truB//
MazE	gadB//
MazE-MazF	hyaA//
McbR	
MelR	icd//garL//
MetJ	aroL//eno//paaI//carB//mltF//speB//entD//accB//narI//icd//
MetR	lysC//argF//yqhD//yqhD//
MhpR	argI//malY//entE//hycD//ulaG//napH//
Mlc	cdd//icd//lacZ//purA//
MlrA	araD//
MngR	glpX//paaI//
MntR	sufS//pepD//
ModE	codA//katE//cysI//hcaB//paaA//rutC//pepD//gcvH//phoA//rbsD//rbsK//patA//pheS//rutB//
MprA	purC//iscS//nadB//
MqsA	putA//nrdF//
MraZ	hyi//glgC//fdhF//purH//tdcD//dhaL//cysH//metE//ynfG//bacA//mhpA//
MtlR	relA//metL//melA//
MurR	mngB//accA//dgcZ//
Nac	waaY//astD//astB//pgi//gadB//gatZ//glxK//prs//umpH//entC//
NadR	purD//mdh//tam//murC//
NagC	gcvH//glpD//fabH//lpxC//glcF//ssuE//lsrF//ybaS//mnmG//dsdA//nrfB//hycB//paaK//hycE//add//glnA//idnD//hycC//glcB//
NanR	dmsA//asnB//dacC//fadM//malS//fadB//
NarL	aldA//gatZ//ampC//idnO//narG//bioA//gatD//ahpF//sgbU//atoD//carB//argI//citF//rbsK//thrS//glgC//caiC//napB//gltD//lyxK//gnd//nrfD//polB//paaH//prpD//hycD//glcB//pdeH//glgP//phnO//fucO//glcE//paaE//pagP//ttdA//fdhF//
NarP	alkB//nrdE//rpiB//phnG//ssuE//phnM//rnpB//hemL//gabT//speB//citG//
NemR	tauD//pflB//
NhaR	lpxD//folE//citC//hycB//bacA//
NikR	tdcB//
NimR	ndh//
NorR	prpD//
NrdR	accA//glgX//xylB//dmsB//
NsrR	metE//astC//nemA//rutA//pheT//glcE//lacA//carB//trpE//hycB//adiA//malQ//cynT//codA//rimK//relA//asnA//tyrB//talA//nrfA//ung//ada//lacZ//aroG//fadM//fabI//purB//dacC//accC//araA//hypF//glyA//citX//yeaG//ynfE//mraY//
NtrC	rffG//uvrA//sodB//moeB//sgbU//hycF//phr//oxc//bacA//gltB//yeaE//alsE//purE//glyA//dkgB//murD//rffC//paaE//lacA//cysN//rhaD//
OmpR	paaZ//cynT//accC//nadB//pykF//gcl//patD//caiC//
OxyR	araA//alaS//bioB//pflB//purL//cysE//waaZ//hypF//metE//gabD//tdcD//pdeL//entF//argG//
PaaX	phnO//nrdD//ynfE//torC//trpA//adiA//phnN//argG//tyrA//
PdeL	dapB//
PdhR	glmU//pgaC//glcF//pspE//ndh//garD//ubiC//allA//kbaY//nrdB//tpiA//hcaF//pgaC//dmsA//paaZ//paaY//folE//frdC//ssuE//ynfH//glpX//prs//ynfH//arsC//nfsB//dhaK//
PepA	phnI//paaE//
PgrR	rbsD//argI//
PhoB	fumB//chbG//purE//wecC//phnG//rpiB//pnp//yibQ//tauD//dapB//trpE//ulaD//ulaD//pyrC//narI//hyi//nirD//fbaB//
PhoP	rsmH//lysA//fadD//torA//puuA//hemH//garR//fadM//prpB//dkgA//gor//phoA//fbaA//acnB//purC//fbaB//glxR//caiD//atoB//ubiC//xylA//yqjH//guaA//malQ//hcaD//dmsC//cdd//lpxD//nanA//ftsI//phnJ//yeaG//fbaA//
PrpR	fabD//hycG//cysI//mazG//
PspF	metC//
PurR	dgcC//fabH//cysN//cadA//galT//tyrA//uvrC//idnO//cysG//mhpD//kbaY//galM//gatD//rutE//mraY//dhaM//serA//pyrD//lpxC//bioD//glpB//kbaY//fadD//rhaD//torA//ldtB//
PutA	nrdD//asnB//
PuuR	appA//purA//glgA//sucC//prpC//moaE//
QseB	
RbsR	pyrC//arsC//murC//betA//hyi//glgX//
RcdA	ogt//
RclR	
RcnR	gpmA//
RcsAB	rutC//pgi//ychF//
RcsB	entB//entF//pepD//glgX//
RcsB-BglJ	dkgB//hypB//
RelB	galM//
RelB-RelE	cueO//
RhaR	
RhaS	argB//chbF//frdB//sdhB//
Rob	rffC//trpB//fadD//glpX//yqjH//polB//leuC//pyrC//gpmM//phnO//pykF//uxaC//appA//cynT//idnO//glcE//pgk//garL//ssuD//
RstA	mraY//glcB//pdeR//
RtcR	phnI//cynT//
RutR	narI//gcvP//phnJ//ddlB//melA//tyrA//glmS//mhpB//argC//dmsB//napG//
SdiA	
SgrR	nrfC//idnK//hycD//
SlyA	
SoxR	puuB//
SoxS	yqhD//allB//yeaG//tynA//purD//lysC//mnmG//bioA//rutE//ulaD//rsmH//lsrG//murQ//hcaB//glcB//tehB//dgkA//fadI//aroL//kbaZ//ldtB//nrfB//lacZ//puuA//napB//hycF//
StpA	recF//dgkA//hypF//
SutR	gcvH//hycE//
TdcA	nrdB//ahpC//yiaK//chbG//fabA//
TdcR	torC//allE//ampC//entD//argH//
TorR	fabA//phnP//adiA//relA//
TreR	dkgB//hcaF//
TrpR	bioC//mhpD//phnG//pheT//cysI//rnpB//wzc//gadB//fadM//
TyrR	rdoA//sdhC//cysD//nanM//leuA//slt//acnA//wecC//glnA//
UhpA	prpB//
UidR	sdhD//sucC//
UlaR	glmS//galT//gpmM//sucA//trpA//
UvrY	hemH//dmsC//
UxuR	rutE//malP//lpd//ynfF//frdD//
XapR	caiC//purN//
XylR	puuD//nrdD//puuE//
YdeO	kbaY//dkgA//ybjG//
YedW	murC//putA//glgP//
YefM	allA//
YefM-YoeB	lpd//
YehT	
YeiL	
YiaJ	torC//betA//cysD//cysM//pagP//deoC//
YjjQ	speA//
YpdB	
YqhC	glpD//glnA//
YqjI	fadJ//
ZntR	fumB//
ZraR	
Zur	rutA//
