# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mhpA//glmU//
NtrC	rffC//aceA//gltD//lacZ//gabT//mraY//yfbR//dgcZ//ldtB//gcl//ttdB//pagP//purL//garR//umuC//pyrD//citX//folA//moeA//cysI//uvrB//
OmpR	galM//sufS//fabG//gcvH//purE//metA//fucU//rdoA//
OxyR	ung//allC//bioF//gatZ//purB//prs//fadM//malS//hcaD//lsrK//mngB//nirB//dhaL//hycD//
PaaX	pagP//entD//narI//putA//nanM//metC//murD//rhaA//betB//
PdeL	dmsC//
PdhR	alaS//phnP//ychF//bioC//nirD//paaE//yqjH//pnp//fadI//paaA//guaA//mhpB//paaE//edd//nagB//pdeL//sucA//mtlD//argG//ulaD//lsrF//putA//argF//allC//idnD//wrbA//
PepA	purM//sgbU//
PgrR	dmsB//cyoE//
PhoB	polA//mnmG//citF//puuD//trpD//nrfA//fabI//frc//pck//mraY//murQ//nirD//frc//dkgA//rimK//uxuA//cysC//ppiA//
PhoP	sdhB//fabI//dgcZ//glnA//purA//pnp//hycF//lpd//mhpE//arsC//luxS//glpA//fabI//sdhB//fadE//sufS//accA//prpC//nirD//nrdF//leuD//waaY//zwf//paaB//folA//paaI//aspA//rhaB//putA//yeaE//gcvP//mraY//phnI//
PrpR	ftsI//rutB//lacA//paaK//
PspF	kbaY//
PurR	folA//galM//nadA//paaC//phnI//ssuE//lysA//sucB//rffH//argE//fabG//rffH//prpE//leuC//ttdA//arsC//nanE//pdeR//tauD//lysC//nrfB//waaY//kbaY//ndh//purM//dmsB//
PutA	aceF//dgcC//
PuuR	uxaA//putA//rffC//fucO//paaE//purN//
QseB	
RbsR	accA//glgX//pnp//caiD//rutB//ycjG//
RcdA	ynfE//
RclR	
RcnR	moaE//
RcsAB	metF//purE//slt//
RcsB	entD//caiC//uxaB//sodA//
RcsB-BglJ	hycC//phnL//
RelB	purE//
RelB-RelE	gudD//
RhaR	
RhaS	folE//patD//atoB//edd//
Rob	hycF//malP//dhaL//pepD//astA//lpd//ascB//metK//lysA//rffC//paaJ//nrdA//metH//aceA//speB//pck//argI//carB//garK//
RstA	prs//kbaY//edd//
RtcR	sdhB//idnK//
RutR	paaB//dapB//glpB//carB//pgaD//prpD//alkA//paaE//hemH//gcvH//purD//
SdiA	
SgrR	sodB//asnB//hmp//
SlyA	
SoxR	hypF//
SoxS	glmS//waaY//alkA//argE//pgaD//phnG//deoA//ahpC//astD//metH//nrfD//fabH//cysH//fabB//cueO//wrbA//pnp//ruvB//lpd//tynA//phnO//glgX//rutA//yfbR//kbaZ//sucC//
StpA	kbaY//pheT//nrfD//
SutR	lsrK//glmS//
TdcA	malY//paaC//glmU//uxaA//dgcC//
TdcR	puuE//napB//ribA//betA//rffT//
TorR	glpX//ycjG//hcaF//acnB//
TreR	nagA//uxuB//
TrpR	truB//ycjG//sdhD//mnmG//hcaC//galE//sgbU//glmS//metH//
TyrR	ppiA//allE//allA//cdd//caiB//hypF//murI//hcaB//uxaC//
UhpA	fbaA//
UidR	gcvH//deoB//
UlaR	citF//bioA//cysE//mhpA//hyaC//
UvrY	dmsB//entE//
UxuR	mhpC//metC//ogt//ada//murG//
XapR	allB//glcD//
XylR	mazG//paaA//paaZ//
YdeO	tadA//pyrD//psd//
YedW	guaA//murC//hemH//
YefM	uvrC//
YefM-YoeB	cyoE//
YehT	
YeiL	
YiaJ	ldtD//lacZ//argD//torC//nrfC//paaA//
YjjQ	prs//
YpdB	
YqhC	tpiA//purB//
YqjI	chbG//
ZntR	murQ//
ZraR	
Zur	glyA//
