# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	torC//oxc//
IscR	idnK//sufS//lsrK//oxc//ndh//eda//
KdgR	deoB//tadA//
KdpE	hcaF//
LacI	hcaD//gutQ//ynfG//
LeuO	alkB//garD//fruK//glnA//pck//glgC//
LexA	purE//pheT//allC//talA//paaH//cadA//gadB//puuC//udp//mltF//argI//gadB//arsC//chbF//fbaB//citE//wecB//psd//ulaG//frdC//pgpC//
LldR	fabH//mpl//
LrhA	
LsrR	entB//narG//gatY//wzc//yqjH//
LysR	mhpA//
MalI	yfdE//dapB//
MalT	nanK//hmp//aceB//tdcD//idnK//uvrA//
MarA	chbF//moaE//nanA//fau//ssuE//paaI//sufS//murD//hemL//mpl//fes//yfdE//pykF//folE//hcaC//nanE//mpl//glxR//add//tktB//aroH//fucA//phnN//
MarR	
MatA	eda//
MazE	hemL//
MazE-MazF	thrS//
McbR	
MelR	fumB//nirD//
MetJ	trpB//pgi//garR//argF//nrdD//entF//ulaD//mhpA//purF//leuB//
MetR	lacA//allD//fucA//mraY//
MhpR	katG//cysN//trpA//murI//nagB//sucC//
Mlc	pgk//citE//purC//rutE//
MlrA	rhaD//
MngR	ycjG//malY//
MntR	purB//hcp//
ModE	gutQ//gltB//nrdB//ddlB//nanE//xylA//dacC//caiA//dkgB//murI//paaI//fucK//folA//atoA//
MprA	nrdE//cysM//glpK//
MqsA	frdB//gadB//
MraZ	araA//guaA//sodB//paaJ//accA//deoA//lacZ//gloA//paaF//ybjG//wecC//
MtlR	srlD//katG//glnA//
MurR	ahpF//rutD//chbF//
Nac	tyrA//fbaA//yeaG//waaY//astA//adiA//paaG//gcvP//citX//gadA//
NadR	torA//allA//tpiA//fadD//
NagC	dapD//fadJ//citC//rhaB//fadA//caiB//argD//aceE//prpB//glcF//hcp//katG//yfdE//argG//ynfE//gadB//glcB//glcE//glcB//
NanR	paaF//phnJ//cysI//prs//uidA//lysA//
NarL	ynfH//rpiB//lpxA//appA//torC//poxB//pheS//yibQ//moeB//nrdE//arsC//entH//nrdD//hycE//phnN//phoA//mpl//umuC//fumC//aceB//pgi//cysK//accD//purB//aceF//purA//yibQ//argB//cueO//mpl//cysI//paaF//astB//fumC//paaJ//kbaY//
NarP	purN//fau//rbsK//malZ//fadD//trpB//idnO//tyrA//ahpC//nrfB//aceA//
NemR	kbaY//gltB//
NhaR	torA//gabT//puuC//garK//fucI//
NikR	entD//
NimR	citX//
NorR	treC//
NrdR	glgB//argE//kbaZ//gatZ//
NsrR	atoD//gor//murF//astE//frc//ilvC//fucK//fadM//rfe//uvrB//citF//entB//speA//araB//rsmH//ynfE//adiA//bioD//tam//hycF//phnO//uxaA//aceB//metH//hycG//araA//caiA//idnK//hycB//murI//dhaK//glcF//cysM//tyrA//araD//eno//
NtrC	ttdA//rimK//icd//gloA//sucB//ttdB//add//recF//rbsD//phoA//folA//bioD//entF//paaG//ndh//hcaD//chbG//glcB//fbaB//purB//sucA//
OmpR	chbF//gloA//napB//carB//trpC//gapA//paaJ//moaE//
OxyR	gloA//phnJ//deoD//gatY//eno//araD//mhpF//bacA//prpC//lpd//ribA//caiA//sdhC//dgcZ//
PaaX	rutD//hyaB//fabB//tnaA//gudD//glgA//fucK//glmU//fabZ//
PdeL	lyxK//
PdhR	metH//hycE//leuB//puuA//appA//waaH//eda//rbsK//carB//dinB//ndh//lysA//metK//arsC//metF//lpd//betA//katE//atoD//napB//wecC//cysN//cueO//pnp//rutB//cysJ//
PepA	rdoA//pheS//
PgrR	aroL//hypF//
PhoB	gnd//gcvP//pgaD//murQ//glxK//atoB//dgcZ//cysC//ogt//eno//dkgA//pgi//mhpD//hyaC//trpE//rhaB//malY//ulaF//
PhoP	hycF//phoA//ahpC//caiA//feaB//deoC//tadA//eda//lpxD//ribA//slt//glgB//glgC//tehB//gcvP//cysK//deoC//fabD//lysC//xapA//glgB//truB//fabB//hyaC//purH//guaB//rffM//feaB//tauD//pflB//betA//astC//phnM//
PrpR	purH//entA//uidA//nrfB//
PspF	edd//
PurR	dgkA//dkgB//puuB//argH//ycjG//appA//guaB//leuD//dhaM//allB//aroG//gpmA//folA//pnp//glmS//nrfD//metE//glxK//lpd//gatY//carA//udp//glk//ppsA//puuB//puuA//
PutA	leuC//deoD//
PuuR	aceB//asnA//cdd//ppc//atoD//polA//
QseB	
RbsR	gcvT//ybjG//pyrC//ldtD//fabA//fabI//
RcdA	astB//
RclR	
RcnR	araA//
RcsAB	narH//lyxK//paaE//
RcsB	mhpE//paaZ//bioD//astC//
RcsB-BglJ	argI//alkA//
RelB	torA//
RelB-RelE	accB//
RhaR	
RhaS	ndh//araD//deoA//slt//
Rob	sdhB//citG//cdd//gatY//umpH//fes//lacA//yibQ//fes//cynT//metK//entD//rnpB//frdC//ynfG//paaB//malP//hycE//folE//
RstA	ttdB//accA//paaE//
RtcR	hcaF//metE//
RutR	lsrG//sufS//deoA//ftnA//paaG//rhaD//idnD//fucU//napG//fadH//gcvH//
SdiA	
SgrR	lldD//malP//galK//
SlyA	
SoxR	glpB//
SoxS	dgcC//rdoA//poxB//araA//glgP//phnN//nfsB//cadA//aceE//moaE//glcE//lsrF//deoA//umuC//caiD//dgkA//murC//sdhA//bglB//gabD//glk//zwf//ppc//nirD//psd//astE//
StpA	tadA//uidA//mltF//
SutR	lsrK//ychF//
TdcA	garD//hemH//ssuE//hyaC//fadM//
TdcR	bioD//treC//purM//mhpE//gntK//
TorR	cysJ//pepD//murE//uidA//
TreR	putA//fabD//
TrpR	melA//moaA//narH//phnN//rdoA//nirD//malZ//pflB//argI//
TyrR	bioD//entA//leuD//phnL//glpD//mpaA//entB//argC//citG//
UhpA	torC//
UidR	tauD//fumC//
UlaR	kbaZ//wrbA//entE//katG//murC//
UvrY	purC//hcaD//
UxuR	glcD//gpmM//glxK//leuC//aceE//
XapR	aceE//leuC//
XylR	epd//nadA//gatZ//
YdeO	ynfG//gpmM//mhpF//
YedW	aceA//argH//hcaC//
YefM	mltF//
YefM-YoeB	carA//
YehT	
YeiL	
YiaJ	alaS//leuC//entB//guaA//rhaB//ubiC//
YjjQ	napC//
YpdB	
YqhC	mhpD//entC//
YqjI	adhE//
ZntR	astC//
ZraR	
Zur	paaC//
