# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	fucU//glpA//
MhpR	add//fes//glmU//yqjH//puuD//pepD//
Mlc	dgcZ//gor//pheT//garL//
MlrA	alaS//
MngR	eno//dgcC//
MntR	slt//fabD//
ModE	accA//garL//hycE//rfe//allA//napH//dmsA//treC//nemA//argB//paaB//purE//sdhD//rimK//
MprA	pgi//ynfG//ulaF//
MqsA	patA//pheT//
MraZ	frc//treC//yibQ//tdcD//cysM//glpX//puuC//adhE//accB//aroH//nanK//
MtlR	phnN//dacC//tpiA//
MurR	cynT//hypF//ada//
Nac	glgA//napG//malZ//gor//melA//paaH//murQ//hcp//lyxK//mazG//
NadR	mhpB//appA//ada//mnmG//
NagC	metK//accA//fumC//garK//fucI//citC//entH//allD//mdh//napA//srlD//codA//katG//allE//mtlD//nrdD//hcaC//sodB//ascB//
NanR	ynfH//glxR//oxc//leuA//sgbE//fabH//
NarL	glpQ//fdhF//phnI//deoB//nanK//prpC//nadB//sgbU//ahpC//cadA//serA//purF//alkB//dgcC//ssuE//paaH//uvrA//ada//lpxC//lsrF//trpD//tdcB//mhpF//lpxC//argI//accA//leuD//puuE//waaY//entH//metH//nanA//pgaB//idnK//hycG//paaC//
NarP	dapD//ulaD//garL//cysH//gadB//rdoA//gor//gutQ//aceF//sdhB//edd//
NemR	narH//ulaE//
NhaR	tdcG//yfdE//nfsA//murI//ascB//
NikR	lpxC//
NimR	purN//
NorR	ribA//
NrdR	glpB//ynfG//purE//aspC//
NsrR	murI//hyaB//glgB//tauD//ahpC//gltB//nirD//umuC//guaA//fdhF//rfe//galE//rdoA//pnp//accC//gor//icd//metL//nadB//metC//metE//gloA//ynfE//ftnA//fabG//mhpA//araD//dmsB//udp//caiB//fucU//argB//lacA//rnpB//pnp//feaB//
NtrC	prs//cynT//gapA//tdcE//nemA//glgP//murC//uxaA//bacA//phnM//wecC//tdcB//entA//bglB//garR//nrdD//murD//talA//ubiA//galT//fbaA//
OmpR	xapA//argE//hycD//citD//recF//entF//argC//phnH//
OxyR	rbsD//speB//chbG//lpxA//rbsD//uvrA//ubiA//murG//ldtC//sufS//hycE//umpH//ugpQ//dhaL//
PaaX	mnmG//nrfB//purF//hmp//argB//ynfE//narH//citG//ruvA//
PdeL	alkA//
PdhR	gadA//wrbA//guaA//uxuA//polA//caiC//tdcB//hyaA//tauD//mhpB//frdC//speA//glpB//kbaZ//rffH//fdhF//rffM//metB//yqhD//allC//purM//leuC//idnD//gpmA//fadE//fucU//
PepA	hcaC//hemL//
PgrR	nanK//glcE//
PhoB	edd//atoA//purM//acnA//lacA//fadJ//gnd//cadA//napA//ppsA//entF//leuC//garL//caiC//tam//lysA//lysC//relA//
PhoP	entF//allC//moeB//pagP//glgX//ruvB//alaC//hyaA//umuD//prpC//torC//rutB//wzc//umuC//wecC//feaB//srlD//thrS//ppiA//frdC//narG//araD//pdeR//glpX//waaY//aceA//gltD//nrfA//cysE//aroF//cysK//entE//malY//
PrpR	araD//hcaD//galM//rffH//
PspF	alaC//
PurR	chbF//dhaL//murF//nfsB//ssuE//carB//mdh//gnd//nirB//bioD//sucA//hycB//cysK//metC//rnpB//malY//xapA//gltD//idnO//metE//nirB//narI//metE//nrdD//acnA//dkgA//
PutA	glcE//rimK//
PuuR	lsrK//mnmG//uxaA//purM//ubiX//hyi//
QseB	
RbsR	glcD//fucK//prpD//gltD//glpD//fadI//
RcdA	pflB//
RclR	
RcnR	gcl//
RcsAB	alsE//speA//mhpD//
RcsB	rnpB//idnD//glxR//malZ//
RcsB-BglJ	purC//fdhF//
RelB	citF//
RelB-RelE	glxK//
RhaR	
RhaS	malP//nadB//hemH//nadB//
Rob	amn//wzc//purB//mhpB//metF//phoA//ynfH//mtlD//lsrG//hemL//idnK//tam//lpxA//waaH//cueO//dmsB//fau//dmsA//napG//
RstA	lysC//ldtD//rffT//
RtcR	ampC//umuC//
RutR	prpB//pgk//gloA//sdhD//lpd//gltD//mngB//yeaG//murE//gabT//recF//
SdiA	
SgrR	mngB//purF//metE//
SlyA	
SoxR	glgP//
SoxS	ssuD//metF//hcaF//pgi//katG//entD//alaC//fadM//allE//uxaC//dhaL//lsrK//mpl//ssuD//cysG//atoD//glpX//lpxD//fucU//accA//aroF//ttdA//lpxD//nanK//acnB//moaA//
StpA	garK//phnH//yfbR//
SutR	nrdE//ogt//
TdcA	phnL//phnP//trpC//entB//argC//
TdcR	torC//glpX//caiA//malY//lysC//
TorR	gabD//rhaB//moeA//metH//
TreR	gapA//cysK//
TrpR	yiaK//fadA//moaE//glpC//cysH//lsrF//pgaD//uxaA//mhpB//
TyrR	leuC//aceB//lsrG//hycC//mnmG//glpD//sgbU//paaI//paaZ//
UhpA	gcvT//
UidR	pgaC//hypB//
UlaR	aceA//garD//fruK//fadB//wecB//
UvrY	nrdD//glpB//
UxuR	citX//metA//paaC//araA//caiA//
XapR	rutC//rpiB//
XylR	alkB//gadB//wzc//
YdeO	sucD//gapA//mngB//
YedW	mngB//fruK//caiB//
YefM	phnJ//
YefM-YoeB	moaE//
YehT	
YeiL	
YiaJ	atoD//dhaM//murG//guaB//deoD//caiD//
YjjQ	chbG//
YpdB	
YqhC	betB//metH//
YqjI	add//
ZntR	polB//
ZraR	
Zur	hyi//
