# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	araB//ynfF//
PuuR	cysN//bioC//rimK//fadJ//pflB//nanA//
QseB	
RbsR	murG//ubiA//sdhA//dgkA//metC//deoB//
RcdA	polA//
RclR	
RcnR	ubiX//
RcsAB	mhpB//gdhA//waaH//
RcsB	gltD//sodB//deoA//uxuB//
RcsB-BglJ	moaD//purK//
RelB	frdA//
RelB-RelE	metF//
RhaR	
RhaS	glpX//phnP//pdeR//argD//
Rob	ttdB//phnI//frdD//nrfD//idnK//hyi//mpl//rffC//ahpF//yibQ//rutB//glcE//nrdF//ldtD//idnD//cysK//aspA//moaD//trpC//
RstA	argE//cueO//pdeR//
RtcR	hyaB//thrS//
RutR	moaE//speB//mhpC//pgi//waaY//poxB//nfsA//aceE//pflB//prpC//glgC//
SdiA	
SgrR	fes//ybjG//fucU//
SlyA	
SoxR	nanM//
SoxS	caiB//mhpE//glgX//rnpB//rffG//nrdD//ruvB//ppc//caiC//purA//dacC//hycE//deoA//paaE//purH//lhgO//cysJ//lpxD//ribA//dapD//argI//oxc//nrfB//napB//rsmH//argH//
StpA	guaB//waaZ//paaF//
SutR	phr//hycD//
TdcA	murF//garL//uvrB//gntK//wzb//
TdcR	phnH//dacC//pagP//alkA//ynfG//
TorR	pepD//uvrB//leuB//araD//
TreR	narI//bioD//
TrpR	pepD//sufS//astE//cysK//garK//napC//ttdB//fes//pflB//
TyrR	chbF//sdhB//leuB//phoA//prpC//murE//pgk//phnJ//edd//
UhpA	glpC//
UidR	phnM//cadA//
UlaR	phr//pgaB//eda//patA//umuD//
UvrY	uxaA//ubiX//
UxuR	rffM//gabT//pgk//poxB//hyaB//
XapR	entE//folE//
XylR	wecB//mtlD//hcaC//
YdeO	ruvB//cysI//accA//
YedW	mpl//phnH//hcp//
YefM	paaY//
YefM-YoeB	citF//
YehT	
YeiL	
YiaJ	mhpD//katE//fabI//argB//folA//fruK//
YjjQ	fdhF//
YpdB	
YqhC	fabZ//fabD//
YqjI	nrfC//
ZntR	arsC//
ZraR	
Zur	ndh//
