# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	appA//metB//
FlhDC	ynfG//lhgO//yibQ//argB//alkA//puuD//rfe//sucB//dmsC//mhpF//ulaE//
FliZ	leuC//pdeR//rutE//paaK//accD//
FucR	aroL//ybjG//glgC//caiB//rutC//hypF//
Fur	ybaS//uxaA//astD//fabA//argC//gcvT//dhaM//waaH//phr//alaC//cysJ//rffC//glpC//pgpC//xylB//hcaB//cynS//polB//prpB//rffG//accC//ndh//tam//ldtC//lsrG//wecC//nagB//rpiB//sucC//ada//deoC//phnI//sucA//alaS//folA//slt//acnB//nrdA//fadJ//sgbH//nrdB//puuD//cynT//lysC//citC//fadE//lhgO//malS//deoC//fdhF//speA//asnA//cysM//pfkA//rffG//umpH//caiA//metK//tdcG//ssuE//frdB//treC//paaH//
GadE	glk//caiA//fbaB//puuD//cadA//cysC//ogt//glmU//ftsI//ynfG//
GadE-RcsB	garK//zwf//citX//yibQ//
GadW	eda//treC//speA//mraY//
GadX	argA//lpd//pspE//folA//puuD//fadD//glcE//fabH//rffG//phnI//paaZ//aceB//
GalR	yeaE//hycF//glpD//rffM//hemH//talA//
GalS	pgaB//murI//moaA//rutD//cysM//prpC//
GatR	fadD//accB//cysM//
GcvA	rhaD//hyi//gatY//
GlcC	glpC//moeB//ycjG//
GlpR	atoA//phnO//ftsI//epd//mhpE//fadB//pnp//
GlrR	
GntR	glk//pheS//nrdA//pepD//paaH//phnG//rfe//katG//nfsA//
GutM	fumC//cysN//purD//
GutR	fadD//bioF//umuD//
HU	ubiA//aspA//phnG//hycC//cysN//araA//bioB//
HcaR	pnp//wrbA//
HdfR	
HigA	phr//
HigB-HigA	napH//
HipAB	hemH//rutD//
HipB	glgX//ugpQ//murG//
HyfR	mpl//
HypT	cysN//trpA//ampC//puuD//purD//uvrB//gcvT//
IclR	mhpE//uxaA//nanK//
IdnR	leuA//bioB//trpA//tdcE//phnJ//prpD//
IlvY	rimK//
IscR	cysC//psd//ppc//argB//rimK//galM//
KdgR	bioF//rimK//
KdpE	araD//
LacI	puuA//purK//ynfF//
LeuO	sdhC//nadA//murC//glcF//fadE//paaJ//
LexA	ahpF//ppiA//fadE//metH//citE//fes//malP//nfsA//kbaZ//purL//allC//gor//moeB//ascB//murE//torA//cysJ//betB//glpQ//fbaB//phnH//
LldR	mhpF//acnA//
LrhA	
LsrR	glk//purA//garD//paaI//chbG//
LysR	polB//
MalI	carB//ruvB//
MalT	rhaD//nadB//uidA//xylA//ilvC//murC//
MarA	nrdE//fucO//accA//purK//putA//purF//waaY//rutB//leuC//aspA//aroL//eda//fucA//lsrG//hycF//pheT//appA//argD//ybjG//waaH//putA//nadA//rutE//
MarR	
MatA	prpD//
MazE	cysJ//
MazE-MazF	gcvH//
McbR	
MelR	murI//nadB//
MetJ	malP//prpE//gadA//metF//rffC//garL//tauD//leuA//gpmM//lsrG//
MetR	tyrA//accB//fadM//prs//
MhpR	galT//fadA//lsrF//fadB//hmp//gatD//
Mlc	nanK//caiD//malZ//glcE//
MlrA	prpC//
MngR	allB//xylA//
MntR	paaE//glyA//
ModE	alaS//astC//arsC//uxaC//gdhA//iscS//allC//hypF//alkB//adiA//zwf//purF//araA//cysJ//
MprA	pykF//cynT//atoB//
MqsA	phnM//mhpD//
MraZ	pepD//asnB//pdeL//glgA//garD//atoB//purN//aceE//gcvH//rffH//glcB//
MtlR	hyi//sdhD//malY//
MurR	argI//purF//nfsB//
Nac	glcD//bioA//garR//glmS//folE//glcD//ruvA//murQ//rfe//ttdA//
NadR	uxuA//pgpC//trpA//tpiA//
NagC	arsC//mdh//gadB//paaI//malQ//ubiC//umpH//psd//glcE//ldtD//fabA//deoB//dsdA//yqjH//fadI//nemA//rhaB//purN//adhE//
NanR	entE//purD//trpC//murD//aroF//phoA//
NarL	pflB//nrdB//lysC//ubiX//yeaG//ogt//tktB//napH//aceE//betB//folE//ascB//mnmG//moaD//caiC//ldtC//gdhA//waaZ//phnN//purC//paaE//hyi//garR//ldtC//galT//tdcB//speA//purB//atoB//prs//uxaB//caiB//deoD//gabD//udp//allB//
NarP	atoB//paaH//alaS//araD//purM//fucU//trpE//phoA//astE//sdhB//puuB//
NemR	pagP//purH//
NhaR	ssuE//trpC//aceB//hcaD//yiaK//
NikR	malP//
NimR	fucA//
NorR	kbaY//
NrdR	napA//gcvP//idnD//alkA//
NsrR	uvrB//nfsA//glpX//ychF//betB//umuC//torA//polB//caiC//argD//nanM//cysK//acnA//idnO//sucB//feaB//nrdB//paaE//dhaM//napG//ruvA//nrdD//moaD//nfsB//dgcC//aroF//sucA//allA//alkA//rbsD//tdcD//cysJ//gatD//napB//idnK//mhpA//
NtrC	gatD//lsrK//accD//mhpA//rffT//entC//cueO//lpxA//hyaB//glk//wzc//purM//ynfE//fadI//fucK//deoC//nrdE//patA//ftsI//hyi//napC//
OmpR	cysE//bioD//glpD//murF//cynT//murE//alkA//ung//
OxyR	paaB//murG//sucA//trpA//hycF//icd//fabH//dapB//sucB//ssuD//bglB//moaA//ilvC//paaH//
PaaX	talA//fruK//mdh//umuC//galM//ulaG//ppiA//nrdA//xylA//
PdeL	sdhC//
PdhR	sucD//mraY//dmsA//gcvH//phnO//hycB//trpC//amn//zwf//mhpF//gadB//ugpQ//glgB//treC//sucA//glpQ//speA//accC//lpxA//cysJ//uxaA//phnO//metB//mhpB//hcp//paaE//
PepA	ppsA//sodB//
PgrR	prpB//appA//
PhoB	ulaF//fabD//hyi//thrS//araD//glpQ//adhE//nanE//pdeR//metE//pfkA//nanE//tadA//hemH//carB//nrdF//idnK//ssuD//
PhoP	mhpE//caiB//cysJ//tam//pfkA//rutE//idnK//idnO//ulaE//purA//paaZ//psd//guaB//uvrB//rhaA//yqjH//gnd//paaH//tdcE//rhaD//aroG//glyA//icd//argD//hycF//malP//caiB//cysD//aspA//betA//deoD//trpD//bioA//
PrpR	alaC//guaB//rffM//nadA//
PspF	garL//
PurR	fabI//talA//putA//waaZ//hemH//dhaK//xapA//fabI//moaD//phnI//pyrD//glxK//acnA//kbaZ//dsdA//accD//waaH//paaA//slt//moaD//mhpB//entA//araD//ruvB//ldtB//malP//
PutA	rbsD//slt//
PuuR	moaE//frc//ulaE//glpA//gnd//nrfB//
QseB	
RbsR	pdeR//rffC//wrbA//ascB//paaG//uidA//
RcdA	rffT//
RclR	
RcnR	treC//
RcsAB	hcaF//hycC//hcaB//
RcsB	glxK//speB//argF//paaJ//
RcsB-BglJ	betA//caiB//
RelB	bioD//
RelB-RelE	rffT//
RhaR	
RhaS	mltF//dhaL//fadH//bacA//
Rob	hycF//lhgO//aceB//murI//purL//iscS//gadA//rffC//mhpD//astE//nrdA//acnA//nanA//entC//murQ//metB//dhaL//aroH//purK//
RstA	lysC//gntK//folA//
RtcR	gltD//paaZ//
RutR	narG//cysM//sgbH//oxc//nrfD//ribA//acnA//aceF//paaY//malY//alaC//
SdiA	
SgrR	hycG//cysI//phoA//
SlyA	
SoxR	nrfD//
SoxS	murF//glpD//allB//allD//tam//gabT//ftnA//paaC//psd//ychF//nirD//tdcD//ldtD//ascB//fruK//accD//lyxK//phnN//lpxA//metB//ssuE//yqhD//rhaB//gatY//fabB//gudD//
StpA	narI//malZ//phnI//
SutR	entE//bioD//
TdcA	murC//dinB//xylB//gdhA//pdeL//
TdcR	cysD//fabB//gcvT//uidA//gcvH//
TorR	wzb//cyoE//nemA//paaK//
TreR	gabT//malY//
TrpR	trpE//nanE//sucC//entC//hycE//tam//glcE//phnG//torC//
TyrR	pdeL//prs//rdoA//metE//hcaE//glcD//lpd//trpA//puuD//
UhpA	pflB//
UidR	ubiX//argE//
UlaR	slt//fucU//nrfA//glyA//cysD//
UvrY	frdC//ddlB//
UxuR	dgcZ//recF//ubiA//mazG//folE//
XapR	fabD//paaH//
XylR	fadH//dhaL//murD//
YdeO	gpmM//nadB//glgP//
YedW	phnM//nanE//gadB//
YefM	hyi//
YefM-YoeB	sucA//
YehT	
YeiL	
YiaJ	ulaE//tdcB//narH//glpB//garK//rffC//
YjjQ	tnaA//
YpdB	
YqhC	frdB//fucO//
YqjI	bioB//
ZntR	glyA//
ZraR	
Zur	rsmH//
