# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	lpxA//phnM//
Fur	rbsK//wrbA//rpiB//ldtB//aroH//prpB//sgbH//garR//ogt//paaF//wecC//moaD//alkB//nrdB//hycB//rutB//gutQ//rnpB//argD//lsrG//purN//tauD//prs//puuA//xapA//araD//ahpC//nemA//cadA//fumC//lsrG//fabI//aspC//ycjG//lacA//hemH//bioD//rpiB//waaZ//ppc//gatY//allB//nemA//araB//acnA//lpxA//sgbU//fabA//araB//hemH//sdhA//sodA//nfsA//adiA//bioB//hcaE//mhpA//hycG//mhpC//patA//fumC//fabG//citC//
GadE	idnD//murD//purH//purD//fadH//lsrF//xylA//prpD//fabI//tehB//
GadE-RcsB	cysM//cysJ//moeB//aroL//
GadW	nrdB//rffM//metK//cysC//
GadX	nrdA//ndh//ulaE//fucO//arsC//caiD//fes//cysM//mdh//yqjH//wzb//rffM//
GalR	gpmM//puuB//frdD//ttdA//garK//tynA//
GalS	frc//rffT//pflB//serA//yqhD//glk//
GatR	dgcC//allA//argI//
GcvA	rutB//rffM//kbaZ//
GlcC	cadA//murI//poxB//
GlpR	fadA//aroG//alkB//murQ//cueO//hcaB//gadA//
GlrR	
GntR	feaB//phnI//lsrK//dapD//ulaG//citF//nirB//caiB//atoA//
GutM	uidA//mltF//hycC//
GutR	tadA//sgbU//arsC//
HU	polA//astE//gatZ//nrdD//frc//feaB//malY//
HcaR	ybaS//fabB//
HdfR	
HigA	fucA//
HigB-HigA	accC//
HipAB	acnA//ilvC//
HipB	galM//wecB//yibQ//
HyfR	icd//
HypT	folA//folA//guaA//pdeL//paaA//aroH//polA//
IclR	frdB//metE//metB//
IdnR	atoA//hycG//paaB//astE//lacZ//nanM//
IlvY	aroG//
IscR	gabD//pykF//rnpB//nrfB//caiC//guaB//
KdgR	yeaE//fucU//
KdpE	galE//
LacI	waaY//rffC//luxS//
LeuO	aceB//wecC//citD//garK//kbaY//paaK//
LexA	purB//glgB//citE//betB//aceA//purA//fucI//purN//fes//ftsI//ribA//poxB//argB//wecC//idnO//malP//glgX//phnI//entB//metE//ahpC//
LldR	nrdB//wzb//
LrhA	
LsrR	carB//paaC//gatD//lysA//cynS//
LysR	allC//
MalI	murC//zwf//
MalT	aroF//purH//fes//hemL//glgC//paaZ//
MarA	dhaL//narI//mpl//prpC//tdcG//hypF//hycG//sufS//phnM//napH//mpl//ssuD//metC//phnL//glmS//rsmH//amn//dkgB//cueO//uxaC//uxaC//galK//aroH//
MarR	
MatA	dkgA//
MazE	nrfC//
MazE-MazF	lyxK//
McbR	
MelR	luxS//leuA//
MetJ	tam//pepD//aceB//paaZ//purE//fabG//purL//fdhF//treC//gapA//
MetR	xapA//thrS//nadA//paaJ//
MhpR	cysI//fabA//tyrB//puuA//fes//ahpC//
Mlc	sgbE//sufS//accC//paaF//
MlrA	paaK//
MngR	purH//trpC//
MntR	metH//alkA//
ModE	putA//tehB//ulaG//allE//gltD//dsdA//moeA//astD//hcp//fucU//rhaA//phr//leuA//carB//
MprA	nanK//gudD//nagA//
MqsA	mhpD//polB//
MraZ	lysA//tpiA//uvrA//rsmH//purD//malQ//astE//dkgB//paaK//entA//guaB//
MtlR	uvrB//betA//entE//
MurR	glpB//sodB//paaA//
Nac	add//paaI//murQ//speA//pagP//treC//pgk//tdcD//alkB//lsrK//
NadR	phnI//cysG//puuA//glmS//
NagC	malQ//argC//amn//fumC//entF//oxc//tdcE//glpQ//paaI//alaC//mngB//nrdB//ubiX//fadE//ruvB//citD//mhpD//phnP//guaA//
NanR	prpC//galT//glpQ//polB//murG//ftsI//
NarL	trpC//pheT//puuB//citX//eda//glgP//ldtC//argG//paaH//fumB//malS//betB//gor//yfdE//atoA//rnpB//hycC//waaZ//fucO//idnD//purM//codA//epd//galM//truB//aceB//fes//paaK//katG//idnK//hypF//gatZ//eno//gnd//paaJ//lldD//
NarP	ubiA//nrfD//ada//glgX//ybaS//putA//hycF//ubiA//astC//deoD//talA//
NemR	nemA//ulaF//
NhaR	chbF//tdcB//tyrB//glgB//lpxA//
NikR	accA//
NimR	ubiA//
NorR	accA//
NrdR	galK//sdhC//rimK//puuB//
NsrR	murG//murI//dapD//sdhA//fes//nagB//ftnA//dapB//gnd//glxK//nirB//fadD//purD//pepD//dgcZ//entH//fumB//dapB//argA//cysJ//argI//puuA//accC//trpA//puuC//prpD//yqjH//allD//hypF//glpB//pdeL//treC//atoA//cysD//tynA//aroH//
NtrC	tdcG//yqjH//yeaG//argD//glpK//ascB//tnaA//add//glcD//hycG//hypB//entB//ahpF//tdcG//pflB//gloA//frc//sdhA//sdhD//galT//napG//
OmpR	ycjG//accA//hyaC//glyA//galE//sucC//leuB//fdhF//
OxyR	lysA//cadA//allB//gabT//garK//accA//ppiA//cysG//metH//deoB//prs//galM//ulaD//aceB//
PaaX	ahpF//dhaM//narH//mngB//malQ//cdd//acnB//rutD//phoA//
PdeL	glcF//
PdhR	aroL//bioC//polA//hcaD//nrdA//fau//garK//dmsC//metK//aceE//dgkA//psd//ruvA//napC//glcD//nfsA//adiA//glcE//hycC//purD//dmsC//udp//katG//ynfE//hmp//allE//
PepA	hmp//metA//
PgrR	accC//mraY//
PhoB	prpD//metF//recF//ubiA//oxc//sdhD//tam//sgbE//astD//uvrA//murQ//eda//caiC//glk//nirB//nrdD//entH//sucD//
PhoP	pnp//cysK//adiA//entB//purC//phnP//speA//rutB//fabB//ychF//ulaE//galK//hemH//hyaC//nadA//dkgA//edd//pepD//lysC//prpE//pgaC//srlD//cysC//entF//purC//sufS//frdC//icd//carB//pagP//puuA//polA//waaY//
PrpR	murG//allD//rhaB//argG//
PspF	pck//
PurR	cysC//fucK//purL//ycjG//tktB//eda//prs//pykF//asnA//ssuE//pgaC//metH//galT//pepD//glcD//garK//alkA//paaA//phnG//fumB//glpA//mhpF//pgk//pdeH//aroL//pfkA//
PutA	ribA//entE//
PuuR	frdD//mhpB//patA//trpA//nrfC//fbaA//
QseB	
RbsR	galE//paaY//lpxA//mhpF//sodA//gapA//
RcdA	deoC//
RclR	
RcnR	glgP//
RcsAB	uxuA//fbaB//gadA//
RcsB	carA//melA//pncB//hcaC//
RcsB-BglJ	glgX//napG//
RelB	sucB//
RelB-RelE	lldD//
RhaR	
RhaS	galT//phnJ//fadE//hemH//
Rob	purE//rpiB//sucA//ldtD//polB//cdd//ilvC//uvrC//tdcB//adiA//gadB//nrdB//ulaD//lysA//ndh//phnH//galE//idnD//atoD//
RstA	aceF//nadB//rbsK//
RtcR	dkgA//gcvP//
RutR	sodA//paaH//ulaE//puuA//folE//argD//astE//frdA//deoC//nagB//citF//
SdiA	
SgrR	ddlB//galK//deoA//
SlyA	
SoxR	prpB//
SoxS	paaF//rutE//trpB//alkA//murQ//rdoA//glgB//pfkA//garD//amn//fadE//cynS//rffG//nanK//gatD//glgB//metA//purB//tdcE//ogt//fumC//frdC//nirD//glpC//fucA//glk//
StpA	ttdB//dgcC//purH//
SutR	ldtC//nagB//
TdcA	metH//dinB//galM//bioD//rffG//
TdcR	mngB//leuC//moaD//cysJ//allC//
TorR	ulaG//fadE//ugpQ//purM//
TreR	murC//lyxK//
TrpR	rutC//fabB//accC//udp//rutA//phnI//pheT//leuB//hycB//
TyrR	nrfC//relA//pdeH//glpC//idnO//garD//malY//glgP//yfbR//
UhpA	poxB//
UidR	ilvC//glgC//
UlaR	fucA//cysD//hycC//aspC//ssuD//
UvrY	ybjG//fadJ//
UxuR	cysD//cysH//gadA//kbaZ//zwf//
XapR	paaI//rbsK//
XylR	tdcB//sucB//fabZ//
YdeO	moaA//rbsD//ynfG//
YedW	alkA//aspA//prs//
YefM	sodA//
YefM-YoeB	fadB//
YehT	
YeiL	
YiaJ	trpA//fabD//argE//ftsI//glgP//metF//
YjjQ	dkgA//
YpdB	
YqhC	relA//fadH//
YqjI	wzb//
ZntR	cysN//
ZraR	
Zur	purL//
