# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	caiC//pykF//
GalS	wzb//appA//pyrD//torA//gabD//torA//
GatR	psd//glpX//dapB//
GcvA	lpxA//phnP//phnP//
GlcC	fucU//astA//malY//
GlpR	dacC//rbsD//glcB//gutQ//glpD//arsC//glxK//
GlrR	
GntR	malY//carB//uxaB//gcvT//ogt//ribA//atoD//paaY//metH//
GutM	rnpB//sgbU//ssuD//
GutR	moaE//hcaD//dacC//
HU	lpxA//wecC//gapA//araA//glcF//ulaE//trpE//
HcaR	moeB//prpC//
HdfR	
HigA	cysG//
HigB-HigA	fadJ//
HipAB	deoB//alaC//
HipB	dacC//prpD//fumC//
HyfR	oxc//
HypT	sufS//ftsI//frdA//gatD//carA//purC//glpB//
IclR	paaA//ssuD//garK//
IdnR	bioF//appA//asnA//phnP//umuC//mhpD//
IlvY	argH//
IscR	argB//argE//nrfD//pykF//add//pgaB//
KdgR	bglB//argB//
KdpE	pagP//
LacI	galE//metA//sgbH//
LeuO	guaB//ahpF//hemH//glgP//yeaE//fucU//
LexA	entE//gnd//tdcB//nrdD//ugpQ//guaA//paaB//garD//bioB//nagB//caiC//phoA//uxuA//lldD//murG//metH//galE//ychF//tdcE//umuD//fucK//
LldR	glcD//ychF//
LrhA	
LsrR	fabI//pgpC//purE//paaA//yibQ//
LysR	pdeR//
MalI	iscS//dmsC//
MalT	gudD//rutE//galM//udp//dkgB//dapB//
MarA	paaA//entB//umuD//hyaC//polB//aceA//ulaD//melA//dmsB//metF//fadI//sucC//accD//hemL//nagA//fabG//paaB//lpxD//glcD//cynS//cysC//pgpC//purC//
MarR	
MatA	aroF//
MazE	uidA//
MazE-MazF	metC//
McbR	
MelR	arsC//hycC//
MetJ	pgk//ynfH//rutA//rimK//gabT//uvrA//bioC//glpD//purF//rdoA//
MetR	gdhA//cadA//gor//idnO//
MhpR	ldtD//uvrB//prpE//cynS//nrdB//aceF//
Mlc	araD//frdB//hyaA//rfe//
MlrA	gcvH//
MngR	bioB//ubiX//
MntR	guaB//tdcD//
ModE	fabG//rhaB//phnG//glnA//oxc//bioC//hypB//nirD//gcvH//rnpB//entF//ychF//cysM//nrdD//
MprA	napA//hycD//yqhD//
MqsA	metK//alkB//
MraZ	tyrA//fucU//cueO//aspA//hcaD//gudD//argG//bacA//glpX//leuD//fadI//
MtlR	chbF//argE//phnH//
MurR	fadM//dhaK//tdcG//
Nac	paaB//lpxD//rffC//caiA//astD//frc//fadE//cysH//ybaS//nrdE//
NadR	gpmM//katE//mhpF//rhaB//
NagC	moaA//uxuB//tynA//rsmH//lysC//allA//sodA//cueO//lpxD//nrfA//rdoA//mltF//gloA//glmS//mazG//pnp//argC//bglB//deoA//
NanR	narG//purC//nrfD//ssuD//argH//oxc//
NarL	ybaS//sucC//ahpF//ada//nrdA//lpxD//sdhC//cynT//uidA//glgP//mazG//nemA//pyrD//mngB//nrfD//cysE//fau//tyrA//frdB//fbaA//rffG//rffH//moeB//aldA//fabI//nirB//leuA//katG//tadA//malZ//gadA//rhaB//gntK//purC//astE//lsrK//
NarP	fadE//glpK//entB//trpE//gadB//mpl//atoD//nrdE//metA//cysC//uvrA//
NemR	nagA//ampC//
NhaR	paaC//feaB//tauD//fadB//dhaL//
NikR	entH//
NimR	glnA//
NorR	nirD//
NrdR	atoB//adiA//glmS//phnG//
NsrR	aceF//argF//fadE//ttdA//dsdA//frdD//glgP//lpd//yeaE//serA//asnB//pnp//patA//ynfF//fabZ//paaK//aspC//ahpF//yiaK//rffG//metB//gntK//lpxD//poxB//caiD//psd//lyxK//accC//narI//glnA//fumB//arsC//cadA//rutE//paaE//bioB//
NtrC	ogt//citG//allE//glpD//sdhA//sucA//lpd//poxB//aldA//malY//cysH//pfkA//trpA//ssuD//hycE//hycC//ampC//tyrB//polA//cdd//frc//
OmpR	accC//alaC//folE//gatZ//phnN//bacA//xylA//phnJ//
OxyR	add//sucC//pgaD//srlD//yeaE//bioA//tdcB//paaF//nrfA//caiB//cysE//metL//gatY//uxaB//
PaaX	puuD//ybaS//acnA//nadA//gadA//mazG//pyrD//uxaB//lpd//
PdeL	murG//
PdhR	speA//allE//fdhF//trpA//gltD//wecB//uxaC//hemL//kbaZ//gabD//malS//mhpC//cysD//purB//atoB//cadA//carA//citF//pgi//puuE//uvrB//malZ//pgaD//mraY//ribA//gabT//
PepA	glpB//serA//
PgrR	murD//cysN//
PhoB	argG//guaB//gcvT//pncB//umuC//murG//icd//bioB//cysN//rsmH//glxK//moeA//cysH//yqhD//cueO//ugpQ//astB//purF//
PhoP	malY//moaA//truB//hypB//sdhB//tdcE//mhpB//hycD//prpC//citG//guaA//mhpB//poxB//glcD//rffT//idnK//allD//gor//hmp//moeB//aroG//bacA//napC//folA//rfe//fumC//galK//nirB//xapA//nrfB//prpE//paaH//sgbH//
PrpR	entH//metH//rdoA//aldA//
PspF	carA//
PurR	hcaC//rutE//lpxC//atoD//katG//tpiA//uxuA//ahpF//paaE//cysM//accC//adiA//ybaS//phnP//mhpE//prpB//ahpF//hypB//phnP//malY//rutA//fucK//lpd//pflB//fumB//moeA//
PutA	fau//fadB//
PuuR	purN//nrfB//ftsI//fadJ//araB//trpA//
QseB	
RbsR	sucC//nagA//codA//fadE//gcvH//asnB//
RcdA	xapA//
RclR	
RcnR	galK//
RcsAB	alaS//nanK//purB//
RcsB	slt//nagB//ulaF//glgC//
RcsB-BglJ	entD//fabZ//
RelB	malZ//
RelB-RelE	deoA//
RhaR	
RhaS	prpE//dapB//dgcZ//astA//
Rob	metK//ldtD//paaJ//wzb//paaB//hyaC//dhaL//yeaE//psd//mngB//dsdA//ldtB//nemA//ychF//eno//uxuA//ppiA//guaB//appA//
RstA	allD//nirB//glcB//
RtcR	paaG//glgP//
RutR	cueO//pdeH//ldtB//ugpQ//murG//dgcZ//aroF//mazG//fbaA//dhaL//nfsA//
SdiA	
SgrR	caiA//accA//rutC//
SlyA	
SoxR	ruvA//
SoxS	glgC//hcaC//ppiA//gcvH//glnA//ldtB//cynS//phnP//phnO//pepD//pgk//psd//gatD//accA//accD//glgC//lpxA//lhgO//fes//polB//add//entB//paaH//umpH//fabZ//puuD//
StpA	tauD//idnD//dgkA//
SutR	garK//hcaB//
TdcA	accC//lpd//mhpC//ribA//fadI//
TdcR	pdeL//srlD//nagB//pdeL//astE//
TorR	ttdB//cysK//bacA//arsC//
TreR	aceE//luxS//
TrpR	nadB//gadA//dgkA//pck//patD//aspA//glpD//metH//purM//
TyrR	fucO//dhaK//pgpC//fdhF//katG//dapD//glxR//nrdA//dmsC//
UhpA	sufS//
UidR	wecC//malZ//
UlaR	murQ//hcaF//entE//speA//dacC//
UvrY	prpD//yeaG//
UxuR	fbaA//sdhC//gatD//purK//mhpB//
XapR	purH//sodB//
XylR	dhaL//ada//malY//
YdeO	dhaK//rhaA//leuB//
YedW	lysC//tadA//ynfG//
YefM	rffC//
YefM-YoeB	ldtC//
YehT	
YeiL	
YiaJ	slt//katE//frdD//cysH//caiB//ada//
YjjQ	entD//
YpdB	
YqhC	waaY//speA//
YqjI	gadB//
ZntR	hyaB//
ZraR	
Zur	lldD//
