# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	murG//napG//
RcnR	mltF//
RcsAB	lsrF//idnK//mazG//
RcsB	sucD//purC//bioC//betA//
RcsB-BglJ	cysK//pheT//
RelB	lsrF//
RelB-RelE	pdeH//
RhaR	
RhaS	frdA//gabT//folE//metE//
Rob	aldA//fabB//napC//garR//relA//uxuB//purD//add//yfdE//leuA//tktB//napH//rhaD//carB//ssuE//adiA//aceB//gloA//nadA//
RstA	phnJ//idnD//purA//
RtcR	wecB//aceE//
RutR	prpC//galK//entF//pgpC//pheS//gdhA//pfkA//atoA//nrdA//tyrB//metC//
SdiA	
SgrR	rfe//tktB//fucO//
SlyA	
SoxR	galE//
SoxS	feaB//trpC//pgaC//glmS//trpD//paaH//gcvP//alkA//purD//poxB//patA//ubiA//fucA//paaF//phnN//glcB//ribA//paaE//dhaM//tdcG//fabD//mnmG//fabA//dmsA//aroL//gapA//
StpA	aceA//umuC//gudD//
SutR	allB//fucI//
TdcA	wzb//gloA//bioB//alsE//pgaC//
TdcR	murG//aceA//ppiA//ftnA//sgbE//
TorR	metA//argD//ung//ulaD//
TreR	metC//glgB//
TrpR	pdeL//uxuB//malP//phnH//glpC//ynfE//fabI//uvrC//wzb//
TyrR	metB//hycD//xylA//gabD//purB//phnI//hycG//cysH//nanA//
UhpA	sdhC//
UidR	metA//uvrC//
UlaR	ulaG//aroL//entD//atoD//phnP//
UvrY	sgbU//nanE//
UxuR	wecB//nrfC//prpC//alkB//deoD//
XapR	pgpC//lysA//
XylR	alkA//ttdA//rnpB//
YdeO	pgi//leuC//fdhF//
YedW	tdcD//iscS//uxaA//
YefM	hcaE//
YefM-YoeB	lysC//
YehT	
YeiL	
YiaJ	xylB//yiaK//tyrB//phnH//kbaY//tnaA//
YjjQ	lysC//
YpdB	
YqhC	ulaF//mtlD//
YqjI	accA//
ZntR	phr//
ZraR	
Zur	cadA//
