# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	metA//aroF//
Dan	glgX//cysJ//
DcuR	pyrC//lyxK//gudD//uvrB//
DeoR	ribA//gltB//deoD//eno//glmS//rhaD//
DhaR	glpX//
DicA	
DinJ-YafQ	accB//
DnaA	truB//hcp//tdcE//ddlB//glcB//malP//
DpiA	sdhA//napA//napC//gcvP//gpmA//
DsdC	dmsA//caiA//
EbgR	
EnvR	metC//deoB//
EnvY	patA//paaE//
EvgA	gcvT//wzb//asnA//gcvH//fadB//fau//
ExuR	purD//purL//cysJ//yibQ//gudD//gadB//
FabR	nfsB//lyxK//
FadR	treC//ybaS//fadE//psd//uvrB//glcB//dapB//fabB//epd//gpmA//puuC//ldtD//garK//paaY//appA//dgcC//deoC//rutD//
FeaR	dhaL//nfsB//
FhlA	uxaA//moaA//recF//paaJ//tdcE//dhaM//pgi//
FlhDC	tynA//malZ//wzc//rhaA//nanA//accC//nadB//lsrK//paaK//dapB//malS//
FliZ	ubiC//purH//fabA//idnO//citF//
FucR	dapD//cdd//ybaS//fadD//yqhD//napG//
Fur	garR//murG//deoA//sucA//mhpA//ulaG//glpK//galK//asnA//cynS//hyaC//cynT//cysM//cysC//cysD//accD//fucU//rpiB//purM//truB//sufS//sdhD//phnG//ulaE//lpxC//acnA//gntK//malZ//cdd//psd//paaG//paaJ//nanA//fucA//ndh//frc//kbaY//napA//argA//nirB//yeaE//torC//gor//purN//argB//tdcB//malP//wrbA//edd//fabG//sodB//frc//glcB//glpA//waaY//edd//nfsB//puuD//mazG//glpD//melA//fadH//pnp//
GadE	fadE//cysM//ppiA//argD//fabH//nfsA//galK//adiA//accA//rbsD//
GadE-RcsB	hycC//umuC//hcaF//fadH//
GadW	bioA//glmU//glpX//lpxD//
GadX	pflB//paaC//fadA//lacZ//cysG//ahpF//phnO//nrfB//gloA//fabZ//moaD//rutB//
GalR	glxR//arsC//galM//mnmG//deoA//pspE//
GalS	aroL//cadA//fucU//purF//iscS//dhaL//
GatR	mpaA//rbsD//fadD//
GcvA	hcaC//fumB//argA//
GlcC	prpD//lyxK//entE//
GlpR	appA//ogt//fbaA//aceE//rffH//purH//ynfG//
GlrR	
GntR	tyrA//tyrB//araB//nadA//paaZ//paaJ//pfkA//hcaB//galT//
GutM	gatY//ldtD//gutQ//
GutR	yiaK//nirB//amn//
HU	lhgO//katG//puuD//fadA//phr//ugpQ//paaI//
HcaR	hcaB//lpd//
HdfR	
HigA	murG//
HigB-HigA	nfsB//
HipAB	nrdD//mhpC//
HipB	rdoA//galK//paaF//
HyfR	fumB//
HypT	iscS//pyrD//mazG//malQ//puuB//gcl//ubiX//
IclR	fadA//polB//puuB//
IdnR	hyaC//phnN//mpaA//tauD//hyaA//fadA//
IlvY	nrfA//
IscR	ampC//fucA//ynfH//pspE//nrfA//nrfC//
KdgR	allA//fabG//
KdpE	purD//
LacI	leuA//murI//tdcE//
LeuO	garD//rutA//purN//ulaG//narI//nagA//
LexA	entD//glgX//phnM//ruvA//accC//dgcZ//leuA//wzb//mpaA//paaJ//tadA//fruK//srlD//pfkA//prpE//yqjH//moaD//umuD//deoC//fdhF//accB//
LldR	nrdA//ynfH//
LrhA	
LsrR	gatY//lsrK//glgP//cysC//bioB//
LysR	gpmA//
MalI	lsrF//tdcG//
MalT	gutQ//ilvC//nrfB//glnA//mpl//cdd//
MarA	araA//pykF//aceB//torA//aroG//prpB//alkB//rbsK//pgi//paaI//cysM//zwf//nagB//purB//puuA//gabT//astB//phnI//ahpC//rutA//entA//gntK//uvrA//
MarR	
MatA	edd//
MazE	yqhD//
MazE-MazF	deoA//
McbR	
MelR	cysM//polA//
MetJ	garL//fadB//pspE//rbsD//sucD//lpxD//caiB//ycjG//ssuD//ribA//
MetR	lsrF//ldtB//hcaC//fadI//
MhpR	tnaA//nrfA//speA//icd//argG//recF//
Mlc	pyrC//fruK//allE//glxR//
MlrA	puuC//
MngR	lhgO//fucI//
MntR	dgcZ//nirB//
ModE	metB//nrfA//gcl//nanE//fadJ//gltD//tktB//frdB//nrdB//tam//glxK//ampC//mngB//putA//
MprA	tynA//pgpC//frdA//
MqsA	leuB//ahpC//
MraZ	ynfH//cyoE//fau//tam//kbaZ//wzb//yeaG//yiaK//galM//aldA//cysD//
MtlR	nadB//nrdA//pepD//
MurR	caiB//deoC//bacA//
Nac	nagB//iscS//leuB//mhpD//nagB//recF//puuE//ulaG//cysH//rfe//
NadR	paaF//argC//gatZ//cueO//
NagC	folA//fadD//argA//fau//tnaA//mpl//wzb//malP//deoA//hcaE//murC//metA//eda//wecC//adhE//gatD//feaB//psd//allC//
NanR	lpxC//garR//rffH//dgcC//gcvH//pheS//
NarL	sufS//ynfH//dhaK//idnO//tnaA//purH//phnO//fes//glxK//mtlD//mnmG//torA//fadE//trpB//katE//garR//accB//fumC//nemA//nfsB//trpB//yfdE//uxaA//lldD//trpB//psd//glmU//adhE//ftsI//putA//lsrF//moaD//lsrF//paaA//tdcB//pdeL//
NarP	rffC//guaB//tyrB//hemL//glgX//glmS//purB//nadA//nrfC//umuD//paaE//
NemR	gabD//dhaM//
NhaR	carB//bioA//purN//umpH//aspA//
NikR	bacA//
NimR	phnO//
NorR	epd//
NrdR	araA//gltB//uvrC//uidA//
NsrR	folE//rhaB//ppsA//atoA//paaB//nemA//allC//allA//yfdE//phnI//sgbU//carA//lsrF//murI//pgaB//murE//accA//dgcZ//idnK//glcE//rutC//tdcE//frdD//allC//pgpC//ulaF//glmS//metF//purD//alsE//adiA//glmS//pfkA//rhaB//gcvP//aceB//
NtrC	murQ//nanA//astC//mhpE//pspE//leuB//trpA//araB//slt//mhpC//nadA//carB//araB//nemA//allC//nrdD//glpB//aroL//araD//wecB//entB//
OmpR	fabA//rffG//glmS//alkA//gdhA//rpiB//ychF//dhaK//
OxyR	umuC//aldA//sdhA//entA//betA//rutB//frdC//nrdE//lsrF//gudD//frdA//lsrG//argC//pykF//
PaaX	gltB//chbF//prpC//fumC//glcD//ycjG//sdhD//atoD//pgi//
PdeL	nrdD//
PdhR	folE//malS//glcF//leuA//nrdB//sucA//rbsD//glnA//wzb//rhaB//gabD//yqhD//fucI//rdoA//dmsB//ilvC//napH//nfsB//ubiA//ppc//wecB//hyi//bioA//ubiX//yqjH//argB//
PepA	bioC//mraY//
PgrR	torC//idnD//
PhoB	lsrG//accB//alkA//tam//guaA//napB//tyrB//cysM//feaB//hcaE//purE//xapA//yibQ//torC//eda//lpxC//sufS//kbaZ//
PhoP	astE//sucC//ldtB//frdA//gcl//dapB//carB//add//gcvH//pagP//lpd//aspC//aceA//ddlB//nrdA//xapA//garD//allC//mpaA//uxaB//kbaZ//napC//uvrB//uvrA//yfbR//sgbH//pfkA//nadB//thrS//hcp//guaA//ubiC//glpK//
PrpR	murI//treC//astB//hcaE//
PspF	galK//
PurR	pagP//mraY//leuD//deoA//yqjH//lyxK//sufS//argH//hemL//uvrC//mhpA//paaK//nanM//fadE//nadA//eno//bioC//phnG//psd//lacA//sdhB//torA//rutE//ldtB//ynfF//ldtB//
PutA	deoA//murG//
PuuR	rbsK//galT//phnH//cueO//astD//wecC//
QseB	
RbsR	metE//dmsA//pgaC//hcaC//torA//allC//
RcdA	rhaA//
RclR	
RcnR	asnA//
RcsAB	pheT//truB//pykF//
RcsB	glgC//ppc//fadD//tktB//
RcsB-BglJ	rutD//hmp//
RelB	araB//
RelB-RelE	rnpB//
RhaR	
RhaS	eno//sgbU//cdd//hmp//
Rob	dkgB//yfdE//ssuD//sgbH//nirD//lacA//atoD//cueO//aceA//glpA//araD//paaH//sucB//bioF//argE//argF//ldtD//tadA//purD//
RstA	fau//uvrB//phnN//
RtcR	hcp//malY//
RutR	sgbU//umuD//cysI//umuD//eda//mhpD//nanK//fabA//garL//uxuB//moaD//
SdiA	
SgrR	pncB//fes//treC//
SlyA	
SoxR	narG//
SoxS	cynS//fbaB//phnJ//pagP//gatD//acnB//fabH//polA//fucU//nrfC//uxaC//atoA//atoA//pyrD//fau//yibQ//ampC//patD//trpD//aceB//tehB//paaE//truB//entF//cysN//ftsI//
StpA	paaZ//cysG//ldtB//
SutR	glmS//ynfH//
TdcA	cysE//gadB//lysC//uxuA//alaS//
TdcR	glcF//ruvB//malY//dapD//glgB//
TorR	melA//ulaG//gcl//pfkA//
TreR	purM//pgi//
TrpR	ynfG//cysN//guaA//aspA//ttdB//bacA//rimK//hcaC//hycD//
TyrR	mpaA//nfsB//frdD//dmsB//galE//phnJ//dapB//aroH//fau//
UhpA	lhgO//
UidR	pck//nrdB//
UlaR	cysJ//pykF//ynfG//cysN//tyrA//
UvrY	glcB//rbsK//
UxuR	phnN//ulaF//aceE//adhE//caiA//
XapR	ascB//relA//
XylR	napB//frdA//chbF//
YdeO	dapB//pgpC//phnI//
YedW	glcD//acnB//pyrD//
YefM	argI//
YefM-YoeB	aceF//
YehT	
YeiL	
YiaJ	hemL//cysH//ybaS//metB//gatY//psd//
YjjQ	yfdE//
YpdB	
YqhC	aceF//fadJ//
YqjI	rutD//
ZntR	argG//
ZraR	
Zur	dhaL//
