# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mngB//phnM//
FlhDC	puuB//allC//wecB//waaY//entH//argF//mltF//atoB//cysN//nrdD//tktB//
FliZ	aroL//gatY//trpC//nrdE//rhaB//
FucR	gudD//nrdD//moaA//malZ//cysI//glgC//
Fur	fumC//metA//fbaB//galE//ychF//sgbH//dkgA//gpmM//sgbE//nrdD//wzc//napH//gudD//phnH//sdhA//sucA//gapA//pck//paaA//glpC//nrfD//hyi//araB//caiC//leuB//sgbH//frdC//galE//prpD//wzc//folE//uxaA//purC//phnM//nrdB//umuD//mraY//cysE//pyrC//malZ//accA//uvrC//yibQ//katE//alkA//rpiB//pyrC//moeB//purB//appA//nfsB//nrfC//ddlB//acnA//sdhB//aspA//dhaM//slt//pgaC//aceE//prpE//aroG//relA//
GadE	ybaS//dinB//tdcD//nadA//acnB//sgbE//hyaC//glpQ//murG//narH//
GadE-RcsB	narI//metC//tktB//wzb//
GadW	pgk//yfdE//ilvC//gdhA//
GadX	mpaA//asnB//entB//gcvH//garR//puuD//lpxD//hyaC//glcF//tyrA//pdeL//waaZ//
GalR	torA//hycD//fabI//ugpQ//bioF//galE//
GalS	aroG//melA//hypF//trpE//cysM//glcE//
GatR	sucD//tyrA//chbG//
GcvA	purL//metK//asnA//
GlcC	trpA//pdeH//acnB//
GlpR	araB//gcvH//idnD//rpiB//nrfC//ftsI//carB//
GlrR	
GntR	uxuA//arsC//argH//ahpC//astE//nadA//dapD//codA//yibQ//
GutM	treC//carB//ubiX//
GutR	arsC//aspC//gadA//
HU	murI//galM//torC//pagP//leuC//astA//aroH//
HcaR	aroF//argD//
HdfR	
HigA	polA//
HigB-HigA	pyrC//
HipAB	ychF//wecB//
HipB	pheT//citF//bglB//
HyfR	ftnA//
HypT	argD//lysC//metA//mhpC//mpaA//ttdB//fabB//
IclR	betA//frc//mhpC//
IdnR	citE//purN//guaA//codA//rffC//entF//
IlvY	ung//
IscR	garD//narG//rutB//lysC//bioD//glxR//
KdgR	hyaC//pspE//
KdpE	phnP//
LacI	iscS//nrdB//glyA//
LeuO	phnJ//fadI//paaH//ybjG//fabD//prs//
LexA	phnJ//fdhF//cyoE//sdhD//ribA//aceE//phnG//cysG//fucI//phnN//allE//rnpB//sdhC//moeA//ynfF//metB//allC//lsrF//nadB//nrfB//chbF//
LldR	murG//fadJ//
LrhA	
LsrR	dkgB//ulaG//lldD//garK//mhpE//
LysR	fbaB//
MalI	garL//gdhA//
MalT	aroG//paaE//glcD//phnJ//nrdF//mazG//
MarA	fabI//moaE//lacA//aroF//rffT//rhaD//ribA//hycF//fucK//prpB//napG//hycC//caiA//purL//tpiA//uvrA//hyaA//cynS//gcvT//kbaY//mazG//ldtC//ubiC//
MarR	
MatA	nrfB//
MazE	phnN//
MazE-MazF	uxaA//
McbR	
MelR	cysN//rsmH//
MetJ	glnA//pgk//nfsB//tpiA//ahpC//caiA//araA//rbsK//rfe//ftnA//
MetR	pgi//ulaD//fadM//fumC//
MhpR	ugpQ//fadD//aroG//sucA//phnM//trpE//
Mlc	phnM//ubiA//uxaA//alsE//
MlrA	argI//
MngR	ppiA//fadE//
MntR	puuD//pflB//
ModE	entB//fucA//pncB//tauD//carB//dsdA//phnO//purD//pdeL//allA//hycB//lldD//paaG//gnd//
MprA	lpxA//murI//caiD//
MqsA	glpQ//hycG//
MraZ	gdhA//uvrC//paaE//pfkA//napH//appA//waaZ//yqhD//guaB//puuE//mtlD//
MtlR	pyrD//pdeR//pnp//
MurR	pspE//sdhD//narI//
Nac	atoB//paaZ//glpD//trpB//xapA//sdhA//galK//leuB//aceE//pnp//
NadR	icd//dhaM//rutA//hcaB//
NagC	cadA//kbaZ//nrdF//umuC//dgcZ//aspA//gcvT//citE//hycE//puuA//glpD//accB//astA//sgbU//serA//yeaE//tynA//hemH//dkgA//
NanR	leuD//cysI//deoD//purN//yibQ//ychF//
NarL	speB//recF//betB//dinB//rfe//ssuE//gatD//mnmG//glpQ//rutE//nrfC//moeB//citF//citD//tam//moaE//hypB//glnA//nrfD//pyrD//ldtD//xylB//prs//bglB//gudD//sdhC//udp//mhpC//dapD//moaA//dapD//hypF//pgaC//murC//mhpA//ugpQ//
NarP	frdC//garR//hcaC//galK//sgbH//fau//ppc//uvrB//bacA//nrdE//waaH//
NemR	zwf//waaY//
NhaR	hyi//sgbH//purA//pfkA//wecB//
NikR	torC//
NimR	sdhC//
NorR	dapD//
NrdR	paaI//purH//cysH//recF//
NsrR	ynfE//sodA//astC//lpxA//patD//dapB//allA//deoB//gabD//rffG//hycD//metE//fabH//tyrA//poxB//nrdA//tauD//fucO//mhpA//fabI//allE//mraY//acnA//araA//alaC//ribA//cysI//folA//hycC//torA//umuD//tyrA//citD//tdcG//argE//idnD//
NtrC	pgaC//nagB//nanA//entD//sucD//waaY//murC//slt//aceF//dgcC//idnK//aceE//dmsB//gatZ//sdhC//deoB//folE//hycD//uxaC//argC//hcaC//
OmpR	ycjG//tnaA//citE//umuD//phnI//fabB//purN//acnA//
OxyR	argA//hycG//katG//tdcD//pgk//trpE//glpB//gcvH//hypF//prpB//uxaB//aceE//entF//tehB//
PaaX	xapA//torC//caiC//napG//dsdA//pgaB//sgbE//lsrF//tehB//
PdeL	wzb//
PdhR	trpC//fau//phoA//hyaB//glcE//gnd//idnO//sodA//hycC//edd//lacA//ampC//alaS//idnD//mnmG//purC//pyrD//fabI//nanE//ftnA//purA//araA//trpA//yfdE//dkgB//trpB//
PepA	ulaF//icd//
PgrR	arsC//glpQ//
PhoB	phoA//guaA//gpmA//serA//betB//chbF//paaF//paaB//gatD//puuD//carB//mltF//phoA//chbF//trpB//fucO//argC//lhgO//
PhoP	patD//accC//cdd//hemH//citC//kbaZ//gatD//narG//adiA//rhaA//mnmG//trpA//leuD//metF//cysK//rbsK//gor//idnO//deoA//hycE//rfe//pykF//glpD//hcaF//nanE//phnG//purD//rhaB//psd//allC//purE//putA//dhaK//
PrpR	rffT//fadM//fadA//purH//
PspF	rutE//
PurR	ugpQ//paaC//malY//mhpC//entD//mpaA//cysJ//aldA//pdeL//accC//malP//glgC//bioA//phnM//fucI//atoD//entD//trpB//mpl//puuA//patD//alkB//phoA//appA//sdhA//ftsI//
PutA	purF//adiA//
PuuR	tdcB//carB//srlD//yfdE//narI//dinB//
QseB	
RbsR	arsC//ftnA//sucD//paaC//ilvC//cysE//
RcdA	waaZ//
RclR	
RcnR	xylA//
RcsAB	glk//gatD//aceA//
RcsB	accD//talA//gor//accB//
RcsB-BglJ	napB//gloA//
RelB	tpiA//
RelB-RelE	nrfD//
RhaR	
RhaS	fes//rbsK//poxB//yqhD//
Rob	hcaC//yibQ//atoA//dacC//nrdF//yfbR//entD//uidA//aroG//sdhB//phoA//murI//dinB//sdhD//glk//wecC//aspC//araA//murI//
RstA	asnA//malS//rutD//
RtcR	gatZ//paaZ//
RutR	trpC//talA//dhaK//xylB//alaC//frdB//cysD//entE//dhaM//leuB//rsmH//
SdiA	
SgrR	nrfB//srlD//chbG//
SlyA	
SoxR	alkA//
SoxS	mpaA//treC//srlD//hemH//glgB//fucO//bglB//trpA//hyaC//nanM//argC//fabB//glmU//dsdA//fucK//fabI//ruvB//tyrB//acnB//dmsA//luxS//glgB//pyrD//rfe//umuD//gatD//
StpA	hcaC//lyxK//dmsA//
SutR	citF//hypF//
TdcA	phnG//rutB//nagB//lysC//glk//
TdcR	yfdE//nrfB//allB//melA//ulaD//
TorR	gadA//alaC//malZ//ssuE//
TreR	purB//purK//
TrpR	ssuE//phnM//astB//citC//paaG//torC//cysM//folE//ttdB//
TyrR	accA//rffM//metA//narG//gpmM//sodB//nadA//tadA//metF//
UhpA	eno//
UidR	nrfA//atoD//
UlaR	rbsD//fdhF//gadB//glgX//uidA//
UvrY	malY//yfdE//
UxuR	glxR//nrdF//hypB//rbsD//yqhD//
XapR	cysK//feaB//
XylR	accB//narI//fumC//
YdeO	gdhA//aroF//rutA//
YedW	bioD//trpD//glpA//
YefM	cysD//
YefM-YoeB	ycjG//
YehT	
YeiL	
YiaJ	bioD//relA//nrdF//puuB//acnB//nirD//
YjjQ	fabB//
YpdB	
YqhC	ppsA//betB//
YqjI	rutE//
ZntR	paaE//
ZraR	
Zur	tyrB//
