# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	accA//murG//
Cra	glgP//aspC//fabZ//pgaD//glyA//garK//uxaB//pfkA//icd//aceF//mnmG//trpB//polB//pfkA//lsrF//glpK//pspE//allB//rffM//gltB//putA//ogt//sdhC//astB//atoB//fadB//talA//argB//hypB//ynfF//fabH//leuD//narH//kbaZ//leuD//napH//cueO//bglB//frdC//rutA//nanA//hycF//murQ//polA//metL//gutQ//katE//citE//carB//glpK//yeaG//allC//cdd//icd//yfdE//hyi//gnd//malS//gudD//fucU//
CreB	mtlD//fadJ//
CsgD	lysA//aroH//lyxK//hyaC//cysN//
CsiR	slt//dsdA//accD//ttdA//
CspA	sufS//
CueR	lacA//fabA//wecC//poxB//
CusR	mhpE//ychF//cysI//
CynR	mhpF//purE//trpA//
CysB	relA//uvrA//patD//feaB//glgX//ddlB//ldtC//nanK//ynfH//ulaG//astC//metE//napB//carB//gltD//entC//fes//metK//
CytR	nrfB//astE//pepD//sdhC//ftsI//argA//fumB//hcaE//glgX//paaK//
Dan	atoA//cysG//
DcuR	lldD//dapD//entF//argA//
DeoR	cueO//glgX//astB//glmU//gnd//dmsC//
DhaR	arsC//
DicA	
DinJ-YafQ	pyrD//
DnaA	gltD//yfdE//betA//ldtB//nrfA//glk//
DpiA	caiC//ubiC//patA//hcaC//bioA//
DsdC	aceE//idnD//
EbgR	
EnvR	relA//frdC//
EnvY	tdcG//putA//
EvgA	paaC//sucD//cysI//uvrC//murF//fbaA//
ExuR	cysN//fadE//cysM//napA//phnJ//nanA//
FabR	hyaC//tdcG//
FadR	ldtB//glpB//ogt//hcaB//patD//puuA//bioB//nadB//dinB//glnA//fabI//hycE//ttdA//murQ//kbaY//nrdD//poxB//citF//
FeaR	rhaA//waaH//
FhlA	napC//melA//fabA//cysH//fabI//ubiA//citC//
FlhDC	rutA//fucK//hyaB//dinB//sodA//bioA//bacA//fadM//tdcG//uxaC//argF//
FliZ	metC//caiA//caiC//uvrA//uvrB//
FucR	talA//deoD//dapB//nrdF//fucA//ada//
Fur	ugpQ//fadI//ynfH//dhaK//napA//purA//uvrC//pdeH//narH//phnI//dkgB//ldtD//guaA//uxaA//frdD//ynfG//puuE//citX//ynfF//polB//gutQ//dhaM//fumC//zwf//waaY//hcaF//leuB//purM//caiC//ttdA//phnN//allE//allB//caiB//aceB//deoA//citG//lyxK//chbF//polA//napA//sdhC//cysI//rutC//dgcZ//gabT//gcl//xylB//murE//lysC//purB//idnK//purH//yqjH//gcvP//astE//adiA//torC//ftnA//gcvP//trpB//leuB//ybaS//
GadE	argA//atoD//lysA//fucK//aceB//appA//argC//bglB//cueO//chbG//
GadE-RcsB	hycB//ubiA//caiB//hycB//
GadW	ssuD//yeaE//mnmG//araA//
GadX	mdh//lysA//ppsA//astA//gatD//folE//dgcC//pdeR//gcvH//paaY//nfsB//gabT//
GalR	ulaF//purE//lpxC//murC//folE//lsrK//
GalS	gpmM//pfkA//lpxA//purD//moeB//murC//
GatR	nrdD//cyoE//gntK//
GcvA	frdB//amn//glpC//
GlcC	yiaK//rutA//slt//
GlpR	nanE//psd//purA//rbsD//phnM//gatZ//nanM//
GlrR	
GntR	ppc//nrfC//pdeL//uxaA//metE//polB//atoA//hcaE//hcaB//
GutM	pgaC//phnL//metF//
GutR	phnM//slt//paaB//
HU	glmU//tehB//mraY//ubiA//paaI//ogt//sgbH//
HcaR	galM//tehB//
HdfR	
HigA	nfsA//
HigB-HigA	gpmM//
HipAB	xylB//cdd//
HipB	gdhA//recF//yqjH//
HyfR	malZ//
HypT	argH//bioB//dhaK//argG//fadM//glmU//lpxC//
IclR	hemH//leuA//purK//
IdnR	bglB//lsrF//murE//astA//ada//nagA//
IlvY	psd//
IscR	murD//cynS//srlD//purC//fadJ//ruvA//
KdgR	asnB//cysN//
KdpE	paaE//
LacI	fadJ//glgB//fadH//
LeuO	ldtD//argE//lpd//gnd//fucK//entA//
LexA	dhaK//glgA//hypF//gntK//wecB//fadH//argD//rnpB//gudD//allE//glyA//ahpC//alkA//sucC//aceB//frdA//deoD//kbaY//cueO//icd//narG//
LldR	sdhD//amn//
LrhA	
LsrR	malP//purH//nrdF//gcl//paaK//
LysR	tdcD//
MalI	dhaL//mpl//
MalT	leuB//gcvP//wrbA//ssuD//rhaB//cyoE//
MarA	fes//araB//nemA//cysE//accC//tdcE//phnI//yiaK//gltB//rbsD//pspE//frdD//uidA//waaZ//napA//rnpB//ftnA//glpK//ppc//phr//accD//paaH//rsmH//
MarR	
MatA	pgaD//
MazE	paaI//
MazE-MazF	entE//
McbR	
MelR	pfkA//citD//
MetJ	dinB//malS//phnJ//glnA//fucU//metK//cysM//nanM//pdeR//cysG//
MetR	ulaF//ndh//rimK//nirD//
MhpR	hyi//fadB//glpQ//ascB//gpmM//rbsK//
Mlc	allB//rbsD//malS//ynfH//
MlrA	deoD//
MngR	fbaB//astC//
MntR	tpiA//paaZ//
ModE	galM//astD//gloA//pnp//mazG//murC//napG//frc//nadA//purC//rhaD//gpmA//uidA//araA//
MprA	prs//narG//dgcC//
MqsA	add//hcp//
MraZ	ulaD//waaY//tam//sgbU//pdeR//citC//adhE//ilvC//pagP//dkgB//pgaC//
MtlR	metF//nfsA//treC//
MurR	gudD//phnJ//idnO//
Nac	mhpA//fabA//paaE//wzb//fbaA//murC//aspA//hmp//waaZ//ahpC//
NadR	ubiX//bacA//garD//bioC//
NagC	phnO//ybjG//asnA//aspA//codA//nanA//amn//pdeL//kbaY//glcB//caiC//argF//yeaG//rffH//accB//gadB//pgi//allA//patD//
NanR	atoD//aspA//murQ//patD//phr//pgpC//
NarL	pspE//moaE//murI//pagP//ubiA//hyaB//ttdA//aroL//citE//leuA//fruK//ybaS//torC//caiD//nfsB//sgbH//glxR//phnP//astE//moaE//serA//ubiX//gudD//waaY//murI//narG//citD//acnB//gpmA//ftnA//astB//entA//dapB//ubiX//waaY//cysC//
NarP	entA//thrS//gnd//glmU//galM//phnL//phnM//fbaB//tpiA//astD//uvrC//
NemR	deoC//argB//
NhaR	deoA//frdB//moaE//argG//ldtC//
NikR	rutD//
NimR	treC//
NorR	pykF//
NrdR	paaA//pgk//uxaA//carA//
NsrR	asnB//napG//lhgO//murF//paaE//fabI//entB//argB//sdhA//nrdF//gntK//lpxA//rutE//bioC//ddlB//adhE//galM//paaK//nrdD//sgbH//hyaA//metF//ahpC//mltF//uvrC//pyrD//argA//rhaA//purD//wecB//caiA//napC//pck//dhaK//lsrK//sucC//
NtrC	hcaC//lpd//fumB//aroG//gadB//bioF//fabA//adhE//araB//uxaA//rffC//ttdA//entF//galM//mnmG//nfsA//moeB//phnG//glgP//ybaS//lsrF//
OmpR	umuC//gor//cynT//purE//pgk//sodA//alsE//speA//
OxyR	cysK//ynfH//guaA//fabH//polA//tdcG//glmU//folA//ppc//citG//rutB//mazG//cysD//nagA//
PaaX	tdcB//bacA//leuD//pheS//dmsB//aldA//bioF//narG//yfdE//
PdeL	phnN//
PdhR	xylA//garL//dgcZ//pdeL//lpxC//sdhA//alaC//fadJ//frdA//entC//hycB//prpE//dgcZ//murG//lldD//fbaA//mhpE//aceF//acnA//metF//idnO//fes//pepD//glgA//mhpB//pncB//
PepA	eda//garD//
PgrR	ldtB//nirB//
PhoB	cyoE//treC//ldtC//dsdA//iscS//rutB//garD//fucK//speB//murF//yiaK//rutE//gudD//phnH//entA//gabD//moeB//fadB//
PhoP	ycjG//dhaM//slt//talA//tdcG//allC//glpA//uxuB//mazG//cadA//malQ//guaB//cdd//mngB//purC//nanK//phr//yfbR//glgX//gor//aceE//caiC//prpB//dgkA//hcaC//hcaF//accA//ulaF//murD//uxaA//bioD//ubiX//fabG//
PrpR	purA//uidA//uxaC//galM//
PspF	araA//
PurR	adhE//add//rffH//nirD//atoB//uvrA//galE//phnH//frdB//wecB//fruK//rffG//purE//uvrB//hemH//glgP//nrdD//pspE//metE//betB//acnA//leuA//fucI//nrdE//truB//hyaC//
PutA	rffM//betB//
PuuR	glgX//trpD//phnH//astC//dmsB//oxc//
QseB	
RbsR	uvrB//icd//paaH//allA//galK//mhpA//
RcdA	uxaC//
RclR	
RcnR	speA//
RcsAB	pdeH//alkB//tdcE//
RcsB	pdeL//yfbR//deoC//pnp//
RcsB-BglJ	glmS//citF//
RelB	idnD//
RelB-RelE	mraY//
RhaR	
RhaS	citG//uxuA//malP//yfdE//
Rob	fabZ//murD//puuE//aceB//cysG//allD//fbaB//prpB//kbaZ//speB//astB//fadH//fucA//umuC//nanM//deoC//tyrA//gapA//dhaM//
RstA	treC//malY//codA//
RtcR	fabH//bioB//
RutR	lysA//gltB//uidA//paaF//speA//garD//frdD//metK//moaE//rutA//idnK//
SdiA	
SgrR	ada//fucU//allC//
SlyA	
SoxR	narI//
SoxS	entA//fbaB//hycE//srlD//caiC//fabB//alaC//serA//gnd//rhaD//nrdB//astD//torA//hcaB//nadA//ttdA//kbaZ//deoD//ubiX//entH//glpD//fadJ//hycF//hcaC//aspA//ulaE//
StpA	gatD//nrdE//aceB//
SutR	uxaB//gcvH//
TdcA	pflB//sucC//phnL//galM//fadJ//
TdcR	hcaE//sufS//waaH//hypF//katE//
TorR	ampC//pncB//nrdE//napG//
TreR	fruK//nrdB//
TrpR	lpxA//murC//murE//hcaB//uidA//ychF//argB//mazG//phnI//
TyrR	paaJ//fabI//nadA//mhpA//katG//caiB//yqhD//nirD//leuD//
UhpA	nfsA//
UidR	murG//fabA//
UlaR	fadJ//moaA//mazG//glcF//aldA//
UvrY	leuB//glpA//
UxuR	glxK//phnG//trpC//ada//lysA//
XapR	gdhA//aspC//
XylR	trpA//ttdA//ppc//
YdeO	glcF//accA//dhaL//
YedW	carB//melA//mngB//
YefM	mltF//
YefM-YoeB	pyrD//
YehT	
YeiL	
YiaJ	lyxK//nrfA//sucB//ldtD//argI//ppiA//
YjjQ	pnp//
YpdB	
YqhC	moaE//oxc//
YqjI	ddlB//
ZntR	thrS//
ZraR	
Zur	fdhF//
