# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	malP//hycE//
TrpR	fadH//sucA//uxuA//mpl//lsrG//araD//umuD//mhpA//argB//
TyrR	folE//accA//fadD//hcp//cysI//yqhD//uxaA//mngB//yibQ//
UhpA	purN//
UidR	nrdF//moaE//
UlaR	nfsB//moaE//fdhF//gor//astD//
UvrY	glcF//tehB//
UxuR	uxuA//ascB//yqhD//gntK//gdhA//
XapR	ahpF//cysC//
XylR	ftnA//aroH//katE//
YdeO	eno//guaB//malZ//
YedW	psd//mpaA//deoA//
YefM	hycB//
YefM-YoeB	allE//
YehT	
YeiL	
YiaJ	uvrC//nrdD//leuC//argE//paaG//citE//
YjjQ	mazG//
YpdB	
YqhC	hcaC//paaJ//
YqjI	deoA//
ZntR	aldA//
ZraR	
Zur	sucB//
